date,open,high,low,close,volume,source
2025-02-27,233.7,243.7,231.3,241.0,247067.0,backfill_api
2025-03-02,245.0,258.0,243.0,256.4,574817.0,backfill_api
2025-03-03,260.5,261.5,250.6,250.6,271583.0,backfill_api
2025-03-04,250.0,258.6,248.2,250.7,326496.0,backfill_api
2025-03-05,253.8,253.8,245.0,246.0,212878.0,backfill_api
2025-03-06,248.0,249.0,241.1,244.5,178386.0,backfill_api
2025-03-09,242.0,247.0,238.0,239.8,196203.0,backfill_api
2025-03-10,240.0,243.5,235.5,235.5,152823.0,backfill_api
2025-03-11,238.0,238.0,230.8,232.0,191397.0,backfill_api
2025-03-12,232.0,237.0,229.5,236.4,121072.0,backfill_api
2025-03-16,236.4,239.0,232.0,236.0,95082.0,backfill_api
2025-03-17,231.3,237.0,231.3,234.4,80368.0,backfill_api
2025-03-18,237.0,237.0,231.1,232.5,92092.0,backfill_api
2025-03-19,232.5,233.0,230.0,230.3,78786.0,backfill_api
2025-03-20,230.0,232.5,228.0,229.59,81850.0,backfill_api
2025-03-23,230.0,230.0,224.6,225.12,103711.0,backfill_api
2025-03-24,229.6,229.6,221.3,226.34,96584.0,backfill_api
2025-03-25,225.1,225.1,218.0,218.99,209509.0,backfill_api
2025-03-26,216.1,225.0,216.1,223.09,102058.0,backfill_api
2025-03-27,225.5,228.0,220.8,226.65,101054.0,backfill_api
2025-03-30,226.0,237.6,225.0,232.98,201971.0,backfill_api
2025-04-01,233.1,235.0,226.0,229.17,107126.0,backfill_api
2025-04-02,227.3,231.4,227.0,228.61,56707.0,backfill_api
2025-04-03,230.9,232.0,226.0,227.28,116114.0,backfill_api
2025-04-07,231.8,231.8,225.7,225.87,47777.0,backfill_api
2025-04-08,225.0,228.0,221.2,226.32,82500.0,backfill_api
2025-04-09,225.0,229.0,225.0,225.71,39443.0,backfill_api
2025-04-10,225.1,229.0,225.1,227.09,35098.0,backfill_api
2025-04-13,225.0,229.0,225.0,226.61,42581.0,backfill_api
2025-04-15,229.0,233.0,225.0,231.08,112657.0,backfill_api
2025-04-16,233.6,237.0,228.0,235.98,120415.0,backfill_api
2025-04-17,240.6,243.0,235.0,237.83,209119.0,backfill_api
2025-04-20,234.0,237.0,230.5,231.87,99342.0,backfill_api
2025-04-21,230.0,240.0,230.0,234.21,158701.0,backfill_api
2025-04-22,235.5,239.0,231.0,232.16,119770.0,backfill_api
2025-04-23,232.0,232.0,227.1,227.93,80908.0,backfill_api
2025-04-24,227.1,228.9,224.7,227.04,103783.0,backfill_api
2025-04-27,227.0,241.5,227.0,235.85,246426.0,backfill_api
2025-04-28,238.4,249.0,238.0,240.81,457733.0,backfill_api
2025-04-29,245.0,245.0,237.5,238.51,115792.0,backfill_api
2025-04-30,240.7,250.0,235.0,246.63,538136.0,backfill_api
2025-05-04,251.5,257.8,247.3,251.07,623121.0,backfill_api
2025-05-05,252.0,252.0,242.0,242.37,304930.0,backfill_api
2025-05-06,237.7,254.7,237.7,252.99,473910.0,backfill_api
2025-05-07,248.0,265.0,248.0,262.61,868746.0,backfill_api
2025-05-08,265.0,279.0,256.0,265.89,840668.0,backfill_api
2025-05-11,271.2,271.2,256.0,256.73,461835.0,backfill_api
2025-05-13,261.8,261.8,248.0,248.77,384143.0,backfill_api
2025-05-14,253.5,258.0,240.3,242.4,286050.0,backfill_api
2025-05-15,247.2,247.2,240.0,244.15,192900.0,backfill_api
2025-05-18,239.3,248.0,236.0,236.88,208774.0,backfill_api
2025-05-19,239.0,243.0,239.0,240.41,161118.0,backfill_api
2025-05-20,240.0,258.0,236.0,251.29,231417.0,backfill_api
2025-05-21,256.3,271.3,245.3,246.52,277670.0,backfill_api
2025-05-22,250.0,251.0,243.0,244.04,184072.0,backfill_api
2025-05-25,240.3,245.0,239.1,241.97,124767.0,backfill_api
2025-05-26,246.8,250.0,240.0,240.98,167735.0,backfill_api
2025-05-27,240.0,246.0,240.0,240.8,146728.0,backfill_api
2025-05-28,240.0,257.5,238.7,254.98,613097.0,backfill_api
2025-06-02,260.0,266.5,258.0,260.66,882142.0,backfill_api
2025-06-03,262.0,267.0,256.0,264.7,760440.0,backfill_api
2025-06-04,261.1,275.0,261.1,273.68,1345426.0,backfill_api
2025-06-05,279.1,279.1,270.0,276.92,1057285.0,backfill_api
2025-06-08,277.0,281.0,272.0,274.14,985766.0,backfill_api
2025-06-09,274.0,276.5,268.0,270.19,796763.0,backfill_api
2025-06-10,273.9,289.9,271.0,285.75,1887396.0,backfill_api
2025-06-11,285.0,298.0,280.1,293.29,1080260.0,backfill_api
2025-06-12,299.1,301.5,280.0,284.35,1267402.0,backfill_api
2025-06-15,290.0,290.0,280.0,281.84,1037896.0,backfill_api
2025-06-16,287.4,296.0,280.0,280.31,1037343.0,backfill_api
2025-06-17,281.0,283.0,274.0,278.24,538421.0,backfill_api
2025-06-18,278.0,283.0,275.6,277.98,467900.0,backfill_api
2025-06-19,280.7,282.0,270.5,271.57,547436.0,backfill_api
2025-06-22,277.0,277.0,257.0,258.43,508534.0,backfill_api
2025-06-23,263.5,263.5,255.0,260.26,313500.0,backfill_api
2025-06-24,263.0,269.8,258.0,258.8,315276.0,backfill_api
2025-06-25,261.0,264.0,257.0,257.26,145385.0,backfill_api
2025-06-26,259.0,263.8,255.1,256.48,284574.0,backfill_api
2025-06-29,258.0,261.4,255.2,257.18,195356.0,backfill_api
2025-06-30,259.9,267.9,257.1,262.95,325091.0,backfill_api
2025-07-01,260.0,269.0,260.0,267.08,204468.0,backfill_api
2025-07-02,272.4,272.4,263.0,265.2,260983.0,backfill_api
2025-07-03,266.0,269.9,260.0,261.41,244857.0,backfill_api
2025-07-06,261.0,261.3,255.0,255.52,262490.0,backfill_api
2025-07-07,260.6,260.6,252.1,253.72,166173.0,backfill_api
2025-07-08,254.0,258.0,251.0,253.61,146402.0,backfill_api
2025-07-09,256.1,259.0,254.0,256.71,157337.0,backfill_api
2025-07-10,259.2,260.5,251.9,254.31,265586.0,backfill_api
2025-07-13,259.3,264.0,252.0,253.7,237020.0,backfill_api
2025-07-14,258.0,258.0,251.5,253.73,134189.0,backfill_api
2025-07-15,256.0,268.0,256.0,261.98,274953.0,backfill_api
2025-07-16,267.2,268.0,260.0,262.97,203223.0,backfill_api
2025-07-17,264.2,273.3,263.1,268.99,358596.0,backfill_api
2025-07-20,270.0,274.3,264.2,265.02,417773.0,backfill_api
2025-07-21,265.0,270.0,261.0,264.89,261359.0,backfill_api
2025-07-22,268.0,272.0,263.8,269.08,385744.0,backfill_api
2025-07-23,270.0,288.9,267.0,283.1,1233763.0,backfill_api
2025-07-24,285.0,293.0,285.0,289.39,887555.0,backfill_api
2025-07-27,290.0,306.5,289.0,296.57,2115016.0,backfill_api
2025-07-28,296.0,301.9,288.7,295.06,1105825.0,backfill_api
2025-07-29,298.0,300.5,290.1,291.19,639959.0,backfill_api
2025-07-30,292.0,292.0,279.1,280.05,727716.0,backfill_api
2025-07-31,285.6,285.6,273.5,274.78,486879.0,backfill_api
2025-08-03,280.2,280.2,270.0,270.96,437809.0,backfill_api
2025-08-04,276.0,276.0,267.1,272.08,241200.0,backfill_api
2025-08-05,277.0,277.0,265.1,265.98,235126.0,backfill_api
2025-08-06,269.0,269.0,264.0,264.7,172387.0,backfill_api
2025-08-07,268.0,276.0,264.1,273.21,342723.0,backfill_api
2025-08-11,274.0,275.0,265.1,265.73,177842.0,backfill_api
2025-08-12,265.0,268.0,262.3,263.11,194489.0,backfill_api
2025-08-13,265.0,275.3,264.0,264.62,222208.0,backfill_api
2025-08-14,268.0,269.0,263.6,264.35,164126.0,backfill_api
2025-08-17,265.0,267.9,260.0,260.23,228275.0,backfill_api
2025-08-18,264.0,265.4,259.0,262.06,166540.0,backfill_api
2025-08-19,262.9,268.0,262.3,262.91,173077.0,backfill_api
2025-08-20,262.1,265.0,261.0,261.54,102817.0,backfill_api
2025-08-21,262.0,262.6,257.0,257.5,217596.0,backfill_api
2025-08-24,257.1,262.0,255.0,255.89,113831.0,backfill_api
2025-08-25,257.0,259.7,255.0,259.03,106914.0,backfill_api
