date,open,high,low,close,volume,source
2025-02-25,900.0,928.5,900.0,911.1,16673.0,backfill_api
2025-02-27,916.0,930.0,911.0,914.0,9723.0,backfill_api
2025-03-02,911.0,927.9,911.0,918.1,12709.0,backfill_api
2025-03-03,913.0,934.0,909.9,909.9,19816.0,backfill_api
2025-03-04,900.0,938.4,900.0,904.1,6904.0,backfill_api
2025-03-05,895.0,908.5,895.0,902.0,5157.0,backfill_api
2025-03-06,892.0,910.0,891.1,902.0,4182.0,backfill_api
2025-03-09,890.0,907.0,882.1,882.1,5269.0,backfill_api
2025-03-10,883.0,899.0,876.0,890.0,3943.0,backfill_api
2025-03-11,872.2,888.0,865.4,865.4,3310.0,backfill_api
2025-03-12,875.0,875.0,858.0,858.0,2778.0,backfill_api
2025-03-16,870.0,887.4,840.0,850.0,3306.0,backfill_api
2025-03-17,866.0,878.0,849.1,853.0,7406.0,backfill_api
2025-03-18,868.0,884.0,849.9,858.0,5388.0,backfill_api
2025-03-19,841.1,855.0,841.1,850.0,1089.0,backfill_api
2025-03-20,866.0,866.0,824.0,854.49,2114.0,backfill_api
2025-03-23,869.0,869.0,825.0,838.62,4541.0,backfill_api
2025-03-24,822.1,845.0,822.1,836.41,2100.0,backfill_api
2025-03-25,822.0,830.0,815.0,816.51,2215.0,backfill_api
2025-03-26,816.0,843.0,781.0,835.65,8276.0,backfill_api
2025-03-27,840.0,857.8,809.0,850.54,2644.0,backfill_api
2025-03-30,865.0,872.0,834.0,853.62,3424.0,backfill_api
2025-04-01,841.0,842.0,828.5,833.43,2171.0,backfill_api
2025-04-02,821.0,871.1,821.0,825.4,7208.0,backfill_api
2025-04-03,811.1,850.0,811.1,829.75,5171.0,backfill_api
2025-04-07,814.0,846.3,813.5,817.29,3146.0,backfill_api
2025-04-08,812.0,819.0,803.1,814.27,3176.0,backfill_api
2025-04-09,830.0,830.0,805.0,820.0,1020.0,backfill_api
2025-04-10,806.1,823.0,806.1,819.78,1543.0,backfill_api
2025-04-13,820.0,836.0,807.0,811.05,2178.0,backfill_api
2025-04-15,801.0,860.4,801.0,839.44,2560.0,backfill_api
2025-04-16,823.0,838.0,823.0,830.95,938.0,backfill_api
2025-04-17,829.0,848.0,816.0,841.35,3546.0,backfill_api
2025-04-20,826.0,834.9,805.0,832.7,6825.0,backfill_api
2025-04-21,817.0,840.0,808.0,821.41,5453.0,backfill_api
2025-04-22,810.0,837.0,810.0,822.93,3519.0,backfill_api
2025-04-23,822.0,822.0,810.0,810.66,9468.0,backfill_api
2025-04-24,808.0,815.0,804.1,808.35,2468.0,backfill_api
2025-04-27,824.0,824.0,790.0,806.95,3341.0,backfill_api
2025-04-28,806.95,819.6,793.0,795.43,7554.0,backfill_api
2025-04-29,786.0,801.0,786.0,791.52,2232.0,backfill_api
2025-04-30,780.0,803.0,777.0,788.38,3730.0,backfill_api
2025-05-04,800.0,862.9,771.0,821.29,4019.0,backfill_api
2025-05-05,804.9,829.0,790.0,820.7,5335.0,backfill_api
2025-05-06,835.0,835.0,790.0,804.3,3095.0,backfill_api
2025-05-07,805.0,830.0,792.0,827.83,4034.0,backfill_api
2025-05-08,811.3,843.0,811.3,818.51,1728.0,backfill_api
2025-05-11,818.51,818.51,805.0,806.25,3717.0,backfill_api
2025-05-13,800.0,815.0,796.0,800.06,3938.0,backfill_api
2025-05-14,790.0,800.0,790.0,791.16,3073.0,backfill_api
2025-05-15,800.0,806.9,784.0,787.42,5738.0,backfill_api
2025-05-18,803.1,810.0,790.0,803.2,2324.0,backfill_api
2025-05-19,801.1,809.0,793.9,800.57,4249.0,backfill_api
2025-05-20,787.0,816.0,787.0,812.41,1592.0,backfill_api
2025-05-21,828.0,843.0,804.1,812.0,2681.0,backfill_api
2025-05-22,820.0,835.0,802.0,829.24,8772.0,backfill_api
2025-05-25,812.7,880.0,812.7,869.4,18875.0,backfill_api
2025-05-26,886.0,886.0,840.0,842.32,8284.0,backfill_api
2025-05-27,825.5,855.0,810.0,817.94,9205.0,backfill_api
2025-05-28,833.0,833.0,805.1,819.64,5173.0,backfill_api
2025-06-02,826.0,842.0,806.1,814.3,3609.0,backfill_api
2025-06-03,828.0,830.5,805.0,813.81,2891.0,backfill_api
2025-06-04,801.1,816.0,800.0,805.02,1762.0,backfill_api
2025-06-05,800.0,821.0,800.0,805.04,1744.0,backfill_api
2025-06-08,800.0,810.0,795.0,795.8,4951.0,backfill_api
2025-06-09,791.0,810.0,791.0,802.45,994.0,backfill_api
2025-06-10,804.0,819.0,803.0,813.44,2868.0,backfill_api
2025-06-11,802.0,817.0,802.0,808.18,1922.0,backfill_api
2025-06-12,795.0,810.0,795.0,797.2,4628.0,backfill_api
2025-06-15,783.0,805.8,783.0,793.85,3791.0,backfill_api
2025-06-16,793.0,805.0,793.0,796.0,1933.0,backfill_api
2025-06-17,792.0,825.0,792.0,807.58,4650.0,backfill_api
2025-06-18,823.0,823.0,802.0,806.68,1367.0,backfill_api
2025-06-19,802.2,806.0,793.0,793.56,1925.0,backfill_api
2025-06-22,800.0,800.0,780.1,789.24,3831.0,backfill_api
2025-06-23,780.1,800.0,775.1,792.71,7671.0,backfill_api
2025-06-24,808.0,808.0,796.2,798.23,9936.0,backfill_api
2025-06-25,812.2,812.2,790.0,792.26,2895.0,backfill_api
2025-06-26,807.9,807.9,786.1,791.68,4204.0,backfill_api
2025-06-29,805.9,805.9,780.1,804.55,4395.0,backfill_api
2025-06-30,804.0,818.9,804.0,814.39,2501.0,backfill_api
2025-07-01,810.0,842.0,810.0,837.47,19732.0,backfill_api
2025-07-02,821.0,855.0,821.0,834.74,6163.0,backfill_api
2025-07-03,821.2,839.9,821.1,835.96,7658.0,backfill_api
2025-07-06,826.0,840.9,826.0,833.67,5270.0,backfill_api
2025-07-07,825.0,833.0,815.1,817.19,4919.0,backfill_api
2025-07-08,801.1,825.0,801.1,820.72,3032.0,backfill_api
2025-07-09,820.72,840.0,817.4,829.07,3608.0,backfill_api
2025-07-10,830.0,855.0,830.0,850.2,9715.0,backfill_api
2025-07-13,867.0,884.3,860.0,874.69,15486.0,backfill_api
2025-07-14,870.1,870.1,860.0,860.01,9891.0,backfill_api
2025-07-15,870.0,888.0,855.0,884.76,10893.0,backfill_api
2025-07-16,892.0,900.0,890.0,895.81,8891.0,backfill_api
2025-07-17,895.81,925.0,895.0,912.48,14716.0,backfill_api
2025-07-20,913.0,930.7,900.0,903.49,14082.0,backfill_api
2025-07-21,900.0,920.0,886.1,908.5,15050.0,backfill_api
2025-07-22,906.1,954.9,906.1,945.35,21291.0,backfill_api
2025-07-23,946.0,950.0,922.1,931.51,15115.0,backfill_api
2025-07-24,920.0,950.0,920.0,930.05,13099.0,backfill_api
2025-07-27,937.0,960.0,930.0,934.68,20830.0,backfill_api
2025-07-28,933.7,982.0,921.5,972.85,24317.0,backfill_api
2025-07-29,990.0,1030.0,990.0,1008.64,38992.0,backfill_api
2025-07-30,1008.0,1009.0,955.5,958.2,30082.0,backfill_api
2025-07-31,965.0,983.9,950.0,960.78,34159.0,backfill_api
2025-08-03,960.0,970.0,921.0,925.8,13396.0,backfill_api
2025-08-04,944.3,984.0,944.0,958.55,46397.0,backfill_api
2025-08-05,970.0,1000.0,965.0,981.1,38307.0,backfill_api
2025-08-06,986.0,1026.0,985.0,1012.46,44715.0,backfill_api
2025-08-07,1025.0,1028.0,1000.0,1022.0,51064.0,backfill_api
2025-08-11,1023.1,1026.0,997.2,1014.23,54878.0,backfill_api
2025-08-12,1001.0,1015.0,996.1,1004.74,36053.0,backfill_api
2025-08-13,985.0,1009.9,985.0,988.83,17507.0,backfill_api
2025-08-14,980.0,1002.0,975.0,998.73,20675.0,backfill_api
2025-08-17,998.0,1009.0,990.0,990.89,12514.0,backfill_api
2025-08-18,972.4,995.0,972.4,988.35,10389.0,backfill_api
2025-08-19,983.2,1009.8,983.2,993.43,12415.0,backfill_api
2025-08-20,977.1,994.7,977.1,984.55,5703.0,backfill_api
2025-08-21,980.6,985.0,970.0,983.18,18501.0,backfill_api
2025-08-24,966.3,985.9,966.3,981.58,12971.0,backfill_api
2025-08-25,1001.2,1020.0,990.0,992.27,22404.0,backfill_api
2025-08-26,992.0,999.0,987.1,988.79,7644.0,backfill_api
2025-08-27,978.1,1007.7,978.1,1006.03,14062.0,backfill_api
2025-08-28,1000.0,1025.0,992.0,1019.17,42597.0,backfill_api
2025-08-31,998.8,1065.0,998.8,1061.56,91392.0,backfill_api
2025-09-01,1040.4,1077.0,1040.4,1063.29,37114.0,backfill_api
2025-09-02,1042.1,1080.0,1042.1,1052.3,32858.0,backfill_api
2025-09-03,1031.3,1060.9,1031.3,1057.72,56708.0,backfill_api
2025-09-04,1036.6,1078.0,1036.6,1044.03,21217.0,backfill_api
2025-09-07,1023.2,1045.0,1023.2,1034.49,18657.0,backfill_api
2025-09-08,1013.9,1053.6,1013.9,1046.39,28748.0,backfill_api
2025-09-21,1025.5,1040.0,951.6,1034.61,22277.0,backfill_api
2025-09-23,1020.0,1055.0,1017.1,1048.0,8735.0,backfill_api
2025-09-24,1030.0,1066.0,1030.0,1052.5,22450.0,backfill_api
2025-09-25,1031.5,1051.0,1031.5,1036.0,7497.0,backfill_api
2025-09-28,1034.0,1048.0,1025.3,1032.3,2362.0,backfill_api
2025-10-07,1044.0,1044.0,998.0,1038.0,11705.0,backfill_api
2025-10-08,1017.3,1078.0,980.0,1000.0,13754.0,backfill_api
2025-10-09,1020.0,1040.4,1000.0,1020.0,17907.0,backfill_api
2025-10-12,999.6,1080.0,938.0,985.0,20010.0,backfill_api
2025-10-13,966.0,1000.0,950.0,989.0,21565.0,backfill_api
2025-10-14,969.3,1025.0,930.8,949.4,6311.0,backfill_api
2025-10-15,930.5,962.0,930.5,955.0,19065.0,backfill_api
2025-10-16,935.9,970.0,935.9,956.0,16259.0,backfill_api
2025-10-19,937.0,966.0,937.0,939.3,1568.0,backfill_api
2025-10-26,930.0,961.0,930.0,961.0,4889.0,backfill_api
2025-10-28,960.0,990.0,945.5,989.0,15392.0,backfill_api
2025-10-29,969.3,1065.0,969.3,1065.0,38345.0,backfill_api
2025-10-30,1043.7,1043.7,984.6,1014.0,10063.0,backfill_api
2025-11-02,993.8,1015.9,985.3,985.3,19690.0,backfill_api
2025-11-03,965.6,1001.7,960.0,970.0,8476.0,backfill_api
2025-11-04,970.0,980.0,943.0,971.0,19680.0,backfill_api
2025-11-05,951.6,1027.0,951.6,982.0,16477.0,backfill_api
2025-11-06,962.4,980.7,961.0,962.0,5255.0,backfill_api
2025-11-09,979.0,979.0,962.0,974.0,10425.0,backfill_api
2025-11-10,974.0,980.9,963.0,976.0,10955.0,backfill_api
2025-11-11,956.5,995.0,956.5,984.9,10439.0,backfill_api
2025-11-12,965.3,990.0,965.3,986.0,9419.0,backfill_api
2025-11-13,966.3,993.0,966.3,993.0,11284.0,backfill_api
2025-11-16,973.2,985.0,970.0,975.0,12447.0,backfill_api
2025-11-17,955.5,1020.0,955.5,1012.9,30700.0,backfill_api
2025-11-18,992.7,1039.0,992.7,1039.0,32770.0,backfill_api
2025-11-19,1018.3,1040.0,1018.0,1038.9,33441.0,backfill_api
2025-11-20,1018.2,1079.0,1015.0,1054.0,56681.0,backfill_api
2025-11-23,1033.0,1074.0,1033.0,1060.0,35124.0,backfill_api
2025-11-24,1038.8,1090.0,1038.8,1088.9,53263.0,backfill_api
2025-11-25,1067.2,1106.7,1067.2,1099.9,30856.0,backfill_api
2025-11-26,1078.0,1180.0,1078.0,1108.0,34642.0,backfill_api
2025-11-27,1085.9,1152.0,1085.9,1120.0,42444.0,backfill_api
2025-11-30,1097.6,1127.0,1097.0,1108.8,36697.0,backfill_api
2025-12-01,1086.7,1160.0,1086.7,1155.1,68080.0,backfill_api
2025-12-02,1132.0,1184.0,1132.0,1179.0,48051.0,backfill_api
2025-12-03,1160.0,1220.0,1160.0,1220.0,78038.0,backfill_api
2025-12-07,1197.0,1237.9,1188.0,1194.0,101416.0,backfill_api
2025-12-08,1090.0,1100.0,1021.7,1055.0,32235.0,backfill_api
2025-12-09,1033.9,1075.0,1014.0,1050.0,21708.0,backfill_api
2025-12-10,1029.0,1070.0,1029.0,1046.0,13129.0,backfill_api
2025-12-11,1025.1,1100.0,1025.1,1079.9,40586.0,backfill_api
2025-12-14,1058.4,1120.0,1058.4,1111.0,26583.0,backfill_api
