date,open,high,low,close,volume,source
2025-02-27,475.0,488.0,466.0,486.0,118167.0,backfill_api
2025-03-02,490.0,499.8,486.0,491.0,105833.0,backfill_api
2025-03-03,481.2,499.0,480.6,484.0,93442.0,backfill_api
2025-03-04,488.0,515.0,481.0,511.1,350900.0,backfill_api
2025-03-05,512.0,529.0,510.0,524.9,316456.0,backfill_api
2025-03-06,530.0,535.0,517.4,533.0,214566.0,backfill_api
2025-03-09,530.0,544.0,527.0,544.0,318008.0,backfill_api
2025-03-10,544.0,550.0,534.0,540.0,233563.0,backfill_api
2025-03-11,538.1,550.0,518.8,530.0,261679.0,backfill_api
2025-03-12,540.6,540.6,520.0,527.0,319765.0,backfill_api
2025-03-16,530.0,535.9,517.7,520.0,217169.0,backfill_api
2025-03-17,519.2,523.9,513.0,513.3,85271.0,backfill_api
2025-03-18,519.0,522.9,513.0,514.2,44326.0,backfill_api
2025-03-19,504.0,520.0,504.0,507.9,44484.0,backfill_api
2025-03-20,497.8,510.0,497.8,500.56,95857.0,backfill_api
2025-03-23,490.6,512.0,490.6,503.46,129509.0,backfill_api
2025-03-24,498.3,510.0,498.3,506.93,89760.0,backfill_api
2025-03-25,501.0,507.5,493.0,494.25,102794.0,backfill_api
2025-03-26,496.0,509.9,488.0,506.93,72931.0,backfill_api
2025-03-27,500.4,517.0,500.4,514.49,110266.0,backfill_api
2025-03-30,511.0,527.5,510.0,517.5,141806.0,backfill_api
2025-04-01,516.0,520.0,504.9,507.78,105487.0,backfill_api
2025-04-02,505.2,520.0,505.2,511.28,74411.0,backfill_api
2025-04-03,516.9,525.0,510.2,512.66,116887.0,backfill_api
2025-04-07,512.6,517.0,504.0,505.45,65513.0,backfill_api
2025-04-08,506.0,511.4,495.1,509.39,65002.0,backfill_api
2025-04-09,516.0,517.5,506.4,510.21,70138.0,backfill_api
2025-04-10,505.0,532.0,505.0,522.63,253511.0,backfill_api
2025-04-13,512.2,539.0,512.2,534.96,189820.0,backfill_api
2025-04-15,530.0,561.0,530.0,556.91,295111.0,backfill_api
2025-04-16,555.0,570.0,555.0,562.58,272845.0,backfill_api
2025-04-17,573.8,573.8,550.6,556.9,204061.0,backfill_api
2025-04-20,556.0,561.0,547.2,556.74,259021.0,backfill_api
2025-04-21,545.7,574.0,545.7,560.37,229878.0,backfill_api
2025-04-22,549.2,570.0,549.2,561.68,147206.0,backfill_api
2025-04-23,561.0,564.9,550.0,554.87,88906.0,backfill_api
2025-04-24,548.1,577.3,548.1,575.95,329367.0,backfill_api
2025-04-27,587.4,587.4,570.0,577.81,167774.0,backfill_api
2025-04-28,566.4,589.0,551.0,562.4,168084.0,backfill_api
2025-04-29,551.3,573.5,551.3,562.37,194394.0,backfill_api
2025-04-30,556.0,579.9,556.0,575.87,239054.0,backfill_api
2025-05-04,578.0,584.0,564.5,565.25,90391.0,backfill_api
2025-05-05,557.0,571.0,550.0,551.81,442880.0,backfill_api
2025-05-06,541.0,554.8,530.0,546.45,254808.0,backfill_api
2025-05-07,536.0,553.0,536.0,541.66,85140.0,backfill_api
2025-05-08,550.0,553.1,532.0,540.93,150080.0,backfill_api
2025-05-11,531.0,548.9,531.0,542.63,175249.0,backfill_api
2025-05-13,532.0,553.9,530.0,530.74,54334.0,backfill_api
2025-05-14,540.0,540.0,520.2,525.2,103433.0,backfill_api
2025-05-15,523.0,560.0,520.0,539.89,101666.0,backfill_api
2025-05-18,529.2,550.0,529.2,532.96,112491.0,backfill_api
2025-05-19,542.0,548.9,532.0,538.36,109982.0,backfill_api
2025-05-20,528.0,549.0,528.0,539.77,120516.0,backfill_api
2025-05-21,550.0,570.0,528.4,530.49,304069.0,backfill_api
2025-05-22,538.0,539.0,514.1,516.13,174507.0,backfill_api
2025-05-25,525.0,525.0,507.0,512.44,87986.0,backfill_api
