date,open,high,low,close,volume,source
2025-02-27,355.0,362.0,350.1,360.0,14434.0,backfill_api
2025-03-02,355.1,366.0,355.1,366.0,23607.0,backfill_api
2025-03-03,370.0,376.0,367.0,369.1,28106.0,backfill_api
2025-03-04,372.0,376.0,362.1,365.9,10087.0,backfill_api
2025-03-05,360.0,367.0,358.7,365.0,9073.0,backfill_api
2025-03-06,358.1,367.2,358.1,358.6,9835.0,backfill_api
2025-03-09,365.7,373.0,351.0,351.0,11360.0,backfill_api
2025-03-10,352.0,355.0,345.0,353.9,5286.0,backfill_api
2025-03-11,350.0,353.0,340.0,343.0,8072.0,backfill_api
2025-03-12,340.0,348.9,340.0,343.5,6320.0,backfill_api
2025-03-16,340.0,343.0,337.0,340.0,7805.0,backfill_api
2025-03-17,333.2,340.0,333.2,339.0,4311.0,backfill_api
2025-03-18,333.4,345.0,333.4,344.9,5412.0,backfill_api
2025-03-19,340.0,344.0,335.3,335.9,5794.0,backfill_api
2025-03-20,335.0,340.0,334.0,335.11,1876.0,backfill_api
2025-03-23,331.0,336.0,324.4,326.29,9103.0,backfill_api
2025-03-24,325.0,340.0,313.1,339.37,8729.0,backfill_api
2025-03-25,340.0,344.0,320.6,329.72,7508.0,backfill_api
2025-03-26,323.3,335.0,323.3,331.64,2802.0,backfill_api
2025-03-27,326.0,335.0,326.0,331.62,4508.0,backfill_api
2025-03-30,331.0,340.0,330.5,339.08,6685.0,backfill_api
2025-04-01,340.0,340.0,333.2,335.27,4700.0,backfill_api
2025-04-02,333.5,335.0,312.7,319.0,56038.0,backfill_api
2025-04-03,313.0,315.0,287.1,305.36,175313.0,backfill_api
2025-04-07,301.0,307.0,295.1,298.6,67574.0,backfill_api
2025-04-08,296.0,301.9,285.2,293.4,40089.0,backfill_api
2025-04-09,295.0,298.0,288.0,289.34,54443.0,backfill_api
2025-04-10,288.0,292.9,281.5,283.49,73647.0,backfill_api
2025-04-13,277.9,277.9,255.2,255.2,344914.0,backfill_api
2025-04-15,250.1,260.2,229.7,230.46,8678225.0,backfill_api
2025-04-16,225.9,253.5,211.7,253.5,1816089.0,backfill_api
2025-04-17,258.5,266.1,244.0,245.32,990972.0,backfill_api
2025-04-20,240.5,240.5,220.8,227.49,2483763.0,backfill_api
2025-04-21,228.0,232.0,224.1,224.64,1205420.0,backfill_api
2025-04-22,225.0,227.0,222.0,222.17,691652.0,backfill_api
2025-04-23,222.0,224.9,214.7,216.15,1004689.0,backfill_api
2025-04-24,215.0,220.9,213.6,217.51,642792.0,backfill_api
2025-04-27,220.8,227.0,219.0,220.29,728854.0,backfill_api
2025-04-28,220.0,227.0,220.0,223.04,588236.0,backfill_api
2025-04-29,227.0,227.0,217.3,217.76,482378.0,backfill_api
2025-04-30,218.0,223.0,216.5,221.02,479296.0,backfill_api
2025-05-04,225.0,225.3,220.0,220.51,394641.0,backfill_api
2025-05-05,223.0,224.0,218.0,218.46,327861.0,backfill_api
2025-05-06,220.0,221.0,217.9,218.85,337105.0,backfill_api
2025-05-07,219.9,227.9,219.0,224.52,601632.0,backfill_api
2025-05-08,229.0,229.9,223.0,226.85,623183.0,backfill_api
2025-05-11,229.0,230.0,221.0,221.58,391155.0,backfill_api
2025-05-13,220.0,226.0,219.0,219.49,308252.0,backfill_api
2025-05-14,215.2,222.0,215.2,218.2,349529.0,backfill_api
2025-05-15,220.0,220.0,216.3,217.07,250905.0,backfill_api
2025-05-18,221.4,221.4,215.2,215.54,206505.0,backfill_api
2025-05-19,215.0,218.8,214.0,215.3,273979.0,backfill_api
2025-05-20,215.0,222.3,215.0,221.27,234258.0,backfill_api
2025-05-21,225.6,230.1,218.0,218.57,253165.0,backfill_api
2025-05-22,220.0,221.2,217.1,217.82,203827.0,backfill_api
2025-05-25,217.9,220.0,215.0,216.65,237541.0,backfill_api
2025-05-26,220.9,225.0,216.0,216.74,141844.0,backfill_api
2025-05-27,212.5,219.6,212.5,215.6,146409.0,backfill_api
2025-05-28,218.0,218.0,213.0,214.52,484935.0,backfill_api
2025-06-02,218.8,218.8,213.6,214.6,273991.0,backfill_api
2025-06-03,215.0,216.5,211.9,212.88,208007.0,backfill_api
2025-06-04,214.0,214.0,210.0,211.25,170281.0,backfill_api
2025-06-05,210.5,213.7,209.0,209.51,251658.0,backfill_api
2025-06-08,211.0,212.5,209.6,210.62,235382.0,backfill_api
2025-06-09,213.0,213.3,210.0,211.48,239330.0,backfill_api
2025-06-10,213.4,214.6,212.0,213.34,233063.0,backfill_api
2025-06-11,214.0,215.0,211.2,212.7,181039.0,backfill_api
2025-06-12,214.0,218.9,213.0,214.31,337002.0,backfill_api
2025-06-15,214.0,218.0,212.7,213.04,244959.0,backfill_api
2025-06-16,215.0,215.0,211.5,212.0,237108.0,backfill_api
2025-06-17,215.0,215.0,211.1,211.66,133195.0,backfill_api
2025-06-18,212.0,215.5,210.1,212.41,196163.0,backfill_api
2025-06-19,213.9,214.8,211.0,211.44,272986.0,backfill_api
2025-06-22,214.8,214.8,209.1,209.5,251321.0,backfill_api
2025-06-23,210.1,211.0,208.0,208.39,145123.0,backfill_api
2025-06-24,210.5,210.9,207.5,207.96,194579.0,backfill_api
2025-06-25,206.0,209.5,206.0,207.02,143366.0,backfill_api
2025-06-26,208.0,210.0,206.6,207.55,179182.0,backfill_api
2025-06-29,209.0,210.0,205.5,206.28,185443.0,backfill_api
