date,open,high,low,close,volume,source
2025-02-27,1068.5,1093.0,1040.1,1093.0,8684.0,backfill_api
2025-03-02,1071.2,1084.0,1035.0,1063.0,4175.0,backfill_api
2025-03-03,1046.0,1046.0,991.0,991.0,17642.0,backfill_api
2025-03-04,1010.8,1050.9,987.9,1010.1,11005.0,backfill_api
2025-03-05,995.0,1045.0,995.0,1030.0,2832.0,backfill_api
2025-03-06,1009.4,1045.0,1009.4,1030.0,7404.0,backfill_api
2025-03-09,1016.0,1048.0,1016.0,1027.0,6726.0,backfill_api
2025-03-10,1020.0,1055.0,1020.0,1036.5,17460.0,backfill_api
2025-03-11,1025.0,1060.0,1025.0,1053.8,11224.0,backfill_api
2025-03-12,1032.8,1075.0,1032.8,1075.0,34340.0,backfill_api
2025-03-16,1075.0,1075.0,1048.0,1067.1,23843.0,backfill_api
2025-03-17,1051.0,1077.0,1041.1,1065.9,8975.0,backfill_api
2025-03-18,1044.6,1062.0,1041.0,1062.0,8500.0,backfill_api
2025-03-19,1040.8,1080.0,1034.0,1059.0,23310.0,backfill_api
2025-03-20,1037.9,1070.0,1028.0,1032.4,2687.0,backfill_api
2025-03-23,1011.8,1053.0,1003.0,1052.1,6092.0,backfill_api
2025-03-24,1031.1,1040.0,994.0,1025.29,1819.0,backfill_api
2025-03-25,1015.0,1045.0,1006.1,1024.42,8531.0,backfill_api
2025-03-26,1004.0,1044.8,1004.0,1031.08,8970.0,backfill_api
2025-03-27,1010.5,1049.0,1010.3,1027.66,2204.0,backfill_api
2025-03-30,1010.0,1044.9,1010.0,1033.27,2335.0,backfill_api
2025-04-01,1012.7,1047.0,1012.7,1030.87,1333.0,backfill_api
2025-04-02,1015.0,1048.0,1015.0,1040.26,7345.0,backfill_api
2025-04-03,1019.5,1054.0,1019.5,1035.43,10819.0,backfill_api
2025-04-07,1014.8,1137.0,1014.8,1112.72,7003.0,backfill_api
2025-04-08,1090.5,1090.5,1010.0,1047.66,1361.0,backfill_api
2025-04-09,1027.0,1067.0,1006.5,1025.0,19155.0,backfill_api
2025-04-10,1035.0,1044.5,1026.0,1039.6,21981.0,backfill_api
2025-04-13,1018.9,1059.0,1010.0,1041.6,2151.0,backfill_api
2025-04-15,1020.8,1040.9,1020.8,1033.5,375.0,backfill_api
2025-04-16,1012.9,1039.9,1012.9,1038.72,8048.0,backfill_api
2025-04-17,1018.0,1048.0,1018.0,1037.14,11017.0,backfill_api
2025-04-20,1016.4,1111.0,1016.4,1047.88,10961.0,backfill_api
2025-04-21,1027.0,1086.0,1008.0,1059.17,17727.0,backfill_api
2025-04-22,1038.0,1100.0,1017.3,1054.09,1568.0,backfill_api
2025-04-23,1033.1,1047.9,1025.1,1046.95,6627.0,backfill_api
2025-04-24,1026.1,1067.0,1026.1,1061.68,16158.0,backfill_api
2025-04-27,1040.5,1062.0,1030.0,1034.46,2920.0,backfill_api
2025-04-28,1013.8,1094.0,1000.7,1085.89,5559.0,backfill_api
2025-04-29,1064.2,1079.9,1007.0,1075.14,7156.0,backfill_api
2025-04-30,1053.7,1070.0,993.0,1052.11,3719.0,backfill_api
2025-05-04,1031.1,1031.1,975.1,990.09,13291.0,backfill_api
2025-05-05,971.0,1009.8,971.0,980.91,1600.0,backfill_api
2025-05-06,989.9,1077.0,975.2,1019.68,4925.0,backfill_api
2025-05-07,999.3,1100.0,979.4,1030.0,5932.0,backfill_api
2025-05-08,1009.4,1092.0,1009.4,1030.01,8048.0,backfill_api
2025-05-11,1009.5,1069.9,985.1,1031.33,3782.0,backfill_api
2025-05-13,1010.8,1130.8,990.1,1059.75,9560.0,backfill_api
2025-05-14,1038.6,1038.6,958.5,961.66,16118.0,backfill_api
2025-05-15,971.1,1049.0,925.0,1047.68,12332.0,backfill_api
2025-05-18,1026.8,1149.6,954.0,1124.34,18507.0,backfill_api
2025-05-19,1101.9,1215.0,1011.9,1189.46,56310.0,backfill_api
2025-05-20,1165.7,1308.4,1070.6,1192.58,48305.0,backfill_api
2025-05-21,1168.8,1285.0,1073.4,1135.04,35456.0,backfill_api
2025-05-22,1112.4,1112.4,1021.6,1021.6,18379.0,backfill_api
2025-05-25,1001.2,1060.0,919.5,952.57,42409.0,backfill_api
2025-05-26,940.0,950.0,857.4,858.75,62768.0,backfill_api
2025-05-27,845.0,905.0,804.0,862.61,11828.0,backfill_api
2025-05-28,879.0,879.0,795.9,817.27,23407.0,backfill_api
2025-06-02,820.0,833.6,795.0,801.08,15672.0,backfill_api
2025-06-03,814.0,814.0,761.1,769.09,15570.0,backfill_api
2025-06-04,770.0,825.3,758.1,781.92,11903.0,backfill_api
2025-06-05,783.0,825.0,783.0,804.78,12070.0,backfill_api
2025-06-08,820.8,836.4,780.0,782.87,6827.0,backfill_api
2025-06-09,768.0,813.9,767.3,790.06,6278.0,backfill_api
2025-06-10,800.0,809.0,784.8,785.49,8127.0,backfill_api
2025-06-11,782.0,798.0,770.2,774.8,8894.0,backfill_api
2025-06-12,780.0,788.0,777.7,778.64,5605.0,backfill_api
2025-06-15,794.0,794.0,770.0,784.65,6433.0,backfill_api
2025-06-16,785.0,795.0,775.0,778.12,6562.0,backfill_api
2025-06-17,772.0,787.0,765.0,769.3,6648.0,backfill_api
2025-06-18,761.1,781.1,758.0,759.54,3973.0,backfill_api
2025-06-19,746.5,780.0,746.0,772.23,8597.0,backfill_api
2025-06-22,772.0,772.0,746.2,748.94,7778.0,backfill_api
2025-06-23,754.0,755.0,744.0,749.98,6543.0,backfill_api
2025-06-24,746.3,764.9,746.3,751.49,4659.0,backfill_api
2025-06-25,755.0,755.0,745.0,747.1,2170.0,backfill_api
2025-06-26,755.0,759.0,739.0,739.97,6568.0,backfill_api
2025-06-29,740.0,740.0,707.1,718.94,6325.0,backfill_api
2025-06-30,723.0,737.2,715.0,721.51,4392.0,backfill_api
2025-07-01,732.9,733.0,717.0,725.71,5266.0,backfill_api
2025-07-02,736.0,748.4,732.0,736.51,4645.0,backfill_api
2025-07-03,740.0,755.0,732.0,743.33,6448.0,backfill_api
2025-07-06,757.0,757.0,744.0,744.75,5798.0,backfill_api
2025-07-07,745.0,754.8,736.0,740.31,5421.0,backfill_api
2025-07-08,732.0,744.0,726.4,733.42,3477.0,backfill_api
2025-07-09,733.2,776.0,733.2,759.87,8221.0,backfill_api
2025-07-10,765.0,773.0,755.1,760.41,3264.0,backfill_api
2025-07-13,775.5,791.0,763.0,763.62,6406.0,backfill_api
2025-07-14,764.0,770.0,750.5,757.68,5507.0,backfill_api
2025-07-15,764.0,768.0,741.9,756.21,6372.0,backfill_api
2025-07-16,760.0,777.0,760.0,769.69,6608.0,backfill_api
2025-07-17,785.0,846.6,785.0,838.98,19008.0,backfill_api
