date,open,high,low,close,volume,source
2025-02-27,542.0,557.2,535.0,548.1,28410.0,backfill_api
2025-03-02,559.0,562.0,552.0,558.0,31579.0,backfill_api
2025-03-03,568.0,569.1,546.7,549.0,24730.0,backfill_api
2025-03-04,551.0,553.6,536.0,536.0,27499.0,backfill_api
2025-03-05,536.0,540.0,528.0,529.0,18043.0,backfill_api
2025-03-06,539.5,545.7,522.1,540.0,22472.0,backfill_api
2025-03-09,531.0,580.0,531.0,553.5,48314.0,backfill_api
2025-03-10,555.0,564.0,541.0,541.7,21488.0,backfill_api
2025-03-11,536.0,548.0,530.0,531.0,16644.0,backfill_api
2025-03-12,530.0,536.3,525.1,536.3,15377.0,backfill_api
2025-03-16,529.0,533.0,527.3,527.5,7751.0,backfill_api
2025-03-17,523.2,534.9,523.2,526.0,10825.0,backfill_api
2025-03-18,516.1,536.5,516.1,528.5,9993.0,backfill_api
2025-03-19,528.0,534.0,522.0,524.1,12152.0,backfill_api
2025-03-20,534.0,534.0,513.0,514.95,12350.0,backfill_api
2025-03-23,515.0,516.5,495.0,496.8,14530.0,backfill_api
2025-03-24,487.5,505.0,480.2,497.88,10592.0,backfill_api
2025-03-25,490.4,499.0,481.1,482.14,14859.0,backfill_api
2025-03-26,483.0,518.0,480.0,503.11,7122.0,backfill_api
2025-03-27,503.5,505.0,493.1,501.78,15018.0,backfill_api
2025-03-30,502.0,522.0,502.0,516.74,21447.0,backfill_api
2025-04-01,516.0,517.0,509.1,512.21,9724.0,backfill_api
2025-04-02,504.3,517.1,504.3,510.33,9127.0,backfill_api
2025-04-03,503.1,518.5,500.5,501.54,16853.0,backfill_api
2025-04-07,492.0,510.0,490.0,500.37,7931.0,backfill_api
2025-04-08,495.5,503.0,493.8,496.38,4296.0,backfill_api
2025-04-09,506.3,506.3,496.7,498.38,6391.0,backfill_api
2025-04-10,493.1,502.0,493.1,500.05,11870.0,backfill_api
2025-04-13,491.0,504.8,491.0,497.63,3630.0,backfill_api
2025-04-15,497.63,515.0,495.0,506.31,7374.0,backfill_api
2025-04-16,512.0,513.0,499.1,502.44,11266.0,backfill_api
2025-04-17,510.0,522.0,498.6,508.96,23883.0,backfill_api
2025-04-20,518.0,518.0,508.3,513.98,13477.0,backfill_api
2025-04-21,514.9,523.0,513.0,517.7,19407.0,backfill_api
2025-04-22,507.4,538.9,507.4,531.81,34747.0,backfill_api
2025-04-23,521.5,535.5,520.0,531.25,33495.0,backfill_api
2025-04-24,541.5,541.5,521.6,525.14,20685.0,backfill_api
2025-04-27,533.0,533.0,517.0,518.86,12595.0,backfill_api
2025-04-28,511.0,528.0,511.0,512.95,4229.0,backfill_api
2025-04-29,517.0,517.0,504.0,506.3,8731.0,backfill_api
2025-04-30,515.0,515.0,500.2,502.81,5210.0,backfill_api
2025-05-04,496.3,511.9,496.3,504.79,7710.0,backfill_api
2025-05-05,495.0,510.0,495.0,501.94,7647.0,backfill_api
2025-05-06,511.9,515.0,502.0,507.65,10963.0,backfill_api
2025-05-07,498.6,525.0,498.6,520.21,14059.0,backfill_api
2025-05-08,519.0,525.0,511.0,513.74,9888.0,backfill_api
2025-05-11,523.9,523.9,503.5,504.12,11721.0,backfill_api
2025-05-13,500.0,513.9,500.0,503.5,5572.0,backfill_api
2025-05-14,496.5,513.5,496.5,497.1,6831.0,backfill_api
2025-05-15,496.0,507.0,487.0,493.45,9628.0,backfill_api
2025-05-18,502.9,513.0,480.0,494.55,5646.0,backfill_api
2025-05-19,504.4,514.4,495.0,498.0,2830.0,backfill_api
2025-05-20,504.0,506.9,490.0,503.41,8456.0,backfill_api
2025-05-21,513.4,523.2,503.0,512.62,15913.0,backfill_api
2025-05-22,515.5,522.0,500.0,510.44,14913.0,backfill_api
2025-05-25,514.0,525.0,500.0,509.96,8849.0,backfill_api
2025-05-26,509.96,524.0,504.0,517.69,17498.0,backfill_api
2025-05-27,522.0,538.5,507.8,530.45,37088.0,backfill_api
2025-05-28,539.9,540.0,524.0,534.73,23075.0,backfill_api
