date,open,high,low,close,volume,source
2025-02-27,667.0,676.9,651.0,659.5,90871.0,backfill_api
2025-03-02,672.0,672.0,656.1,663.1,92568.0,backfill_api
2025-03-03,674.9,674.9,646.0,649.9,74158.0,backfill_api
2025-03-04,647.0,653.0,631.0,634.0,45093.0,backfill_api
2025-03-05,643.0,643.0,619.0,622.1,51985.0,backfill_api
2025-03-06,631.5,631.5,615.1,619.8,30662.0,backfill_api
2025-03-09,619.8,649.0,609.0,611.0,37747.0,backfill_api
2025-03-10,615.0,627.0,607.0,607.1,27671.0,backfill_api
2025-03-11,609.5,623.0,596.0,596.5,37074.0,backfill_api
2025-03-12,596.5,613.6,596.5,598.0,28008.0,backfill_api
2025-03-16,609.9,609.9,568.4,570.0,59232.0,backfill_api
2025-03-17,558.6,592.2,558.6,578.0,24262.0,backfill_api
2025-03-18,566.5,589.5,566.5,578.3,17788.0,backfill_api
2025-03-19,567.0,582.8,554.0,554.0,30328.0,backfill_api
2025-03-20,543.0,563.0,543.0,552.88,26010.0,backfill_api
2025-03-23,550.0,557.0,535.0,535.78,31721.0,backfill_api
2025-03-24,526.0,573.1,526.0,560.66,34578.0,backfill_api
2025-03-25,562.0,562.0,535.4,538.08,26831.0,backfill_api
2025-03-26,544.0,550.0,540.2,544.19,16663.0,backfill_api
2025-03-27,541.0,559.5,541.0,552.11,20501.0,backfill_api
2025-03-30,542.0,577.9,542.0,567.43,29739.0,backfill_api
2025-04-01,567.4,590.0,551.0,557.82,26465.0,backfill_api
2025-04-02,563.0,613.6,554.0,613.6,112995.0,backfill_api
2025-04-03,625.8,651.0,610.0,613.21,105164.0,backfill_api
2025-04-07,613.0,615.0,586.0,590.1,54936.0,backfill_api
2025-04-08,588.0,623.0,578.3,600.2,33922.0,backfill_api
2025-04-09,612.0,624.0,598.0,600.51,18928.0,backfill_api
2025-04-10,604.0,611.9,595.9,609.16,30144.0,backfill_api
2025-04-13,621.3,621.3,600.1,606.88,29484.0,backfill_api
2025-04-15,619.0,623.0,595.0,610.31,74517.0,backfill_api
2025-04-16,603.0,616.0,600.0,602.31,26764.0,backfill_api
2025-04-17,605.0,615.0,600.0,602.17,62318.0,backfill_api
2025-04-20,600.0,600.0,583.1,584.84,50322.0,backfill_api
2025-04-21,592.0,592.0,571.0,572.97,36194.0,backfill_api
2025-04-22,584.4,584.4,565.5,572.45,17974.0,backfill_api
2025-04-23,576.0,578.0,568.0,572.02,15953.0,backfill_api
2025-04-24,565.0,579.0,560.1,565.81,28925.0,backfill_api
2025-04-27,573.0,574.0,551.0,551.76,29574.0,backfill_api
2025-04-28,555.0,585.0,555.0,561.68,39043.0,backfill_api
2025-04-29,550.5,584.1,550.5,556.75,19819.0,backfill_api
2025-04-30,550.0,560.7,546.1,550.46,33961.0,backfill_api
2025-05-04,558.0,561.0,540.0,540.24,20353.0,backfill_api
2025-05-05,534.0,562.0,529.5,542.64,49339.0,backfill_api
2025-05-06,545.0,553.4,530.1,532.19,23960.0,backfill_api
2025-05-07,522.0,563.0,522.0,550.65,42506.0,backfill_api
2025-05-08,556.0,579.3,548.8,563.18,40702.0,backfill_api
2025-05-11,571.0,574.4,544.0,547.36,16414.0,backfill_api
2025-05-13,547.5,555.0,535.0,536.09,28633.0,backfill_api
2025-05-14,531.0,545.7,530.0,532.93,30589.0,backfill_api
2025-05-15,533.1,543.0,522.5,525.27,22348.0,backfill_api
2025-05-18,525.0,535.0,518.0,520.23,21590.0,backfill_api
2025-05-19,530.6,541.2,520.0,525.45,11480.0,backfill_api
2025-05-20,520.0,540.0,520.0,538.78,23444.0,backfill_api
2025-05-21,540.0,561.0,530.0,532.62,21831.0,backfill_api
2025-05-22,540.5,543.2,529.0,532.27,19481.0,backfill_api
2025-05-25,535.1,536.0,526.0,526.1,8905.0,backfill_api
2025-05-26,536.6,540.0,526.0,526.69,11418.0,backfill_api
2025-05-27,525.0,530.0,520.0,523.06,13693.0,backfill_api
2025-05-28,530.0,530.0,520.0,524.48,6355.0,backfill_api
2025-06-02,532.0,536.0,527.0,529.18,11446.0,backfill_api
2025-06-03,535.0,535.0,521.0,521.95,17385.0,backfill_api
2025-06-04,520.0,528.0,514.1,514.93,11105.0,backfill_api
2025-06-05,515.9,524.9,509.0,510.03,16758.0,backfill_api
2025-06-08,520.2,520.2,500.0,501.61,14476.0,backfill_api
2025-06-09,510.0,511.0,501.1,508.92,11674.0,backfill_api
2025-06-10,510.0,545.9,510.0,532.98,41597.0,backfill_api
2025-06-11,539.0,543.6,514.5,529.21,14517.0,backfill_api
2025-06-12,531.9,538.0,520.0,531.62,29490.0,backfill_api
2025-06-15,532.0,535.0,525.1,526.78,17093.0,backfill_api
2025-06-16,537.0,537.0,516.0,516.77,14833.0,backfill_api
2025-06-17,526.0,527.0,507.1,511.07,13881.0,backfill_api
2025-06-18,513.0,530.0,511.0,514.0,14433.0,backfill_api
2025-06-19,514.0,524.0,510.0,511.15,22516.0,backfill_api
2025-06-22,514.0,514.0,508.0,508.07,12651.0,backfill_api
2025-06-23,515.6,516.0,506.1,507.63,14801.0,backfill_api
2025-06-24,514.0,517.0,500.0,502.47,11872.0,backfill_api
2025-06-25,502.47,509.0,502.1,504.85,6466.0,backfill_api
2025-06-26,506.0,509.0,495.0,498.18,19084.0,backfill_api
2025-06-29,505.0,505.0,495.0,498.48,8270.0,backfill_api
2025-06-30,505.0,506.0,495.0,495.49,13762.0,backfill_api
2025-07-01,500.0,501.0,493.1,496.38,14947.0,backfill_api
2025-07-02,503.0,518.2,503.0,510.36,15602.0,backfill_api
2025-07-03,520.0,538.0,511.0,534.51,39566.0,backfill_api
2025-07-06,533.0,565.0,530.0,543.3,68697.0,backfill_api
2025-07-07,544.0,545.0,518.1,519.22,38004.0,backfill_api
2025-07-08,515.1,547.9,515.1,534.45,33723.0,backfill_api
2025-07-09,523.8,544.8,523.8,533.38,9872.0,backfill_api
2025-07-10,542.6,542.7,524.4,525.45,16515.0,backfill_api
2025-07-13,535.9,548.9,535.9,545.59,40046.0,backfill_api
2025-07-14,546.0,565.0,536.0,545.36,43246.0,backfill_api
2025-07-15,555.0,562.9,541.0,547.74,31565.0,backfill_api
2025-07-16,558.4,570.0,548.1,549.96,36563.0,backfill_api
2025-07-17,545.0,570.9,545.0,563.74,49778.0,backfill_api
2025-07-20,566.0,570.0,548.2,551.05,42396.0,backfill_api
2025-07-21,562.0,562.0,542.2,554.49,36931.0,backfill_api
2025-07-22,557.0,565.0,550.1,562.24,48877.0,backfill_api
