date,open,high,low,close,volume,source
2025-02-27,910.0,935.0,896.0,931.0,75535.0,backfill_api
2025-03-02,949.6,967.8,940.0,967.8,66953.0,backfill_api
2025-03-03,975.0,981.5,941.0,941.0,49542.0,backfill_api
2025-03-04,955.0,955.0,921.0,924.0,53291.0,backfill_api
2025-03-05,924.0,932.0,911.1,917.0,37899.0,backfill_api
2025-03-06,935.3,935.3,910.0,915.0,39755.0,backfill_api
2025-03-09,911.0,924.0,894.1,897.0,41351.0,backfill_api
2025-03-10,900.0,910.0,890.1,898.0,24762.0,backfill_api
2025-03-11,889.0,903.0,885.0,885.0,26776.0,backfill_api
2025-03-12,885.1,900.0,885.0,897.0,19047.0,backfill_api
2025-03-16,912.0,914.9,890.0,892.5,19318.0,backfill_api
2025-03-17,899.0,900.0,887.0,888.4,16286.0,backfill_api
2025-03-18,904.0,904.0,887.0,890.0,14530.0,backfill_api
2025-03-19,890.0,899.8,885.3,886.0,16501.0,backfill_api
2025-03-20,880.5,895.0,880.5,886.71,16164.0,backfill_api
2025-03-23,882.1,887.0,870.0,871.3,25260.0,backfill_api
2025-03-24,879.0,880.0,856.0,877.42,25794.0,backfill_api
2025-03-25,877.0,877.0,855.1,858.93,18716.0,backfill_api
2025-03-26,857.1,869.6,855.0,864.24,16901.0,backfill_api
2025-03-27,874.0,874.0,860.0,867.47,28112.0,backfill_api
2025-03-30,868.0,885.0,860.1,879.92,28897.0,backfill_api
2025-04-01,879.0,880.0,860.0,861.96,24998.0,backfill_api
2025-04-02,865.0,874.9,860.1,867.17,22780.0,backfill_api
2025-04-03,870.0,880.0,860.0,869.25,28718.0,backfill_api
2025-04-07,869.0,885.0,858.3,859.27,28242.0,backfill_api
2025-04-08,855.3,868.5,850.0,856.61,35339.0,backfill_api
2025-04-09,860.1,870.0,850.0,854.55,16723.0,backfill_api
2025-04-10,856.0,864.9,850.0,852.2,25325.0,backfill_api
2025-04-13,850.2,855.6,850.0,853.01,18258.0,backfill_api
2025-04-15,860.0,877.2,855.0,868.9,10356.0,backfill_api
2025-04-16,870.0,873.0,866.0,869.79,8504.0,backfill_api
2025-04-17,875.0,880.0,865.1,874.02,17961.0,backfill_api
2025-04-20,870.0,880.0,870.0,873.17,15234.0,backfill_api
2025-04-21,870.0,877.9,870.0,872.62,12815.0,backfill_api
2025-04-22,865.0,882.0,865.0,873.24,8965.0,backfill_api
2025-04-23,873.0,873.0,867.0,868.86,6912.0,backfill_api
2025-04-24,867.0,872.0,861.5,862.33,17484.0,backfill_api
