date,open,high,low,close,volume,source
2025-02-27,528.4,540.0,515.0,540.0,73973.0,backfill_api
2025-03-02,540.0,551.0,536.0,550.7,125379.0,backfill_api
2025-03-03,556.2,558.3,537.0,539.0,91865.0,backfill_api
2025-03-04,540.0,541.0,530.0,533.0,57440.0,backfill_api
2025-03-05,533.0,533.0,521.0,522.8,47580.0,backfill_api
2025-03-06,525.5,529.7,518.0,529.6,43314.0,backfill_api
2025-03-09,530.0,533.4,520.0,525.0,68805.0,backfill_api
2025-03-10,532.0,534.0,515.1,516.3,23864.0,backfill_api
2025-03-11,517.0,525.6,512.0,513.0,43104.0,backfill_api
2025-03-12,507.1,515.5,507.1,510.0,29039.0,backfill_api
2025-03-16,511.0,512.0,504.0,505.1,29650.0,backfill_api
2025-03-17,506.0,510.0,500.0,503.9,25453.0,backfill_api
2025-03-18,504.2,507.0,495.0,502.3,53148.0,backfill_api
2025-03-19,501.0,503.7,495.0,498.8,28874.0,backfill_api
2025-03-20,499.0,499.0,490.1,491.23,31034.0,backfill_api
2025-03-23,496.0,496.0,482.0,483.35,43867.0,backfill_api
2025-03-24,485.3,496.3,478.6,489.75,46495.0,backfill_api
2025-03-25,485.0,485.0,476.0,476.91,53572.0,backfill_api
2025-03-26,482.0,483.0,476.5,478.53,33332.0,backfill_api
2025-03-27,478.0,498.0,477.3,488.59,45311.0,backfill_api
2025-03-30,485.0,498.3,480.0,490.31,68326.0,backfill_api
2025-04-01,490.0,491.0,481.0,483.04,39625.0,backfill_api
2025-04-02,480.3,487.0,480.0,481.34,31846.0,backfill_api
2025-04-03,481.5,486.6,480.2,481.48,27770.0,backfill_api
2025-04-07,481.0,483.0,476.9,477.23,108920.0,backfill_api
2025-04-08,478.0,478.1,472.5,473.33,35484.0,backfill_api
2025-04-09,482.0,482.0,473.0,475.25,44671.0,backfill_api
2025-04-10,474.0,479.8,470.0,473.93,50652.0,backfill_api
2025-04-13,480.0,480.0,473.0,475.08,24766.0,backfill_api
2025-04-15,475.0,487.7,471.0,484.11,42529.0,backfill_api
2025-04-16,485.1,485.5,474.5,483.45,72379.0,backfill_api
2025-04-17,483.0,498.0,483.0,489.25,74572.0,backfill_api
2025-04-20,488.0,512.0,487.0,495.02,127350.0,backfill_api
2025-04-21,504.9,504.9,494.0,496.72,71234.0,backfill_api
2025-04-22,499.8,499.8,486.1,487.77,49812.0,backfill_api
2025-04-23,486.0,492.0,474.1,475.11,145368.0,backfill_api
2025-04-24,476.0,480.0,469.7,477.07,54611.0,backfill_api
2025-04-27,480.1,498.6,476.3,489.72,101346.0,backfill_api
2025-04-28,491.0,497.0,481.0,482.39,86774.0,backfill_api
2025-04-29,472.8,497.0,472.8,478.52,65150.0,backfill_api
2025-04-30,485.0,494.0,480.3,486.06,73955.0,backfill_api
2025-05-04,493.0,502.0,486.2,492.91,99801.0,backfill_api
2025-05-05,500.0,500.0,485.0,486.7,54997.0,backfill_api
2025-05-06,494.0,500.0,487.9,493.61,78515.0,backfill_api
2025-05-07,500.0,528.0,495.0,522.04,340772.0,backfill_api
2025-05-08,519.0,522.9,508.0,514.79,122810.0,backfill_api
2025-05-11,515.0,520.0,497.9,498.37,122186.0,backfill_api
2025-05-13,489.0,505.0,489.0,490.31,78239.0,backfill_api
2025-05-14,490.0,495.5,480.6,482.02,57583.0,backfill_api
2025-05-15,473.0,488.0,473.0,482.65,51395.0,backfill_api
2025-05-18,485.0,488.8,477.3,479.23,50384.0,backfill_api
2025-05-19,488.0,491.9,480.0,482.12,28533.0,backfill_api
2025-05-20,489.0,496.0,480.0,494.81,44746.0,backfill_api
2025-05-21,503.0,513.8,487.1,490.0,90756.0,backfill_api
2025-05-22,490.0,494.1,482.0,486.11,29675.0,backfill_api
2025-05-25,489.9,493.0,483.0,488.64,33539.0,backfill_api
2025-05-26,498.4,500.0,486.1,487.26,39153.0,backfill_api
2025-05-27,489.9,492.9,485.0,487.12,24937.0,backfill_api
2025-05-28,483.0,505.0,483.0,495.14,68368.0,backfill_api
2025-06-02,501.5,501.5,488.0,488.51,43138.0,backfill_api
2025-06-03,490.0,496.9,484.8,488.37,57331.0,backfill_api
2025-06-04,485.0,490.0,481.4,483.25,38271.0,backfill_api
2025-06-05,489.9,493.6,479.0,486.77,41081.0,backfill_api
2025-06-08,496.5,529.9,487.0,525.75,506439.0,backfill_api
2025-06-09,530.0,554.3,522.1,551.66,573296.0,backfill_api
2025-06-10,562.0,570.0,550.1,555.85,494798.0,backfill_api
2025-06-11,566.0,585.9,545.2,581.12,839501.0,backfill_api
2025-06-12,582.0,589.0,564.2,567.37,531596.0,backfill_api
2025-06-15,578.0,584.9,568.0,581.76,726667.0,backfill_api
2025-06-16,575.0,599.6,572.0,574.95,714487.0,backfill_api
2025-06-17,570.0,578.0,563.3,574.13,344830.0,backfill_api
2025-06-18,577.0,582.1,571.0,574.9,306230.0,backfill_api
2025-06-19,563.6,585.0,560.0,564.36,384294.0,backfill_api
2025-06-22,570.0,570.0,539.1,540.99,226790.0,backfill_api
2025-06-23,541.0,547.9,532.0,542.91,144302.0,backfill_api
2025-06-24,553.7,555.0,535.0,535.25,197323.0,backfill_api
2025-06-25,536.0,550.0,533.0,545.68,202235.0,backfill_api
2025-06-26,547.0,558.9,541.0,541.78,284064.0,backfill_api
2025-06-29,545.0,551.0,538.5,546.67,185970.0,backfill_api
2025-06-30,542.0,563.0,542.0,544.22,167366.0,backfill_api
2025-07-01,550.0,554.9,546.0,548.94,142578.0,backfill_api
2025-07-02,559.9,559.9,543.1,543.91,165118.0,backfill_api
2025-07-03,554.7,554.7,536.0,536.72,222807.0,backfill_api
2025-07-06,538.1,542.0,532.0,534.56,147550.0,backfill_api
2025-07-07,535.0,535.0,527.1,528.08,101078.0,backfill_api
2025-07-08,538.6,538.6,515.2,528.37,120957.0,backfill_api
2025-07-09,525.0,534.9,525.0,526.85,72841.0,backfill_api
2025-07-10,526.0,532.0,520.5,524.22,113946.0,backfill_api
2025-07-13,534.7,544.0,520.0,521.61,113645.0,backfill_api
2025-07-14,523.0,528.0,519.0,520.0,98968.0,backfill_api
2025-07-15,520.0,529.0,518.2,528.09,122790.0,backfill_api
2025-07-16,530.0,540.0,529.0,533.45,196002.0,backfill_api
2025-07-17,538.0,550.0,538.0,547.62,181607.0,backfill_api
2025-07-20,553.8,557.9,543.2,544.03,228991.0,backfill_api
2025-07-21,544.0,550.0,540.0,546.26,113277.0,backfill_api
2025-07-22,554.0,564.0,546.0,558.08,223193.0,backfill_api
2025-07-23,560.0,565.0,549.0,554.3,137844.0,backfill_api
2025-07-24,560.0,584.0,555.0,572.71,335023.0,backfill_api
2025-07-27,580.0,583.0,557.0,559.11,260859.0,backfill_api
2025-07-28,565.0,565.0,545.2,555.69,141313.0,backfill_api
2025-07-29,565.9,565.9,553.2,554.55,135350.0,backfill_api
2025-07-30,563.9,563.9,544.1,544.93,124042.0,backfill_api
2025-07-31,545.0,548.9,535.0,537.2,121812.0,backfill_api
2025-08-03,537.0,550.0,535.0,538.36,108426.0,backfill_api
2025-08-04,540.0,548.3,533.0,539.83,120171.0,backfill_api
2025-08-05,549.8,549.8,528.3,531.38,75256.0,backfill_api
2025-08-06,532.0,538.0,528.6,529.75,80655.0,backfill_api
2025-08-07,530.0,540.0,528.5,529.59,64889.0,backfill_api
2025-08-11,539.8,539.8,525.2,526.85,49883.0,backfill_api
2025-08-12,530.0,530.0,518.3,520.12,81995.0,backfill_api
2025-08-13,520.0,527.9,518.0,519.77,62525.0,backfill_api
2025-08-14,520.0,525.0,516.5,523.31,53005.0,backfill_api
2025-08-17,524.1,529.0,515.1,515.83,50050.0,backfill_api
2025-08-18,516.0,524.0,516.0,517.23,30589.0,backfill_api
2025-08-19,517.1,526.9,515.6,516.8,45365.0,backfill_api
2025-08-20,520.0,520.0,512.0,513.28,28963.0,backfill_api
2025-08-21,511.1,516.7,510.0,511.59,42766.0,backfill_api
2025-08-24,510.2,514.0,504.0,505.9,48808.0,backfill_api
2025-08-25,514.0,514.0,505.0,506.26,32131.0,backfill_api
2025-08-26,506.8,511.0,506.0,508.27,12023.0,backfill_api
2025-08-27,518.4,518.5,509.0,517.78,25894.0,backfill_api
