date,open,high,low,close,volume,source
2025-02-27,374.3,378.3,366.0,376.9,85260.0,backfill_api
2025-03-02,380.0,390.9,375.1,381.0,121466.0,backfill_api
2025-03-03,388.0,418.2,385.0,417.0,209106.0,backfill_api
2025-03-04,424.0,427.0,402.0,407.0,111813.0,backfill_api
2025-03-05,413.9,416.2,400.2,410.5,83340.0,backfill_api
2025-03-06,402.3,418.0,402.3,409.4,69406.0,backfill_api
2025-03-09,402.0,417.5,398.6,398.6,63494.0,backfill_api
2025-03-10,392.1,408.0,392.0,398.0,47350.0,backfill_api
2025-03-11,391.3,405.6,388.1,390.0,58127.0,backfill_api
2025-03-12,396.4,420.0,390.1,419.9,196184.0,backfill_api
2025-03-16,419.9,427.2,405.2,411.0,131741.0,backfill_api
2025-03-17,402.8,415.0,402.8,408.0,58643.0,backfill_api
2025-03-18,399.9,412.8,399.9,408.0,43668.0,backfill_api
2025-03-19,400.0,420.0,400.0,416.9,137515.0,backfill_api
2025-03-20,417.0,423.0,410.0,417.37,107044.0,backfill_api
2025-03-23,423.0,423.0,404.0,410.76,73394.0,backfill_api
2025-03-24,404.0,412.0,404.0,407.41,65542.0,backfill_api
2025-03-25,403.0,408.0,380.0,382.75,107532.0,backfill_api
2025-03-26,375.2,395.0,375.0,388.9,70897.0,backfill_api
2025-03-27,383.0,395.7,382.1,392.36,55290.0,backfill_api
2025-03-30,385.0,406.0,385.0,401.04,114990.0,backfill_api
2025-04-01,394.0,408.0,392.1,403.08,106336.0,backfill_api
2025-04-02,397.0,408.0,396.0,398.88,58083.0,backfill_api
2025-04-03,392.1,403.0,390.1,394.65,60953.0,backfill_api
2025-04-07,387.0,398.0,385.1,386.17,20214.0,backfill_api
2025-04-08,379.0,386.5,377.1,382.07,29864.0,backfill_api
2025-04-09,374.5,392.0,374.5,385.1,14076.0,backfill_api
2025-04-10,378.0,415.0,378.0,407.83,90974.0,backfill_api
2025-04-13,407.0,407.0,389.1,394.16,47081.0,backfill_api
2025-04-15,387.0,399.9,387.0,393.52,53391.0,backfill_api
2025-04-16,387.0,398.0,387.0,393.88,65209.0,backfill_api
2025-04-17,387.1,409.8,382.2,385.08,97313.0,backfill_api
2025-04-20,379.0,396.0,374.9,379.15,93967.0,backfill_api
2025-04-21,373.0,388.0,363.0,366.8,89280.0,backfill_api
2025-04-22,362.0,381.8,358.0,372.79,72621.0,backfill_api
2025-04-23,378.9,378.9,361.2,364.18,26771.0,backfill_api
2025-04-24,357.0,369.9,353.0,357.63,37234.0,backfill_api
2025-04-27,364.6,368.0,350.0,359.13,102191.0,backfill_api
2025-04-28,353.0,365.0,349.5,350.61,41008.0,backfill_api
2025-04-29,350.0,357.0,346.0,346.62,40527.0,backfill_api
2025-04-30,340.3,353.4,338.1,340.6,32376.0,backfill_api
2025-05-04,336.2,347.8,336.2,337.7,19104.0,backfill_api
2025-05-05,335.0,341.0,326.9,327.91,29242.0,backfill_api
2025-05-06,334.4,334.4,322.0,331.01,15835.0,backfill_api
2025-05-07,327.7,356.0,327.7,354.63,65652.0,backfill_api
2025-05-08,350.0,369.3,348.0,364.73,102085.0,backfill_api
2025-05-11,358.0,370.0,358.0,364.93,70610.0,backfill_api
2025-05-13,359.0,375.0,359.0,369.67,91374.0,backfill_api
2025-05-14,367.0,383.0,360.1,362.7,51466.0,backfill_api
2025-05-15,357.0,392.0,353.6,355.05,95463.0,backfill_api
2025-05-18,362.0,367.0,337.0,339.08,75279.0,backfill_api
2025-05-19,345.0,358.0,335.0,344.41,42520.0,backfill_api
2025-05-20,337.6,374.0,337.6,359.36,66730.0,backfill_api
2025-05-21,366.5,379.0,355.1,358.63,60571.0,backfill_api
2025-05-22,352.0,362.9,345.0,347.39,36167.0,backfill_api
2025-05-25,341.0,351.9,333.6,336.23,45595.0,backfill_api
2025-05-26,342.9,353.0,334.0,339.78,31532.0,backfill_api
2025-05-27,334.2,369.2,333.1,354.04,55812.0,backfill_api
2025-05-28,347.0,370.0,335.1,340.18,71198.0,backfill_api
2025-06-02,344.0,346.7,332.0,336.07,48287.0,backfill_api
2025-06-03,342.7,342.7,324.0,325.55,37964.0,backfill_api
2025-06-04,325.0,332.0,320.0,321.73,28180.0,backfill_api
2025-06-05,322.0,328.0,317.0,317.67,26199.0,backfill_api
2025-06-08,316.1,323.0,312.0,318.63,27130.0,backfill_api
2025-06-09,321.5,327.9,316.0,326.19,22950.0,backfill_api
2025-06-10,330.0,332.0,325.0,325.54,25699.0,backfill_api
2025-06-11,328.0,331.0,318.5,320.1,29157.0,backfill_api
2025-06-12,322.0,327.4,319.0,324.62,29659.0,backfill_api
2025-06-15,329.9,329.9,318.2,322.67,17293.0,backfill_api
2025-06-16,329.0,329.0,321.1,322.48,20693.0,backfill_api
2025-06-17,328.9,328.9,319.0,320.99,13382.0,backfill_api
2025-06-18,327.0,332.0,321.0,328.82,22819.0,backfill_api
2025-06-19,332.9,345.0,329.0,337.17,68570.0,backfill_api
2025-06-22,342.8,342.8,322.2,324.39,19884.0,backfill_api
2025-06-23,330.0,331.0,323.9,325.67,9468.0,backfill_api
2025-06-24,330.0,350.0,330.0,330.38,26551.0,backfill_api
2025-06-25,336.9,340.5,333.3,338.43,25071.0,backfill_api
2025-06-26,344.9,344.9,332.0,333.01,13144.0,backfill_api
2025-06-29,333.0,336.0,327.9,330.38,13984.0,backfill_api
2025-06-30,336.9,336.9,323.5,324.83,20084.0,backfill_api
2025-07-01,331.0,337.4,323.1,325.29,21736.0,backfill_api
2025-07-02,329.0,335.0,322.6,330.37,20139.0,backfill_api
2025-07-03,334.8,341.0,325.2,330.57,27091.0,backfill_api
2025-07-06,329.0,334.4,324.0,324.34,24088.0,backfill_api
2025-07-07,323.5,327.3,321.0,321.44,17473.0,backfill_api
2025-07-08,321.0,325.0,320.0,323.97,20979.0,backfill_api
2025-07-09,326.0,330.0,321.5,322.4,18550.0,backfill_api
2025-07-10,324.2,330.0,322.5,323.65,18193.0,backfill_api
2025-07-13,330.1,334.0,323.1,323.91,19220.0,backfill_api
2025-07-14,321.0,325.0,320.5,321.8,6751.0,backfill_api
2025-07-15,322.1,325.9,321.1,322.61,23841.0,backfill_api
2025-07-16,328.0,328.1,323.1,323.83,15925.0,backfill_api
2025-07-17,325.0,339.0,324.0,337.66,44058.0,backfill_api
2025-07-20,342.7,348.0,333.0,336.69,56687.0,backfill_api
2025-07-21,333.0,341.6,327.4,332.48,55012.0,backfill_api
2025-07-22,326.0,342.0,326.0,340.65,47545.0,backfill_api
2025-07-23,343.0,362.9,338.0,351.26,70185.0,backfill_api
2025-07-24,358.0,358.2,345.0,348.66,43421.0,backfill_api
2025-07-27,354.0,354.0,340.1,341.37,36837.0,backfill_api
2025-07-28,348.1,348.1,331.3,337.87,41672.0,backfill_api
2025-07-29,344.6,350.0,339.1,341.42,28591.0,backfill_api
2025-07-30,338.0,343.0,331.5,332.58,26398.0,backfill_api
2025-07-31,326.5,339.2,326.0,327.76,18947.0,backfill_api
2025-08-03,325.5,329.9,322.0,322.64,17025.0,backfill_api
2025-08-04,328.9,335.0,317.0,324.08,17744.0,backfill_api
2025-08-05,330.0,330.0,318.2,319.79,8311.0,backfill_api
2025-08-06,320.1,325.0,320.0,321.17,10278.0,backfill_api
2025-08-07,326.0,326.0,317.2,320.52,20304.0,backfill_api
2025-08-11,324.0,324.0,310.0,311.77,25828.0,backfill_api
2025-08-12,307.1,313.9,307.1,308.27,11446.0,backfill_api
2025-08-13,308.0,312.0,303.3,305.4,16222.0,backfill_api
2025-08-14,305.1,309.0,303.0,304.9,13530.0,backfill_api
2025-08-17,308.0,317.1,305.2,306.34,11123.0,backfill_api
2025-08-18,306.1,324.0,306.1,316.1,20777.0,backfill_api
2025-08-19,317.0,322.0,314.0,319.85,16583.0,backfill_api
2025-08-20,315.0,332.0,315.0,325.41,36697.0,backfill_api
2025-08-21,326.0,337.6,320.0,322.22,30222.0,backfill_api
2025-08-24,322.0,328.0,310.0,311.74,26109.0,backfill_api
2025-08-25,309.0,317.9,306.0,311.2,13240.0,backfill_api
2025-08-26,310.0,313.0,308.0,311.71,5902.0,backfill_api
2025-08-27,311.0,322.9,310.0,318.84,13236.0,backfill_api
2025-08-28,314.0,320.0,314.0,314.18,10752.0,backfill_api
2025-08-31,318.0,318.0,308.0,312.74,18585.0,backfill_api
2025-09-01,310.0,314.0,308.0,309.68,8965.0,backfill_api
2025-09-02,303.5,315.0,303.5,305.66,10463.0,backfill_api
2025-09-03,310.0,310.0,303.3,303.96,6316.0,backfill_api
2025-09-04,305.0,305.9,291.3,293.48,21735.0,backfill_api
2025-09-07,298.9,299.5,288.1,290.04,10265.0,backfill_api
2025-09-08,285.4,295.0,283.0,283.62,8045.0,backfill_api
2025-09-18,278.0,278.0,272.5,272.5,70.0,backfill_api
2025-09-21,272.5,299.7,265.0,298.99,30233.0,backfill_api
2025-09-23,300.0,303.0,297.0,302.6,16749.0,backfill_api
2025-09-24,297.2,302.0,295.0,300.0,5399.0,backfill_api
2025-09-25,294.0,304.0,293.1,296.0,8063.0,backfill_api
2025-09-28,301.9,307.0,296.0,300.0,2756.0,backfill_api
2025-10-07,294.0,298.2,288.7,291.0,4213.0,backfill_api
2025-10-08,286.3,292.0,286.3,288.0,6685.0,backfill_api
2025-10-09,293.7,310.0,288.0,289.0,9676.0,backfill_api
2025-10-12,289.0,289.0,278.1,282.0,6386.0,backfill_api
2025-10-13,280.0,309.0,278.4,300.9,9364.0,backfill_api
2025-10-14,305.5,305.9,274.8,294.8,15721.0,backfill_api
2025-10-15,290.0,299.5,279.1,287.0,5269.0,backfill_api
2025-10-16,282.0,297.8,276.0,285.0,7509.0,backfill_api
2025-10-19,290.0,290.0,280.0,283.0,2741.0,backfill_api
2025-10-26,278.0,286.0,273.0,286.0,2862.0,backfill_api
2025-10-28,280.4,296.9,278.0,291.5,7602.0,backfill_api
2025-10-29,288.0,296.9,284.0,291.4,12620.0,backfill_api
2025-10-30,291.2,300.0,286.2,297.0,12178.0,backfill_api
2025-11-02,292.0,304.0,291.1,301.4,18150.0,backfill_api
2025-11-03,307.0,307.0,292.0,297.8,7973.0,backfill_api
2025-11-04,293.7,293.7,285.0,292.0,5128.0,backfill_api
2025-11-05,295.9,296.0,286.5,291.0,3721.0,backfill_api
2025-11-06,285.2,301.0,280.0,293.5,13240.0,backfill_api
2025-11-09,287.7,300.0,283.2,287.0,4864.0,backfill_api
2025-11-10,292.7,292.7,284.0,288.0,4702.0,backfill_api
2025-11-11,283.0,295.8,283.0,292.0,16760.0,backfill_api
2025-11-12,286.2,291.9,286.2,288.0,6564.0,backfill_api
2025-11-13,283.2,300.9,283.2,291.0,12264.0,backfill_api
2025-11-16,285.2,296.79,281.0,290.7,4445.0,backfill_api
2025-11-17,286.2,295.0,286.2,291.0,13243.0,backfill_api
2025-11-18,288.1,306.0,288.1,299.0,30484.0,backfill_api
2025-11-19,304.9,309.4,296.0,299.9,10800.0,backfill_api
2025-11-20,294.1,301.8,288.0,299.9,13631.0,backfill_api
2025-11-23,305.8,305.8,294.0,303.6,15067.0,backfill_api
2025-11-24,309.6,315.0,299.0,302.0,13814.0,backfill_api
2025-11-25,308.0,308.0,295.0,298.9,6121.0,backfill_api
2025-11-26,304.8,304.8,293.0,298.8,15319.0,backfill_api
2025-11-27,293.0,304.0,293.0,298.7,19996.0,backfill_api
2025-11-30,304.5,318.0,300.0,307.0,50237.0,backfill_api
2025-12-01,305.5,313.0,300.0,307.0,13416.0,backfill_api
2025-12-02,305.0,313.0,301.1,305.1,16035.0,backfill_api
2025-12-03,299.0,310.9,299.0,300.0,17431.0,backfill_api
2025-12-07,300.0,300.0,294.0,297.0,12317.0,backfill_api
2025-12-08,294.0,300.0,294.0,297.0,6237.0,backfill_api
2025-12-09,302.9,302.9,296.9,298.1,7586.0,backfill_api
2025-12-10,298.0,298.0,294.9,295.0,7866.0,backfill_api
2025-12-11,297.0,298.9,293.1,294.7,5631.0,backfill_api
2025-12-14,294.2,299.9,292.0,295.0,8458.0,backfill_api
2025-12-15,294.0,296.0,291.0,295.9,6650.0,backfill_api
2025-12-16,295.0,297.9,292.0,295.0,5030.0,backfill_api
2025-12-17,300.0,300.0,294.0,297.0,6041.0,backfill_api
2025-12-18,302.8,302.8,292.0,294.9,6796.0,backfill_api
2025-12-21,291.1,294.0,289.0,289.0,14930.0,backfill_api
2025-12-22,285.2,291.0,285.2,288.0,2245.0,backfill_api
2025-12-23,293.0,293.6,285.0,287.0,3706.0,backfill_api
2025-12-24,287.0,288.0,285.0,288.0,3724.0,backfill_api
2025-12-28,288.0,298.0,288.0,294.0,6217.0,backfill_api
2025-12-29,292.2,295.9,292.2,295.9,4581.0,backfill_api
2025-12-31,294.0,297.0,294.0,295.9,5866.0,backfill_api
2026-01-01,292.0,296.0,290.0,291.6,6370.0,backfill_api
2026-01-04,291.0,292.9,287.4,289.0,9127.0,backfill_api
2026-01-05,283.7,299.5,283.7,290.1,11788.0,backfill_api
2026-01-06,295.9,295.9,290.5,292.2,8710.0,backfill_api
2026-01-07,291.0,292.0,288.0,291.0,6479.0,backfill_api
2026-01-08,285.2,296.7,285.2,294.0,11235.0,backfill_api
2026-01-12,290.1,297.9,285.0,285.0,9864.0,backfill_api
2026-01-13,290.7,291.0,285.0,285.0,9057.0,backfill_api
2026-01-14,290.0,295.9,289.0,289.5,13022.0,backfill_api
2026-01-18,295.0,295.0,290.1,295.0,8020.0,backfill_api
2026-01-20,293.1,308.0,293.0,302.0,26705.0,backfill_api
2026-01-21,302.5,305.0,298.0,301.0,15662.0,backfill_api
2026-01-22,300.0,306.0,300.0,305.5,21697.0,backfill_api
2026-01-25,306.1,316.0,306.1,314.9,35811.0,backfill_api
2026-01-26,309.1,321.0,308.7,313.4,20867.0,backfill_api
2026-01-27,310.0,318.0,299.0,304.0,27233.0,backfill_api
2026-01-28,303.0,308.0,298.1,302.0,11644.0,backfill_api
2026-01-29,302.0,317.9,302.0,305.3,41455.0,backfill_api
2026-02-01,305.3,309.8,303.5,307.5,13932.0,backfill_api
2026-02-02,311.0,311.0,302.7,303.0,7903.0,backfill_api
2026-02-03,305.0,308.9,300.5,301.0,9018.0,backfill_api
2026-02-04,303.0,306.7,298.0,301.0,7410.0,backfill_api
2026-02-05,305.0,320.0,296.5,314.1,38483.0,backfill_api
2026-02-08,320.0,328.0,316.2,318.9,43005.0,backfill_api
2026-02-09,314.0,318.5,307.0,311.0,8969.0,backfill_api
2026-02-10,313.0,314.0,304.0,306.9,18239.0,backfill_api
2026-02-11,312.0,319.2,303.0,306.0,13404.0,backfill_api
2026-02-12,301.5,318.8,300.6,312.0,24933.0,backfill_api
2026-02-16,318.0,320.2,305.9,305.9,12560.0,backfill_api
2026-02-17,308.0,308.0,302.0,303.9,13310.0,backfill_api
2026-02-22,298.2,304.0,295.1,297.0,10573.0,backfill_api
2026-02-23,300.0,300.0,293.0,294.0,9291.0,backfill_api
2026-02-24,294.0,298.0,290.2,297.8,5741.0,backfill_api
2026-02-25,303.5,303.5,295.0,296.0,2455.0,backfill_api
2026-02-26,291.0,305.0,291.0,299.5,5982.0,backfill_api
2026-03-01,293.7,302.0,293.1,302.0,9240.0,backfill_api
2026-03-03,300.0,307.0,300.0,306.0,8650.0,backfill_api
2026-03-09,312.1,324.0,312.1,324.0,80.0,backfill_api
2026-03-10,330.0,330.4,311.3,322.8,55455.0,backfill_api
2026-03-11,325.0,325.9,313.0,319.0,20771.0,backfill_api
2026-03-12,319.0,325.5,315.0,323.0,16427.0,backfill_api
