date,open,high,low,close,volume,source
2025-02-27,356.4,384.4,356.4,384.4,4637.0,backfill_api
2025-03-02,392.0,422.8,392.0,422.8,19083.0,backfill_api
2025-03-03,431.2,465.0,426.3,431.0,181254.0,backfill_api
2025-03-04,439.6,439.6,415.0,415.1,55262.0,backfill_api
2025-03-05,406.8,418.0,406.8,411.9,19847.0,backfill_api
2025-03-06,419.0,419.0,403.7,406.0,27469.0,backfill_api
2025-03-09,414.1,416.0,394.0,394.0,45943.0,backfill_api
2025-03-10,401.0,408.0,393.8,397.0,39500.0,backfill_api
2025-03-11,397.1,403.9,387.4,388.0,18802.0,backfill_api
2025-03-12,390.1,399.9,387.0,388.0,22225.0,backfill_api
2025-03-16,386.0,426.7,386.0,396.9,39367.0,backfill_api
2025-03-17,404.8,404.8,390.0,395.0,14050.0,backfill_api
2025-03-18,402.0,402.0,387.1,388.0,14096.0,backfill_api
2025-03-19,395.0,395.0,381.0,383.0,14217.0,backfill_api
2025-03-20,380.0,386.9,380.0,381.91,10352.0,backfill_api
2025-03-23,384.0,384.0,369.0,370.55,13131.0,backfill_api
2025-03-24,364.0,385.0,357.5,377.61,11160.0,backfill_api
2025-03-25,370.1,377.0,363.6,365.27,9414.0,backfill_api
2025-03-26,365.0,370.0,360.1,368.79,3843.0,backfill_api
2025-03-27,370.0,373.0,367.0,370.13,10841.0,backfill_api
2025-03-30,377.0,395.8,376.1,394.51,25505.0,backfill_api
2025-04-01,402.4,402.4,379.0,380.1,23548.0,backfill_api
2025-04-02,385.0,388.0,374.5,375.63,10563.0,backfill_api
2025-04-03,370.0,377.5,370.0,374.4,11173.0,backfill_api
2025-04-07,375.0,375.5,368.4,369.25,10049.0,backfill_api
2025-04-08,369.0,370.0,362.0,368.43,10040.0,backfill_api
2025-04-09,370.0,375.0,360.0,369.37,9434.0,backfill_api
2025-04-10,370.0,370.0,365.1,365.66,10195.0,backfill_api
2025-04-13,360.4,370.1,360.4,363.83,8799.0,backfill_api
2025-04-15,371.1,375.0,363.4,366.27,6441.0,backfill_api
2025-04-16,370.0,371.0,362.0,364.75,7377.0,backfill_api
2025-04-17,360.7,375.0,360.7,371.37,11185.0,backfill_api
2025-04-20,378.0,378.0,365.0,366.41,10686.0,backfill_api
2025-04-21,366.0,373.5,366.0,369.8,18192.0,backfill_api
2025-04-22,363.0,373.5,363.0,366.91,8884.0,backfill_api
