date,open,high,low,close,volume,source
2025-02-27,632.9,650.0,626.6,632.5,109188.0,backfill_api
2025-03-02,620.0,645.1,620.0,642.3,45742.0,backfill_api
2025-03-03,650.0,650.0,633.5,638.0,106700.0,backfill_api
2025-03-04,638.0,645.0,629.2,632.0,69964.0,backfill_api
2025-03-05,630.1,630.1,621.5,628.0,36721.0,backfill_api
2025-03-06,620.2,629.8,620.2,628.0,17938.0,backfill_api
2025-03-09,640.5,640.5,614.1,618.0,38930.0,backfill_api
2025-03-10,629.9,630.0,615.3,621.8,28345.0,backfill_api
2025-03-11,613.0,623.0,613.0,616.5,30722.0,backfill_api
2025-03-12,611.0,620.0,611.0,619.0,23025.0,backfill_api
2025-03-16,615.0,617.8,611.0,616.0,24283.0,backfill_api
2025-03-17,613.0,615.0,605.2,614.2,52962.0,backfill_api
2025-03-18,612.0,614.8,611.1,613.0,17747.0,backfill_api
2025-03-19,614.0,614.5,608.0,608.0,29380.0,backfill_api
2025-03-20,607.0,611.0,605.2,609.36,33163.0,backfill_api
2025-03-23,616.0,616.0,600.0,600.37,31931.0,backfill_api
2025-03-24,600.0,605.0,594.5,603.09,29752.0,backfill_api
2025-03-25,615.1,615.1,594.0,600.38,40323.0,backfill_api
2025-03-26,602.0,605.0,600.0,603.17,24908.0,backfill_api
2025-03-27,615.2,615.2,600.0,606.65,24595.0,backfill_api
2025-03-30,600.0,612.0,600.0,606.96,23081.0,backfill_api
2025-04-01,609.8,609.8,600.0,600.63,25463.0,backfill_api
2025-04-02,612.6,612.6,600.0,603.49,21179.0,backfill_api
2025-04-03,612.0,612.0,603.1,605.34,30596.0,backfill_api
2025-04-07,600.0,607.0,600.0,605.24,15546.0,backfill_api
2025-04-08,603.0,608.0,600.1,606.1,29286.0,backfill_api
2025-04-09,618.0,618.0,605.0,606.58,19337.0,backfill_api
2025-04-10,615.0,615.0,606.0,607.73,27045.0,backfill_api
2025-04-13,608.0,612.1,605.2,606.1,17905.0,backfill_api
2025-04-15,618.0,618.0,608.0,609.08,22581.0,backfill_api
2025-04-16,620.0,620.0,608.2,613.88,27536.0,backfill_api
2025-04-17,617.8,622.0,612.1,619.09,42936.0,backfill_api
2025-04-20,631.0,631.0,620.0,625.05,63635.0,backfill_api
2025-04-21,629.5,635.0,622.1,631.11,74610.0,backfill_api
2025-04-22,632.1,635.0,628.0,631.09,40770.0,backfill_api
2025-04-23,627.0,635.0,622.0,622.59,84744.0,backfill_api
2025-04-24,617.5,624.0,613.0,620.63,46983.0,backfill_api
2025-04-27,618.1,633.0,617.0,620.26,56202.0,backfill_api
2025-04-28,617.1,623.8,617.0,618.16,19785.0,backfill_api
2025-04-29,621.0,621.0,614.0,615.95,31861.0,backfill_api
2025-04-30,616.0,620.0,610.0,612.63,20918.0,backfill_api
2025-05-04,612.0,620.0,610.0,615.22,50212.0,backfill_api
2025-05-05,620.0,620.0,612.1,614.65,12087.0,backfill_api
2025-05-06,614.0,617.0,612.0,614.4,22290.0,backfill_api
2025-05-07,611.0,622.8,611.0,622.28,29172.0,backfill_api
2025-05-08,616.0,627.8,616.0,618.51,22411.0,backfill_api
2025-05-11,620.0,625.0,615.1,618.83,23793.0,backfill_api
2025-05-13,621.0,629.0,614.5,615.86,35938.0,backfill_api
2025-05-14,626.9,626.9,612.0,613.82,21135.0,backfill_api
2025-05-15,614.1,616.0,610.1,612.4,27168.0,backfill_api
2025-05-18,614.0,624.0,610.0,615.4,24672.0,backfill_api
2025-05-19,623.6,625.0,618.0,623.15,35072.0,backfill_api
2025-05-20,620.0,630.0,616.5,629.31,45118.0,backfill_api
2025-05-21,635.0,654.6,634.0,635.51,111269.0,backfill_api
2025-05-22,640.0,651.8,636.0,642.19,96434.0,backfill_api
2025-05-25,645.0,655.0,638.0,643.02,116943.0,backfill_api
2025-05-26,655.8,660.0,647.0,650.47,220971.0,backfill_api
2025-05-27,650.0,658.0,645.0,654.3,98118.0,backfill_api
2025-05-28,654.0,665.0,643.0,663.48,157427.0,backfill_api
2025-06-02,676.0,676.0,666.0,668.89,214147.0,backfill_api
2025-06-03,666.0,668.9,655.1,655.3,163337.0,backfill_api
2025-06-04,642.2,663.0,642.2,646.68,46542.0,backfill_api
2025-06-05,654.0,654.0,645.0,653.07,75653.0,backfill_api
2025-06-08,658.0,658.0,640.0,643.3,72849.0,backfill_api
2025-06-09,654.0,654.0,636.7,645.89,53276.0,backfill_api
2025-06-10,655.0,655.0,640.3,650.66,97899.0,backfill_api
2025-06-11,650.0,659.1,640.5,645.42,44857.0,backfill_api
2025-06-12,656.0,656.0,638.0,638.86,44323.0,backfill_api
2025-06-15,627.0,647.0,627.0,635.54,72617.0,backfill_api
2025-06-16,632.1,640.5,632.1,636.26,63380.0,backfill_api
2025-06-17,643.5,645.0,638.0,639.58,87898.0,backfill_api
2025-06-18,640.0,641.0,635.4,637.73,35645.0,backfill_api
2025-06-19,635.0,640.0,634.0,636.45,30898.0,backfill_api
2025-06-22,635.0,638.0,627.3,627.82,55635.0,backfill_api
2025-06-23,625.0,636.0,625.0,634.42,22703.0,backfill_api
2025-06-24,642.0,642.0,632.1,635.34,28965.0,backfill_api
2025-06-25,636.0,638.0,631.0,635.28,38444.0,backfill_api
2025-06-26,635.0,637.0,634.0,635.17,28083.0,backfill_api
2025-06-29,640.0,645.0,636.1,643.87,22263.0,backfill_api
2025-06-30,650.0,650.0,635.0,642.5,22403.0,backfill_api
2025-07-01,642.5,647.9,640.1,643.42,29297.0,backfill_api
2025-07-02,645.1,651.0,644.1,649.79,43324.0,backfill_api
2025-07-03,645.1,662.9,640.3,656.82,100633.0,backfill_api
2025-07-06,655.0,662.8,648.0,659.61,73221.0,backfill_api
2025-07-07,664.8,666.0,653.0,655.14,118386.0,backfill_api
2025-07-08,667.9,667.9,652.0,657.54,78838.0,backfill_api
2025-07-09,665.0,665.0,656.0,660.66,64837.0,backfill_api
2025-07-10,666.0,678.0,660.8,670.29,108835.0,backfill_api
2025-07-13,683.6,704.0,680.0,700.22,358057.0,backfill_api
2025-07-14,700.0,700.0,682.0,689.66,116806.0,backfill_api
2025-07-15,688.0,696.0,683.0,694.53,80041.0,backfill_api
2025-07-16,705.0,707.9,692.1,701.56,380520.0,backfill_api
2025-07-17,702.0,735.0,695.0,730.96,231952.0,backfill_api
2025-07-20,735.0,747.0,725.1,735.33,283091.0,backfill_api
2025-07-21,722.0,750.0,722.0,745.19,283558.0,backfill_api
2025-07-22,745.0,775.0,745.0,763.92,283754.0,backfill_api
2025-07-23,770.0,770.0,750.0,764.84,292455.0,backfill_api
2025-07-24,766.0,766.0,745.1,756.72,264650.0,backfill_api
2025-07-27,756.0,760.0,742.0,744.89,366891.0,backfill_api
2025-07-28,750.0,750.0,728.0,736.35,205878.0,backfill_api
2025-07-29,740.0,750.0,734.0,736.48,173450.0,backfill_api
2025-07-30,749.9,749.9,719.0,722.16,125621.0,backfill_api
2025-07-31,715.0,729.3,713.0,717.09,156655.0,backfill_api
2025-08-03,731.4,731.4,710.1,711.01,98110.0,backfill_api
2025-08-04,715.0,719.9,700.0,716.91,109388.0,backfill_api
2025-08-05,725.0,725.0,705.0,710.14,81510.0,backfill_api
2025-08-06,703.8,713.9,703.8,705.66,46603.0,backfill_api
2025-08-07,701.0,717.0,701.0,707.57,71174.0,backfill_api
2025-08-11,721.0,735.5,708.0,709.53,196948.0,backfill_api
2025-08-12,715.0,718.0,701.1,709.49,143996.0,backfill_api
2025-08-13,714.0,719.0,712.0,715.14,79983.0,backfill_api
2025-08-14,722.0,722.0,714.0,715.69,84348.0,backfill_api
2025-08-17,722.0,725.0,710.4,719.87,108739.0,backfill_api
2025-08-18,724.9,730.0,718.3,725.71,83163.0,backfill_api
2025-08-19,730.0,736.0,721.0,734.54,77985.0,backfill_api
2025-08-20,739.5,741.0,728.0,739.14,130752.0,backfill_api
2025-08-21,740.0,750.0,735.9,747.77,170311.0,backfill_api
2025-08-24,748.0,754.0,729.0,732.96,104700.0,backfill_api
2025-08-25,738.9,753.0,722.0,742.98,108125.0,backfill_api
2025-08-26,754.0,754.0,734.0,748.45,110366.0,backfill_api
2025-08-27,749.0,753.0,746.2,751.56,95651.0,backfill_api
2025-08-28,745.0,755.0,745.0,747.67,80293.0,backfill_api
2025-08-31,746.1,754.0,740.1,751.71,169668.0,backfill_api
2025-09-01,766.7,777.0,747.1,765.33,319582.0,backfill_api
2025-09-02,780.6,780.6,760.0,761.41,79636.0,backfill_api
2025-09-03,760.0,762.0,748.2,750.39,74732.0,backfill_api
2025-09-04,744.0,753.9,737.0,741.06,125233.0,backfill_api
2025-09-07,742.0,742.0,715.0,723.88,307228.0,backfill_api
2025-09-08,724.0,724.0,703.9,711.56,90889.0,backfill_api
2025-09-18,698.0,698.0,656.6,671.1,17943.0,backfill_api
2025-09-21,672.0,717.0,671.0,704.96,200039.0,backfill_api
2025-09-23,705.0,719.0,701.1,712.0,48632.0,backfill_api
2025-09-24,712.0,720.0,708.3,710.0,55779.0,backfill_api
2025-09-25,705.0,716.0,702.0,714.8,21113.0,backfill_api
2025-09-28,715.0,722.0,713.0,720.0,27218.0,backfill_api
2025-10-07,724.0,724.0,710.0,720.0,89590.0,backfill_api
2025-10-08,720.0,720.0,710.6,710.6,79337.0,backfill_api
2025-10-09,724.8,738.0,716.0,717.0,195074.0,backfill_api
2025-10-12,670.0,672.0,650.0,652.0,149895.0,backfill_api
2025-10-13,665.0,665.0,632.0,642.0,58961.0,backfill_api
2025-10-14,643.0,649.9,636.0,639.0,30565.0,backfill_api
2025-10-15,643.9,643.9,634.0,637.0,32284.0,backfill_api
2025-10-16,636.0,642.0,630.0,640.1,49689.0,backfill_api
2025-10-19,628.0,639.0,628.0,631.0,27253.0,backfill_api
2025-10-26,620.0,632.0,620.0,624.9,26398.0,backfill_api
2025-10-28,627.0,632.3,620.0,630.0,20842.0,backfill_api
2025-10-29,633.0,633.0,625.0,625.0,12086.0,backfill_api
2025-10-30,620.5,629.8,619.0,625.0,28412.0,backfill_api
2025-11-02,637.5,637.5,623.0,630.1,26776.0,backfill_api
2025-11-03,636.0,639.0,624.0,633.0,23526.0,backfill_api
2025-11-04,635.0,635.0,629.5,631.0,18856.0,backfill_api
2025-11-05,628.0,634.5,628.0,628.2,24430.0,backfill_api
2025-11-06,625.0,636.0,623.0,623.0,31406.0,backfill_api
2025-11-09,630.0,632.0,625.1,628.5,22341.0,backfill_api
2025-11-10,631.1,641.0,631.0,633.0,23731.0,backfill_api
2025-11-11,638.0,639.0,631.0,633.3,20058.0,backfill_api
2025-11-12,635.0,639.0,630.1,634.0,38337.0,backfill_api
2025-11-13,638.0,638.0,630.0,631.0,23821.0,backfill_api
2025-11-16,631.0,636.0,630.0,632.0,17606.0,backfill_api
2025-11-17,633.0,636.0,633.0,635.0,15079.0,backfill_api
2025-11-18,636.1,646.0,636.0,640.0,25395.0,backfill_api
2025-11-19,647.0,647.0,637.7,638.0,11554.0,backfill_api
2025-11-20,639.0,647.0,635.0,640.0,17958.0,backfill_api
2025-11-23,644.0,652.0,639.0,651.9,29228.0,backfill_api
2025-11-24,656.0,656.0,649.3,651.2,18874.0,backfill_api
2025-11-25,651.2,659.7,646.0,657.0,21721.0,backfill_api
2025-11-26,662.0,662.8,649.0,660.0,26943.0,backfill_api
2025-11-27,653.0,665.0,653.0,661.0,30238.0,backfill_api
2025-11-30,664.5,666.0,654.0,654.0,36295.0,backfill_api
2025-12-01,654.0,655.0,641.0,650.0,12453.0,backfill_api
2025-12-02,650.1,655.0,643.0,643.0,28724.0,backfill_api
2025-12-03,655.7,655.7,641.0,644.0,19833.0,backfill_api
2025-12-07,652.1,652.1,639.0,641.0,31463.0,backfill_api
2025-12-08,641.0,648.0,637.9,638.0,21169.0,backfill_api
2025-12-09,640.0,645.0,640.0,640.0,7879.0,backfill_api
2025-12-10,641.0,642.0,639.5,641.0,21558.0,backfill_api
2025-12-11,637.0,646.0,637.0,646.0,12652.0,backfill_api
2025-12-14,654.3,654.3,644.1,645.1,43589.0,backfill_api
2025-12-15,645.1,648.0,643.3,646.2,20581.0,backfill_api
2025-12-16,649.0,652.9,645.1,650.6,16393.0,backfill_api
2025-12-17,663.0,663.0,651.0,653.1,18564.0,backfill_api
2025-12-18,657.6,657.6,651.3,655.0,9793.0,backfill_api
2025-12-21,653.0,660.0,647.1,652.0,20227.0,backfill_api
2025-12-22,647.0,652.0,645.0,646.5,19469.0,backfill_api
2025-12-23,646.5,651.0,643.5,650.0,13059.0,backfill_api
2025-12-24,650.0,650.0,641.1,647.3,20691.0,backfill_api
2025-12-28,650.0,655.0,648.2,654.0,32533.0,backfill_api
2025-12-29,660.0,663.9,655.3,657.5,23830.0,backfill_api
2025-12-31,657.2,664.0,657.1,663.0,24223.0,backfill_api
2026-01-01,660.1,661.5,652.0,652.0,15716.0,backfill_api
2026-01-04,652.0,653.0,645.0,650.0,17855.0,backfill_api
2026-01-05,649.0,660.0,645.0,654.0,28075.0,backfill_api
2026-01-06,663.0,663.0,654.0,656.0,19136.0,backfill_api
2026-01-07,654.1,662.0,652.0,658.0,32918.0,backfill_api
2026-01-08,653.0,664.0,653.0,661.0,24336.0,backfill_api
2026-01-12,660.0,664.8,658.0,660.4,24488.0,backfill_api
2026-01-13,665.0,665.0,660.0,661.0,9271.0,backfill_api
2026-01-14,661.0,665.0,658.0,660.0,26659.0,backfill_api
2026-01-18,660.5,667.0,660.0,665.2,27585.0,backfill_api
2026-01-20,665.0,682.0,665.0,677.0,35963.0,backfill_api
2026-01-21,678.1,680.0,671.0,673.0,13721.0,backfill_api
2026-01-22,668.0,675.0,668.0,671.0,19126.0,backfill_api
2026-01-25,671.0,683.5,670.1,674.0,42047.0,backfill_api
2026-01-26,674.0,677.6,671.2,677.3,44613.0,backfill_api
2026-01-27,672.0,676.9,670.3,670.3,38432.0,backfill_api
2026-01-28,683.0,683.0,670.0,674.0,49392.0,backfill_api
2026-01-29,675.0,679.0,673.0,673.3,34896.0,backfill_api
2026-02-01,675.0,675.0,668.0,668.5,19118.0,backfill_api
2026-02-02,655.2,670.0,655.2,668.2,24631.0,backfill_api
2026-02-03,666.0,670.0,665.0,665.2,52815.0,backfill_api
2026-02-04,652.0,675.0,652.0,670.0,46049.0,backfill_api
2026-02-05,664.0,671.0,664.0,669.0,35537.0,backfill_api
2026-02-08,666.0,680.0,665.0,670.0,55470.0,backfill_api
2026-02-09,670.0,672.0,665.1,670.0,57712.0,backfill_api
2026-02-10,670.0,670.0,664.6,664.6,26651.0,backfill_api
2026-02-11,665.0,674.0,665.0,666.1,29808.0,backfill_api
2026-02-12,670.0,670.0,664.0,666.4,24688.0,backfill_api
2026-02-16,675.0,677.9,665.1,668.5,50722.0,backfill_api
2026-02-17,668.0,672.0,665.4,665.5,14184.0,backfill_api
2026-02-22,668.0,668.0,663.2,664.4,30370.0,backfill_api
2026-02-23,664.0,668.0,664.0,664.5,18319.0,backfill_api
2026-02-24,672.0,672.0,664.4,667.9,16952.0,backfill_api
2026-02-25,671.0,672.0,665.0,670.0,35579.0,backfill_api
2026-02-26,680.0,683.0,668.0,672.5,28856.0,backfill_api
