date,open,high,low,close,volume,source
2025-02-27,3081.3,3322.0,3020.0,3300.0,14397.0,backfill_api
2025-03-02,3234.0,3381.3,3107.0,3231.0,8916.0,backfill_api
2025-03-03,3166.4,3220.0,3090.0,3150.0,8129.0,backfill_api
2025-03-04,3087.0,3306.0,3087.0,3103.0,12084.0,backfill_api
2025-03-05,3100.0,3370.0,3070.0,3333.3,13121.0,backfill_api
2025-03-06,3266.7,3266.7,3075.3,3080.0,5621.0,backfill_api
2025-03-09,3018.4,3138.5,3018.4,3032.1,4505.0,backfill_api
2025-03-10,3092.0,3150.0,3001.0,3020.0,4357.0,backfill_api
2025-03-11,3023.0,3024.0,2900.9,2930.1,5898.0,backfill_api
2025-03-12,2900.2,2958.0,2891.1,2891.1,3444.0,backfill_api
2025-03-16,2855.0,2958.0,2855.0,2884.0,2588.0,backfill_api
2025-03-17,2832.0,2902.9,2831.0,2831.0,2107.0,backfill_api
2025-03-18,2820.0,2940.0,2820.0,2870.0,2478.0,backfill_api
2025-03-19,2870.2,2927.6,2870.1,2899.0,1619.0,backfill_api
2025-03-20,2900.0,2924.3,2860.0,2879.72,1411.0,backfill_api
2025-03-23,2875.0,2875.0,2661.1,2727.43,8226.0,backfill_api
2025-03-24,2779.9,2779.9,2675.0,2750.0,2032.0,backfill_api
2025-03-25,2750.0,2750.0,2627.5,2652.95,5570.0,backfill_api
2025-03-26,2680.0,2748.0,2578.0,2683.11,1986.0,backfill_api
2025-03-27,2736.0,2951.4,2701.0,2951.4,8915.0,backfill_api
2025-03-30,3010.0,3209.0,2952.1,3127.15,7730.0,backfill_api
2025-04-01,3064.7,3064.7,2911.0,2953.41,4605.0,backfill_api
2025-04-02,2950.0,2985.0,2923.0,2930.58,985.0,backfill_api
2025-04-03,2930.58,2960.0,2800.0,2815.15,2185.0,backfill_api
2025-04-07,2790.0,2837.8,2763.0,2809.44,4110.0,backfill_api
2025-04-08,2795.1,3009.0,2781.1,2919.75,3170.0,backfill_api
2025-04-09,2877.1,2939.0,2793.0,2840.07,1885.0,backfill_api
2025-04-10,2894.0,2894.0,2794.0,2803.55,2487.0,backfill_api
2025-04-13,2840.0,2966.2,2775.0,2939.54,7313.0,backfill_api
2025-04-15,2881.0,3232.0,2881.0,3221.29,8578.0,backfill_api
2025-04-16,3156.9,3156.9,2920.0,3042.63,7419.0,backfill_api
2025-04-17,2982.0,2982.0,2865.0,2945.32,964.0,backfill_api
2025-04-20,2886.5,2990.0,2886.5,2906.84,1668.0,backfill_api
2025-04-21,2875.9,3061.2,2875.2,2917.69,6619.0,backfill_api
2025-04-22,2975.0,3097.0,2915.1,2923.05,1829.0,backfill_api
2025-04-23,2901.7,2940.0,2886.0,2923.28,1008.0,backfill_api
