date,open,high,low,close,volume,source
2025-02-25,1899.9,1899.9,1858.0,1878.0,3230.0,backfill_api
2025-02-27,1898.0,1914.0,1870.0,1880.0,4477.0,backfill_api
2025-03-02,1916.0,1916.0,1851.0,1879.9,3797.0,backfill_api
2025-03-03,1899.0,1899.0,1833.3,1840.0,3292.0,backfill_api
2025-03-04,1840.0,1840.0,1750.3,1755.1,5586.0,backfill_api
2025-03-05,1785.0,1805.0,1755.2,1770.0,4186.0,backfill_api
2025-03-06,1752.1,1787.0,1752.1,1780.0,2217.0,backfill_api
2025-03-09,1780.0,1798.0,1760.0,1785.0,2047.0,backfill_api
2025-03-10,1750.0,1793.5,1750.0,1768.0,1719.0,backfill_api
2025-03-11,1750.0,1768.0,1732.7,1749.0,1655.0,backfill_api
2025-03-12,1783.9,1783.9,1700.0,1700.3,1865.0,backfill_api
2025-03-16,1702.2,1724.0,1692.1,1724.0,2865.0,backfill_api
2025-03-17,1690.0,1720.0,1690.0,1720.0,1247.0,backfill_api
2025-03-18,1745.0,1745.0,1688.0,1688.0,1137.0,backfill_api
2025-03-19,1697.0,1719.0,1683.1,1683.1,1908.0,backfill_api
2025-03-20,1652.4,1722.0,1652.4,1680.95,1938.0,backfill_api
2025-03-23,1664.6,1666.0,1595.0,1616.81,3463.0,backfill_api
2025-03-24,1591.0,1679.0,1590.0,1614.93,2088.0,backfill_api
2025-03-25,1591.3,1591.3,1556.0,1564.95,1940.0,backfill_api
2025-03-26,1585.0,1595.0,1533.8,1567.16,1203.0,backfill_api
2025-03-27,1567.0,1669.7,1567.0,1650.09,1959.0,backfill_api
2025-03-30,1675.0,1700.0,1670.0,1675.2,2282.0,backfill_api
2025-04-01,1652.0,1675.0,1620.2,1633.75,1559.0,backfill_api
2025-04-02,1666.4,1698.0,1601.1,1627.33,425.0,backfill_api
2025-04-03,1640.0,1640.0,1607.0,1609.78,1923.0,backfill_api
2025-04-07,1637.0,1637.0,1582.7,1584.33,2318.0,backfill_api
2025-04-08,1565.1,1659.4,1565.1,1628.85,1405.0,backfill_api
2025-04-09,1597.0,1650.0,1597.0,1632.59,2196.0,backfill_api
2025-04-10,1611.0,1640.0,1611.0,1627.23,1187.0,backfill_api
2025-04-13,1615.0,1620.0,1610.2,1614.34,354.0,backfill_api
2025-04-15,1615.0,1645.0,1614.0,1640.0,1153.0,backfill_api
2025-04-16,1630.0,1659.9,1625.1,1628.23,494.0,backfill_api
