date,open,high,low,close,volume,source
2025-02-27,532.1,550.8,532.1,547.0,22139.0,backfill_api
2025-03-02,536.1,550.0,536.1,549.0,28372.0,backfill_api
2025-03-03,549.0,552.9,540.0,542.0,24022.0,backfill_api
2025-03-04,535.0,544.0,531.6,534.0,14834.0,backfill_api
2025-03-05,544.0,544.0,520.0,525.1,17659.0,backfill_api
2025-03-06,520.0,535.0,520.0,525.0,12775.0,backfill_api
2025-03-09,525.0,528.0,500.0,520.0,17981.0,backfill_api
2025-03-10,530.0,530.0,505.0,505.0,12315.0,backfill_api
2025-03-11,505.0,513.0,497.3,498.0,8845.0,backfill_api
2025-03-12,500.0,507.0,493.0,493.0,11610.0,backfill_api
2025-03-16,490.6,499.9,485.3,499.9,10993.0,backfill_api
2025-03-17,490.2,500.0,488.0,495.0,5869.0,backfill_api
2025-03-18,492.0,514.9,491.0,498.0,7772.0,backfill_api
2025-03-19,499.0,505.0,490.0,490.0,7410.0,backfill_api
2025-03-20,495.0,499.0,485.1,490.91,11313.0,backfill_api
2025-03-23,482.3,488.9,472.0,473.89,13309.0,backfill_api
2025-03-24,474.0,476.0,466.0,470.42,6719.0,backfill_api
2025-03-25,479.0,479.0,451.0,453.57,11515.0,backfill_api
2025-03-26,462.0,467.0,457.0,462.23,13552.0,backfill_api
2025-03-27,471.4,471.4,462.0,468.75,6907.0,backfill_api
2025-03-30,462.1,477.0,450.6,471.74,22521.0,backfill_api
2025-04-01,471.0,471.0,454.8,457.25,14647.0,backfill_api
2025-04-02,456.1,474.0,454.1,459.32,21671.0,backfill_api
2025-04-03,450.2,505.2,435.0,505.2,227120.0,backfill_api
2025-04-07,515.0,516.0,481.0,486.91,78644.0,backfill_api
2025-04-08,478.1,495.0,468.0,489.58,79183.0,backfill_api
2025-04-09,495.0,500.7,486.2,490.8,43152.0,backfill_api
2025-04-10,485.0,495.0,483.0,491.26,31486.0,backfill_api
2025-04-13,484.0,488.0,477.0,480.05,41076.0,backfill_api
2025-04-15,480.0,485.0,475.0,478.55,31801.0,backfill_api
2025-04-16,478.2,483.0,470.4,471.64,25003.0,backfill_api
2025-04-17,463.0,479.0,463.0,468.84,47466.0,backfill_api
2025-04-20,470.0,471.0,460.1,462.06,26754.0,backfill_api
2025-04-21,460.0,462.0,455.6,457.92,54068.0,backfill_api
2025-04-22,467.0,467.0,455.0,455.82,27816.0,backfill_api
2025-04-23,464.7,464.7,451.2,451.9,20405.0,backfill_api
2025-04-24,448.0,450.0,442.0,443.9,33218.0,backfill_api
2025-04-27,450.3,451.0,438.0,439.57,33091.0,backfill_api
2025-04-28,444.0,444.0,433.0,433.76,29281.0,backfill_api
2025-04-29,433.7,435.0,427.0,429.0,29573.0,backfill_api
2025-04-30,435.0,435.0,425.0,429.34,45452.0,backfill_api
2025-05-04,437.0,437.0,427.0,429.93,35478.0,backfill_api
2025-05-05,425.0,435.0,425.0,430.14,20633.0,backfill_api
2025-05-06,432.0,473.0,424.0,459.35,115795.0,backfill_api
2025-05-07,453.0,468.5,453.0,464.15,44209.0,backfill_api
2025-05-08,463.0,479.0,450.0,467.36,52122.0,backfill_api
2025-05-11,467.0,467.0,458.7,459.63,58301.0,backfill_api
2025-05-13,468.0,476.0,452.2,456.23,36152.0,backfill_api
2025-05-14,456.0,463.8,442.0,444.4,30136.0,backfill_api
2025-05-15,440.2,444.0,436.1,441.88,12943.0,backfill_api
2025-05-18,441.1,446.0,437.0,439.47,14060.0,backfill_api
2025-05-19,440.0,448.0,440.0,442.13,8118.0,backfill_api
2025-05-20,440.0,448.6,436.0,448.22,17451.0,backfill_api
2025-05-21,457.1,458.9,444.0,446.94,34270.0,backfill_api
2025-05-22,447.0,450.0,440.3,443.67,24169.0,backfill_api
2025-05-25,452.0,452.0,438.0,440.62,14562.0,backfill_api
2025-05-26,448.0,459.0,437.0,437.93,17192.0,backfill_api
2025-05-27,438.0,441.3,435.0,436.98,15293.0,backfill_api
2025-05-28,435.0,443.4,435.0,441.06,17244.0,backfill_api
2025-06-02,448.4,448.5,437.2,438.12,11220.0,backfill_api
2025-06-03,435.0,443.7,432.2,435.86,28607.0,backfill_api
2025-06-04,430.2,440.0,430.2,435.92,18425.0,backfill_api
2025-06-05,442.0,442.0,435.5,438.04,15610.0,backfill_api
2025-06-08,434.0,441.0,434.0,437.21,11708.0,backfill_api
2025-06-09,434.0,458.9,430.2,454.21,49525.0,backfill_api
2025-06-10,463.2,465.0,451.0,451.71,34003.0,backfill_api
2025-06-11,451.0,460.0,446.2,455.96,20519.0,backfill_api
2025-06-12,457.1,469.5,456.3,457.72,67945.0,backfill_api
2025-06-15,460.0,472.9,453.0,465.67,63640.0,backfill_api
2025-06-16,473.0,478.3,460.3,463.67,74243.0,backfill_api
2025-06-17,463.0,463.0,457.2,460.44,19223.0,backfill_api
2025-06-18,460.0,465.0,457.0,457.38,17331.0,backfill_api
2025-06-19,458.0,462.9,445.0,447.36,51513.0,backfill_api
2025-06-22,445.0,452.0,441.1,442.39,12482.0,backfill_api
2025-06-23,442.0,455.0,437.2,446.79,14477.0,backfill_api
2025-06-24,439.0,455.8,439.0,443.15,19956.0,backfill_api
2025-06-25,439.1,449.8,439.1,444.36,5806.0,backfill_api
2025-06-26,444.0,456.0,441.3,448.86,38200.0,backfill_api
2025-06-29,448.0,483.8,442.0,480.07,175442.0,backfill_api
2025-06-30,481.0,485.0,466.5,468.51,57570.0,backfill_api
2025-07-01,468.0,483.0,467.2,478.87,50172.0,backfill_api
2025-07-02,485.0,487.5,475.0,477.24,105722.0,backfill_api
2025-07-03,485.9,486.7,466.0,469.37,59896.0,backfill_api
2025-07-06,467.0,470.0,463.4,465.34,50646.0,backfill_api
2025-07-07,465.0,465.0,456.4,458.16,25158.0,backfill_api
2025-07-08,458.0,466.9,451.0,464.69,33166.0,backfill_api
2025-07-09,464.6,473.9,461.1,465.7,41678.0,backfill_api
2025-07-10,465.7,475.1,461.3,469.36,45792.0,backfill_api
2025-07-13,478.0,480.0,460.0,462.06,30020.0,backfill_api
2025-07-14,465.0,470.0,458.0,462.51,14375.0,backfill_api
2025-07-15,461.3,473.0,461.3,468.32,27083.0,backfill_api
2025-07-16,477.6,499.0,465.1,482.3,75208.0,backfill_api
2025-07-17,489.9,501.7,487.1,491.81,82934.0,backfill_api
2025-07-20,485.0,501.0,480.0,482.91,101908.0,backfill_api
2025-07-21,487.0,490.0,481.0,486.22,34128.0,backfill_api
2025-07-22,481.0,499.9,481.0,494.59,66277.0,backfill_api
2025-07-23,493.0,544.0,493.0,541.1,242045.0,backfill_api
2025-07-24,550.0,595.2,520.0,595.2,1191263.0,backfill_api
2025-07-27,607.0,643.0,550.0,632.63,1321127.0,backfill_api
2025-07-28,632.6,632.6,588.0,594.71,406177.0,backfill_api
2025-07-29,582.9,642.0,575.0,636.57,1078962.0,backfill_api
2025-07-30,641.0,648.5,590.0,623.56,928024.0,backfill_api
2025-07-31,612.2,662.0,606.7,623.14,312192.0,backfill_api
2025-08-03,611.0,617.0,583.2,587.16,351012.0,backfill_api
2025-08-04,578.1,598.0,576.0,579.9,171364.0,backfill_api
2025-08-05,584.0,590.0,568.4,570.33,191993.0,backfill_api
2025-08-06,566.0,580.0,565.0,567.09,283102.0,backfill_api
2025-08-07,570.1,584.4,557.0,558.94,214560.0,backfill_api
2025-08-11,570.1,570.1,540.0,543.84,167630.0,backfill_api
2025-08-12,540.2,567.0,540.2,556.07,171086.0,backfill_api
2025-08-13,566.0,566.0,545.6,549.01,60682.0,backfill_api
2025-08-14,546.0,555.9,534.1,540.6,94196.0,backfill_api
2025-08-17,540.6,565.0,533.5,547.58,150363.0,backfill_api
2025-08-18,558.1,568.5,542.0,556.55,154685.0,backfill_api
2025-08-19,560.0,574.0,548.0,550.58,108801.0,backfill_api
2025-08-20,561.5,561.5,539.0,542.53,75588.0,backfill_api
2025-08-21,542.0,552.0,541.1,546.75,50010.0,backfill_api
2025-08-24,541.0,559.0,540.0,540.81,51707.0,backfill_api
2025-08-25,550.0,551.6,535.2,542.22,44129.0,backfill_api
2025-08-26,536.2,550.0,536.2,537.98,18452.0,backfill_api
2025-08-27,548.0,586.0,535.0,581.47,846623.0,backfill_api
2025-08-28,581.47,584.9,558.0,561.13,141033.0,backfill_api
2025-08-31,572.0,572.0,544.0,544.82,113838.0,backfill_api
2025-09-01,542.0,552.0,539.0,544.19,39847.0,backfill_api
2025-09-02,541.3,550.0,540.1,541.35,30172.0,backfill_api
2025-09-03,536.0,545.0,536.0,536.59,29316.0,backfill_api
2025-09-04,534.0,545.0,532.1,539.31,64332.0,backfill_api
2025-09-07,535.0,543.0,532.1,534.41,41595.0,backfill_api
2025-09-08,530.0,540.0,525.2,525.73,50107.0,backfill_api
2025-09-18,515.3,515.3,473.2,490.0,5977.0,backfill_api
2025-09-21,480.2,529.0,480.2,517.22,73505.0,backfill_api
2025-09-23,518.0,537.0,518.0,530.0,51225.0,backfill_api
2025-09-24,520.5,540.6,520.0,526.1,49700.0,backfill_api
2025-09-25,525.0,535.0,520.1,532.0,33163.0,backfill_api
2025-09-28,523.0,534.0,523.0,532.0,32510.0,backfill_api
2025-10-07,521.4,529.5,515.0,515.5,45670.0,backfill_api
2025-10-08,524.0,524.0,496.7,501.0,36194.0,backfill_api
2025-10-09,511.0,531.0,499.0,499.0,50722.0,backfill_api
2025-10-12,490.1,500.0,475.1,484.5,53750.0,backfill_api
2025-10-13,478.0,504.0,470.0,498.0,23832.0,backfill_api
2025-10-14,488.3,498.0,481.0,488.0,23790.0,backfill_api
2025-10-15,479.1,495.0,476.0,480.0,23512.0,backfill_api
2025-10-16,476.0,488.4,472.1,472.1,18776.0,backfill_api
2025-10-19,472.5,479.9,466.0,477.9,11746.0,backfill_api
2025-10-26,469.0,482.9,469.0,478.0,11559.0,backfill_api
2025-10-28,478.0,515.0,478.0,506.0,66961.0,backfill_api
2025-10-29,514.9,533.0,505.1,521.0,122048.0,backfill_api
2025-10-30,520.1,538.0,520.1,535.0,87461.0,backfill_api
2025-11-02,534.0,540.0,525.0,525.5,69334.0,backfill_api
2025-11-03,534.0,534.0,511.1,517.0,53319.0,backfill_api
2025-11-04,517.0,522.5,507.0,510.0,70239.0,backfill_api
2025-11-05,510.0,520.0,510.0,518.0,44210.0,backfill_api
2025-11-06,510.0,524.4,508.1,517.8,27714.0,backfill_api
2025-11-09,513.0,517.0,507.5,515.0,27024.0,backfill_api
2025-11-10,507.0,516.9,507.0,509.6,62480.0,backfill_api
2025-11-11,510.0,519.0,508.0,510.4,81119.0,backfill_api
2025-11-12,501.0,520.0,501.0,512.4,51514.0,backfill_api
2025-11-13,502.2,526.0,502.2,523.7,92258.0,backfill_api
2025-11-16,523.7,528.0,516.0,521.0,70844.0,backfill_api
2025-11-17,522.0,535.0,522.0,535.0,62923.0,backfill_api
2025-11-18,535.0,545.0,528.0,531.0,58668.0,backfill_api
2025-11-19,539.0,539.0,520.0,528.9,25989.0,backfill_api
2025-11-20,532.8,532.8,518.4,522.5,28027.0,backfill_api
2025-11-23,522.0,532.2,522.0,531.6,29901.0,backfill_api
2025-11-24,528.1,540.0,528.1,540.0,35562.0,backfill_api
2025-11-25,543.0,546.8,533.2,534.0,40733.0,backfill_api
2025-11-26,530.0,544.6,530.0,536.8,19989.0,backfill_api
2025-11-27,538.5,546.0,538.0,545.9,65497.0,backfill_api
2025-11-30,548.0,567.0,535.0,548.0,391921.0,backfill_api
2025-12-01,552.9,602.0,538.1,599.0,113200.0,backfill_api
2025-12-02,587.2,587.2,540.0,540.0,201886.0,backfill_api
2025-12-03,545.0,545.0,527.0,528.1,89252.0,backfill_api
2025-12-07,525.3,533.0,520.5,520.5,31937.0,backfill_api
2025-12-08,520.0,534.2,520.0,524.0,39945.0,backfill_api
2025-12-09,524.0,529.0,522.0,525.0,18319.0,backfill_api
2025-12-10,534.0,534.0,520.0,520.2,19944.0,backfill_api
2025-12-11,515.5,524.9,515.5,518.0,19644.0,backfill_api
2025-12-14,515.0,523.0,512.0,516.9,30143.0,backfill_api
2025-12-15,511.3,520.5,511.3,516.0,16180.0,backfill_api
2025-12-16,511.0,522.0,511.0,521.0,21739.0,backfill_api
2025-12-17,513.1,564.0,513.1,526.6,21535.0,backfill_api
2025-12-18,524.5,530.0,520.0,522.3,23777.0,backfill_api
2025-12-21,525.0,525.0,518.0,519.0,22823.0,backfill_api
2025-12-22,515.1,520.0,513.0,518.0,20159.0,backfill_api
2025-12-23,520.0,524.0,515.1,517.0,15509.0,backfill_api
2025-12-24,513.7,523.5,510.0,511.3,55824.0,backfill_api
2025-12-28,521.4,521.4,513.0,518.5,74880.0,backfill_api
2025-12-29,519.0,520.0,507.6,507.6,66181.0,backfill_api
2025-12-31,505.0,524.6,499.2,510.0,349744.0,backfill_api
2026-01-01,501.1,509.9,499.1,501.0,60355.0,backfill_api
2026-01-04,500.0,500.0,495.0,499.0,12278.0,backfill_api
2026-01-05,499.0,512.0,495.0,510.0,38671.0,backfill_api
2026-01-06,510.0,517.0,499.0,514.0,64465.0,backfill_api
2026-01-07,510.0,511.4,497.5,503.9,54437.0,backfill_api
2026-01-08,497.0,505.0,497.0,498.0,43591.0,backfill_api
2026-01-12,495.0,502.0,492.0,495.0,59275.0,backfill_api
2026-01-13,500.0,505.0,490.1,497.8,73111.0,backfill_api
2026-01-14,497.8,504.6,490.0,502.8,184300.0,backfill_api
2026-01-18,506.6,506.7,495.0,504.0,106299.0,backfill_api
2026-01-20,503.0,530.0,500.0,524.8,594345.0,backfill_api
2026-01-21,524.0,527.5,512.2,516.0,51919.0,backfill_api
2026-01-22,522.0,522.0,504.0,515.0,139871.0,backfill_api
2026-01-25,505.0,564.0,505.0,536.0,769160.0,backfill_api
2026-01-26,538.0,538.0,519.0,530.0,163280.0,backfill_api
2026-01-27,530.0,533.8,508.0,510.1,118436.0,backfill_api
2026-01-28,499.9,540.0,499.9,506.6,183514.0,backfill_api
2026-01-29,506.6,514.9,504.0,507.0,145066.0,backfill_api
2026-02-01,509.0,509.0,499.0,502.0,86568.0,backfill_api
2026-02-02,506.0,506.0,495.6,498.0,76091.0,backfill_api
2026-02-03,499.0,503.0,490.3,496.0,79175.0,backfill_api
2026-02-04,492.0,503.0,489.0,491.9,114918.0,backfill_api
2026-02-05,498.9,501.7,489.5,492.0,101265.0,backfill_api
2026-02-08,500.0,503.0,490.0,494.9,117726.0,backfill_api
2026-02-09,494.1,499.0,487.1,487.5,64777.0,backfill_api
2026-02-10,488.0,494.5,481.0,481.5,69172.0,backfill_api
2026-02-11,485.0,490.0,481.5,482.9,32515.0,backfill_api
2026-02-12,474.0,495.5,474.0,486.3,71630.0,backfill_api
2026-02-16,495.0,503.9,485.0,490.0,31932.0,backfill_api
2026-02-17,484.2,488.8,482.0,485.0,56423.0,backfill_api
2026-02-22,488.0,489.0,479.1,480.0,41135.0,backfill_api
2026-02-23,479.1,484.9,479.1,479.4,39517.0,backfill_api
2026-02-24,480.1,484.0,480.1,482.1,12527.0,backfill_api
2026-02-25,480.0,489.0,480.0,485.0,19225.0,backfill_api
2026-02-26,486.0,486.0,482.9,484.5,28822.0,backfill_api
2026-03-01,480.0,489.5,480.0,486.0,45641.0,backfill_api
2026-03-03,484.0,496.0,484.0,494.8,30488.0,backfill_api
2026-03-09,504.6,535.0,504.6,535.0,198.0,backfill_api
2026-03-10,540.0,540.0,500.1,518.6,361048.0,backfill_api
2026-03-11,520.0,525.0,510.0,510.0,66265.0,backfill_api
2026-03-12,512.0,516.9,507.0,514.9,71439.0,backfill_api
2026-03-15,505.0,566.1,505.0,513.0,247620.0,backfill_api
2026-03-16,521.9,521.9,507.3,510.5,53090.0,backfill_api
2026-03-17,510.0,511.0,499.3,510.0,87618.0,backfill_api
2026-03-19,510.5,517.0,510.0,511.5,144633.0,backfill_api
2026-03-22,515.0,520.0,511.0,517.5,114311.0,backfill_api
2026-03-23,515.0,526.0,515.0,526.0,127195.0,backfill_api
2026-03-24,531.0,532.0,518.5,528.0,83725.0,backfill_api
2026-03-25,525.0,526.0,510.6,516.0,80275.0,backfill_api
2026-03-26,515.0,521.0,512.0,516.3,65384.0,backfill_api
2026-03-29,516.0,520.0,502.0,507.0,99489.0,backfill_api
2026-03-30,500.0,513.0,496.9,501.0,75786.0,backfill_api
2026-03-31,508.9,508.9,494.1,500.0,44172.0,backfill_api
2026-04-01,495.1,500.0,489.0,490.0,52383.0,backfill_api
2026-04-02,487.1,496.7,483.3,491.0,39500.0,backfill_api
2026-04-05,486.5,486.5,470.0,473.5,70113.0,backfill_api
2026-04-06,475.0,493.6,475.0,489.9,30454.0,backfill_api
2026-04-07,495.0,495.0,483.2,484.6,29648.0,backfill_api
2026-04-08,485.0,494.0,485.0,494.0,19935.0,backfill_api
2026-04-09,500.0,503.0,490.0,503.0,33884.0,backfill_api
2026-04-10,503.0,505.0,493.0,500.0,29957.0,backfill_api
2026-04-13,496.0,503.0,496.0,500.0,29304.0,backfill_api
2026-04-15,500.0,510.0,500.0,504.5,35799.0,backfill_api
2026-04-16,505.0,507.0,496.3,506.0,43755.0,backfill_api
2026-04-17,508.0,508.0,497.5,507.0,21664.0,backfill_api
2026-04-20,507.0,507.0,497.6,498.0,16489.0,backfill_api
2026-04-21,495.1,500.0,491.3,496.0,10254.0,backfill_api
2026-04-22,499.0,500.0,487.0,500.0,19092.0,backfill_api
2026-04-23,500.0,502.0,493.0,498.0,23720.0,backfill_api
2026-04-24,484.0,500.0,484.0,500.0,23922.0,backfill_api
2026-04-27,500.0,501.0,490.3,495.0,10890.0,backfill_api
2026-04-28,495.0,496.0,488.2,488.4,16264.0,backfill_api
2026-04-29,488.4,490.0,484.0,488.0,12990.0,backfill_api
2026-04-30,480.2,489.0,480.0,487.5,26961.0,backfill_api
2026-05-04,480.0,491.0,475.0,487.0,12281.0,backfill_api
2026-05-05,477.0,490.0,477.0,485.9,4638.0,backfill_api
2026-05-06,485.0,488.0,484.0,485.5,9467.0,backfill_api
2026-05-07,480.0,491.0,478.0,486.1,14418.0,backfill_api
2026-05-08,485.0,492.0,482.6,489.0,7506.0,backfill_api
2026-05-11,490.0,496.1,488.0,496.0,19339.0,backfill_api
2026-05-12,499.0,499.0,489.1,490.0,10516.0,backfill_api
2026-05-13,485.0,492.0,480.3,487.2,6383.0,backfill_api
2026-05-14,482.1,491.0,480.1,486.4,20015.0,backfill_api
2026-05-15,481.1,494.0,481.1,486.3,8812.0,backfill_api
2026-05-18,486.0,495.0,481.5,493.9,27588.0,backfill_api
2026-05-19,494.0,494.0,487.0,490.0,12129.0,backfill_api
2026-05-20,487.1,494.0,487.1,492.5,7226.0,backfill_api
2026-05-21,492.0,496.0,488.0,490.0,8346.0,backfill_api
2026-05-22,486.0,492.0,486.0,491.9,17182.0,backfill_api
2026-05-25,492.0,500.0,492.0,499.0,18429.0,backfill_api
2026-05-26,491.1,500.0,491.1,497.0,17789.0,backfill_api
2026-05-27,502.0,503.0,495.0,499.6,23220.0,backfill_api
2026-06-01,491.0,500.0,490.0,490.7,7253.0,backfill_api
2026-06-02,485.0,495.0,485.0,490.0,7503.0,backfill_api
2026-06-03,490.0,495.0,488.0,490.0,16752.0,backfill_api
2026-06-04,504.7,504.7,489.5,492.0,13236.0,backfill_api
2026-06-05,489.0,497.0,489.0,490.0,15808.0,backfill_api
2026-06-08,488.0,491.0,487.5,490.0,13485.0,backfill_api
2026-06-09,485.0,493.9,483.0,492.9,15877.0,backfill_api
2026-06-10,490.0,500.0,490.0,492.0,17557.0,backfill_api
2026-06-11,485.3,493.0,485.3,489.8,8603.0,backfill_api
2026-06-12,483.2,492.0,483.2,489.0,8656.0,backfill_api
2026-06-15,485.1,492.0,485.1,486.5,20007.0,backfill_api
2026-06-16,484.0,488.0,484.0,485.2,6644.0,backfill_api
2026-06-17,489.0,490.0,482.1,482.6,10580.0,backfill_api
2026-06-18,480.0,489.5,480.0,484.0,5013.0,backfill_api
2026-06-19,484.0,488.0,480.0,483.5,12913.0,backfill_api
2026-06-22,483.5,489.0,480.2,483.1,6993.0,backfill_api
2026-06-23,487.0,487.0,480.2,482.0,4255.0,backfill_api
2026-06-24,484.0,484.0,475.1,476.5,13248.0,backfill_api
2026-06-25,480.0,480.0,476.0,478.0,2150.0,backfill_api
2026-06-26,477.3,480.0,477.3,477.6,13040.0,backfill_api
2026-06-29,477.0,477.0,470.0,470.0,15207.0,backfill_api
2026-06-30,471.0,472.0,465.1,465.8,6598.0,backfill_api
2026-07-01,467.0,479.0,465.8,475.0,5464.0,backfill_api
2026-07-02,475.0,475.0,470.1,475.0,5508.0,backfill_api
2026-07-03,476.0,480.0,473.2,476.9,3925.0,backfill_api
2026-07-06,474.0,480.0,473.0,473.1,3052.0,backfill_api
2026-07-07,472.0,482.5,470.0,475.0,15252.0,backfill_api
2026-07-08,467.3,474.9,467.3,473.0,4501.0,backfill_api
2026-07-09,466.2,470.0,466.1,470.0,6136.0,backfill_api
2026-07-10,461.0,480.0,461.0,469.8,4931.0,backfill_api
2026-07-13,462.0,475.0,462.0,470.0,9604.0,backfill_api
2026-07-14,463.0,480.0,463.0,466.0,10331.0,backfill_api
2026-07-15,466.0,479.9,466.0,470.0,3334.0,backfill_api
2026-07-16,468.0,480.0,467.0,480.0,18946.0,backfill_api
2026-07-17,474.3,491.3,474.3,491.3,14130.0,backfill_api
2026-07-20,495.0,500.0,485.3,497.0,12533.0,backfill_api
2026-07-21,496.0,497.0,488.0,492.0,21058.0,backfill_api
2026-07-22,486.0,492.0,485.0,490.0,12399.0,backfill_api
2026-07-23,480.2,490.0,480.2,490.0,5271.0,daily_scrape
2026-07-24,482.0,492.8,482.0,485.0,15952.0,daily_scrape
