date,open,high,low,close,volume,source
2025-02-27,1500.0,1545.5,1490.0,1525.0,46797.0,backfill_api
2025-03-02,1520.0,1580.0,1511.3,1575.0,63071.0,backfill_api
2025-03-03,1590.0,1600.0,1545.0,1549.0,46062.0,backfill_api
2025-03-04,1560.0,1565.0,1505.0,1512.0,60429.0,backfill_api
2025-03-05,1525.0,1539.0,1496.1,1500.0,32789.0,backfill_api
2025-03-06,1491.1,1518.0,1488.0,1490.0,27044.0,backfill_api
2025-03-09,1460.2,1470.0,1403.2,1434.0,99738.0,backfill_api
2025-03-10,1410.0,1450.0,1400.0,1405.0,32581.0,backfill_api
2025-03-11,1432.9,1432.9,1351.0,1359.9,28254.0,backfill_api
2025-03-12,1385.9,1409.0,1340.0,1392.0,34591.0,backfill_api
2025-03-16,1370.2,1380.0,1336.1,1345.0,25085.0,backfill_api
2025-03-17,1340.0,1360.0,1320.0,1339.0,27886.0,backfill_api
2025-03-18,1344.0,1353.0,1313.0,1318.0,33899.0,backfill_api
2025-03-19,1304.0,1344.0,1304.0,1327.0,14931.0,backfill_api
2025-03-20,1327.0,1340.0,1315.0,1328.5,14434.0,backfill_api
2025-03-23,1325.0,1331.1,1279.0,1282.83,36890.0,backfill_api
2025-03-24,1260.1,1304.0,1253.0,1257.85,49128.0,backfill_api
2025-03-25,1240.0,1260.0,1194.9,1199.15,37004.0,backfill_api
2025-03-26,1199.15,1279.9,1195.0,1252.71,28107.0,backfill_api
2025-03-27,1246.0,1305.0,1240.0,1300.63,31674.0,backfill_api
2025-03-30,1280.0,1346.0,1280.0,1323.11,38228.0,backfill_api
2025-04-01,1323.11,1334.0,1276.0,1307.65,50954.0,backfill_api
2025-04-02,1287.0,1401.0,1287.0,1396.46,74922.0,backfill_api
2025-04-03,1410.0,1437.0,1370.1,1378.32,57061.0,backfill_api
2025-04-07,1378.0,1380.0,1335.3,1339.03,43956.0,backfill_api
2025-04-08,1335.0,1348.8,1300.1,1339.61,27251.0,backfill_api
2025-04-09,1315.0,1400.0,1315.0,1384.39,38715.0,backfill_api
2025-04-10,1395.1,1398.9,1367.0,1376.22,24467.0,backfill_api
2025-04-13,1356.0,1389.0,1356.0,1368.77,30187.0,backfill_api
2025-04-15,1367.0,1456.0,1367.0,1441.37,82681.0,backfill_api
2025-04-16,1460.0,1469.8,1402.0,1415.74,27913.0,backfill_api
2025-04-17,1400.0,1459.0,1400.0,1418.07,49654.0,backfill_api
2025-04-20,1420.0,1439.9,1375.1,1381.09,33311.0,backfill_api
2025-04-21,1353.5,1400.0,1353.5,1373.15,25729.0,backfill_api
2025-04-22,1346.0,1387.0,1335.0,1346.25,35087.0,backfill_api
2025-04-23,1327.9,1353.9,1310.0,1322.99,32506.0,backfill_api
2025-04-24,1316.0,1392.0,1316.0,1378.11,29297.0,backfill_api
2025-04-27,1380.0,1400.0,1350.0,1355.49,38326.0,backfill_api
2025-04-28,1382.0,1382.0,1330.0,1333.25,22148.0,backfill_api
2025-04-29,1306.6,1328.0,1306.6,1311.01,36947.0,backfill_api
2025-04-30,1318.0,1319.9,1293.6,1297.02,26763.0,backfill_api
2025-05-04,1317.9,1317.9,1285.0,1286.12,26329.0,backfill_api
2025-05-05,1296.0,1300.1,1280.0,1288.47,15600.0,backfill_api
2025-05-06,1290.0,1290.0,1270.0,1273.19,17488.0,backfill_api
2025-05-07,1273.19,1322.9,1253.0,1295.54,25635.0,backfill_api
2025-05-08,1282.0,1300.0,1260.0,1267.17,22794.0,backfill_api
2025-05-11,1270.0,1280.0,1248.0,1250.96,24903.0,backfill_api
2025-05-13,1250.0,1265.0,1231.0,1236.47,24341.0,backfill_api
2025-05-14,1240.0,1244.9,1230.0,1231.86,17752.0,backfill_api
2025-05-15,1256.4,1256.4,1223.0,1225.0,18469.0,backfill_api
2025-05-18,1244.0,1244.0,1221.0,1228.19,15239.0,backfill_api
2025-05-19,1252.7,1277.9,1230.0,1253.05,17093.0,backfill_api
2025-05-20,1253.5,1300.0,1235.0,1285.47,13374.0,backfill_api
2025-05-21,1311.1,1363.7,1260.2,1268.38,33527.0,backfill_api
2025-05-22,1268.38,1290.0,1255.0,1258.56,8281.0,backfill_api
2025-05-25,1283.7,1283.7,1240.0,1246.7,9846.0,backfill_api
2025-05-26,1271.6,1297.0,1240.0,1242.97,11033.0,backfill_api
2025-05-27,1255.0,1255.0,1230.0,1234.6,14535.0,backfill_api
2025-05-28,1259.2,1259.2,1198.0,1235.67,12899.0,backfill_api
2025-06-02,1260.0,1266.0,1241.1,1248.99,12403.0,backfill_api
2025-06-03,1248.99,1250.0,1230.0,1232.52,12353.0,backfill_api
2025-06-04,1222.0,1240.0,1222.0,1226.65,6621.0,backfill_api
2025-06-05,1240.0,1240.0,1223.1,1227.11,10770.0,backfill_api
2025-06-08,1226.0,1233.0,1212.1,1218.06,8621.0,backfill_api
2025-06-09,1220.0,1260.0,1213.0,1249.82,21565.0,backfill_api
2025-06-10,1274.8,1275.0,1250.0,1260.78,14039.0,backfill_api
2025-06-11,1246.1,1267.0,1235.0,1235.86,8129.0,backfill_api
2025-06-12,1235.0,1235.0,1220.0,1224.08,21767.0,backfill_api
2025-06-15,1227.0,1234.0,1211.0,1215.13,13589.0,backfill_api
2025-06-16,1194.6,1244.0,1194.6,1229.77,21740.0,backfill_api
2025-06-17,1220.1,1245.0,1220.1,1231.95,16653.0,backfill_api
2025-06-18,1235.0,1241.0,1220.0,1221.15,12626.0,backfill_api
2025-06-19,1243.0,1243.0,1215.2,1216.32,22379.0,backfill_api
2025-06-22,1216.32,1229.9,1210.0,1212.74,10785.0,backfill_api
2025-06-23,1201.1,1225.0,1201.1,1206.36,9899.0,backfill_api
2025-06-24,1215.0,1225.0,1206.0,1212.55,8086.0,backfill_api
2025-06-25,1229.9,1229.9,1205.0,1210.3,7860.0,backfill_api
2025-06-26,1210.3,1220.0,1201.0,1202.08,9229.0,backfill_api
2025-06-29,1202.0,1217.7,1200.0,1204.43,11750.0,backfill_api
2025-06-30,1228.5,1228.5,1189.9,1193.68,20087.0,backfill_api
2025-07-01,1193.68,1230.0,1180.3,1217.44,26273.0,backfill_api
2025-07-02,1241.7,1265.0,1220.0,1239.0,49162.0,backfill_api
2025-07-03,1246.1,1246.1,1220.0,1222.42,21666.0,backfill_api
2025-07-06,1240.0,1240.0,1200.5,1228.22,24323.0,backfill_api
2025-07-07,1252.7,1252.7,1200.0,1207.37,22908.0,backfill_api
2025-07-08,1205.0,1217.9,1197.0,1204.09,23192.0,backfill_api
2025-07-09,1204.0,1225.0,1204.0,1214.55,12977.0,backfill_api
2025-07-10,1224.0,1236.0,1215.0,1223.05,31151.0,backfill_api
2025-07-13,1247.5,1250.0,1225.0,1229.82,26880.0,backfill_api
2025-07-14,1233.0,1236.0,1206.1,1211.03,20730.0,backfill_api
2025-07-15,1211.0,1235.0,1211.0,1222.24,14716.0,backfill_api
2025-07-16,1228.0,1238.0,1215.0,1220.14,20319.0,backfill_api
2025-07-17,1223.0,1275.0,1223.0,1260.33,47772.0,backfill_api
2025-07-20,1285.5,1300.0,1245.0,1250.91,48474.0,backfill_api
2025-07-21,1225.9,1289.0,1225.9,1274.02,51044.0,backfill_api
2025-07-22,1285.0,1360.0,1285.0,1355.32,57954.0,backfill_api
2025-07-23,1382.4,1382.4,1314.2,1341.34,46549.0,backfill_api
2025-07-24,1316.1,1355.0,1316.1,1339.82,46037.0,backfill_api
2025-07-27,1342.0,1351.0,1285.0,1298.07,42965.0,backfill_api
2025-07-28,1276.0,1309.9,1265.0,1298.88,47180.0,backfill_api
2025-07-29,1324.0,1354.0,1305.1,1334.69,54054.0,backfill_api
2025-07-30,1349.9,1355.0,1300.0,1306.19,51158.0,backfill_api
2025-07-31,1332.3,1332.3,1286.0,1293.07,42140.0,backfill_api
2025-08-03,1267.3,1318.0,1258.0,1260.61,25234.0,backfill_api
2025-08-04,1280.0,1280.0,1246.0,1255.34,19568.0,backfill_api
2025-08-05,1280.0,1280.0,1231.0,1233.84,15530.0,backfill_api
2025-08-06,1247.0,1265.0,1230.0,1239.68,12582.0,backfill_api
2025-08-07,1230.0,1265.0,1230.0,1248.05,13208.0,backfill_api
2025-08-11,1248.2,1255.0,1225.0,1227.65,12971.0,backfill_api
2025-08-12,1215.0,1227.8,1210.0,1214.98,14457.0,backfill_api
2025-08-13,1214.98,1234.7,1214.98,1218.52,10892.0,backfill_api
2025-08-14,1220.0,1241.9,1194.2,1229.29,22105.0,backfill_api
2025-08-17,1245.0,1245.0,1215.0,1236.98,21818.0,backfill_api
2025-08-18,1238.0,1252.5,1232.1,1241.77,18420.0,backfill_api
2025-08-19,1266.5,1287.0,1230.0,1234.55,26496.0,backfill_api
2025-08-20,1259.2,1280.0,1236.0,1247.09,23030.0,backfill_api
2025-08-21,1264.8,1264.8,1240.0,1242.15,16262.0,backfill_api
2025-08-24,1240.0,1259.0,1235.0,1239.74,8106.0,backfill_api
2025-08-25,1245.0,1249.0,1232.2,1246.37,12843.0,backfill_api
2025-08-26,1246.0,1246.0,1230.1,1239.71,8010.0,backfill_api
2025-08-27,1245.0,1270.0,1236.5,1265.23,26106.0,backfill_api
2025-08-28,1275.0,1280.0,1255.6,1258.99,55660.0,backfill_api
2025-08-31,1140.0,1162.8,1125.0,1129.99,36340.0,backfill_api
2025-09-01,1144.0,1148.0,1105.0,1109.1,9519.0,backfill_api
2025-09-02,1107.0,1115.0,1090.1,1091.66,7546.0,backfill_api
2025-09-03,1090.0,1090.0,1070.0,1071.42,5647.0,backfill_api
2025-09-04,1062.0,1083.1,1053.6,1059.41,10363.0,backfill_api
2025-09-07,1070.0,1070.0,1034.0,1038.9,10513.0,backfill_api
2025-09-08,1058.9,1058.9,997.1,1001.19,12715.0,backfill_api
2025-09-18,981.2,981.2,920.0,920.0,511.0,backfill_api
2025-09-21,902.0,1011.0,884.0,1003.27,22076.0,backfill_api
2025-09-23,1004.0,1029.0,990.1,1020.0,8041.0,backfill_api
2025-09-24,1020.0,1020.0,985.1,990.0,9064.0,backfill_api
2025-09-25,990.0,1005.0,985.1,1000.0,2986.0,backfill_api
2025-09-28,1020.0,1020.0,980.0,1001.0,6570.0,backfill_api
2025-10-07,1005.0,1005.0,979.0,983.0,3665.0,backfill_api
2025-10-08,970.0,972.0,930.0,955.0,15829.0,backfill_api
2025-10-09,973.6,1050.0,973.6,978.0,12739.0,backfill_api
2025-10-12,970.0,980.0,920.0,939.5,13271.0,backfill_api
2025-10-13,939.0,960.0,921.0,957.0,8041.0,backfill_api
2025-10-14,970.0,970.0,928.0,940.0,4479.0,backfill_api
2025-10-15,930.0,940.0,920.1,924.0,4256.0,backfill_api
2025-10-16,908.0,940.0,908.0,920.0,5901.0,backfill_api
2025-10-19,925.0,925.0,906.0,914.9,5866.0,backfill_api
2025-10-26,910.0,910.0,890.0,904.0,8277.0,backfill_api
2025-10-28,905.0,950.0,905.0,943.0,10207.0,backfill_api
2025-10-29,950.0,955.0,915.0,930.0,12569.0,backfill_api
2025-10-30,912.0,960.0,912.0,951.0,7518.0,backfill_api
2025-11-02,960.0,974.0,946.0,974.0,8049.0,backfill_api
2025-11-03,965.0,982.9,960.0,963.0,9990.0,backfill_api
2025-11-04,975.0,975.0,941.0,954.3,10098.0,backfill_api
2025-11-05,945.0,954.9,940.0,954.9,5615.0,backfill_api
2025-11-06,954.9,959.9,941.3,945.0,6847.0,backfill_api
2025-11-09,932.0,936.0,930.0,933.1,5044.0,backfill_api
2025-11-10,915.2,939.5,915.0,928.0,7116.0,backfill_api
2025-11-11,928.0,928.0,912.0,925.0,2463.0,backfill_api
2025-11-12,926.0,927.0,906.5,919.9,8593.0,backfill_api
2025-11-13,920.0,923.0,910.0,919.0,4865.0,backfill_api
2025-11-16,919.0,919.0,908.0,910.0,4851.0,backfill_api
2025-11-17,910.0,915.0,901.0,909.7,8967.0,backfill_api
2025-11-18,901.2,925.0,901.1,920.0,8547.0,backfill_api
