date,open,high,low,close,volume,source
2025-02-27,650.0,650.0,637.1,648.5,19412.0,backfill_api
2025-03-02,661.0,673.0,650.0,672.0,58205.0,backfill_api
2025-03-03,685.0,685.0,660.0,663.0,55954.0,backfill_api
2025-03-04,656.0,680.0,656.0,660.0,35858.0,backfill_api
2025-03-05,665.0,665.0,648.0,654.8,32941.0,backfill_api
2025-03-06,667.0,667.0,644.0,653.0,26380.0,backfill_api
2025-03-09,645.0,660.0,637.0,642.0,26159.0,backfill_api
2025-03-10,642.0,650.0,630.0,639.9,24375.0,backfill_api
2025-03-11,635.0,640.0,626.0,633.9,25977.0,backfill_api
2025-03-12,644.8,644.8,630.4,637.0,16569.0,backfill_api
2025-03-16,637.0,637.0,625.0,626.9,8285.0,backfill_api
2025-03-17,630.0,634.8,623.0,629.9,7629.0,backfill_api
2025-03-18,629.9,634.9,625.0,629.0,7598.0,backfill_api
2025-03-19,628.0,631.0,620.0,621.8,10510.0,backfill_api
2025-03-20,620.0,620.0,613.6,613.82,12287.0,backfill_api
2025-03-23,610.0,610.0,598.0,599.5,25318.0,backfill_api
2025-03-24,595.1,611.4,593.2,604.55,10797.0,backfill_api
2025-03-25,596.0,599.0,584.1,590.04,27369.0,backfill_api
2025-03-26,591.0,602.0,585.2,600.0,11614.0,backfill_api
2025-03-27,590.0,610.9,590.0,606.42,19585.0,backfill_api
2025-03-30,614.1,618.3,605.3,614.13,14257.0,backfill_api
2025-04-01,614.1,614.1,597.0,601.79,17986.0,backfill_api
2025-04-02,592.0,613.0,592.0,609.08,9047.0,backfill_api
2025-04-03,605.1,612.0,602.0,604.16,9918.0,backfill_api
2025-04-07,597.1,607.0,592.0,592.68,9010.0,backfill_api
2025-04-08,589.0,604.5,582.1,597.87,17267.0,backfill_api
2025-04-09,598.0,607.0,595.0,600.27,21236.0,backfill_api
2025-04-10,602.0,603.9,595.0,599.7,7102.0,backfill_api
2025-04-13,593.4,596.5,590.0,591.18,6897.0,backfill_api
2025-04-15,602.0,609.0,591.0,598.96,15086.0,backfill_api
2025-04-16,600.0,605.0,600.0,603.95,9262.0,backfill_api
2025-04-17,614.0,615.0,601.8,613.35,12179.0,backfill_api
2025-04-20,615.0,617.6,605.0,609.3,4547.0,backfill_api
2025-04-21,603.0,607.0,597.5,598.38,9043.0,backfill_api
2025-04-22,596.6,600.0,595.0,597.12,9574.0,backfill_api
2025-04-23,590.0,595.0,575.0,588.51,31559.0,backfill_api
2025-04-24,578.6,589.0,578.0,580.61,34503.0,backfill_api
2025-04-27,592.2,592.2,573.0,577.54,22085.0,backfill_api
2025-04-28,580.0,587.0,577.1,579.19,6458.0,backfill_api
2025-04-29,579.0,579.0,566.6,570.39,18571.0,backfill_api
2025-04-30,565.0,575.0,564.1,567.0,17715.0,backfill_api
2025-05-04,567.0,577.0,564.0,566.36,11368.0,backfill_api
2025-05-05,577.0,577.0,561.2,564.69,14847.0,backfill_api
2025-05-06,559.0,571.0,559.0,565.21,24647.0,backfill_api
2025-05-07,555.0,587.9,555.0,585.52,20948.0,backfill_api
2025-05-08,574.0,595.0,574.0,581.49,16284.0,backfill_api
2025-05-11,585.0,585.0,572.1,572.73,8418.0,backfill_api
2025-05-13,576.0,582.9,572.0,574.2,12600.0,backfill_api
2025-05-14,573.0,573.0,565.3,567.19,16078.0,backfill_api
2025-05-15,567.0,578.5,564.0,565.88,10592.0,backfill_api
2025-05-18,560.5,574.0,560.5,564.89,8460.0,backfill_api
2025-05-19,557.0,577.0,557.0,567.83,19715.0,backfill_api
2025-05-20,567.0,589.8,565.0,585.68,14582.0,backfill_api
2025-05-21,597.3,621.0,580.0,580.42,30809.0,backfill_api
2025-05-22,581.0,583.0,560.0,578.6,28314.0,backfill_api
2025-05-25,587.0,598.0,565.0,570.5,31651.0,backfill_api
2025-05-26,581.9,599.9,565.5,568.38,23795.0,backfill_api
2025-05-27,570.0,575.0,566.3,571.0,5054.0,backfill_api
2025-05-28,572.0,581.0,560.5,569.14,11324.0,backfill_api
2025-06-02,580.5,580.5,570.2,570.93,8396.0,backfill_api
2025-06-03,565.0,586.0,565.0,580.51,38135.0,backfill_api
