date,open,high,low,close,volume,source
2025-02-27,575.0,603.9,575.0,590.9,20678.0,backfill_api
2025-03-02,580.0,603.0,580.0,590.0,35006.0,backfill_api
2025-03-03,584.0,607.4,576.3,585.0,30016.0,backfill_api
2025-03-04,580.0,595.09,566.0,575.0,22981.0,backfill_api
2025-03-05,563.5,605.0,553.0,580.0,21077.0,backfill_api
2025-03-06,570.0,602.0,570.0,578.9,18857.0,backfill_api
2025-03-09,570.0,603.0,560.6,562.0,21214.0,backfill_api
2025-03-10,551.0,571.9,530.0,557.0,18342.0,backfill_api
2025-03-11,550.0,572.0,533.3,540.0,14784.0,backfill_api
2025-03-12,535.0,553.0,531.0,538.0,8651.0,backfill_api
2025-03-16,530.0,551.0,515.1,517.0,16540.0,backfill_api
2025-03-17,517.0,529.9,510.0,510.0,11583.0,backfill_api
2025-03-18,505.0,525.0,502.1,514.0,9256.0,backfill_api
2025-03-19,510.0,524.0,500.5,509.9,10937.0,backfill_api
2025-03-20,505.0,520.0,495.0,497.33,15774.0,backfill_api
2025-03-23,493.0,500.0,483.0,487.79,9822.0,backfill_api
2025-03-24,488.0,505.0,482.0,501.78,14531.0,backfill_api
2025-03-25,492.0,501.0,471.0,477.28,16620.0,backfill_api
2025-03-26,478.0,500.0,459.2,496.72,13075.0,backfill_api
2025-03-27,498.0,509.3,485.4,504.68,13161.0,backfill_api
2025-03-30,495.0,519.3,495.0,509.39,12096.0,backfill_api
2025-04-01,502.0,545.0,492.0,503.8,16092.0,backfill_api
2025-04-02,500.0,513.0,490.0,507.36,14542.0,backfill_api
2025-04-03,500.0,518.0,500.0,506.39,12565.0,backfill_api
2025-04-07,500.0,511.0,490.0,490.97,7140.0,backfill_api
2025-04-08,492.0,496.7,480.0,488.38,8509.0,backfill_api
2025-04-09,490.0,503.0,480.0,483.59,9123.0,backfill_api
2025-04-10,480.1,498.6,480.1,483.06,4274.0,backfill_api
2025-04-13,492.7,492.7,476.0,477.32,10695.0,backfill_api
2025-04-15,486.8,489.0,470.0,479.04,10283.0,backfill_api
2025-04-16,480.0,480.0,468.5,473.31,25964.0,backfill_api
2025-04-17,482.6,487.0,464.4,479.8,14117.0,backfill_api
2025-04-20,470.3,490.0,470.3,481.62,9489.0,backfill_api
2025-04-21,475.0,481.0,472.0,476.57,8292.0,backfill_api
2025-04-22,475.0,494.0,470.0,478.24,10426.0,backfill_api
2025-04-23,480.0,487.0,465.0,478.5,10115.0,backfill_api
2025-04-24,475.0,480.0,463.0,464.45,10469.0,backfill_api
2025-04-27,455.2,464.3,441.2,447.76,28294.0,backfill_api
2025-04-28,445.0,465.0,433.0,434.75,11270.0,backfill_api
2025-04-29,435.0,438.5,410.1,417.1,21350.0,backfill_api
2025-04-30,409.0,428.9,401.0,420.67,25570.0,backfill_api
2025-05-04,413.0,422.0,406.7,409.67,19753.0,backfill_api
2025-05-05,401.5,414.0,401.0,404.99,8011.0,backfill_api
2025-05-06,400.0,419.3,399.1,410.81,25119.0,backfill_api
2025-05-07,405.0,434.4,405.0,426.93,22498.0,backfill_api
2025-05-08,420.0,435.0,420.0,427.78,13704.0,backfill_api
2025-05-11,436.3,470.5,436.3,470.5,44252.0,backfill_api
2025-05-13,479.9,499.1,458.0,459.98,74974.0,backfill_api
2025-05-14,469.1,478.0,441.0,442.52,17599.0,backfill_api
2025-05-15,443.0,443.0,429.1,432.51,14080.0,backfill_api
2025-05-18,441.1,441.1,425.0,426.0,9695.0,backfill_api
2025-05-19,425.0,434.0,425.0,428.72,6357.0,backfill_api
2025-05-20,435.0,435.0,424.0,433.05,14039.0,backfill_api
2025-05-21,441.7,450.0,432.0,432.29,10998.0,backfill_api
2025-05-22,427.3,436.0,425.0,426.38,10800.0,backfill_api
2025-05-25,425.0,426.0,418.0,423.25,7465.0,backfill_api
2025-05-26,428.9,435.0,421.0,424.33,4107.0,backfill_api
2025-05-27,432.8,441.0,417.6,422.12,2628.0,backfill_api
2025-05-28,422.0,429.9,415.0,422.95,14433.0,backfill_api
2025-06-02,430.0,430.0,417.0,419.14,3312.0,backfill_api
2025-06-03,426.9,426.9,414.0,414.41,5885.0,backfill_api
2025-06-04,407.0,418.0,407.0,410.62,8527.0,backfill_api
2025-06-05,418.0,418.0,405.7,407.22,5888.0,backfill_api
2025-06-08,407.22,407.5,401.0,402.28,5626.0,backfill_api
2025-06-09,400.0,429.0,400.0,427.45,21297.0,backfill_api
2025-06-10,432.5,434.0,418.7,420.47,9463.0,backfill_api
2025-06-11,420.0,420.0,408.0,413.53,8667.0,backfill_api
2025-06-12,413.0,423.5,410.0,411.26,16656.0,backfill_api
2025-06-15,406.0,417.0,406.0,413.89,6716.0,backfill_api
2025-06-16,414.0,419.8,409.3,411.13,14104.0,backfill_api
2025-06-17,411.1,415.5,408.0,409.96,6958.0,backfill_api
2025-06-18,406.2,414.0,404.0,407.29,10936.0,backfill_api
2025-06-19,408.0,415.0,407.0,407.9,10366.0,backfill_api
2025-06-22,407.9,414.0,400.1,402.54,6530.0,backfill_api
2025-06-23,402.0,404.0,393.0,394.12,9557.0,backfill_api
2025-06-24,387.4,412.0,385.0,386.33,15600.0,backfill_api
2025-06-25,394.0,415.9,380.0,390.08,18748.0,backfill_api
2025-06-26,388.0,396.0,383.1,385.76,12549.0,backfill_api
2025-06-29,385.0,390.0,383.0,386.97,9605.0,backfill_api
2025-06-30,387.0,389.5,381.0,381.44,19135.0,backfill_api
2025-07-01,382.0,395.0,382.0,393.92,9320.0,backfill_api
2025-07-02,400.0,413.9,400.0,407.94,21082.0,backfill_api
2025-07-03,410.0,410.0,398.7,400.96,17314.0,backfill_api
2025-07-06,400.0,409.3,395.2,403.84,7381.0,backfill_api
2025-07-07,402.4,402.4,393.0,399.87,13367.0,backfill_api
2025-07-08,395.0,402.9,395.0,399.37,10624.0,backfill_api
2025-07-09,396.0,407.0,396.0,404.91,18265.0,backfill_api
2025-07-10,407.9,407.9,395.0,396.58,25961.0,backfill_api
2025-07-13,388.7,388.7,357.0,357.21,681711.0,backfill_api
2025-07-14,357.5,387.0,351.0,373.21,155897.0,backfill_api
2025-07-15,366.0,386.0,360.0,371.13,51366.0,backfill_api
2025-07-16,371.0,371.5,355.4,367.48,132116.0,backfill_api
2025-07-17,371.0,385.0,366.0,379.27,191920.0,backfill_api
2025-07-20,379.0,409.9,375.0,388.46,175482.0,backfill_api
2025-07-21,390.0,394.0,381.0,384.89,97722.0,backfill_api
2025-07-22,384.0,392.5,384.0,388.75,91361.0,backfill_api
2025-07-23,390.1,394.0,385.2,389.11,87890.0,backfill_api
2025-07-24,388.0,425.0,384.0,421.83,334389.0,backfill_api
2025-07-27,430.2,459.0,428.0,444.27,361315.0,backfill_api
2025-07-28,453.0,453.0,423.0,434.15,275578.0,backfill_api
2025-07-29,442.5,442.5,425.0,427.17,171884.0,backfill_api
2025-07-30,435.0,435.0,415.3,415.89,145282.0,backfill_api
2025-07-31,416.0,420.0,405.0,406.4,108223.0,backfill_api
2025-08-03,404.0,410.0,400.1,401.28,94308.0,backfill_api
2025-08-04,402.1,408.0,390.0,397.89,115066.0,backfill_api
2025-08-05,405.0,405.7,392.1,394.08,57143.0,backfill_api
2025-08-06,392.2,398.0,389.1,391.36,38272.0,backfill_api
2025-08-07,391.0,397.9,390.0,392.5,44341.0,backfill_api
2025-08-11,395.0,400.3,385.1,386.0,37210.0,backfill_api
2025-08-12,382.1,392.0,375.0,375.33,59647.0,backfill_api
2025-08-13,379.0,382.0,372.5,373.56,38158.0,backfill_api
2025-08-14,372.1,379.0,372.1,378.48,23482.0,backfill_api
2025-08-17,384.0,384.9,376.0,377.11,37547.0,backfill_api
2025-08-18,374.0,396.0,374.0,391.06,58523.0,backfill_api
2025-08-19,398.0,398.0,385.0,386.14,39521.0,backfill_api
2025-08-20,388.0,389.0,381.5,383.3,24326.0,backfill_api
2025-08-21,381.8,382.0,374.7,377.0,32349.0,backfill_api
2025-08-24,380.0,380.0,370.0,371.75,26972.0,backfill_api
2025-08-25,376.0,376.0,368.0,372.71,16316.0,backfill_api
2025-08-26,372.5,373.0,369.0,370.5,17013.0,backfill_api
2025-08-27,370.3,380.0,370.3,378.61,28788.0,backfill_api
2025-08-28,376.1,383.5,372.0,372.49,35563.0,backfill_api
2025-08-31,372.0,379.2,364.0,364.83,29434.0,backfill_api
2025-09-01,359.0,367.0,359.0,362.95,23604.0,backfill_api
2025-09-02,363.0,365.0,357.0,357.71,28627.0,backfill_api
2025-09-03,355.0,367.2,353.7,356.66,20348.0,backfill_api
2025-09-04,351.1,360.0,351.1,355.33,16851.0,backfill_api
2025-09-07,356.0,359.0,351.1,353.72,14124.0,backfill_api
2025-09-08,353.0,360.0,342.0,345.27,26304.0,backfill_api
2025-09-18,338.4,340.0,313.6,319.0,3276.0,backfill_api
2025-09-21,315.0,349.0,312.8,345.64,60882.0,backfill_api
2025-09-23,352.0,365.0,351.0,364.0,49895.0,backfill_api
2025-09-24,364.0,364.0,352.8,353.0,15040.0,backfill_api
2025-09-25,360.0,360.0,351.0,358.7,13131.0,backfill_api
2025-09-28,365.0,370.0,351.0,359.0,22774.0,backfill_api
2025-10-07,359.0,359.0,348.1,348.4,16818.0,backfill_api
2025-10-08,344.0,350.0,334.0,337.0,33472.0,backfill_api
2025-10-09,343.7,370.0,342.0,342.0,40547.0,backfill_api
2025-10-12,338.0,338.0,325.0,328.5,19314.0,backfill_api
2025-10-13,325.0,338.0,325.0,330.2,16689.0,backfill_api
2025-10-14,330.0,334.5,320.0,326.0,22455.0,backfill_api
2025-10-15,324.0,325.0,315.0,323.0,15220.0,backfill_api
2025-10-16,323.0,323.0,313.3,315.0,12499.0,backfill_api
2025-10-19,315.1,324.0,315.1,317.0,8515.0,backfill_api
2025-10-26,310.7,339.5,310.7,321.0,15888.0,backfill_api
2025-10-28,327.4,338.6,327.0,333.7,16620.0,backfill_api
2025-10-29,340.3,340.3,328.0,328.0,21446.0,backfill_api
2025-10-30,334.3,346.0,322.2,340.0,49245.0,backfill_api
2025-11-02,345.0,355.0,340.1,352.7,44053.0,backfill_api
2025-11-03,356.0,360.0,345.0,346.0,29710.0,backfill_api
2025-11-04,340.1,350.0,340.1,342.0,17905.0,backfill_api
2025-11-05,348.8,348.8,336.0,342.0,24901.0,backfill_api
2025-11-06,342.0,346.0,335.0,335.2,15491.0,backfill_api
2025-11-09,330.0,335.0,326.0,326.0,20505.0,backfill_api
2025-11-10,325.0,333.0,323.2,323.5,23076.0,backfill_api
2025-11-11,321.0,333.0,321.0,333.0,18774.0,backfill_api
2025-11-12,335.0,335.0,328.0,330.0,12848.0,backfill_api
2025-11-13,325.2,343.0,325.2,336.0,40972.0,backfill_api
2025-11-16,338.0,344.9,329.0,336.0,18815.0,backfill_api
2025-11-17,330.1,340.0,330.0,331.5,16543.0,backfill_api
2025-11-18,327.1,340.0,327.1,338.0,23223.0,backfill_api
2025-11-19,344.7,344.7,331.0,337.6,22456.0,backfill_api
2025-11-20,331.5,340.0,331.5,337.0,31380.0,backfill_api
2025-11-23,338.0,350.0,338.0,341.5,43838.0,backfill_api
2025-11-24,347.7,347.7,338.0,338.0,37875.0,backfill_api
2025-11-25,344.0,344.0,336.0,340.0,20145.0,backfill_api
2025-11-26,346.8,347.5,335.0,344.0,34122.0,backfill_api
2025-11-27,345.0,363.0,345.0,360.0,122172.0,backfill_api
2025-11-30,361.0,365.0,342.2,342.2,55747.0,backfill_api
2025-12-01,343.0,353.9,338.5,342.0,39455.0,backfill_api
2025-12-02,340.0,348.8,340.0,344.9,28704.0,backfill_api
2025-12-03,342.2,347.5,339.0,339.1,24881.0,backfill_api
2025-12-07,335.0,341.7,335.0,336.0,21501.0,backfill_api
2025-12-08,342.7,342.7,330.4,335.0,14218.0,backfill_api
2025-12-09,332.0,339.0,332.0,334.0,16302.0,backfill_api
2025-12-10,340.3,340.3,328.0,333.0,108510.0,backfill_api
2025-12-11,339.6,339.6,326.5,331.5,11435.0,backfill_api
2025-12-14,325.1,335.0,325.0,327.0,31298.0,backfill_api
2025-12-15,328.0,330.0,324.1,328.0,23176.0,backfill_api
2025-12-16,326.0,331.9,326.0,326.5,20104.0,backfill_api
2025-12-17,330.0,331.7,326.0,327.0,14983.0,backfill_api
2025-12-18,327.0,330.0,324.0,324.1,30259.0,backfill_api
2025-12-21,318.2,327.0,318.2,322.0,21580.0,backfill_api
2025-12-22,318.0,325.0,318.0,321.0,14238.0,backfill_api
2025-12-23,326.0,326.0,318.1,322.9,12520.0,backfill_api
2025-12-24,328.9,328.9,320.0,320.7,30436.0,backfill_api
2025-12-28,322.6,326.5,321.1,325.8,31920.0,backfill_api
2025-12-29,319.5,329.0,319.5,324.0,81719.0,backfill_api
2025-12-31,324.2,329.8,324.0,324.9,37574.0,backfill_api
2026-01-01,321.6,328.1,321.6,324.0,23358.0,backfill_api
2026-01-04,323.0,323.0,319.0,321.0,13483.0,backfill_api
2026-01-05,321.0,327.0,319.1,327.0,20939.0,backfill_api
2026-01-06,330.0,330.0,323.0,323.0,25360.0,backfill_api
2026-01-07,321.3,326.0,321.3,324.9,15885.0,backfill_api
2026-01-08,318.5,325.5,318.5,324.0,18756.0,backfill_api
2026-01-12,330.0,330.0,320.2,321.0,20353.0,backfill_api
2026-01-13,321.9,325.9,320.3,325.0,32599.0,backfill_api
2026-01-14,323.0,338.0,323.0,330.0,84649.0,backfill_api
2026-01-18,335.0,335.0,330.0,332.0,28548.0,backfill_api
2026-01-20,332.0,339.9,332.0,337.0,54090.0,backfill_api
2026-01-21,341.0,341.0,334.0,336.0,30321.0,backfill_api
2026-01-22,332.5,340.0,332.5,336.9,26303.0,backfill_api
2026-01-25,339.0,348.0,339.0,344.2,63526.0,backfill_api
2026-01-26,344.0,352.0,341.1,349.8,85862.0,backfill_api
2026-01-27,351.0,353.1,339.1,340.0,91464.0,backfill_api
2026-01-28,338.0,346.0,336.1,344.0,55952.0,backfill_api
2026-01-29,341.0,355.0,341.0,346.0,100416.0,backfill_api
2026-02-01,352.0,352.0,337.2,338.0,37160.0,backfill_api
2026-02-02,336.1,342.7,333.0,333.0,45211.0,backfill_api
2026-02-03,339.0,344.6,330.0,338.0,84344.0,backfill_api
2026-02-04,344.7,344.7,334.3,340.0,31795.0,backfill_api
2026-02-05,345.9,348.0,337.0,341.6,104790.0,backfill_api
2026-02-08,348.4,375.0,348.4,360.0,323353.0,backfill_api
2026-02-09,367.2,367.2,350.0,353.0,96804.0,backfill_api
2026-02-10,360.0,360.0,345.0,346.0,66151.0,backfill_api
2026-02-11,352.0,352.0,341.1,343.0,45656.0,backfill_api
