date,open,high,low,close,volume,source
2025-02-27,254.9,262.8,251.0,261.9,360274.0,backfill_api
2025-03-02,266.0,268.8,260.1,268.0,309970.0,backfill_api
2025-03-03,269.2,273.0,260.0,260.2,252809.0,backfill_api
2025-03-04,263.0,268.2,256.0,258.4,291280.0,backfill_api
2025-03-05,258.0,264.1,255.1,257.6,177834.0,backfill_api
2025-03-06,259.9,261.0,253.0,260.0,198622.0,backfill_api
2025-03-09,260.0,260.0,252.1,252.3,132313.0,backfill_api
2025-03-10,256.3,256.3,247.3,249.5,146041.0,backfill_api
2025-03-11,250.0,251.0,243.0,245.0,158659.0,backfill_api
2025-03-12,249.9,252.0,245.5,249.6,154256.0,backfill_api
2025-03-16,250.0,253.0,245.1,246.0,113599.0,backfill_api
2025-03-17,249.8,249.8,243.1,246.0,100337.0,backfill_api
2025-03-18,247.0,250.0,243.1,243.5,66553.0,backfill_api
2025-03-19,244.0,247.8,240.0,241.9,69185.0,backfill_api
2025-03-20,244.9,244.9,237.5,238.43,81378.0,backfill_api
2025-03-23,243.0,243.0,228.0,229.3,177445.0,backfill_api
2025-03-24,229.0,237.9,227.0,234.61,109888.0,backfill_api
2025-03-25,230.0,233.9,227.1,227.47,121168.0,backfill_api
2025-03-26,232.0,235.0,227.5,232.75,59757.0,backfill_api
2025-03-27,237.4,237.4,233.0,236.1,94911.0,backfill_api
2025-03-30,236.0,250.0,234.3,245.32,184871.0,backfill_api
2025-04-01,248.9,250.0,240.2,242.4,87082.0,backfill_api
2025-04-02,240.0,245.9,240.0,241.97,57220.0,backfill_api
2025-04-03,245.0,245.5,238.1,240.3,77170.0,backfill_api
2025-04-07,238.0,240.9,235.0,235.5,63277.0,backfill_api
2025-04-08,234.0,240.0,226.7,234.56,178655.0,backfill_api
2025-04-09,236.9,238.8,233.5,235.78,32627.0,backfill_api
2025-04-10,238.9,240.7,233.1,235.73,77678.0,backfill_api
2025-04-13,238.0,238.0,232.1,234.29,62746.0,backfill_api
2025-04-15,233.0,241.0,233.0,238.79,60118.0,backfill_api
2025-04-16,234.1,250.0,234.1,245.76,123129.0,backfill_api
2025-04-17,250.6,252.0,246.0,248.37,273509.0,backfill_api
2025-04-20,247.1,248.0,240.0,241.59,61928.0,backfill_api
2025-04-21,245.0,252.0,240.1,247.28,206088.0,backfill_api
2025-04-22,250.0,254.0,245.0,245.13,159239.0,backfill_api
2025-04-23,245.0,247.0,236.0,238.97,78001.0,backfill_api
2025-04-24,238.0,244.0,236.0,240.58,70032.0,backfill_api
2025-04-27,241.0,248.0,240.0,245.05,136505.0,backfill_api
2025-04-28,248.8,258.9,248.5,250.41,447909.0,backfill_api
2025-04-29,255.3,255.3,245.1,247.61,137464.0,backfill_api
2025-04-30,242.7,264.9,242.7,260.89,622571.0,backfill_api
2025-05-04,266.1,269.5,259.2,260.63,519836.0,backfill_api
2025-05-05,265.8,265.8,250.0,251.7,228137.0,backfill_api
2025-05-06,256.0,264.1,251.0,261.25,327670.0,backfill_api
2025-05-07,264.9,268.0,260.1,263.31,449443.0,backfill_api
2025-05-08,267.8,279.0,258.0,271.56,936912.0,backfill_api
2025-05-11,276.9,283.4,274.0,275.27,783352.0,backfill_api
2025-05-13,280.0,280.0,263.0,264.26,469558.0,backfill_api
2025-05-14,269.0,269.0,257.0,257.72,283373.0,backfill_api
2025-05-15,253.1,259.9,253.0,255.37,225606.0,backfill_api
2025-05-18,255.0,259.5,247.0,249.71,248621.0,backfill_api
2025-05-19,254.3,255.1,250.0,250.84,145337.0,backfill_api
2025-05-20,250.0,263.9,248.0,260.52,200922.0,backfill_api
2025-05-21,265.7,271.0,254.0,255.48,273232.0,backfill_api
2025-05-22,259.0,259.0,250.0,250.46,215798.0,backfill_api
2025-05-25,255.0,255.0,248.0,249.73,75134.0,backfill_api
2025-05-26,254.7,259.0,246.0,247.32,189484.0,backfill_api
2025-05-27,245.0,250.0,242.1,246.42,166290.0,backfill_api
2025-05-28,249.5,258.0,244.9,253.03,208383.0,backfill_api
2025-06-02,258.0,262.9,248.1,249.51,145177.0,backfill_api
2025-06-03,244.6,253.8,244.6,246.11,96483.0,backfill_api
2025-06-04,245.0,248.0,244.5,245.66,70589.0,backfill_api
2025-06-05,250.0,250.0,244.0,249.15,142561.0,backfill_api
2025-06-08,250.0,256.0,246.3,254.3,215574.0,backfill_api
2025-06-09,257.0,260.0,253.9,256.4,238988.0,backfill_api
2025-06-10,257.2,265.3,255.2,260.98,333227.0,backfill_api
2025-06-11,266.0,266.0,255.5,259.55,169627.0,backfill_api
2025-06-12,264.0,269.0,257.0,259.8,445273.0,backfill_api
2025-06-15,260.0,263.0,253.0,255.16,245743.0,backfill_api
2025-06-16,260.2,275.0,258.0,266.1,1063942.0,backfill_api
2025-06-17,271.0,274.0,260.1,261.92,227243.0,backfill_api
2025-06-18,266.0,270.0,262.0,268.9,367476.0,backfill_api
2025-06-19,274.0,281.9,270.0,271.8,1074351.0,backfill_api
2025-06-22,270.0,270.0,256.7,257.32,343615.0,backfill_api
2025-06-23,253.3,262.1,250.0,254.89,241963.0,backfill_api
2025-06-24,259.8,263.0,253.0,253.27,184761.0,backfill_api
2025-06-25,257.0,257.0,250.0,254.17,176852.0,backfill_api
