date,open,high,low,close,volume,source
2025-02-27,624.8,632.2,610.0,632.1,72834.0,backfill_api
2025-03-02,635.1,653.8,635.1,651.2,138160.0,backfill_api
2025-03-03,663.8,664.2,641.0,642.2,69069.0,backfill_api
2025-03-04,643.0,650.0,626.0,629.0,52354.0,backfill_api
2025-03-05,634.0,634.0,615.0,620.0,54865.0,backfill_api
2025-03-06,620.0,634.0,620.0,634.0,48239.0,backfill_api
2025-03-09,630.0,635.0,615.0,622.0,91970.0,backfill_api
2025-03-10,625.0,633.9,607.0,618.0,48486.0,backfill_api
2025-03-11,615.1,623.0,606.1,606.2,36678.0,backfill_api
2025-03-12,607.0,616.0,606.3,608.0,25392.0,backfill_api
2025-03-16,618.0,620.0,600.2,604.5,20085.0,backfill_api
2025-03-17,609.0,609.8,602.0,607.0,24288.0,backfill_api
2025-03-18,615.0,615.0,602.1,604.0,22220.0,backfill_api
2025-03-19,603.0,606.9,590.0,597.0,31839.0,backfill_api
2025-03-20,588.2,599.9,588.2,590.73,15030.0,backfill_api
2025-03-23,591.0,591.0,570.0,571.28,45464.0,backfill_api
2025-03-24,568.2,587.0,568.2,576.09,18554.0,backfill_api
2025-03-25,570.0,574.0,555.0,559.57,40565.0,backfill_api
2025-03-26,555.1,572.9,551.0,568.89,24606.0,backfill_api
2025-03-27,579.9,585.0,560.1,583.77,20773.0,backfill_api
2025-03-30,580.0,592.0,580.0,584.23,29369.0,backfill_api
2025-04-01,582.0,582.0,570.4,572.0,20480.0,backfill_api
2025-04-02,580.5,580.5,570.0,570.28,20147.0,backfill_api
2025-04-03,578.0,578.0,569.0,570.56,16320.0,backfill_api
2025-04-07,570.2,577.8,561.0,564.27,17413.0,backfill_api
2025-04-08,564.27,574.0,553.1,563.1,20328.0,backfill_api
2025-04-09,569.0,570.0,561.5,562.23,12674.0,backfill_api
2025-04-10,571.0,571.0,562.0,563.61,18470.0,backfill_api
2025-04-13,559.0,573.9,555.1,565.14,14842.0,backfill_api
2025-04-15,565.0,576.4,565.0,571.56,21184.0,backfill_api
2025-04-16,578.0,580.0,570.5,574.69,15668.0,backfill_api
2025-04-17,580.0,590.0,569.1,582.96,21560.0,backfill_api
2025-04-20,577.1,588.0,571.5,572.06,11378.0,backfill_api
2025-04-21,567.3,575.0,567.2,570.55,6952.0,backfill_api
2025-04-22,568.0,577.0,565.0,569.82,15535.0,backfill_api
2025-04-23,560.6,568.8,555.1,562.11,31706.0,backfill_api
2025-04-24,560.0,560.0,550.0,557.81,32203.0,backfill_api
2025-04-27,560.0,580.2,551.0,553.73,20774.0,backfill_api
2025-04-28,560.0,560.0,553.0,554.14,17839.0,backfill_api
2025-04-29,553.2,559.0,548.0,548.87,31533.0,backfill_api
2025-04-30,549.2,559.8,546.0,549.63,24464.0,backfill_api
2025-05-04,560.0,560.0,548.8,549.92,15571.0,backfill_api
2025-05-05,558.0,558.0,545.0,545.18,11067.0,backfill_api
2025-05-06,540.0,552.0,540.0,542.59,17215.0,backfill_api
2025-05-07,548.0,561.0,543.8,556.18,24743.0,backfill_api
2025-05-08,559.0,560.9,550.0,556.05,17268.0,backfill_api
2025-05-11,557.0,557.0,546.0,549.83,27099.0,backfill_api
2025-05-13,552.0,553.0,539.0,544.58,30615.0,backfill_api
2025-05-14,555.0,555.0,540.0,540.9,18640.0,backfill_api
2025-05-15,540.0,547.0,535.0,536.43,11372.0,backfill_api
2025-05-18,533.1,539.0,528.0,529.38,20764.0,backfill_api
2025-05-19,539.9,552.8,531.1,551.48,26523.0,backfill_api
2025-05-20,545.2,568.0,540.0,564.91,22427.0,backfill_api
2025-05-21,576.0,587.7,556.0,558.41,32642.0,backfill_api
2025-05-22,554.0,560.0,553.0,553.84,10524.0,backfill_api
2025-05-25,560.7,560.7,544.0,548.28,27758.0,backfill_api
2025-05-26,559.0,562.0,548.0,548.78,14304.0,backfill_api
2025-05-27,545.0,546.9,544.4,544.83,9486.0,backfill_api
2025-05-28,538.0,549.0,538.0,547.38,10595.0,backfill_api
2025-06-02,558.3,562.0,548.0,548.4,14739.0,backfill_api
2025-06-03,542.1,552.6,535.0,538.78,22139.0,backfill_api
2025-06-04,531.0,540.0,530.0,531.09,27592.0,backfill_api
2025-06-05,530.0,535.0,525.1,528.13,16211.0,backfill_api
2025-06-08,538.0,538.0,526.0,526.68,10720.0,backfill_api
2025-06-09,537.0,537.0,527.0,535.24,4640.0,backfill_api
2025-06-10,545.0,552.0,535.0,535.18,12452.0,backfill_api
2025-06-11,536.0,544.0,531.0,531.1,19286.0,backfill_api
2025-06-12,535.0,535.0,528.3,529.6,14295.0,backfill_api
2025-06-15,529.5,540.1,525.1,525.67,30888.0,backfill_api
2025-06-16,525.0,540.0,520.2,527.52,26598.0,backfill_api
2025-06-17,526.1,531.9,522.0,527.04,29801.0,backfill_api
2025-06-18,535.0,535.0,520.1,523.56,9648.0,backfill_api
2025-06-19,523.0,528.0,519.0,520.81,40653.0,backfill_api
2025-06-22,517.1,521.0,516.5,517.78,11123.0,backfill_api
2025-06-23,525.3,525.3,516.2,516.87,5038.0,backfill_api
2025-06-24,527.2,527.2,515.0,516.48,16150.0,backfill_api
2025-06-25,516.0,518.5,513.0,514.43,10975.0,backfill_api
2025-06-26,518.1,525.0,515.0,516.03,64676.0,backfill_api
2025-06-29,524.0,524.0,510.0,517.24,13578.0,backfill_api
2025-06-30,519.8,526.5,517.0,520.07,15253.0,backfill_api
2025-07-01,529.0,532.0,518.2,529.02,28975.0,backfill_api
2025-07-02,524.0,553.8,524.0,547.6,49180.0,backfill_api
2025-07-03,553.0,562.0,537.1,558.2,88945.0,backfill_api
2025-07-06,550.0,562.0,546.0,547.35,37095.0,backfill_api
2025-07-07,539.0,551.0,538.0,546.38,32858.0,backfill_api
2025-07-08,545.0,545.0,538.2,539.43,13499.0,backfill_api
2025-07-09,548.0,553.9,537.2,544.54,14201.0,backfill_api
2025-07-10,555.0,555.0,543.0,547.16,21352.0,backfill_api
2025-07-13,558.1,569.2,540.2,547.13,25060.0,backfill_api
2025-07-14,555.0,555.0,537.0,538.52,18782.0,backfill_api
2025-07-15,543.0,545.0,538.0,542.84,31385.0,backfill_api
2025-07-16,550.0,561.0,540.2,556.99,30741.0,backfill_api
2025-07-17,566.0,578.0,565.0,570.91,45813.0,backfill_api
2025-07-20,582.3,582.3,560.0,565.21,59987.0,backfill_api
2025-07-21,569.9,578.9,558.6,574.44,51662.0,backfill_api
2025-07-22,585.5,600.0,576.5,596.63,90855.0,backfill_api
2025-07-23,594.0,599.0,584.7,590.92,57229.0,backfill_api
2025-07-24,590.0,600.0,582.0,586.86,49848.0,backfill_api
2025-07-27,585.1,592.0,575.0,577.73,70468.0,backfill_api
2025-07-28,570.0,581.9,556.9,577.5,35393.0,backfill_api
2025-07-29,587.9,590.0,575.0,580.29,48000.0,backfill_api
2025-07-30,585.0,585.0,565.0,566.16,26079.0,backfill_api
2025-07-31,577.0,577.0,554.0,557.2,31778.0,backfill_api
2025-08-03,555.5,564.0,551.1,551.67,31014.0,backfill_api
2025-08-04,540.7,559.8,540.7,553.21,29474.0,backfill_api
2025-08-05,542.2,562.0,542.2,546.44,21609.0,backfill_api
2025-08-06,556.0,556.0,543.1,545.31,10653.0,backfill_api
2025-08-07,545.1,552.0,544.0,548.05,25858.0,backfill_api
2025-08-11,546.0,555.0,535.2,535.77,31198.0,backfill_api
2025-08-12,530.1,548.9,530.1,535.24,21276.0,backfill_api
2025-08-13,535.0,543.0,531.2,533.67,12520.0,backfill_api
2025-08-14,533.67,537.8,529.0,531.06,16827.0,backfill_api
2025-08-17,528.1,537.0,525.2,526.59,26839.0,backfill_api
2025-08-18,516.1,528.9,516.1,525.67,15632.0,backfill_api
2025-08-19,515.2,532.0,515.2,526.74,15041.0,backfill_api
2025-08-20,516.3,533.0,516.3,528.49,8899.0,backfill_api
2025-08-21,518.0,536.0,518.0,527.87,12691.0,backfill_api
2025-08-24,535.0,535.0,525.2,529.12,9608.0,backfill_api
2025-08-25,528.2,531.0,528.0,530.48,6204.0,backfill_api
2025-08-26,537.0,537.0,527.0,527.94,6282.0,backfill_api
2025-08-27,535.0,540.0,527.3,537.86,20434.0,backfill_api
2025-08-28,540.0,543.9,529.2,530.65,14163.0,backfill_api
2025-08-31,530.6,537.0,526.0,527.12,9787.0,backfill_api
2025-09-01,526.0,530.9,522.3,528.05,7495.0,backfill_api
2025-09-02,528.05,533.0,522.4,522.97,6606.0,backfill_api
2025-09-03,525.0,526.0,520.0,521.77,12931.0,backfill_api
2025-09-04,523.5,524.0,518.09,522.32,9696.0,backfill_api
2025-09-07,519.0,528.0,519.0,520.04,4324.0,backfill_api
2025-09-08,518.0,530.3,512.2,514.42,11125.0,backfill_api
2025-09-18,524.7,524.7,463.0,463.0,722.0,backfill_api
2025-09-21,453.8,463.0,417.0,444.28,118315.0,backfill_api
2025-09-23,450.0,463.0,449.0,460.0,33199.0,backfill_api
2025-09-24,467.0,467.0,446.0,447.0,14116.0,backfill_api
2025-09-25,445.0,449.0,437.6,449.0,21969.0,backfill_api
2025-09-28,455.0,457.9,442.0,447.8,13398.0,backfill_api
2025-10-07,450.0,450.0,432.1,437.0,13363.0,backfill_api
2025-10-08,430.0,431.8,416.0,425.0,24036.0,backfill_api
2025-10-09,433.5,448.0,420.0,424.0,18534.0,backfill_api
2025-10-12,420.0,420.0,397.9,412.8,46133.0,backfill_api
2025-10-13,405.0,418.0,398.1,416.0,12238.0,backfill_api
2025-10-14,412.0,414.0,402.7,405.0,21451.0,backfill_api
2025-10-15,403.0,409.8,399.0,400.0,18836.0,backfill_api
2025-10-16,399.2,406.0,395.0,395.0,15526.0,backfill_api
2025-10-19,397.0,408.0,392.0,397.0,14861.0,backfill_api
2025-10-26,403.0,403.0,395.0,396.2,13411.0,backfill_api
