date,open,high,low,close,volume,source
2025-02-27,765.0,779.0,755.0,766.0,15678.0,backfill_api
2025-03-02,766.0,775.0,755.1,766.0,15830.0,backfill_api
2025-03-03,770.0,770.2,741.0,757.0,28640.0,backfill_api
2025-03-04,770.0,781.0,730.1,740.0,15290.0,backfill_api
2025-03-05,725.3,739.7,710.8,735.0,22021.0,backfill_api
2025-03-06,735.0,748.0,715.1,723.0,5079.0,backfill_api
2025-03-09,711.0,744.5,711.0,739.0,10278.0,backfill_api
2025-03-10,747.0,749.9,715.0,729.0,9808.0,backfill_api
2025-03-11,714.5,734.0,708.0,708.0,44514.0,backfill_api
2025-03-12,698.1,715.0,698.1,714.0,4525.0,backfill_api
2025-03-16,714.0,714.0,687.1,695.0,8535.0,backfill_api
2025-03-17,705.0,735.0,683.2,694.9,15398.0,backfill_api
2025-03-18,693.0,702.0,681.5,683.8,5378.0,backfill_api
2025-03-19,680.7,686.0,666.0,679.9,19213.0,backfill_api
2025-03-20,693.0,693.0,667.5,674.39,6269.0,backfill_api
2025-03-23,670.0,680.0,655.4,667.5,11303.0,backfill_api
2025-03-24,675.0,675.0,656.6,671.68,4942.0,backfill_api
2025-03-25,658.3,671.4,640.0,654.32,9385.0,backfill_api
2025-03-26,664.0,667.3,642.0,666.93,4505.0,backfill_api
2025-03-27,666.0,679.8,655.0,676.81,5933.0,backfill_api
2025-03-30,690.0,718.0,686.0,691.2,6924.0,backfill_api
2025-04-01,705.0,705.0,670.3,686.33,5950.0,backfill_api
2025-04-02,699.7,699.7,677.0,689.52,2638.0,backfill_api
2025-04-03,700.0,700.0,667.0,677.17,11001.0,backfill_api
2025-04-07,664.0,677.0,651.0,662.51,6097.0,backfill_api
2025-04-08,674.9,674.9,650.7,661.77,3022.0,backfill_api
2025-04-09,661.0,690.0,650.0,680.99,5053.0,backfill_api
2025-04-10,679.0,691.1,676.1,687.06,6178.0,backfill_api
2025-04-13,700.0,700.0,656.0,662.93,16040.0,backfill_api
2025-04-15,651.1,683.9,651.1,665.7,7289.0,backfill_api
2025-04-16,665.7,670.0,655.3,658.7,6031.0,backfill_api
