date,open,high,low,close,volume,source
2025-02-27 00:00:00,515.5,520.0,500.0,504.1,128868.0,backfill_api
2025-03-02 00:00:00,495.0,514.5,495.0,513.0,91879.0,backfill_api
2025-03-03 00:00:00,513.0,517.2,508.0,508.0,93881.0,backfill_api
2025-03-04 00:00:00,507.0,513.0,500.3,502.0,56964.0,backfill_api
2025-03-05 00:00:00,500.0,505.0,490.2,496.6,59293.0,backfill_api
2025-03-06 00:00:00,497.0,504.9,488.0,498.0,36926.0,backfill_api
2025-03-09 00:00:00,507.9,507.9,486.0,487.0,34234.0,backfill_api
2025-03-10 00:00:00,487.5,496.7,479.8,480.0,42667.0,backfill_api
2025-03-11 00:00:00,476.5,483.4,476.5,478.0,27318.0,backfill_api
2025-03-12 00:00:00,472.1,482.0,472.1,481.0,24864.0,backfill_api
2025-03-16 00:00:00,475.1,484.0,474.0,475.0,37853.0,backfill_api
2025-03-17 00:00:00,477.0,482.8,473.1,480.5,30379.0,backfill_api
2025-03-18 00:00:00,480.5,482.4,475.7,476.9,15735.0,backfill_api
2025-03-19 00:00:00,476.0,480.0,472.3,474.0,22509.0,backfill_api
2025-03-20 00:00:00,471.0,475.0,469.5,470.41,25106.0,backfill_api
2025-03-23 00:00:00,470.0,479.0,460.0,460.37,33574.0,backfill_api
2025-03-24 00:00:00,460.0,469.0,459.0,463.22,27147.0,backfill_api
2025-03-25 00:00:00,461.1,463.8,449.0,450.45,36938.0,backfill_api
2025-03-26 00:00:00,459.4,459.4,447.1,456.79,19956.0,backfill_api
2025-03-27 00:00:00,452.5,467.0,452.0,465.32,24259.0,backfill_api
2025-03-30 00:00:00,465.32,478.0,461.0,472.3,28430.0,backfill_api
2025-04-01 00:00:00,472.0,472.0,462.0,466.0,20874.0,backfill_api
2025-04-02 00:00:00,465.5,469.2,458.1,467.53,14289.0,backfill_api
2025-04-03 00:00:00,464.1,472.4,464.1,468.54,17692.0,backfill_api
2025-04-07 00:00:00,468.0,470.0,460.0,461.74,19662.0,backfill_api
2025-04-08 00:00:00,460.0,466.0,457.1,463.03,18624.0,backfill_api
2025-04-09 00:00:00,460.0,469.0,460.0,465.19,10988.0,backfill_api
2025-04-10 00:00:00,465.2,470.0,463.4,464.93,9202.0,backfill_api
2025-04-13 00:00:00,464.9,467.0,461.1,462.4,9638.0,backfill_api
2025-04-15 00:00:00,460.2,467.6,460.2,464.86,20572.0,backfill_api
2025-04-16 00:00:00,462.0,468.5,460.1,467.3,14596.0,backfill_api
2025-04-17 00:00:00,470.0,475.0,465.0,471.65,21708.0,backfill_api
2025-04-20 00:00:00,470.0,478.0,465.0,468.38,23997.0,backfill_api
2025-04-21 00:00:00,464.0,470.0,464.0,466.08,19666.0,backfill_api
2025-04-22 00:00:00,464.0,471.0,463.1,466.5,35114.0,backfill_api
2025-04-23 00:00:00,466.1,471.0,463.0,463.15,20725.0,backfill_api
2025-04-24 00:00:00,463.0,463.0,457.0,461.38,17914.0,backfill_api
2025-04-27 00:00:00,460.0,464.1,455.1,456.41,20743.0,backfill_api
2025-04-28 00:00:00,455.0,460.0,449.3,454.2,30786.0,backfill_api
2025-04-29 00:00:00,450.5,456.0,450.5,451.3,12179.0,backfill_api
2025-04-30 00:00:00,450.0,454.9,449.0,450.38,22855.0,backfill_api
2025-05-04 00:00:00,459.3,459.3,451.0,451.06,19936.0,backfill_api
2025-05-05 00:00:00,451.0,454.0,449.1,451.91,15706.0,backfill_api
2025-05-06 00:00:00,458.0,459.0,450.1,452.32,17749.0,backfill_api
2025-05-07 00:00:00,455.0,464.9,451.0,462.47,24114.0,backfill_api
2025-05-08 00:00:00,462.1,467.0,459.1,460.99,16640.0,backfill_api
2025-05-11 00:00:00,464.0,465.0,456.2,457.55,24252.0,backfill_api
2025-05-13 00:00:00,455.0,460.0,455.0,456.48,10492.0,backfill_api
2025-05-14 00:00:00,454.5,457.0,450.6,451.16,27937.0,backfill_api
2025-05-15 00:00:00,450.0,457.0,450.0,452.33,17168.0,backfill_api
2025-05-18 00:00:00,448.0,457.9,448.0,450.22,15137.0,backfill_api
2025-05-19 00:00:00,452.0,454.0,450.5,452.39,14055.0,backfill_api
2025-05-20 00:00:00,452.0,462.0,450.0,461.18,21489.0,backfill_api
2025-05-21 00:00:00,470.4,480.0,458.7,458.98,26935.0,backfill_api
2025-05-22 00:00:00,459.0,462.0,453.0,456.96,12537.0,backfill_api
2025-05-25 00:00:00,454.0,460.0,452.8,456.57,15292.0,backfill_api
2025-05-26 00:00:00,465.0,465.7,456.0,458.03,22965.0,backfill_api
2025-05-27 00:00:00,455.0,462.0,453.0,454.81,16389.0,backfill_api
2025-05-28 00:00:00,452.0,456.5,450.4,454.47,21066.0,backfill_api
2025-06-02 00:00:00,455.0,463.5,455.0,455.29,24167.0,backfill_api
2025-06-03 00:00:00,454.0,457.0,452.3,452.78,8589.0,backfill_api
2025-06-04 00:00:00,452.0,453.0,448.0,450.16,25084.0,backfill_api
2025-06-05 00:00:00,445.0,456.0,445.0,447.62,21240.0,backfill_api
2025-06-08 00:00:00,448.0,454.5,445.5,446.02,18171.0,backfill_api
2025-06-09 00:00:00,453.7,453.7,445.1,446.38,10259.0,backfill_api
2025-06-10 00:00:00,445.0,453.0,445.0,449.42,15529.0,backfill_api
2025-06-11 00:00:00,455.0,456.0,445.3,446.12,11145.0,backfill_api
2025-06-12 00:00:00,445.0,450.0,443.0,446.31,15119.0,backfill_api
2025-06-15 00:00:00,445.0,451.0,445.0,446.39,14535.0,backfill_api
2025-06-16 00:00:00,443.5,450.0,443.5,445.78,15464.0,backfill_api
2025-06-17 00:00:00,445.0,448.0,442.0,442.79,26340.0,backfill_api
2025-06-18 00:00:00,442.0,444.0,437.2,439.94,42078.0,backfill_api
2025-06-19 00:00:00,440.0,442.0,437.0,439.19,26410.0,backfill_api
2025-06-22 00:00:00,438.0,443.0,436.0,439.79,26606.0,backfill_api
2025-06-23 00:00:00,435.1,440.0,435.1,437.08,13453.0,backfill_api
2025-06-24 00:00:00,440.0,440.0,435.0,436.1,23246.0,backfill_api
2025-06-25 00:00:00,430.5,440.0,430.5,435.04,14255.0,backfill_api
2025-06-26 00:00:00,433.0,439.0,433.0,435.25,11895.0,backfill_api
2025-06-29 00:00:00,440.0,440.9,432.2,436.93,18033.0,backfill_api
2025-06-30 00:00:00,434.0,441.0,434.0,437.86,15115.0,backfill_api
2025-07-01 00:00:00,437.0,446.0,437.0,440.48,23219.0,backfill_api
2025-07-02 00:00:00,440.48,453.0,438.3,452.12,30665.0,backfill_api
2025-07-03 00:00:00,452.0,464.9,447.2,457.79,56029.0,backfill_api
2025-07-06 00:00:00,456.0,460.0,451.0,451.79,31001.0,backfill_api
2025-07-07 00:00:00,451.0,455.0,447.2,447.34,27445.0,backfill_api
2025-07-08 00:00:00,446.5,451.0,444.0,447.76,7467.0,backfill_api
2025-07-09 00:00:00,445.0,452.0,445.0,451.02,10891.0,backfill_api
2025-07-10 00:00:00,450.0,457.6,450.0,454.52,20659.0,backfill_api
2025-07-13 00:00:00,463.6,463.6,457.0,458.31,32794.0,backfill_api
2025-07-14 00:00:00,455.0,460.0,453.1,454.94,13466.0,backfill_api
2025-07-15 00:00:00,455.0,458.7,453.0,457.97,13207.0,backfill_api
2025-07-16 00:00:00,455.0,462.9,455.0,462.02,24385.0,backfill_api
2025-07-17 00:00:00,465.0,477.3,465.0,472.06,49360.0,backfill_api
2025-07-20 00:00:00,470.1,486.0,470.0,473.11,75539.0,backfill_api
2025-07-21 00:00:00,473.0,478.0,468.1,475.71,46686.0,backfill_api
2025-07-22 00:00:00,475.0,494.7,473.1,493.68,98314.0,backfill_api
2025-07-23 00:00:00,500.0,500.0,485.6,492.37,71979.0,backfill_api
2025-07-24 00:00:00,491.0,493.8,485.0,487.99,43887.0,backfill_api
2025-07-27 00:00:00,490.0,493.9,478.3,479.74,61340.0,backfill_api
2025-07-28 00:00:00,472.1,479.0,468.0,477.56,41248.0,backfill_api
2025-07-29 00:00:00,487.1,488.0,480.0,484.37,52026.0,backfill_api
2025-07-30 00:00:00,480.0,485.9,473.0,474.91,36862.0,backfill_api
2025-07-31 00:00:00,468.0,474.9,466.1,468.46,33953.0,backfill_api
2025-08-03 00:00:00,468.0,469.9,456.0,457.91,42355.0,backfill_api
2025-08-04 00:00:00,460.0,464.0,457.0,462.09,22771.0,backfill_api
2025-08-05 00:00:00,459.0,465.0,458.0,458.63,22414.0,backfill_api
2025-08-06 00:00:00,467.8,467.8,457.0,458.93,20722.0,backfill_api
2025-08-07 00:00:00,458.0,460.6,457.0,458.83,22826.0,backfill_api
2025-08-11 00:00:00,458.5,463.0,455.0,455.23,33698.0,backfill_api
2025-08-12 00:00:00,451.0,455.8,451.0,452.62,16002.0,backfill_api
2025-08-13 00:00:00,455.0,455.0,449.2,450.28,20520.0,backfill_api
2025-08-14 00:00:00,450.28,454.0,448.2,449.06,13816.0,backfill_api
2025-08-17 00:00:00,448.0,456.9,448.0,450.78,34993.0,backfill_api
2025-08-18 00:00:00,450.0,455.0,450.0,454.31,22486.0,backfill_api
2025-08-19 00:00:00,455.0,460.9,455.0,455.45,13809.0,backfill_api
2025-08-20 00:00:00,450.2,457.0,450.2,454.92,17105.0,backfill_api
2025-08-21 00:00:00,445.9,459.0,445.9,454.06,11240.0,backfill_api
2025-08-24 00:00:00,451.2,459.0,451.2,455.08,12682.0,backfill_api
2025-08-25 00:00:00,451.2,454.0,449.0,453.02,14919.0,backfill_api
2025-08-26 00:00:00,453.2,458.0,452.3,454.55,8058.0,backfill_api
2025-08-27 00:00:00,454.55,460.0,450.7,458.65,21766.0,backfill_api
2025-08-28 00:00:00,458.0,463.0,452.3,453.14,27705.0,backfill_api
2025-08-31 00:00:00,454.5,459.0,451.1,452.2,20170.0,backfill_api
2025-09-01 00:00:00,455.0,455.0,448.5,451.12,11709.0,backfill_api
2025-09-02 00:00:00,447.0,452.0,447.0,448.1,16314.0,backfill_api
2025-09-03 00:00:00,448.1,450.0,447.1,448.25,9846.0,backfill_api
2025-09-04 00:00:00,448.0,450.0,446.1,447.88,14046.0,backfill_api
2025-09-07 00:00:00,446.1,451.0,445.3,446.59,8208.0,backfill_api
2025-09-08 00:00:00,446.0,447.0,442.2,444.44,13331.0,backfill_api
2025-09-18 00:00:00,435.8,435.8,410.1,411.1,2062.0,backfill_api
2025-09-21 00:00:00,411.0,438.9,405.0,435.91,33815.0,backfill_api
2025-09-23 00:00:00,435.0,449.0,427.2,440.5,13269.0,backfill_api
2025-09-24 00:00:00,441.0,452.8,435.0,449.0,12795.0,backfill_api
2025-09-25 00:00:00,441.0,450.0,441.0,444.2,10035.0,backfill_api
2025-09-28 00:00:00,448.0,452.0,445.0,450.5,12560.0,backfill_api
2025-10-07 00:00:00,447.1,449.0,437.1,441.0,14086.0,backfill_api
2025-10-08 00:00:00,434.0,437.6,425.2,433.4,24312.0,backfill_api
2025-10-09 00:00:00,442.0,458.0,434.0,435.0,20724.0,backfill_api
2025-10-12 00:00:00,440.0,440.0,428.3,433.0,11462.0,backfill_api
2025-10-13 00:00:00,428.0,433.2,420.0,432.0,19293.0,backfill_api
2025-10-14 00:00:00,432.0,432.0,425.0,427.0,9298.0,backfill_api
2025-10-15 00:00:00,422.0,428.0,422.0,422.3,7056.0,backfill_api
2025-10-16 00:00:00,422.0,427.0,420.1,425.0,6056.0,backfill_api
2025-10-19 00:00:00,420.0,427.0,420.0,424.9,5088.0,backfill_api
2025-10-26 00:00:00,424.9,428.0,422.0,428.0,6914.0,backfill_api
2025-10-28 00:00:00,423.5,445.0,423.5,440.1,16168.0,backfill_api
2025-10-29 00:00:00,442.0,446.6,434.1,437.8,15975.0,backfill_api
2025-10-30 00:00:00,437.0,448.8,437.0,443.9,15980.0,backfill_api
2025-11-02 00:00:00,443.9,468.9,443.0,463.2,49345.0,backfill_api
2025-11-03 00:00:00,468.0,468.7,457.5,457.6,26753.0,backfill_api
2025-11-04 00:00:00,451.3,457.0,451.3,455.0,10963.0,backfill_api
2025-11-05 00:00:00,449.2,455.8,449.0,455.8,14112.0,backfill_api
2025-11-06 00:00:00,453.0,458.9,453.0,455.2,13676.0,backfill_api
2025-11-09 00:00:00,450.0,452.0,448.4,449.0,15638.0,backfill_api
2025-11-10 00:00:00,445.0,457.0,445.0,446.6,16030.0,backfill_api
2025-11-11 00:00:00,455.0,463.0,446.7,451.5,10546.0,backfill_api
2025-11-12 00:00:00,444.6,456.0,444.6,452.0,14092.0,backfill_api
2025-11-13 00:00:00,461.0,461.0,448.7,452.0,9325.0,backfill_api
2025-11-16 00:00:00,448.1,455.0,448.1,450.5,7942.0,backfill_api
2025-11-17 00:00:00,454.9,457.0,450.0,454.5,17574.0,backfill_api
2025-11-18 00:00:00,454.5,460.0,453.1,455.6,16385.0,backfill_api
2025-11-19 00:00:00,459.0,462.0,450.0,456.6,11509.0,backfill_api
2025-11-20 00:00:00,450.4,458.0,450.4,457.8,15337.0,backfill_api
2025-11-23 00:00:00,452.5,466.0,452.5,461.0,27866.0,backfill_api
2025-11-24 00:00:00,461.0,478.0,461.0,476.1,63397.0,backfill_api
2025-11-25 00:00:00,475.0,483.4,468.0,481.0,71980.0,backfill_api
2025-11-26 00:00:00,481.5,482.0,473.5,476.0,23116.0,backfill_api
2025-11-27 00:00:00,478.0,480.0,475.0,480.0,56766.0,backfill_api
2025-11-30 00:00:00,482.0,489.6,470.0,470.0,79640.0,backfill_api
2025-12-01 00:00:00,465.6,472.0,463.1,467.0,30636.0,backfill_api
2025-12-02 00:00:00,463.0,469.0,463.0,468.1,16785.0,backfill_api
2025-12-03 00:00:00,465.0,469.8,460.1,460.1,31561.0,backfill_api
2025-12-07 00:00:00,460.1,463.8,456.1,456.1,31145.0,backfill_api
2025-12-08 00:00:00,460.0,460.9,452.1,460.0,28740.0,backfill_api
2025-12-09 00:00:00,460.0,474.9,460.0,474.7,55140.0,backfill_api
2025-12-10 00:00:00,475.0,479.4,469.0,471.0,21086.0,backfill_api
2025-12-11 00:00:00,466.1,475.0,466.1,472.0,13618.0,backfill_api
2025-12-14 00:00:00,465.0,465.0,456.0,457.1,40316.0,backfill_api
2025-12-15 00:00:00,455.1,457.8,452.0,454.0,23129.0,backfill_api
2025-12-16 00:00:00,454.0,462.0,451.3,458.3,31285.0,backfill_api
2025-12-17 00:00:00,458.3,464.8,455.3,461.0,21017.0,backfill_api
2025-12-18 00:00:00,461.0,463.0,455.8,456.9,16429.0,backfill_api
2025-12-21 00:00:00,455.0,456.9,448.4,449.3,24798.0,backfill_api
2025-12-22 00:00:00,444.1,452.0,443.1,443.5,23793.0,backfill_api
2025-12-23 00:00:00,444.1,446.0,443.0,445.0,16883.0,backfill_api
2025-12-24 00:00:00,446.0,450.0,441.1,442.0,21149.0,backfill_api
2025-12-28 00:00:00,440.0,452.7,435.0,447.0,25806.0,backfill_api
2025-12-29 00:00:00,445.0,453.0,440.5,440.9,20745.0,backfill_api
2025-12-31 00:00:00,440.9,445.0,440.0,441.2,17192.0,backfill_api
2026-01-01 00:00:00,440.0,443.0,440.0,440.0,13774.0,backfill_api
2026-01-04 00:00:00,438.0,439.5,436.5,436.6,12888.0,backfill_api
2026-01-05 00:00:00,436.0,440.0,435.6,438.3,11990.0,backfill_api
2026-01-06 00:00:00,445.0,445.0,438.3,441.3,25297.0,backfill_api
2026-01-07 00:00:00,435.2,443.0,435.2,440.2,7889.0,backfill_api
2026-01-08 00:00:00,441.0,443.8,437.2,442.0,20254.0,backfill_api
2026-01-12 00:00:00,440.0,444.0,440.0,441.0,10113.0,backfill_api
2026-01-13 00:00:00,440.0,443.0,439.3,439.5,19811.0,backfill_api
2026-01-14 00:00:00,438.2,449.8,438.2,445.1,18724.0,backfill_api
2026-01-18 00:00:00,440.5,451.5,440.5,451.5,29163.0,backfill_api
2026-01-20 00:00:00,453.0,463.0,453.0,457.2,39315.0,backfill_api
2026-01-21 00:00:00,464.6,464.6,451.0,453.0,26284.0,backfill_api
2026-01-22 00:00:00,445.0,453.9,445.0,451.0,14404.0,backfill_api
2026-01-25 00:00:00,451.0,460.9,451.0,458.4,29917.0,backfill_api
2026-01-26 00:00:00,453.2,461.8,453.2,457.7,29993.0,backfill_api
2026-01-27 00:00:00,452.3,459.7,451.1,452.0,37020.0,backfill_api
2026-01-28 00:00:00,450.0,452.0,445.0,452.0,28301.0,backfill_api
2026-01-29 00:00:00,460.0,460.0,446.3,447.1,13933.0,backfill_api
2026-02-01 00:00:00,447.1,449.0,444.4,445.0,15822.0,backfill_api
2026-02-02 00:00:00,445.0,446.0,441.2,442.2,22047.0,backfill_api
2026-02-03 00:00:00,442.2,445.0,440.6,441.0,13390.0,backfill_api
2026-02-04 00:00:00,444.0,444.0,431.0,437.5,53066.0,backfill_api
2026-02-05 00:00:00,433.0,441.0,433.0,440.7,18569.0,backfill_api
2026-02-08 00:00:00,442.0,445.9,441.0,441.0,15706.0,backfill_api
2026-02-09 00:00:00,441.5,443.0,437.3,437.4,12729.0,backfill_api
2026-02-10 00:00:00,435.5,440.0,435.5,435.7,14373.0,backfill_api
2026-02-11 00:00:00,437.0,443.0,435.3,439.8,20575.0,backfill_api
2026-02-12 00:00:00,436.0,443.9,436.0,437.3,14488.0,backfill_api
2026-02-16 00:00:00,436.2,440.0,436.2,436.2,11578.0,backfill_api
2026-02-17 00:00:00,436.0,438.0,434.0,434.5,17162.0,backfill_api
2026-02-22 00:00:00,434.0,442.6,431.0,433.1,12131.0,backfill_api
2026-02-23 00:00:00,430.2,437.0,430.2,433.1,9557.0,backfill_api
2026-02-24 00:00:00,433.1,437.0,430.4,435.0,11527.0,backfill_api
2026-02-25 00:00:00,435.0,442.8,435.0,442.7,11690.0,backfill_api
2026-02-26 00:00:00,442.0,443.9,436.6,441.5,14112.0,backfill_api
2026-03-01 00:00:00,436.0,444.9,435.0,442.0,13801.0,backfill_api
2026-03-03 00:00:00,450.8,450.8,439.0,447.0,20483.0,backfill_api
2026-03-09 00:00:00,447.0,474.3,447.0,465.0,2164.0,backfill_api
2026-03-10 00:00:00,470.0,474.0,456.0,462.2,83945.0,backfill_api
2026-03-11 00:00:00,458.1,466.0,456.3,456.3,35020.0,backfill_api
2026-03-12 00:00:00,451.0,462.0,451.0,461.0,24078.0,backfill_api
2026-03-15 00:00:00,468.0,469.8,456.5,458.0,18521.0,backfill_api
2026-03-16 00:00:00,454.0,458.0,451.6,453.0,22016.0,backfill_api
2026-03-17 00:00:00,453.0,454.0,448.0,452.0,15015.0,backfill_api
2026-03-19 00:00:00,455.0,465.1,451.0,463.9,44887.0,backfill_api
2026-03-22 00:00:00,466.0,483.0,465.0,480.0,112150.0,backfill_api
2026-03-23 00:00:00,483.0,483.0,470.0,477.0,57744.0,backfill_api
2026-03-24 00:00:00,475.0,477.0,470.5,474.6,22247.0,backfill_api
2026-03-25 00:00:00,475.0,475.0,466.0,467.0,28857.0,backfill_api
2026-03-26 00:00:00,460.1,469.0,460.1,468.0,24419.0,backfill_api
2026-03-29 00:00:00,468.0,468.0,455.2,458.0,27644.0,backfill_api
2026-03-30 00:00:00,453.3,459.8,450.3,450.7,21873.0,backfill_api
2026-03-31 00:00:00,450.1,455.5,443.0,453.7,28333.0,backfill_api
2026-04-01 00:00:00,453.8,453.8,443.0,443.2,22514.0,backfill_api
2026-04-02 00:00:00,442.0,448.0,436.4,446.0,20977.0,backfill_api
2026-04-05 00:00:00,442.0,442.0,433.0,434.0,35434.0,backfill_api
2026-04-06 00:00:00,430.1,446.0,430.0,445.0,16990.0,backfill_api
