date,open,high,low,close,volume,source
2025-02-27,554.8,565.0,545.0,555.0,39120.0,backfill_api
2025-03-02,566.1,595.5,561.0,592.8,91666.0,backfill_api
2025-03-03,604.6,620.0,586.0,587.0,93196.0,backfill_api
2025-03-04,598.7,598.7,569.0,574.0,52822.0,backfill_api
2025-03-05,570.0,576.0,555.0,557.3,41153.0,backfill_api
2025-03-06,568.0,573.0,557.0,572.0,31876.0,backfill_api
2025-03-09,583.4,583.4,553.4,560.0,31146.0,backfill_api
2025-03-10,560.0,570.0,549.0,552.0,43937.0,backfill_api
2025-03-11,559.0,560.0,539.0,540.5,31293.0,backfill_api
2025-03-12,548.0,550.0,539.0,541.0,34120.0,backfill_api
2025-03-16,551.8,551.8,531.0,534.5,34340.0,backfill_api
2025-03-17,535.0,543.0,529.0,538.0,19574.0,backfill_api
2025-03-18,540.0,540.0,528.5,529.9,13846.0,backfill_api
2025-03-19,538.0,538.0,508.0,515.0,44680.0,backfill_api
2025-03-20,515.0,520.0,507.8,512.08,28334.0,backfill_api
2025-03-23,505.0,513.0,496.0,497.87,25611.0,backfill_api
2025-03-24,507.8,524.0,489.3,515.88,55965.0,backfill_api
2025-03-25,505.6,515.0,496.0,496.86,36561.0,backfill_api
2025-03-26,505.0,513.5,501.0,508.31,28172.0,backfill_api
2025-03-27,518.4,518.4,508.5,512.71,27288.0,backfill_api
2025-03-30,502.5,529.0,502.5,519.85,39776.0,backfill_api
2025-04-01,522.6,524.0,506.2,510.35,24275.0,backfill_api
2025-04-02,508.1,540.0,507.1,523.59,34316.0,backfill_api
2025-04-03,525.2,532.2,511.0,514.07,25057.0,backfill_api
2025-04-07,511.2,515.8,503.8,505.14,23480.0,backfill_api
2025-04-08,510.0,513.0,500.0,511.12,18398.0,backfill_api
2025-04-09,513.0,521.0,510.2,512.92,21868.0,backfill_api
2025-04-10,521.0,521.0,505.0,507.33,24043.0,backfill_api
2025-04-13,502.0,511.0,500.0,501.76,32583.0,backfill_api
2025-04-15,505.0,513.9,505.0,507.51,24907.0,backfill_api
2025-04-16,507.0,516.0,501.6,505.16,16253.0,backfill_api
2025-04-17,509.0,513.0,502.0,506.95,42656.0,backfill_api
2025-04-20,516.0,516.0,500.0,501.33,28441.0,backfill_api
2025-04-21,504.0,506.8,495.0,498.69,21215.0,backfill_api
2025-04-22,491.0,499.0,491.0,494.72,26888.0,backfill_api
2025-04-23,500.0,500.0,485.0,487.16,26933.0,backfill_api
2025-04-24,477.5,479.0,450.0,469.98,89512.0,backfill_api
2025-04-27,460.6,484.0,460.6,470.33,34245.0,backfill_api
2025-04-28,479.7,480.0,463.0,463.97,27385.0,backfill_api
2025-04-29,464.0,469.0,460.0,460.46,15494.0,backfill_api
