date,open,high,low,close,volume,source
2025-02-27,1249.0,1259.0,1216.0,1230.1,9400.0,backfill_api
2025-03-02,1235.0,1298.0,1235.0,1283.0,16504.0,backfill_api
2025-03-03,1306.3,1306.3,1270.0,1290.0,16546.0,backfill_api
2025-03-04,1280.0,1300.0,1230.0,1270.0,14908.0,backfill_api
2025-03-05,1250.0,1269.9,1226.3,1230.0,9774.0,backfill_api
2025-03-06,1208.0,1251.0,1208.0,1241.1,7746.0,backfill_api
2025-03-09,1225.1,1234.0,1195.6,1210.0,6319.0,backfill_api
2025-03-10,1190.0,1233.1,1180.0,1180.0,4504.0,backfill_api
2025-03-11,1170.1,1180.0,1148.0,1150.0,5394.0,backfill_api
2025-03-12,1152.0,1173.0,1152.0,1166.0,3598.0,backfill_api
2025-03-16,1149.0,1166.0,1143.0,1144.0,3055.0,backfill_api
2025-03-17,1141.0,1159.0,1130.0,1159.0,5420.0,backfill_api
2025-03-18,1152.1,1173.9,1142.0,1142.0,2663.0,backfill_api
2025-03-19,1134.0,1210.0,1134.0,1142.0,1916.0,backfill_api
2025-03-20,1120.0,1164.8,1120.0,1124.8,3995.0,backfill_api
2025-03-23,1115.0,1135.0,1085.0,1091.16,5479.0,backfill_api
2025-03-24,1070.0,1118.0,1070.0,1101.49,1859.0,backfill_api
2025-03-25,1088.0,1097.0,1072.0,1079.52,3821.0,backfill_api
2025-03-26,1100.0,1111.0,1080.0,1095.66,2625.0,backfill_api
2025-03-27,1115.0,1135.0,1092.7,1112.08,4504.0,backfill_api
2025-03-30,1120.0,1150.0,1103.0,1144.79,2699.0,backfill_api
2025-04-01,1131.1,1131.1,1100.1,1108.57,3164.0,backfill_api
2025-04-02,1100.0,1140.0,1100.0,1115.41,702.0,backfill_api
2025-04-03,1105.0,1132.0,1090.0,1102.9,4944.0,backfill_api
2025-04-07,1098.0,1120.0,1083.1,1084.68,1864.0,backfill_api
2025-04-08,1104.0,1104.0,1070.0,1086.0,1965.0,backfill_api
2025-04-09,1088.1,1117.7,1088.1,1113.54,1914.0,backfill_api
2025-04-10,1125.0,1128.0,1100.2,1101.8,2150.0,backfill_api
2025-04-13,1100.0,1100.0,1083.4,1091.6,1911.0,backfill_api
2025-04-15,1092.0,1120.0,1089.8,1118.55,3932.0,backfill_api
2025-04-16,1097.0,1122.8,1097.0,1119.52,1143.0,backfill_api
2025-04-17,1101.1,1139.9,1101.1,1123.32,2259.0,backfill_api
2025-04-20,1120.0,1120.0,1101.1,1103.92,1567.0,backfill_api
2025-04-21,1103.6,1111.0,1090.0,1098.73,3515.0,backfill_api
2025-04-22,1092.0,1111.8,1087.0,1111.37,1890.0,backfill_api
2025-04-23,1118.7,1118.7,1091.0,1105.0,1916.0,backfill_api
2025-04-24,1085.2,1111.0,1085.0,1093.96,3213.0,backfill_api
2025-04-27,1110.0,1120.0,1090.0,1109.38,2926.0,backfill_api
2025-04-28,1100.0,1109.9,1095.0,1106.81,2536.0,backfill_api
2025-04-29,1085.6,1100.0,1085.5,1087.86,3449.0,backfill_api
2025-04-30,1107.9,1114.0,1075.0,1105.73,8329.0,backfill_api
2025-05-04,1124.5,1129.9,1090.0,1106.01,3296.0,backfill_api
2025-05-05,1127.0,1138.0,1104.5,1108.2,2167.0,backfill_api
2025-05-06,1110.0,1125.0,1110.0,1122.42,3506.0,backfill_api
2025-05-07,1123.0,1150.0,1112.0,1141.95,4987.0,backfill_api
2025-05-08,1162.0,1163.0,1122.1,1127.21,3226.0,backfill_api
2025-05-11,1130.0,1173.9,1130.0,1156.66,7692.0,backfill_api
2025-05-13,1175.0,1175.0,1138.0,1145.0,3661.0,backfill_api
2025-05-14,1145.0,1167.0,1134.2,1145.99,2114.0,backfill_api
2025-05-15,1145.0,1168.9,1145.0,1159.39,3527.0,backfill_api
2025-05-18,1157.0,1199.8,1157.0,1183.76,12642.0,backfill_api
2025-05-19,1200.0,1200.0,1152.5,1170.09,5643.0,backfill_api
2025-05-20,1151.0,1190.0,1151.0,1188.61,5105.0,backfill_api
2025-05-21,1210.0,1212.0,1167.0,1169.47,2749.0,backfill_api
2025-05-22,1152.7,1179.0,1152.7,1158.15,4368.0,backfill_api
2025-05-25,1177.0,1177.0,1141.1,1153.26,3090.0,backfill_api
2025-05-26,1175.0,1198.5,1130.2,1135.2,2037.0,backfill_api
