date,open,high,low,close,volume,source
2025-02-27,365.0,386.0,365.0,376.0,36156.0,backfill_api
2025-03-02,370.0,392.1,370.0,384.0,36101.0,backfill_api
2025-03-03,380.0,390.0,378.1,380.0,45071.0,backfill_api
2025-03-04,384.9,397.0,380.1,388.0,102999.0,backfill_api
2025-03-05,392.0,395.0,383.0,388.0,43955.0,backfill_api
2025-03-06,395.0,395.0,379.0,380.0,32736.0,backfill_api
2025-03-09,380.0,387.0,372.4,375.0,32986.0,backfill_api
2025-03-10,382.0,382.0,370.0,374.8,23934.0,backfill_api
2025-03-11,375.0,380.4,367.0,370.0,38072.0,backfill_api
2025-03-12,376.9,376.9,362.6,367.0,38615.0,backfill_api
2025-03-16,372.0,379.0,360.0,363.0,23068.0,backfill_api
2025-03-17,370.2,370.2,357.5,359.0,25952.0,backfill_api
2025-03-18,366.0,379.5,355.2,359.0,14912.0,backfill_api
2025-03-19,366.0,366.0,352.9,356.5,17464.0,backfill_api
2025-03-20,363.0,363.0,346.0,347.6,30784.0,backfill_api
2025-03-23,350.0,350.0,331.0,331.81,36688.0,backfill_api
2025-03-24,326.0,343.0,326.0,340.78,28059.0,backfill_api
2025-03-25,335.0,342.7,324.0,325.66,32469.0,backfill_api
2025-03-26,332.1,335.0,325.7,333.52,15282.0,backfill_api
2025-03-27,339.0,339.0,333.1,335.41,13672.0,backfill_api
2025-03-30,341.0,367.2,339.0,354.56,40563.0,backfill_api
2025-04-01,361.6,361.6,340.1,350.31,28106.0,backfill_api
2025-04-02,356.0,356.0,349.0,349.97,11238.0,backfill_api
2025-04-03,356.9,356.9,342.1,345.55,18816.0,backfill_api
2025-04-07,350.0,359.0,340.3,340.68,20438.0,backfill_api
2025-04-08,340.0,340.0,333.0,339.18,13576.0,backfill_api
2025-04-09,340.2,353.0,340.2,343.85,11701.0,backfill_api
2025-04-10,350.0,350.0,342.2,346.26,6367.0,backfill_api
2025-04-13,350.0,350.0,341.0,341.35,7658.0,backfill_api
2025-04-15,335.0,350.0,335.0,346.81,15224.0,backfill_api
2025-04-16,352.9,352.9,342.0,350.85,17345.0,backfill_api
2025-04-17,357.8,359.0,348.1,354.36,13582.0,backfill_api
2025-04-20,359.9,359.9,347.0,349.03,10479.0,backfill_api
2025-04-21,343.0,354.0,343.0,349.06,17313.0,backfill_api
2025-04-22,356.0,356.0,348.1,352.86,21909.0,backfill_api
2025-04-23,346.3,355.8,346.2,350.05,16870.0,backfill_api
2025-04-24,350.0,350.4,343.0,345.96,18768.0,backfill_api
2025-04-27,350.0,353.9,345.0,346.83,25927.0,backfill_api
2025-04-28,353.0,360.0,344.0,344.56,14280.0,backfill_api
2025-04-29,343.0,350.0,340.5,342.5,9317.0,backfill_api
2025-04-30,345.0,356.2,337.1,341.54,19094.0,backfill_api
2025-05-04,348.3,355.1,340.0,340.96,19543.0,backfill_api
2025-05-05,342.0,344.0,338.1,339.01,15693.0,backfill_api
2025-05-06,339.0,341.0,335.2,336.91,11171.0,backfill_api
2025-05-07,331.0,348.0,331.0,346.93,23440.0,backfill_api
2025-05-08,353.8,360.0,345.0,351.54,15292.0,backfill_api
2025-05-11,358.0,383.1,352.0,371.45,98127.0,backfill_api
2025-05-13,375.0,380.0,360.1,362.64,25357.0,backfill_api
2025-05-14,369.8,369.8,349.0,349.98,18536.0,backfill_api
2025-05-15,345.0,350.0,341.0,343.48,19588.0,backfill_api
2025-05-18,349.8,350.0,337.0,341.77,22313.0,backfill_api
2025-05-19,346.8,351.0,343.0,344.32,10207.0,backfill_api
2025-05-20,349.9,357.0,340.5,352.0,28034.0,backfill_api
2025-05-21,359.0,373.0,350.0,350.48,22170.0,backfill_api
2025-05-22,351.1,355.0,346.3,347.12,12741.0,backfill_api
2025-05-25,347.0,350.0,344.2,344.92,12821.0,backfill_api
2025-05-26,351.8,353.0,342.1,343.02,11803.0,backfill_api
2025-05-27,341.5,347.9,340.0,344.16,14456.0,backfill_api
2025-05-28,350.0,350.0,340.3,345.83,18022.0,backfill_api
2025-06-02,346.0,352.0,343.0,345.13,13514.0,backfill_api
2025-06-03,349.0,349.0,340.0,342.42,16458.0,backfill_api
2025-06-04,346.0,346.0,337.0,337.74,9816.0,backfill_api
2025-06-05,344.4,344.4,331.1,337.25,16116.0,backfill_api
2025-06-08,343.0,356.7,340.1,342.87,18818.0,backfill_api
2025-06-09,340.0,349.0,340.0,346.17,11286.0,backfill_api
2025-06-10,350.0,360.0,347.3,349.69,27290.0,backfill_api
2025-06-11,352.0,352.0,340.0,342.58,20639.0,backfill_api
2025-06-12,349.3,355.9,340.1,342.29,17877.0,backfill_api
2025-06-15,348.0,354.0,345.1,347.79,26875.0,backfill_api
2025-06-16,343.0,359.9,343.0,351.52,35292.0,backfill_api
2025-06-17,350.0,356.7,345.6,350.22,22792.0,backfill_api
2025-06-18,357.0,373.3,343.3,370.19,65179.0,backfill_api
2025-06-19,377.5,380.0,360.0,362.62,82504.0,backfill_api
2025-06-22,355.4,369.8,353.5,355.53,37453.0,backfill_api
2025-06-23,348.6,367.0,348.6,362.68,24557.0,backfill_api
2025-06-24,355.5,392.7,355.5,384.34,131425.0,backfill_api
2025-06-25,392.0,420.0,392.0,402.65,208326.0,backfill_api
2025-06-26,410.7,410.7,386.0,392.29,90926.0,backfill_api
2025-06-29,395.0,395.0,386.0,390.76,64627.0,backfill_api
2025-06-30,383.0,411.9,383.0,390.46,44484.0,backfill_api
2025-07-01,382.7,399.6,382.7,393.4,48352.0,backfill_api
2025-07-02,401.2,432.7,401.2,432.7,191048.0,backfill_api
2025-07-03,441.3,475.9,441.3,463.71,332418.0,backfill_api
2025-07-06,468.0,468.0,434.0,438.54,213446.0,backfill_api
2025-07-07,439.0,443.8,427.0,434.08,114839.0,backfill_api
2025-07-08,430.0,450.8,430.0,446.76,75163.0,backfill_api
2025-07-09,450.0,450.0,435.0,436.52,106263.0,backfill_api
2025-07-10,445.2,445.2,428.0,429.11,264826.0,backfill_api
2025-07-13,269.8,291.0,269.8,291.0,26118.0,backfill_api
2025-07-14,296.8,314.0,294.0,299.66,242233.0,backfill_api
2025-07-15,300.0,304.9,291.0,293.45,88002.0,backfill_api
2025-07-16,295.2,297.0,290.1,291.34,50805.0,backfill_api
2025-07-17,296.0,305.0,292.1,297.81,59603.0,backfill_api
2025-07-20,303.0,320.0,299.0,300.82,87623.0,backfill_api
2025-07-21,300.0,307.0,300.0,300.76,62390.0,backfill_api
2025-07-22,295.0,306.6,295.0,302.81,60671.0,backfill_api
2025-07-23,297.0,305.0,297.0,299.95,71868.0,backfill_api
2025-07-24,305.9,305.9,295.0,296.5,58375.0,backfill_api
2025-07-27,296.5,300.0,290.0,290.39,61030.0,backfill_api
2025-07-28,293.0,293.0,282.0,288.26,48410.0,backfill_api
2025-07-29,290.0,294.0,288.0,290.07,29520.0,backfill_api
2025-07-30,290.0,292.5,283.0,283.32,23320.0,backfill_api
2025-07-31,282.0,283.0,275.0,278.48,27804.0,backfill_api
2025-08-03,280.0,281.0,270.0,271.25,32538.0,backfill_api
2025-08-04,270.5,270.5,265.1,268.21,29272.0,backfill_api
2025-08-05,269.5,270.0,263.0,264.32,21584.0,backfill_api
2025-08-06,261.0,264.0,261.0,263.16,12703.0,backfill_api
2025-08-07,268.0,281.0,263.8,279.44,27404.0,backfill_api
2025-08-11,280.0,285.6,276.0,278.02,24882.0,backfill_api
2025-08-12,280.0,280.0,268.0,268.95,15186.0,backfill_api
2025-08-13,268.0,269.9,265.0,265.88,11062.0,backfill_api
2025-08-14,269.9,271.1,266.0,270.81,13992.0,backfill_api
2025-08-17,271.0,271.5,266.1,266.72,7650.0,backfill_api
2025-08-18,270.9,272.0,266.1,268.43,10333.0,backfill_api
2025-08-19,270.0,272.9,268.0,268.91,6242.0,backfill_api
2025-08-20,264.0,273.0,264.0,267.21,9411.0,backfill_api
2025-08-21,270.0,270.0,261.9,264.2,14010.0,backfill_api
2025-08-24,263.0,265.0,260.7,261.36,7425.0,backfill_api
2025-08-25,265.0,265.0,253.0,254.49,22613.0,backfill_api
2025-08-26,259.0,260.0,253.0,253.0,4411.0,backfill_api
2025-08-27,255.8,258.0,252.0,257.94,10458.0,backfill_api
2025-08-28,254.1,261.9,254.1,256.24,10582.0,backfill_api
2025-08-31,259.5,259.5,244.1,246.67,18861.0,backfill_api
2025-09-01,247.0,249.0,240.1,243.07,10867.0,backfill_api
2025-09-02,247.8,250.4,238.3,242.53,16782.0,backfill_api
2025-09-03,242.1,242.6,237.7,238.67,13542.0,backfill_api
2025-09-04,243.4,243.4,235.4,238.75,15198.0,backfill_api
2025-09-07,240.0,240.0,225.0,233.57,11326.0,backfill_api
2025-09-08,235.0,238.2,225.2,226.39,13390.0,backfill_api
2025-09-18,230.0,230.0,230.0,230.0,100.0,backfill_api
2025-09-21,230.0,247.0,225.0,243.83,26986.0,backfill_api
2025-09-23,240.0,248.0,237.0,247.5,13130.0,backfill_api
2025-09-24,245.0,246.8,240.0,242.0,11359.0,backfill_api
2025-09-25,242.0,245.6,238.0,241.0,11491.0,backfill_api
2025-09-28,245.5,245.7,241.1,244.0,6202.0,backfill_api
2025-10-07,240.0,247.9,238.0,242.5,16791.0,backfill_api
2025-10-08,238.1,240.0,232.0,233.0,14480.0,backfill_api
2025-10-09,237.6,250.0,235.0,235.0,17412.0,backfill_api
2025-10-12,230.4,232.5,226.0,229.0,12003.0,backfill_api
2025-10-13,229.0,229.0,223.2,227.0,4319.0,backfill_api
2025-10-14,224.0,228.0,224.0,225.0,5531.0,backfill_api
2025-10-15,222.2,229.5,222.2,227.0,4755.0,backfill_api
2025-10-16,223.0,227.2,216.7,221.0,6160.0,backfill_api
2025-10-19,224.5,229.3,222.0,229.3,8222.0,backfill_api
2025-10-26,224.8,228.0,216.0,221.6,2635.0,backfill_api
2025-10-28,225.9,234.0,225.0,234.0,19695.0,backfill_api
2025-10-29,236.4,257.4,236.0,257.4,57020.0,backfill_api
2025-10-30,262.5,278.4,262.5,273.0,100517.0,backfill_api
2025-11-02,274.0,274.0,255.8,260.0,74610.0,backfill_api
2025-11-03,256.1,262.5,249.0,251.9,35754.0,backfill_api
2025-11-04,252.8,266.0,252.8,256.8,33890.0,backfill_api
2025-11-05,261.0,266.0,247.0,253.0,18300.0,backfill_api
2025-11-06,250.1,257.8,249.0,251.0,13832.0,backfill_api
2025-11-09,251.0,251.0,237.7,245.0,21065.0,backfill_api
2025-11-10,244.5,249.3,237.2,241.9,23127.0,backfill_api
2025-11-11,240.0,255.7,239.2,248.0,13759.0,backfill_api
2025-11-12,248.0,250.0,240.6,240.6,11452.0,backfill_api
2025-11-13,245.0,245.0,236.0,238.0,18575.0,backfill_api
2025-11-16,242.7,242.7,235.0,238.5,9596.0,backfill_api
2025-11-17,241.8,256.5,238.0,249.0,21612.0,backfill_api
2025-11-18,250.0,256.9,250.0,253.0,24860.0,backfill_api
2025-11-19,256.0,256.0,245.2,251.5,10497.0,backfill_api
2025-11-20,246.5,251.4,244.1,251.4,19902.0,backfill_api
2025-11-23,256.4,260.0,250.1,256.0,20754.0,backfill_api
2025-11-24,260.8,260.8,251.0,251.5,20564.0,backfill_api
2025-11-25,252.0,256.0,252.0,255.0,13896.0,backfill_api
2025-11-26,250.2,260.0,250.2,254.0,12377.0,backfill_api
2025-11-27,254.0,258.0,253.6,256.0,9117.0,backfill_api
2025-11-30,260.0,260.0,246.2,248.0,21453.0,backfill_api
2025-12-01,252.0,252.0,241.0,250.0,16750.0,backfill_api
2025-12-02,253.0,253.0,246.0,247.0,5919.0,backfill_api
2025-12-03,247.0,254.9,245.2,248.0,12394.0,backfill_api
2025-12-07,252.4,252.4,239.0,243.0,12616.0,backfill_api
2025-12-08,239.0,243.1,237.1,242.7,19068.0,backfill_api
2025-12-09,240.0,245.0,239.0,239.0,9900.0,backfill_api
2025-12-10,243.7,248.0,240.0,240.0,10424.0,backfill_api
2025-12-11,237.3,244.0,237.2,240.0,5701.0,backfill_api
2025-12-14,244.8,244.8,233.0,237.3,22547.0,backfill_api
2025-12-15,232.6,232.6,219.6,225.0,125275.0,backfill_api
2025-12-16,225.0,227.8,222.2,223.4,44106.0,backfill_api
2025-12-17,225.0,226.9,221.0,224.8,66275.0,backfill_api
2025-12-18,222.0,228.8,219.9,221.0,51541.0,backfill_api
2025-12-21,217.0,221.0,215.5,216.0,46815.0,backfill_api
2025-12-22,216.0,218.0,211.7,212.0,34972.0,backfill_api
2025-12-23,208.0,217.9,208.0,214.9,47073.0,backfill_api
2025-12-24,211.0,218.0,211.0,214.7,43772.0,backfill_api
2025-12-28,215.0,222.4,213.3,222.4,64800.0,backfill_api
2025-12-29,223.0,226.0,216.5,217.0,44123.0,backfill_api
2025-12-31,220.0,221.0,214.5,217.0,49409.0,backfill_api
2026-01-01,214.5,218.7,214.0,214.1,37784.0,backfill_api
2026-01-04,209.9,218.9,209.9,213.8,36397.0,backfill_api
2026-01-05,216.3,217.0,213.0,215.5,81069.0,backfill_api
2026-01-06,215.0,220.9,215.0,215.2,56167.0,backfill_api
2026-01-07,214.1,219.5,214.1,215.9,60158.0,backfill_api
2026-01-08,215.9,235.0,213.0,225.9,413228.0,backfill_api
