date,open,high,low,close,volume,source
2025-02-27,452.9,459.0,447.0,455.0,56663.0,backfill_api
2025-03-02,464.0,470.0,455.3,469.0,61483.0,backfill_api
2025-03-03,459.7,479.9,456.2,461.7,83210.0,backfill_api
2025-03-04,455.1,470.0,455.1,466.0,40384.0,backfill_api
2025-03-05,458.0,465.0,456.0,463.0,49032.0,backfill_api
2025-03-06,455.0,471.9,455.0,468.0,69792.0,backfill_api
2025-03-09,476.9,476.9,458.7,460.0,35922.0,backfill_api
2025-03-10,464.0,464.0,455.0,462.5,37395.0,backfill_api
2025-03-11,453.5,478.0,450.0,464.0,156099.0,backfill_api
2025-03-12,461.2,469.9,458.0,462.0,58894.0,backfill_api
2025-03-16,463.0,463.0,447.6,451.0,49532.0,backfill_api
2025-03-17,452.0,456.8,445.8,448.0,23700.0,backfill_api
2025-03-18,456.9,456.9,440.2,442.5,42551.0,backfill_api
2025-03-19,440.2,459.0,440.0,440.1,44877.0,backfill_api
2025-03-20,444.9,445.0,440.0,440.73,25689.0,backfill_api
2025-03-23,441.0,441.0,427.3,428.02,35197.0,backfill_api
2025-03-24,429.0,442.0,423.1,440.96,36163.0,backfill_api
2025-03-25,440.0,440.0,426.0,438.31,40694.0,backfill_api
2025-03-26,447.0,447.0,432.3,437.24,14713.0,backfill_api
2025-03-27,445.9,445.9,434.1,439.3,28602.0,backfill_api
2025-03-30,439.3,449.0,435.1,440.27,28640.0,backfill_api
2025-04-01,441.0,441.0,433.0,434.2,31749.0,backfill_api
2025-04-02,440.0,440.0,433.0,433.55,31551.0,backfill_api
2025-04-03,440.0,441.0,436.2,438.03,19179.0,backfill_api
2025-04-07,430.0,456.0,429.3,431.73,32324.0,backfill_api
2025-04-08,440.0,445.0,428.0,433.28,17188.0,backfill_api
2025-04-09,434.0,444.2,434.0,440.95,23583.0,backfill_api
2025-04-10,436.0,443.0,435.4,441.48,15124.0,backfill_api
2025-04-13,434.6,440.5,434.5,437.27,10341.0,backfill_api
2025-04-15,440.0,446.9,438.1,440.5,18058.0,backfill_api
2025-04-16,440.5,444.5,435.1,440.45,18882.0,backfill_api
2025-04-17,437.1,450.0,437.1,448.18,19218.0,backfill_api
2025-04-20,454.0,455.0,447.3,450.98,25533.0,backfill_api
2025-04-21,455.0,457.5,447.1,453.71,29812.0,backfill_api
2025-04-22,460.0,460.0,443.1,445.43,17548.0,backfill_api
2025-04-23,442.0,442.6,435.0,437.55,15597.0,backfill_api
2025-04-24,437.0,443.0,436.0,440.46,16225.0,backfill_api
2025-04-27,445.0,449.2,435.8,437.56,20378.0,backfill_api
2025-04-28,444.9,444.9,435.0,437.27,17641.0,backfill_api
2025-04-29,436.0,440.0,433.2,433.56,9021.0,backfill_api
2025-04-30,440.0,442.0,428.0,428.62,34725.0,backfill_api
2025-05-04,422.0,440.0,422.0,435.04,33670.0,backfill_api
2025-05-05,438.7,438.7,435.0,436.11,11702.0,backfill_api
2025-05-06,440.0,440.0,430.2,433.13,31280.0,backfill_api
2025-05-07,431.1,442.0,429.8,440.66,29090.0,backfill_api
2025-05-08,440.66,447.5,433.0,440.17,31814.0,backfill_api
2025-05-11,440.0,452.0,436.0,447.52,37818.0,backfill_api
