date,open,high,low,close,volume,source
2025-02-25,1244.0,1250.0,1215.0,1244.0,3695.0,backfill_api
2025-02-27,1268.8,1268.8,1216.0,1223.0,2559.0,backfill_api
2025-03-02,1200.0,1270.0,1200.0,1248.0,2217.0,backfill_api
2025-03-03,1223.1,1235.0,1205.0,1214.0,4299.0,backfill_api
2025-03-04,1191.0,1201.0,1190.0,1194.0,4000.0,backfill_api
2025-03-05,1183.0,1200.0,1176.0,1177.0,1676.0,backfill_api
2025-03-06,1200.0,1272.0,1162.0,1179.0,3363.0,backfill_api
2025-03-09,1180.0,1180.0,1150.0,1179.0,1271.0,backfill_api
2025-03-10,1156.0,1190.0,1146.0,1164.9,4062.0,backfill_api
2025-03-11,1142.0,1211.0,1126.0,1140.0,1482.0,backfill_api
2025-03-12,1136.0,1173.0,1132.0,1155.0,637.0,backfill_api
2025-03-16,1140.0,1160.0,1111.4,1138.0,4707.0,backfill_api
2025-03-17,1121.0,1130.0,1116.0,1116.0,2196.0,backfill_api
2025-03-18,1110.0,1115.0,1101.0,1107.1,818.0,backfill_api
2025-03-19,1129.0,1129.2,1088.1,1095.0,1327.0,backfill_api
2025-03-20,1095.0,1114.0,1074.0,1082.28,1987.0,backfill_api
2025-03-23,1070.0,1085.0,1044.0,1051.16,3587.0,backfill_api
2025-03-24,1072.1,1093.5,1031.2,1055.33,1398.0,backfill_api
2025-03-25,1035.1,1054.2,1016.0,1022.26,1864.0,backfill_api
2025-03-26,1042.0,1042.0,1020.5,1028.07,2777.0,backfill_api
2025-03-27,1048.6,1082.0,1025.0,1078.35,998.0,backfill_api
2025-03-30,1070.0,1106.4,1070.0,1082.0,1476.0,backfill_api
2025-04-01,1103.6,1121.0,1055.2,1056.8,716.0,backfill_api
2025-04-02,1076.9,1120.0,1057.0,1058.73,1448.0,backfill_api
2025-04-03,1058.0,1100.5,1047.1,1068.16,2370.0,backfill_api
2025-04-07,1046.8,1079.0,1046.8,1066.64,3018.0,backfill_api
2025-04-08,1065.9,1080.0,1065.9,1080.0,607.0,backfill_api
2025-04-09,1090.0,1101.0,1065.0,1066.4,680.0,backfill_api
2025-04-10,1046.2,1079.0,1046.2,1079.0,227.0,backfill_api
2025-04-13,1078.0,1078.0,1045.0,1058.55,4225.0,backfill_api
2025-04-15,1055.0,1094.0,1050.1,1094.0,672.0,backfill_api
2025-04-16,1100.0,1101.0,1067.0,1094.0,871.0,backfill_api
2025-04-17,1096.0,1101.0,1072.0,1074.21,1053.0,backfill_api
2025-04-20,1066.0,1099.9,1066.0,1087.87,2084.0,backfill_api
2025-04-21,1070.0,1100.0,1065.0,1085.1,2257.0,backfill_api
2025-04-22,1064.2,1070.0,1063.0,1070.0,501.0,backfill_api
2025-04-23,1051.3,1051.3,1051.3,1051.3,10.0,backfill_api
2025-04-24,1051.3,1071.0,1051.3,1057.11,400.0,backfill_api
2025-04-27,1057.11,1070.0,1022.0,1029.07,3289.0,backfill_api
2025-04-28,1030.0,1071.0,1016.5,1024.59,2125.0,backfill_api
2025-04-29,1017.0,1045.0,1017.0,1045.0,206.0,backfill_api
2025-04-30,1025.0,1028.0,1005.0,1009.73,2393.0,backfill_api
2025-05-04,1020.0,1028.0,1005.0,1013.03,1834.0,backfill_api
2025-05-05,1033.0,1035.0,993.8,1031.0,1948.0,backfill_api
2025-05-06,1040.0,1040.0,993.0,994.46,1461.0,backfill_api
2025-05-07,1014.0,1074.0,1000.0,1060.0,1455.0,backfill_api
2025-05-08,1040.0,1080.0,1019.0,1058.33,584.0,backfill_api
2025-05-11,1040.0,1040.1,1020.0,1039.0,798.0,backfill_api
2025-05-13,1058.9,1058.9,1025.0,1058.9,481.0,backfill_api
2025-05-14,1038.0,1058.9,1018.0,1055.0,300.0,backfill_api
2025-05-15,1069.0,1069.0,1048.0,1048.0,20.0,backfill_api
2025-05-18,1027.2,1070.0,1027.1,1052.2,2501.0,backfill_api
2025-05-19,1070.0,1073.2,1032.0,1066.85,4375.0,backfill_api
2025-05-20,1045.6,1070.0,1040.0,1070.0,265.0,backfill_api
2025-05-21,1090.0,1111.0,1052.0,1073.0,378.0,backfill_api
2025-05-22,1073.0,1093.9,1058.1,1059.7,5072.0,backfill_api
2025-05-25,1062.0,1142.0,1062.0,1126.25,10714.0,backfill_api
2025-05-26,1145.0,1145.0,1103.0,1103.16,3218.0,backfill_api
2025-05-27,1081.1,1100.0,1080.0,1082.04,1378.0,backfill_api
2025-05-28,1103.0,1122.0,1082.2,1104.58,1311.0,backfill_api
2025-06-02,1104.0,1126.0,1089.0,1093.0,1028.0,backfill_api
2025-06-03,1081.0,1081.0,1066.1,1066.85,926.0,backfill_api
2025-06-04,1046.0,1053.9,1045.1,1047.0,1742.0,backfill_api
2025-06-05,1046.0,1055.3,1045.0,1046.0,750.0,backfill_api
2025-06-08,1060.0,1060.0,1005.6,1034.37,1434.0,backfill_api
2025-06-09,1055.0,1055.0,1015.0,1055.0,1264.0,backfill_api
2025-06-10,1065.0,1065.0,1015.0,1048.5,4352.0,backfill_api
2025-06-11,1069.4,1072.0,1020.0,1020.86,2426.0,backfill_api
2025-06-12,1040.0,1040.0,1020.0,1020.72,2376.0,backfill_api
2025-06-15,1030.0,1040.0,1018.0,1040.0,1795.0,backfill_api
2025-06-16,1022.1,1080.0,1022.1,1059.2,4401.0,backfill_api
2025-06-17,1080.3,1109.0,1059.0,1085.37,6618.0,backfill_api
2025-06-18,1107.0,1128.0,1079.0,1079.52,2074.0,backfill_api
2025-06-19,1099.9,1099.9,1015.3,1047.67,640.0,backfill_api
2025-06-22,1027.0,1047.5,1010.0,1016.96,2121.0,backfill_api
2025-06-23,1037.0,1049.0,990.0,1049.0,7001.0,backfill_api
2025-06-24,1028.1,1040.0,1025.0,1028.92,1042.0,backfill_api
2025-06-25,1049.0,1049.0,1020.0,1020.0,205.0,backfill_api
2025-06-26,1040.4,1040.4,1000.0,1034.9,1890.0,backfill_api
2025-06-29,1049.0,1049.0,1018.0,1039.0,1422.0,backfill_api
2025-06-30,1050.0,1075.0,1032.0,1066.23,4038.0,backfill_api
2025-07-01,1082.0,1096.0,1066.0,1089.16,1476.0,backfill_api
2025-07-02,1110.0,1110.0,1070.0,1079.52,1671.0,backfill_api
2025-07-03,1096.0,1096.0,1065.0,1094.9,217.0,backfill_api
2025-07-06,1074.0,1116.7,1074.0,1079.18,1442.0,backfill_api
2025-07-07,1100.0,1100.0,1012.0,1051.33,2717.0,backfill_api
2025-07-08,1031.2,1072.0,1031.0,1051.92,469.0,backfill_api
2025-07-09,1071.8,1071.8,1051.0,1053.4,968.0,backfill_api
2025-07-10,1069.9,1086.0,1069.9,1070.0,1440.0,backfill_api
2025-07-13,1091.4,1135.2,1091.0,1103.62,4069.0,backfill_api
2025-07-14,1100.0,1100.0,1080.0,1097.8,1480.0,backfill_api
2025-07-15,1097.8,1132.2,1080.0,1113.76,1620.0,backfill_api
2025-07-16,1135.0,1140.0,1095.0,1121.15,3258.0,backfill_api
2025-07-17,1142.0,1205.0,1098.8,1167.13,12449.0,backfill_api
2025-07-20,1150.0,1189.9,1150.0,1162.72,4793.0,backfill_api
2025-07-21,1160.0,1184.9,1128.0,1161.14,7239.0,backfill_api
2025-07-22,1180.0,1220.0,1180.0,1200.97,4781.0,backfill_api
2025-07-23,1210.0,1215.0,1170.1,1182.31,3176.0,backfill_api
2025-07-24,1205.0,1239.0,1190.2,1232.47,8976.0,backfill_api
2025-07-27,1235.0,1300.5,1235.0,1246.88,10708.0,backfill_api
2025-07-28,1248.0,1248.0,1210.0,1224.31,6002.0,backfill_api
2025-07-29,1216.0,1280.0,1216.0,1240.35,6596.0,backfill_api
2025-07-30,1220.0,1225.0,1171.5,1182.89,6667.0,backfill_api
2025-07-31,1183.0,1206.0,1165.5,1171.19,2977.0,backfill_api
2025-08-03,1166.0,1180.0,1151.0,1155.35,1296.0,backfill_api
2025-08-04,1170.0,1201.0,1140.0,1153.7,2265.0,backfill_api
2025-08-05,1176.0,1198.0,1150.0,1171.35,2340.0,backfill_api
2025-08-06,1184.0,1199.0,1178.4,1195.97,3412.0,backfill_api
2025-08-07,1205.0,1205.0,1180.0,1181.01,4087.0,backfill_api
2025-08-11,1203.0,1203.0,1136.0,1155.82,954.0,backfill_api
2025-08-12,1133.0,1154.0,1081.2,1084.87,3126.0,backfill_api
2025-08-13,1100.0,1101.6,1073.0,1075.01,1161.0,backfill_api
2025-08-14,1075.01,1093.0,1055.0,1058.91,913.0,backfill_api
2025-08-17,1065.0,1065.0,1030.0,1030.0,1724.0,backfill_api
2025-08-18,1035.1,1050.0,1022.0,1036.9,2263.0,backfill_api
2025-08-19,1037.0,1070.0,1037.0,1059.76,1629.0,backfill_api
2025-08-20,1080.0,1080.0,1040.0,1052.61,1298.0,backfill_api
2025-08-21,1032.0,1071.0,1021.2,1063.82,1926.0,backfill_api
2025-08-24,1073.0,1073.0,1040.0,1045.0,630.0,backfill_api
2025-08-25,1045.0,1059.0,1045.0,1050.88,752.0,backfill_api
2025-08-26,1045.0,1049.0,1030.0,1043.57,1200.0,backfill_api
2025-08-27,1049.0,1060.8,1040.0,1060.8,486.0,backfill_api
2025-08-28,1082.0,1082.0,1035.0,1035.18,920.0,backfill_api
2025-08-31,1019.0,1020.0,1000.0,1001.05,4381.0,backfill_api
2025-09-01,982.0,1033.0,982.0,1006.65,650.0,backfill_api
2025-09-02,1006.1,1010.0,1000.0,1000.0,1770.0,backfill_api
2025-09-03,980.0,999.6,980.0,994.0,778.0,backfill_api
2025-09-04,981.2,995.0,981.2,991.61,1914.0,backfill_api
2025-09-07,990.0,1005.0,989.0,989.0,740.0,backfill_api
2025-09-08,989.0,1005.0,927.0,984.0,2625.0,backfill_api
2025-09-18,971.0,988.0,971.0,988.0,20.0,backfill_api
2025-09-21,969.0,1019.0,925.0,980.69,1384.0,backfill_api
2025-09-23,997.7,1000.0,990.0,994.1,717.0,backfill_api
2025-09-24,994.1,994.1,975.0,975.0,424.0,backfill_api
2025-09-25,985.5,985.5,975.0,978.0,237.0,backfill_api
2025-09-28,986.0,993.0,975.0,993.0,330.0,backfill_api
