date,open,high,low,close,volume,source
2025-02-27,342.0,355.0,341.0,353.0,66864.0,backfill_api
2025-03-02,350.4,360.9,350.4,360.0,80541.0,backfill_api
2025-03-03,352.8,369.0,352.8,358.0,72106.0,backfill_api
2025-03-04,353.8,359.5,347.9,354.9,76895.0,backfill_api
2025-03-05,349.0,353.9,345.2,345.2,43190.0,backfill_api
2025-03-06,345.2,352.0,343.0,345.0,37923.0,backfill_api
2025-03-09,342.0,345.0,338.3,340.0,63877.0,backfill_api
2025-03-10,340.0,346.5,335.0,337.0,73743.0,backfill_api
2025-03-11,335.2,338.1,330.0,333.0,55513.0,backfill_api
2025-03-12,333.0,335.0,330.1,334.9,31202.0,backfill_api
2025-03-16,332.0,336.0,330.0,332.0,36887.0,backfill_api
2025-03-17,331.0,339.7,331.0,332.1,35095.0,backfill_api
2025-03-18,331.0,336.9,331.0,333.6,27073.0,backfill_api
2025-03-19,333.0,337.8,331.0,332.0,23392.0,backfill_api
2025-03-20,330.0,332.0,329.0,330.28,33640.0,backfill_api
2025-03-23,329.0,335.0,324.1,325.19,40567.0,backfill_api
2025-03-24,325.0,331.0,322.2,325.85,28008.0,backfill_api
2025-03-25,322.0,324.0,314.6,315.41,44862.0,backfill_api
2025-03-26,315.0,323.0,313.0,317.27,28319.0,backfill_api
2025-03-27,318.0,324.0,315.0,320.57,28567.0,backfill_api
2025-03-30,320.0,331.6,317.5,327.42,37020.0,backfill_api
2025-04-01,324.0,330.0,322.0,323.22,30187.0,backfill_api
2025-04-02,316.8,326.0,316.8,321.4,21613.0,backfill_api
2025-04-03,319.0,329.4,318.9,321.02,40660.0,backfill_api
2025-04-07,319.0,326.4,316.4,318.95,24649.0,backfill_api
2025-04-08,315.1,318.0,314.0,314.63,41770.0,backfill_api
2025-04-09,320.0,320.0,314.2,315.16,22609.0,backfill_api
2025-04-10,315.0,318.0,313.0,315.34,29497.0,backfill_api
2025-04-13,320.0,339.6,313.0,313.38,48069.0,backfill_api
2025-04-15,314.2,327.0,314.2,320.26,32544.0,backfill_api
2025-04-16,318.0,343.1,318.0,333.41,68304.0,backfill_api
2025-04-17,333.0,336.0,327.5,330.98,43694.0,backfill_api
2025-04-20,329.3,332.0,324.1,325.3,35316.0,backfill_api
2025-04-21,318.8,335.0,318.8,331.44,55496.0,backfill_api
2025-04-22,325.0,334.5,321.9,323.09,29726.0,backfill_api
2025-04-23,323.0,325.0,318.0,318.31,25448.0,backfill_api
2025-04-24,315.2,344.3,312.0,339.0,510045.0,backfill_api
2025-04-27,332.3,359.6,332.3,342.09,91761.0,backfill_api
2025-04-28,335.3,371.0,324.1,368.16,289665.0,backfill_api
2025-04-29,360.8,360.8,331.4,331.78,408443.0,backfill_api
2025-04-30,330.0,334.9,326.0,326.65,60798.0,backfill_api
2025-05-04,333.1,333.1,318.5,319.83,82378.0,backfill_api
2025-05-05,313.9,323.0,313.9,316.55,52623.0,backfill_api
2025-05-06,318.0,323.9,314.7,315.86,86183.0,backfill_api
2025-05-07,317.0,332.5,316.0,320.99,105695.0,backfill_api
2025-05-08,325.0,327.4,319.1,320.8,105423.0,backfill_api
2025-05-11,320.0,326.0,319.2,320.07,53592.0,backfill_api
2025-05-13,320.0,323.0,317.2,318.77,64573.0,backfill_api
2025-05-14,319.0,320.0,314.0,315.64,55603.0,backfill_api
2025-05-15,314.1,318.0,313.1,314.42,60818.0,backfill_api
2025-05-18,310.0,317.0,310.0,311.27,46905.0,backfill_api
2025-05-19,312.0,318.0,311.1,313.01,28345.0,backfill_api
2025-05-20,312.0,319.0,306.8,316.0,57525.0,backfill_api
2025-05-21,322.3,327.9,312.5,313.72,65430.0,backfill_api
2025-05-22,311.1,315.0,311.1,311.98,54094.0,backfill_api
2025-05-25,311.0,316.0,310.0,311.7,35007.0,backfill_api
2025-05-26,312.1,320.0,311.2,312.12,33867.0,backfill_api
2025-05-27,309.0,314.7,308.1,310.31,24988.0,backfill_api
2025-05-28,310.0,315.0,310.0,313.09,25698.0,backfill_api
2025-06-02,315.0,319.0,310.1,310.33,29677.0,backfill_api
2025-06-03,310.0,312.0,308.0,308.57,31068.0,backfill_api
2025-06-04,308.0,310.0,306.0,306.2,28255.0,backfill_api
2025-06-05,305.0,311.0,303.0,305.61,45692.0,backfill_api
2025-06-08,305.7,311.6,303.2,310.45,29487.0,backfill_api
2025-06-09,311.0,319.0,305.6,316.01,59871.0,backfill_api
2025-06-10,311.8,318.8,311.8,314.1,54033.0,backfill_api
2025-06-11,312.0,316.0,311.5,312.68,21905.0,backfill_api
2025-06-12,312.0,333.0,308.0,319.03,114820.0,backfill_api
2025-06-15,320.0,324.0,315.1,322.17,51398.0,backfill_api
2025-06-16,327.3,340.0,322.1,329.06,337002.0,backfill_api
2025-06-17,335.0,335.0,323.6,327.01,75236.0,backfill_api
2025-06-18,322.0,335.0,322.0,331.32,66832.0,backfill_api
2025-06-19,336.5,362.0,336.5,349.71,819420.0,backfill_api
2025-06-22,355.0,355.0,331.0,331.53,216672.0,backfill_api
2025-06-23,324.9,341.9,320.0,329.75,123452.0,backfill_api
2025-06-24,335.0,343.0,324.2,326.95,154297.0,backfill_api
2025-06-25,333.0,333.0,322.0,323.05,66727.0,backfill_api
2025-06-26,329.0,329.0,319.0,319.62,83971.0,backfill_api
2025-06-29,317.0,323.0,317.0,318.66,79412.0,backfill_api
2025-06-30,315.1,333.5,315.1,317.25,54550.0,backfill_api
2025-07-01,322.0,324.3,318.0,319.26,86869.0,backfill_api
2025-07-02,320.0,328.0,319.9,324.4,84247.0,backfill_api
2025-07-03,320.0,326.0,320.0,320.24,63792.0,backfill_api
2025-07-06,320.0,324.0,315.0,315.71,47651.0,backfill_api
2025-07-07,314.0,317.0,314.0,314.61,63101.0,backfill_api
2025-07-08,308.4,316.4,308.4,313.26,61328.0,backfill_api
2025-07-09,311.3,316.0,311.2,312.4,51586.0,backfill_api
2025-07-10,312.4,315.0,310.0,312.16,47486.0,backfill_api
2025-07-13,318.0,323.0,312.0,313.5,71213.0,backfill_api
2025-07-14,311.0,317.0,310.4,313.15,48733.0,backfill_api
2025-07-15,313.0,319.0,310.0,316.59,41779.0,backfill_api
2025-07-16,319.0,319.0,313.0,316.05,89361.0,backfill_api
2025-07-17,318.0,326.0,318.0,323.95,85196.0,backfill_api
2025-07-20,323.0,330.4,321.0,323.22,116864.0,backfill_api
2025-07-21,322.2,330.0,319.3,326.46,104172.0,backfill_api
2025-07-22,323.0,333.0,323.0,332.3,128252.0,backfill_api
2025-07-23,332.3,335.9,328.0,330.56,121048.0,backfill_api
2025-07-24,328.6,335.0,328.0,334.21,140660.0,backfill_api
