date,open,high,low,close,volume,source
2025-02-27,650.0,650.0,630.0,641.0,5605.0,backfill_api
2025-03-02,633.2,647.0,630.3,639.0,19935.0,backfill_api
2025-03-03,630.0,651.0,625.3,635.0,10319.0,backfill_api
2025-03-04,625.0,646.5,613.5,615.0,10738.0,backfill_api
2025-03-05,610.0,622.0,609.7,615.0,12881.0,backfill_api
2025-03-06,627.0,635.0,612.1,625.0,7226.0,backfill_api
2025-03-09,626.0,636.0,612.5,619.0,9287.0,backfill_api
2025-03-10,610.0,631.0,610.0,614.0,12207.0,backfill_api
2025-03-11,626.0,626.0,605.0,606.8,9015.0,backfill_api
2025-03-12,606.1,609.1,595.0,595.0,6894.0,backfill_api
2025-03-16,583.1,611.0,583.1,595.0,6459.0,backfill_api
2025-03-17,595.0,605.0,580.0,593.0,7328.0,backfill_api
2025-03-18,599.0,599.0,580.0,585.9,1676.0,backfill_api
2025-03-19,585.0,586.0,575.0,579.0,4663.0,backfill_api
2025-03-20,567.5,593.0,567.5,577.33,3776.0,backfill_api
2025-03-23,581.2,588.0,578.0,579.89,13654.0,backfill_api
2025-03-24,589.9,591.0,569.1,584.48,3192.0,backfill_api
2025-03-25,592.0,592.0,545.4,548.12,9512.0,backfill_api
2025-03-26,538.2,559.0,538.2,555.52,3450.0,backfill_api
2025-03-27,565.0,585.0,560.0,581.29,9424.0,backfill_api
2025-03-30,569.7,601.5,561.0,598.04,9642.0,backfill_api
2025-04-01,609.0,609.0,580.2,586.46,7641.0,backfill_api
2025-04-02,597.9,598.9,585.0,586.56,4721.0,backfill_api
2025-04-03,598.0,598.0,575.0,575.68,9952.0,backfill_api
2025-04-07,566.0,580.0,566.0,567.13,1417.0,backfill_api
2025-04-08,560.1,571.0,560.0,567.62,3447.0,backfill_api
2025-04-09,578.0,587.5,575.0,575.24,6122.0,backfill_api
2025-04-10,585.0,616.0,576.0,607.3,21309.0,backfill_api
2025-04-13,617.09,634.0,617.09,623.8,25837.0,backfill_api
2025-04-15,625.1,641.0,618.0,627.89,21366.0,backfill_api
2025-04-16,630.0,633.0,618.0,629.84,15388.0,backfill_api
2025-04-17,632.0,640.0,629.0,631.95,25894.0,backfill_api
2025-04-20,639.0,639.0,616.3,618.67,20460.0,backfill_api
2025-04-21,613.0,640.5,613.0,633.83,25708.0,backfill_api
2025-04-22,622.2,640.0,622.2,633.91,22597.0,backfill_api
2025-04-23,634.0,634.0,619.0,628.59,27178.0,backfill_api
2025-04-24,628.0,629.0,618.0,625.67,24395.0,backfill_api
2025-04-27,621.0,632.5,618.0,625.6,22529.0,backfill_api
2025-04-28,621.3,630.0,616.1,618.24,13710.0,backfill_api
2025-04-29,623.0,623.0,600.0,600.95,10651.0,backfill_api
2025-04-30,590.0,612.9,581.0,583.09,14143.0,backfill_api
2025-05-04,583.0,603.9,571.5,576.29,5373.0,backfill_api
2025-05-05,571.0,574.0,565.0,566.34,7267.0,backfill_api
2025-05-06,577.0,577.0,564.0,571.86,10664.0,backfill_api
2025-05-07,565.2,607.4,565.2,598.81,11671.0,backfill_api
2025-05-08,600.0,610.0,590.0,594.7,6614.0,backfill_api
2025-05-11,606.5,606.5,585.2,591.7,9386.0,backfill_api
2025-05-13,585.0,592.0,577.0,579.3,7255.0,backfill_api
2025-05-14,570.1,590.5,570.0,574.81,4730.0,backfill_api
2025-05-15,568.0,584.0,555.0,561.25,9768.0,backfill_api
2025-05-18,570.0,570.0,551.1,554.89,4299.0,backfill_api
2025-05-19,565.9,577.0,559.0,563.27,3000.0,backfill_api
2025-05-20,572.9,597.0,556.0,587.2,5747.0,backfill_api
2025-05-21,598.9,610.0,577.0,577.58,6281.0,backfill_api
2025-05-22,589.0,589.0,562.0,562.71,4283.0,backfill_api
2025-05-25,552.2,574.2,552.2,566.04,3103.0,backfill_api
2025-05-26,575.0,575.0,559.0,559.33,1210.0,backfill_api
2025-05-27,555.0,560.0,548.0,550.15,5728.0,backfill_api
2025-05-28,561.0,570.0,550.5,565.43,2928.0,backfill_api
2025-06-02,561.0,568.0,553.0,556.11,6833.0,backfill_api
2025-06-03,546.0,561.0,546.0,555.35,2175.0,backfill_api
2025-06-04,546.1,560.0,546.1,551.56,3267.0,backfill_api
2025-06-05,562.5,562.5,550.0,554.42,2671.0,backfill_api
2025-06-08,545.0,552.0,538.0,539.83,6139.0,backfill_api
2025-06-09,539.0,590.0,539.0,576.89,12368.0,backfill_api
2025-06-10,587.9,588.0,570.0,579.5,6070.0,backfill_api
2025-06-11,590.7,590.7,560.1,561.42,6104.0,backfill_api
2025-06-12,550.2,579.5,550.0,554.43,5413.0,backfill_api
2025-06-15,545.0,575.0,545.0,553.17,2599.0,backfill_api
2025-06-16,564.0,564.0,547.1,550.0,3725.0,backfill_api
2025-06-17,550.0,559.0,546.0,548.39,2792.0,backfill_api
2025-06-18,550.0,571.9,539.0,545.08,4245.0,backfill_api
2025-06-19,555.0,555.0,540.1,542.69,3014.0,backfill_api
2025-06-22,536.0,546.7,527.7,531.33,6106.0,backfill_api
2025-06-23,541.9,549.0,522.0,531.1,1350.0,backfill_api
2025-06-24,523.1,541.7,523.1,527.06,3900.0,backfill_api
2025-06-25,516.6,537.0,506.3,530.27,3056.0,backfill_api
2025-06-26,524.0,550.0,524.0,528.92,5135.0,backfill_api
2025-06-29,530.0,542.0,530.0,535.3,2487.0,backfill_api
2025-06-30,524.6,545.0,524.6,542.42,3495.0,backfill_api
2025-07-01,541.0,549.9,535.0,540.47,1885.0,backfill_api
2025-07-02,551.0,554.0,540.0,545.71,6491.0,backfill_api
2025-07-03,556.0,556.0,535.0,549.23,4414.0,backfill_api
2025-07-06,560.0,560.0,534.8,535.16,10118.0,backfill_api
2025-07-07,524.5,550.8,524.5,525.27,7839.0,backfill_api
2025-07-08,524.3,534.0,524.3,531.75,1647.0,backfill_api
2025-07-09,522.1,538.0,522.1,530.3,4240.0,backfill_api
2025-07-10,535.0,540.0,532.0,538.23,2425.0,backfill_api
2025-07-13,541.9,541.9,530.0,530.01,4430.0,backfill_api
2025-07-14,540.6,540.6,520.9,523.54,5207.0,backfill_api
2025-07-15,522.0,533.5,520.4,531.16,2699.0,backfill_api
