date,open,high,low,close,volume,source
2025-02-27,650.6,651.0,639.0,642.0,27262.0,backfill_api
2025-03-02,650.0,675.0,646.0,675.0,50642.0,backfill_api
2025-03-03,688.5,700.0,665.0,667.0,43926.0,backfill_api
2025-03-04,661.0,677.0,654.0,657.0,28059.0,backfill_api
2025-03-05,650.0,661.0,643.0,655.0,24791.0,backfill_api
2025-03-06,667.0,667.0,647.5,650.0,19610.0,backfill_api
2025-03-09,645.0,657.0,641.1,643.0,18943.0,backfill_api
2025-03-10,643.0,653.9,630.1,635.0,19818.0,backfill_api
2025-03-11,646.5,646.5,622.0,625.0,16680.0,backfill_api
2025-03-12,617.1,630.0,617.1,627.0,14886.0,backfill_api
2025-03-16,621.0,629.0,621.0,627.0,19283.0,backfill_api
2025-03-17,626.0,633.0,625.0,625.0,21883.0,backfill_api
2025-03-18,637.0,639.8,620.0,620.0,13434.0,backfill_api
2025-03-19,615.0,634.8,615.0,618.0,9060.0,backfill_api
2025-03-20,617.0,626.0,616.7,617.39,7762.0,backfill_api
2025-03-23,619.0,619.2,601.0,602.9,23485.0,backfill_api
2025-03-24,600.0,622.0,600.0,617.01,17307.0,backfill_api
2025-03-25,607.0,612.0,595.0,597.91,16893.0,backfill_api
2025-03-26,600.0,606.0,588.0,601.31,16315.0,backfill_api
2025-03-27,612.0,620.0,602.0,614.11,12548.0,backfill_api
2025-03-30,610.0,626.0,610.0,617.54,17685.0,backfill_api
2025-04-01,629.8,629.8,605.1,606.54,14472.0,backfill_api
2025-04-02,605.0,622.0,605.0,613.57,16085.0,backfill_api
2025-04-03,606.0,620.0,606.0,608.59,18011.0,backfill_api
2025-04-07,602.0,610.0,599.9,600.17,16395.0,backfill_api
2025-04-08,600.0,604.0,595.0,599.53,12813.0,backfill_api
2025-04-09,587.9,608.0,587.9,599.31,11669.0,backfill_api
2025-04-10,605.0,605.0,597.0,601.31,10855.0,backfill_api
2025-04-13,609.0,609.0,597.0,599.37,11260.0,backfill_api
2025-04-15,601.0,608.0,600.0,601.53,8631.0,backfill_api
2025-04-16,603.0,604.9,597.3,601.53,10307.0,backfill_api
2025-04-17,602.0,610.0,600.1,609.25,24715.0,backfill_api
2025-04-20,610.0,610.0,601.1,602.24,14390.0,backfill_api
2025-04-21,604.0,607.4,592.1,593.45,31592.0,backfill_api
2025-04-22,604.0,604.0,595.0,595.32,19691.0,backfill_api
2025-04-23,595.0,597.0,585.1,586.55,13948.0,backfill_api
2025-04-24,595.0,595.0,585.0,585.52,10338.0,backfill_api
2025-04-27,597.0,600.0,583.0,585.02,12142.0,backfill_api
2025-04-28,586.0,622.0,581.3,597.28,20141.0,backfill_api
2025-04-29,609.2,621.0,587.1,588.56,17189.0,backfill_api
2025-04-30,589.0,593.0,582.3,583.73,12974.0,backfill_api
2025-05-04,594.5,595.0,575.0,579.37,17833.0,backfill_api
2025-05-05,582.0,585.0,580.0,580.75,12799.0,backfill_api
2025-05-06,580.0,585.0,574.9,575.13,12567.0,backfill_api
2025-05-07,576.0,619.0,560.0,591.98,45682.0,backfill_api
2025-05-08,600.0,640.0,586.0,632.2,70912.0,backfill_api
2025-05-11,644.8,644.8,602.0,608.29,26811.0,backfill_api
2025-05-13,612.0,612.0,597.0,597.92,22186.0,backfill_api
2025-05-14,600.0,607.9,591.1,596.68,19151.0,backfill_api
2025-05-15,596.0,605.0,590.0,595.36,12666.0,backfill_api
2025-05-18,607.0,607.0,590.1,592.58,7926.0,backfill_api
2025-05-19,604.0,606.0,581.0,592.28,12457.0,backfill_api
2025-05-20,591.0,607.0,590.0,604.08,14552.0,backfill_api
2025-05-21,616.1,640.9,605.0,608.0,23455.0,backfill_api
2025-05-22,608.0,610.0,603.5,604.72,11357.0,backfill_api
