date,open,high,low,close,volume,source
2025-02-25,2170.0,2242.0,2170.0,2242.0,3958.0,backfill_api
2025-02-27,2285.0,2285.0,2188.0,2199.0,3099.0,backfill_api
2025-03-02,2172.0,2200.0,2121.0,2187.9,5908.0,backfill_api
2025-03-03,2200.0,2219.0,1970.0,2079.0,8625.0,backfill_api
2025-03-04,2051.0,2090.0,1922.0,1960.0,12049.0,backfill_api
2025-03-05,1997.0,1997.0,1929.0,1990.0,3224.0,backfill_api
2025-03-06,1962.0,2001.0,1925.1,1940.0,3257.0,backfill_api
2025-03-09,1975.0,2014.5,1921.0,1930.0,7700.0,backfill_api
2025-03-10,1920.0,1968.0,1916.0,1934.0,1874.0,backfill_api
2025-03-11,1911.0,1963.0,1873.0,1900.0,2094.0,backfill_api
2025-03-12,1910.0,1925.0,1863.2,1898.0,872.0,backfill_api
2025-03-16,1870.0,1903.8,1860.0,1861.1,1169.0,backfill_api
2025-03-17,1850.0,1938.0,1850.0,1938.0,4280.0,backfill_api
2025-03-18,1960.0,1960.0,1899.3,1899.4,596.0,backfill_api
2025-03-19,1937.0,1937.0,1859.0,1878.1,874.0,backfill_api
2025-03-20,1910.0,1915.0,1851.0,1855.0,1490.0,backfill_api
2025-03-23,1819.1,1876.0,1766.1,1770.85,2992.0,backfill_api
2025-03-24,1771.0,1803.0,1711.4,1780.07,1314.0,backfill_api
2025-03-25,1760.0,1760.0,1711.0,1714.93,876.0,backfill_api
2025-03-26,1710.0,1734.0,1666.2,1725.8,1362.0,backfill_api
2025-03-27,1700.1,1872.7,1698.1,1851.44,2999.0,backfill_api
2025-03-30,1815.0,1879.0,1779.0,1838.46,1352.0,backfill_api
2025-04-01,1849.0,1849.0,1760.0,1795.23,2480.0,backfill_api
2025-04-02,1794.0,1831.0,1750.0,1775.19,2037.0,backfill_api
2025-04-03,1808.0,1808.0,1745.0,1751.13,2461.0,backfill_api
2025-04-07,1751.0,1760.0,1728.0,1733.5,242.0,backfill_api
2025-04-08,1703.0,1750.0,1703.0,1730.0,390.0,backfill_api
2025-04-09,1764.0,1795.9,1712.0,1738.57,1320.0,backfill_api
2025-04-10,1773.0,1790.0,1721.0,1747.0,1091.0,backfill_api
2025-04-13,1748.0,1748.0,1713.1,1733.6,155.0,backfill_api
2025-04-15,1765.0,1787.7,1721.0,1739.25,811.0,backfill_api
2025-04-16,1770.0,1770.0,1728.0,1740.57,1265.0,backfill_api
2025-04-17,1740.0,1770.0,1705.8,1769.5,600.0,backfill_api
2025-04-20,1801.9,1801.9,1735.3,1750.26,350.0,backfill_api
2025-04-21,1750.2,1770.0,1721.0,1725.42,694.0,backfill_api
2025-04-22,1720.0,1795.0,1708.0,1716.0,1255.0,backfill_api
2025-04-23,1718.0,1752.0,1716.3,1720.0,969.0,backfill_api
2025-04-24,1713.0,1745.0,1690.0,1692.97,1606.0,backfill_api
2025-04-27,1668.0,1703.0,1668.0,1672.91,730.0,backfill_api
2025-04-28,1650.2,1838.0,1650.2,1769.71,2024.0,backfill_api
2025-04-29,1734.4,1734.4,1690.0,1718.08,1570.0,backfill_api
2025-04-30,1685.0,1733.9,1666.0,1733.18,1222.0,backfill_api
2025-05-04,1767.8,1767.8,1672.1,1695.0,857.0,backfill_api
2025-05-05,1700.0,1700.0,1666.0,1697.32,1305.0,backfill_api
2025-05-06,1719.0,1719.0,1634.0,1693.57,1751.0,backfill_api
2025-05-07,1660.0,1717.6,1660.0,1712.87,760.0,backfill_api
2025-05-08,1680.0,1699.0,1665.2,1695.38,965.0,backfill_api
2025-05-11,1661.5,1685.0,1630.0,1684.01,773.0,backfill_api
2025-05-13,1653.0,1680.0,1623.0,1650.65,1281.0,backfill_api
2025-05-14,1620.1,1660.5,1620.1,1641.26,1215.0,backfill_api
2025-05-15,1626.0,1640.0,1617.1,1629.4,498.0,backfill_api
2025-05-18,1610.1,1683.0,1610.1,1646.08,1901.0,backfill_api
2025-05-19,1678.8,1678.8,1610.0,1643.49,1710.0,backfill_api
2025-05-20,1640.0,1650.0,1613.0,1649.99,1339.0,backfill_api
2025-05-21,1680.0,1695.0,1630.0,1667.43,1051.0,backfill_api
2025-05-22,1650.0,1710.0,1607.2,1703.71,3595.0,backfill_api
2025-05-25,1700.0,1764.0,1666.1,1709.66,2508.0,backfill_api
2025-05-26,1743.0,1743.0,1670.0,1698.0,1884.0,backfill_api
2025-05-27,1665.0,1696.0,1665.0,1665.0,410.0,backfill_api
2025-05-28,1671.0,1671.0,1635.0,1636.04,413.0,backfill_api
2025-06-02,1649.0,1665.0,1620.0,1621.61,1676.0,backfill_api
2025-06-03,1615.0,1627.9,1600.0,1623.48,1174.0,backfill_api
2025-06-04,1610.0,1622.0,1593.0,1609.93,884.0,backfill_api
2025-06-05,1629.0,1629.0,1558.5,1578.24,1609.0,backfill_api
2025-06-08,1546.8,1637.0,1500.0,1631.85,2290.0,backfill_api
2025-06-09,1599.3,1599.3,1509.0,1582.09,1331.0,backfill_api
2025-06-10,1554.0,1596.9,1553.0,1596.9,694.0,backfill_api
2025-06-11,1567.0,1598.0,1560.0,1585.71,738.0,backfill_api
2025-06-12,1596.0,1599.8,1555.0,1582.48,1105.0,backfill_api
2025-06-15,1575.0,1576.0,1540.2,1545.38,1381.0,backfill_api
2025-06-16,1516.0,1550.0,1516.0,1527.52,1418.0,backfill_api
2025-06-17,1527.5,1589.0,1527.5,1563.8,985.0,backfill_api
2025-06-18,1549.0,1563.0,1510.1,1530.0,1135.0,backfill_api
2025-06-19,1531.0,1531.0,1480.0,1496.72,2147.0,backfill_api
2025-06-22,1509.0,1509.0,1474.0,1474.26,391.0,backfill_api
2025-06-23,1460.0,1498.0,1460.0,1497.9,775.0,backfill_api
2025-06-24,1469.0,1498.3,1469.0,1472.51,438.0,backfill_api
2025-06-25,1500.0,1500.0,1430.0,1434.03,1767.0,backfill_api
2025-06-26,1412.1,1462.5,1412.1,1443.42,1469.0,backfill_api
2025-06-29,1440.0,1501.0,1430.0,1472.08,653.0,backfill_api
2025-06-30,1450.0,1584.0,1425.1,1531.54,1530.0,backfill_api
2025-07-01,1532.0,1680.0,1532.0,1642.06,2571.0,backfill_api
2025-07-02,1674.9,1708.3,1649.0,1664.0,1013.0,backfill_api
2025-07-03,1631.1,1660.0,1598.8,1608.22,1234.0,backfill_api
2025-07-06,1630.0,1630.0,1545.0,1550.79,1619.0,backfill_api
2025-07-07,1559.0,1560.0,1521.0,1521.07,1265.0,backfill_api
