date,open,high,low,close,volume,source
2025-02-25,2455.0,2488.0,2410.1,2440.0,3710.0,backfill_api
2025-02-27,2440.0,2450.0,2406.1,2439.0,2020.0,backfill_api
2025-03-02,2485.0,2509.9,2416.7,2509.9,9639.0,backfill_api
2025-03-03,2510.0,2569.0,2442.0,2487.0,6442.0,backfill_api
2025-03-04,2536.7,2536.7,2401.0,2419.0,8485.0,backfill_api
2025-03-05,2467.0,2467.0,2391.0,2448.0,1973.0,backfill_api
2025-03-06,2496.9,2496.9,2366.0,2366.2,3112.0,backfill_api
2025-03-09,2358.0,2375.0,2340.0,2369.0,3482.0,backfill_api
2025-03-10,2360.0,2377.0,2300.0,2301.0,2294.0,backfill_api
2025-03-11,2325.0,2327.0,2265.0,2327.0,3710.0,backfill_api
2025-03-12,2330.0,2330.0,2285.0,2330.0,1398.0,backfill_api
2025-03-16,2290.0,2314.0,2270.0,2298.0,2055.0,backfill_api
2025-03-17,2310.0,2310.0,2260.0,2280.0,3855.0,backfill_api
2025-03-18,2280.0,2300.0,2240.0,2269.0,1232.0,backfill_api
2025-03-19,2232.0,2308.0,2232.0,2279.0,1432.0,backfill_api
2025-03-20,2250.0,2279.0,2241.1,2261.81,1126.0,backfill_api
2025-03-23,2236.0,2250.0,2200.0,2231.93,4904.0,backfill_api
2025-03-24,2190.0,2260.0,2190.0,2245.07,4563.0,backfill_api
2025-03-25,2289.9,2289.9,2180.0,2184.61,5153.0,backfill_api
2025-03-26,2228.3,2228.3,2165.0,2194.22,1557.0,backfill_api
2025-03-27,2150.4,2264.4,2150.4,2247.66,2638.0,backfill_api
2025-03-30,2270.0,2291.0,2242.0,2268.6,1457.0,backfill_api
2025-04-01,2225.0,2260.0,2221.0,2229.61,1655.0,backfill_api
2025-04-02,2266.0,2266.0,2222.0,2231.0,1831.0,backfill_api
2025-04-03,2250.0,2270.0,2215.2,2257.94,1432.0,backfill_api
2025-04-07,2235.0,2248.0,2215.0,2220.94,1431.0,backfill_api
2025-04-08,2180.1,2249.9,2180.0,2217.57,2149.0,backfill_api
2025-04-09,2200.1,2260.0,2200.1,2235.31,1425.0,backfill_api
2025-04-10,2259.9,2260.0,2222.0,2248.92,1278.0,backfill_api
2025-04-13,2264.0,2265.0,2230.0,2236.89,1589.0,backfill_api
2025-04-15,2279.9,2279.9,2234.4,2270.0,895.0,backfill_api
2025-04-16,2299.0,2299.0,2210.0,2279.8,1494.0,backfill_api
2025-04-17,2242.0,2295.0,2242.0,2264.06,1927.0,backfill_api
2025-04-20,2299.0,2299.0,2230.1,2245.46,2072.0,backfill_api
2025-04-21,2287.9,2287.9,2240.1,2252.32,1540.0,backfill_api
2025-04-22,2292.0,2292.0,2240.1,2246.72,2071.0,backfill_api
2025-04-23,2247.0,2249.9,2215.2,2220.16,799.0,backfill_api
2025-04-24,2220.0,2380.0,2200.0,2246.35,4417.0,backfill_api
2025-04-27,2285.0,2285.0,2200.0,2216.62,2637.0,backfill_api
2025-04-28,2260.0,2260.0,2140.0,2202.47,1283.0,backfill_api
2025-04-29,2246.0,2246.0,2182.1,2188.21,1491.0,backfill_api
2025-04-30,2152.0,2219.9,2150.0,2203.24,1366.0,backfill_api
2025-05-04,2160.1,2235.0,2160.1,2207.22,1519.0,backfill_api
2025-05-05,2251.1,2251.1,2180.0,2180.09,564.0,backfill_api
2025-05-06,2217.0,2217.0,2155.1,2155.82,2030.0,backfill_api
2025-05-07,2115.0,2239.8,2115.0,2203.42,1081.0,backfill_api
2025-05-08,2200.0,2211.0,2165.1,2170.91,1707.0,backfill_api
2025-05-11,2170.0,2189.9,2170.0,2182.5,1112.0,backfill_api
2025-05-13,2200.0,2265.0,2189.0,2201.98,3757.0,backfill_api
2025-05-14,2202.0,2218.0,2180.0,2197.76,959.0,backfill_api
2025-05-15,2166.0,2230.0,2165.5,2194.27,715.0,backfill_api
2025-05-18,2229.0,2289.0,2223.2,2277.13,3434.0,backfill_api
2025-05-19,2231.6,2299.0,2231.6,2290.9,2221.0,backfill_api
2025-05-20,2290.9,2329.0,2255.5,2270.0,1203.0,backfill_api
2025-05-21,2315.4,2361.0,2250.0,2266.05,1674.0,backfill_api
2025-05-22,2298.0,2330.0,2298.0,2302.28,5688.0,backfill_api
2025-05-25,2348.0,2350.0,2305.0,2315.24,2840.0,backfill_api
2025-05-26,2280.1,2338.0,2276.0,2282.89,3139.0,backfill_api
2025-05-27,2328.5,2328.5,2255.0,2272.08,1153.0,backfill_api
2025-05-28,2317.5,2317.5,2230.2,2281.8,418.0,backfill_api
2025-06-02,2294.0,2300.0,2237.0,2240.17,2679.0,backfill_api
2025-06-03,2260.0,2260.0,2200.0,2227.35,1342.0,backfill_api
2025-06-04,2200.0,2225.0,2185.0,2203.35,2899.0,backfill_api
2025-06-05,2204.0,2204.0,2185.0,2198.0,813.0,backfill_api
2025-06-08,2198.0,2235.0,2180.0,2216.07,1375.0,backfill_api
2025-06-09,2175.0,2217.0,2165.0,2188.48,1984.0,backfill_api
2025-06-10,2200.0,2224.9,2189.0,2194.68,1543.0,backfill_api
2025-06-11,2180.0,2188.8,2170.0,2179.16,1552.0,backfill_api
2025-06-12,2170.1,2180.0,2141.2,2145.44,3943.0,backfill_api
2025-06-15,2149.0,2179.8,2145.0,2148.29,1225.0,backfill_api
2025-06-16,2148.29,2165.0,2120.0,2144.16,985.0,backfill_api
2025-06-17,2151.2,2238.0,2151.2,2168.63,798.0,backfill_api
2025-06-18,2141.0,2170.0,2141.0,2155.54,1344.0,backfill_api
2025-06-19,2141.0,2149.0,2103.9,2137.35,2450.0,backfill_api
2025-06-22,2100.0,2120.0,2094.0,2099.72,2594.0,backfill_api
2025-06-23,2100.0,2101.0,2080.0,2081.56,1452.0,backfill_api
2025-06-24,2123.1,2123.1,2082.0,2091.0,766.0,backfill_api
2025-06-25,2070.0,2140.0,2070.0,2140.0,485.0,backfill_api
2025-06-26,2100.0,2125.0,2090.0,2095.7,628.0,backfill_api
2025-06-29,2070.1,2271.0,2070.1,2133.04,2350.0,backfill_api
2025-06-30,2168.7,2168.7,2125.0,2131.23,725.0,backfill_api
2025-07-01,2125.0,2219.9,2125.0,2211.38,2161.0,backfill_api
2025-07-02,2220.0,2248.0,2175.6,2203.17,1149.0,backfill_api
2025-07-03,2246.0,2246.0,2160.0,2203.29,1216.0,backfill_api
2025-07-06,2238.9,2239.0,2195.0,2219.4,1813.0,backfill_api
2025-07-07,2260.0,2260.0,2208.0,2210.0,432.0,backfill_api
2025-07-08,2254.0,2254.0,2207.0,2219.05,1475.0,backfill_api
2025-07-09,2211.0,2255.0,2211.0,2243.21,1073.0,backfill_api
2025-07-10,2259.0,2260.0,2232.0,2254.33,1939.0,backfill_api
2025-07-13,2299.4,2409.0,2299.4,2387.75,9733.0,backfill_api
2025-07-14,2435.5,2435.5,2351.5,2364.45,2592.0,backfill_api
2025-07-15,2399.9,2399.9,2331.0,2356.33,4241.0,backfill_api
2025-07-16,2316.0,2376.9,2316.0,2355.15,3093.0,backfill_api
2025-07-17,2355.0,2398.0,2355.0,2379.64,1995.0,backfill_api
2025-07-20,2385.0,2390.0,2300.0,2308.4,4928.0,backfill_api
2025-07-21,2262.3,2346.0,2262.3,2313.47,2186.0,backfill_api
2025-07-22,2340.0,2400.0,2340.0,2370.17,6150.0,backfill_api
2025-07-23,2395.0,2398.0,2351.1,2354.07,2016.0,backfill_api
2025-07-24,2350.0,2380.0,2311.0,2336.38,3135.0,backfill_api
2025-07-27,2345.0,2385.0,2338.2,2346.42,3080.0,backfill_api
2025-07-28,2350.0,2350.0,2301.1,2322.42,3677.0,backfill_api
2025-07-29,2340.0,2385.0,2330.0,2364.79,5292.0,backfill_api
2025-07-30,2365.0,2370.0,2286.0,2288.2,2650.0,backfill_api
2025-07-31,2330.0,2369.0,2286.4,2295.21,3412.0,backfill_api
2025-08-03,2280.0,2300.0,2254.2,2261.58,1010.0,backfill_api
2025-08-04,2261.58,2298.0,2225.0,2257.8,1960.0,backfill_api
2025-08-05,2260.0,2349.0,2230.0,2304.84,3972.0,backfill_api
2025-08-06,2320.0,2345.0,2265.0,2336.21,3335.0,backfill_api
2025-08-07,2359.0,2360.0,2320.0,2320.24,3432.0,backfill_api
2025-08-11,2319.0,2340.0,2286.0,2288.16,2316.0,backfill_api
2025-08-12,2288.16,2290.0,2245.5,2263.73,1284.0,backfill_api
2025-08-13,2229.0,2309.0,2229.0,2281.37,1115.0,backfill_api
2025-08-14,2281.37,2324.0,2252.0,2282.32,1451.0,backfill_api
2025-08-17,2242.0,2244.0,2180.0,2184.51,3578.0,backfill_api
2025-08-18,2177.0,2219.9,2146.0,2150.81,2062.0,backfill_api
2025-08-19,2150.0,2189.9,2140.0,2170.0,835.0,backfill_api
2025-08-20,2170.0,2208.0,2160.0,2195.66,804.0,backfill_api
2025-08-21,2156.0,2195.0,2155.0,2194.28,442.0,backfill_api
2025-08-24,2194.0,2194.0,2107.0,2114.64,4678.0,backfill_api
2025-08-25,2156.0,2199.0,2125.0,2165.27,3044.0,backfill_api
2025-08-26,2155.0,2156.0,2131.0,2133.42,497.0,backfill_api
2025-08-27,2133.42,2149.0,2110.0,2124.65,2935.0,backfill_api
2025-08-28,2103.1,2140.0,2103.1,2124.06,2354.0,backfill_api
2025-08-31,2165.0,2208.3,2085.0,2093.1,2966.0,backfill_api
2025-09-01,2090.0,2163.9,2090.0,2160.38,1373.0,backfill_api
2025-09-02,2150.0,2160.0,2120.0,2154.79,1404.0,backfill_api
2025-09-03,2111.8,2149.9,2100.0,2122.39,872.0,backfill_api
2025-09-04,2100.0,2106.0,2090.0,2101.0,1323.0,backfill_api
2025-09-07,2080.0,2106.4,2065.1,2080.33,1054.0,backfill_api
2025-09-08,2121.9,2121.9,2040.0,2075.44,1744.0,backfill_api
2025-09-21,2050.0,2050.0,1990.0,2032.87,1889.0,backfill_api
2025-09-23,2032.0,2228.0,2026.0,2228.0,2131.0,backfill_api
2025-09-24,2272.5,2272.5,2107.0,2149.0,714.0,backfill_api
2025-09-25,2190.0,2190.0,2110.0,2160.0,468.0,backfill_api
2025-09-28,2200.0,2200.0,2149.0,2192.0,859.0,backfill_api
2025-10-07,2192.0,2192.0,2100.0,2148.0,1046.0,backfill_api
2025-10-08,2148.0,2148.0,2072.2,2107.9,329.0,backfill_api
2025-10-09,2149.9,2192.8,2075.0,2099.0,710.0,backfill_api
2025-10-12,2057.1,2084.1,1980.0,1980.0,1979.0,backfill_api
2025-10-13,2000.0,2005.0,1968.0,1990.0,921.0,backfill_api
2025-10-14,1951.2,1980.0,1939.3,1944.0,1773.0,backfill_api
2025-10-15,1945.0,1978.9,1919.0,1976.9,837.0,backfill_api
2025-10-16,1978.0,1978.0,1911.1,1930.0,1057.0,backfill_api
2025-10-19,1960.0,2000.0,1892.0,2000.0,639.0,backfill_api
2025-10-26,1960.0,2121.0,1920.8,2121.0,1114.0,backfill_api
2025-10-28,2079.0,2107.0,1998.1,2050.0,1421.0,backfill_api
2025-10-29,2080.0,2113.0,2040.0,2070.0,319.0,backfill_api
2025-10-30,2070.0,2091.9,2050.0,2091.9,466.0,backfill_api
2025-11-02,2051.0,2100.0,2051.0,2093.0,1427.0,backfill_api
2025-11-03,2065.0,2075.0,2040.0,2044.3,1043.0,backfill_api
2025-11-04,2040.0,2085.9,2000.0,2039.9,1259.0,backfill_api
2025-11-05,2039.9,2044.0,1999.2,2044.0,1498.0,backfill_api
2025-11-06,2044.0,2055.0,2012.1,2012.1,987.0,backfill_api
2025-11-09,2025.0,2025.0,1991.0,1994.0,698.0,backfill_api
2025-11-10,1975.0,2025.0,1975.0,1995.0,345.0,backfill_api
2025-11-11,1980.0,2033.0,1980.0,2033.0,878.0,backfill_api
2025-11-12,1996.0,2050.0,1996.0,2029.0,873.0,backfill_api
2025-11-13,2029.0,2029.0,1991.0,2015.0,1724.0,backfill_api
2025-11-16,2040.0,2040.0,1990.0,1990.0,862.0,backfill_api
2025-11-17,1990.0,2022.0,1961.1,1961.1,1484.0,backfill_api
2025-11-18,2000.0,2000.0,1961.0,1990.0,335.0,backfill_api
2025-11-19,2025.0,2025.0,1965.0,1995.0,872.0,backfill_api
2025-11-20,1995.0,1995.0,1962.0,1965.1,1771.0,backfill_api
2025-11-23,1965.1,2044.0,1965.1,2029.8,2351.0,backfill_api
2025-11-24,2000.1,2040.0,2000.1,2030.0,1218.0,backfill_api
2025-11-25,2030.0,2057.0,2021.5,2054.0,551.0,backfill_api
2025-11-26,2013.1,2043.0,2000.0,2043.0,828.0,backfill_api
2025-11-27,2020.0,2049.0,2014.1,2040.0,401.0,backfill_api
2025-11-30,2000.0,2029.7,2000.0,2029.7,528.0,backfill_api
2025-12-01,1991.0,2023.0,1951.3,2021.9,1127.0,backfill_api
2025-12-02,1983.0,2020.0,1980.0,2000.0,718.0,backfill_api
2025-12-03,2000.0,2018.9,1972.0,2018.9,450.0,backfill_api
2025-12-07,1978.7,2019.9,1978.7,1980.0,772.0,backfill_api
2025-12-08,1945.0,2018.0,1945.0,1990.0,130.0,backfill_api
2025-12-09,1972.2,2002.0,1971.0,1995.0,1214.0,backfill_api
2025-12-10,1961.0,1999.0,1961.0,1988.0,674.0,backfill_api
2025-12-11,1948.7,1998.9,1948.7,1970.0,676.0,backfill_api
2025-12-14,1950.0,1987.0,1935.0,1987.0,775.0,backfill_api
2025-12-15,1951.0,1989.0,1951.0,1989.0,105.0,backfill_api
2025-12-16,1961.1,1984.4,1961.1,1984.4,276.0,backfill_api
2025-12-17,1970.0,1984.9,1954.0,1979.9,1741.0,backfill_api
2025-12-18,1970.0,1998.0,1950.4,1989.0,640.0,backfill_api
2025-12-21,2015.0,2015.0,1950.0,1971.0,708.0,backfill_api
2025-12-22,1989.0,1989.0,1940.0,1946.0,319.0,backfill_api
2025-12-23,1930.0,1950.1,1922.2,1931.1,363.0,backfill_api
2025-12-24,1910.0,1958.0,1900.1,1921.0,742.0,backfill_api
2025-12-28,1959.4,1959.4,1922.0,1954.0,693.0,backfill_api
2025-12-29,1941.0,1941.0,1940.0,1940.0,172.0,backfill_api
2025-12-31,1945.0,1969.0,1927.1,1969.0,966.0,backfill_api
2026-01-01,1935.0,1980.0,1929.7,1955.0,491.0,backfill_api
2026-01-04,1950.0,1950.0,1930.0,1931.0,898.0,backfill_api
2026-01-05,1931.0,1949.0,1910.5,1949.0,998.0,backfill_api
2026-01-06,1930.0,1968.0,1923.0,1923.0,1049.0,backfill_api
2026-01-07,1905.0,1960.0,1900.2,1945.0,1638.0,backfill_api
2026-01-08,1945.0,1947.1,1908.2,1930.0,2262.0,backfill_api
2026-01-12,1901.0,1920.0,1895.0,1900.0,2390.0,backfill_api
2026-01-13,1900.0,1900.0,1870.0,1885.0,843.0,backfill_api
2026-01-14,1900.0,1900.0,1876.0,1900.0,1147.0,backfill_api
2026-01-18,1900.0,1937.9,1900.0,1931.9,330.0,backfill_api
2026-01-20,1930.0,1967.5,1915.0,1921.0,694.0,backfill_api
2026-01-21,1921.0,1954.9,1901.0,1954.9,601.0,backfill_api
2026-01-22,1953.9,1960.0,1926.0,1959.0,1540.0,backfill_api
2026-01-25,1998.0,2020.0,1960.1,1978.1,2652.0,backfill_api
2026-01-26,1978.1,2016.9,1960.0,1996.6,1780.0,backfill_api
2026-01-27,1964.1,1995.0,1935.3,1971.0,1584.0,backfill_api
2026-01-28,1942.0,1970.0,1931.1,1958.0,596.0,backfill_api
2026-01-29,1934.0,1949.0,1916.0,1916.0,2883.0,backfill_api
2026-02-01,1916.0,1938.0,1890.0,1899.0,2109.0,backfill_api
2026-02-02,1885.0,1925.0,1880.0,1890.0,1073.0,backfill_api
2026-02-03,1896.0,1926.9,1885.5,1922.9,998.0,backfill_api
2026-02-04,1922.0,1939.0,1887.0,1934.0,515.0,backfill_api
2026-02-05,1898.0,1935.9,1898.0,1930.0,836.0,backfill_api
2026-02-08,1940.0,1940.0,1900.0,1929.0,577.0,backfill_api
2026-02-09,1929.0,1929.0,1880.0,1898.0,1531.0,backfill_api
2026-02-10,1900.0,1900.0,1889.0,1890.0,1313.0,backfill_api
2026-02-11,1890.0,1900.0,1875.5,1899.0,578.0,backfill_api
2026-02-12,1899.0,1900.0,1861.2,1880.0,1037.0,backfill_api
2026-02-16,1860.0,1890.0,1860.0,1875.0,740.0,backfill_api
2026-02-17,1855.0,1875.0,1851.0,1875.0,1229.0,backfill_api
2026-02-22,1875.0,1875.0,1841.2,1850.0,218.0,backfill_api
2026-02-23,1845.0,1860.0,1830.0,1852.9,726.0,backfill_api
2026-02-24,1852.9,1858.0,1825.1,1832.1,654.0,backfill_api
2026-02-25,1808.4,1844.0,1808.4,1840.0,1206.0,backfill_api
2026-02-26,1839.0,1866.6,1835.0,1866.6,207.0,backfill_api
2026-03-01,1830.1,1864.9,1830.0,1858.0,373.0,backfill_api
2026-03-03,1825.0,1870.0,1821.0,1869.9,762.0,backfill_api
2026-03-09,1907.2,1945.3,1907.2,1945.3,20.0,backfill_api
2026-03-10,1984.2,2031.0,1945.3,2016.0,11501.0,backfill_api
2026-03-11,1980.0,1980.0,1952.0,1978.0,1430.0,backfill_api
2026-03-12,1939.0,1974.0,1939.0,1974.0,786.0,backfill_api
2026-03-15,1941.0,1974.9,1925.1,1940.0,1368.0,backfill_api
2026-03-16,1965.0,1975.0,1862.5,1890.0,6896.0,backfill_api
2026-03-17,1890.0,1910.0,1842.4,1907.0,2391.0,backfill_api
2026-03-19,1885.0,1920.0,1848.0,1919.9,2336.0,backfill_api
2026-03-22,1958.2,1960.0,1895.0,1960.0,3312.0,backfill_api
2026-03-23,1950.0,1960.0,1930.0,1956.0,1623.0,backfill_api
2026-03-24,1956.0,2019.0,1943.0,2010.0,3643.0,backfill_api
2026-03-25,1970.1,1985.0,1955.0,1976.0,1208.0,backfill_api
2026-03-26,1999.9,2000.2,1950.0,1979.0,771.0,backfill_api
2026-03-29,1950.0,1959.0,1920.0,1948.9,935.0,backfill_api
2026-03-30,1910.0,1945.0,1900.2,1911.0,784.0,backfill_api
2026-03-31,1882.0,1919.0,1882.0,1919.0,1141.0,backfill_api
2026-04-01,1885.0,1885.0,1840.0,1840.0,1378.0,backfill_api
2026-04-02,1840.0,1890.0,1826.0,1859.5,1567.0,backfill_api
2026-04-05,1842.0,1842.0,1765.0,1772.0,2622.0,backfill_api
2026-04-06,1800.0,1870.0,1770.0,1870.0,2080.0,backfill_api
2026-04-07,1855.0,1855.0,1815.0,1840.0,952.0,backfill_api
2026-04-08,1807.0,1839.2,1803.2,1839.0,1805.0,backfill_api
2026-04-09,1820.0,1856.0,1820.0,1840.0,1393.0,backfill_api
2026-04-10,1875.0,1875.0,1840.1,1845.0,702.0,backfill_api
2026-04-13,1820.0,1861.0,1820.0,1861.0,805.0,backfill_api
2026-04-15,1825.0,1860.0,1825.0,1840.0,636.0,backfill_api
2026-04-16,1840.0,1840.0,1795.0,1840.0,1243.0,backfill_api
