date,open,high,low,close,volume,source
2025-02-27,375.0,385.9,374.0,376.0,55233.0,backfill_api
2025-03-02,383.5,391.9,376.2,391.1,93412.0,backfill_api
2025-03-03,395.0,396.0,386.0,388.5,87128.0,backfill_api
2025-03-04,380.8,390.0,380.5,383.0,58735.0,backfill_api
2025-03-05,375.4,384.0,375.4,378.0,35637.0,backfill_api
2025-03-06,380.0,385.0,378.0,382.5,53630.0,backfill_api
2025-03-09,380.0,384.0,376.6,378.8,38570.0,backfill_api
2025-03-10,380.0,381.0,375.4,375.4,21706.0,backfill_api
2025-03-11,375.0,389.2,373.4,378.8,102971.0,backfill_api
2025-03-12,380.1,385.0,377.4,380.0,42840.0,backfill_api
2025-03-16,380.0,381.0,373.0,373.1,54347.0,backfill_api
2025-03-17,370.0,377.0,370.0,373.0,34140.0,backfill_api
2025-03-18,380.4,380.4,370.0,371.0,40674.0,backfill_api
2025-03-19,372.0,373.9,370.0,371.0,27614.0,backfill_api
2025-03-20,370.0,371.9,367.4,368.19,31977.0,backfill_api
2025-03-23,367.2,369.0,362.2,363.0,39040.0,backfill_api
2025-03-24,355.8,368.0,355.8,363.93,19352.0,backfill_api
2025-03-25,362.0,365.5,357.5,358.34,37783.0,backfill_api
2025-03-26,351.2,363.5,351.2,363.19,16888.0,backfill_api
2025-03-27,367.0,367.0,360.0,365.11,28977.0,backfill_api
2025-03-30,366.0,372.0,365.6,367.66,27046.0,backfill_api
2025-04-01,369.0,372.9,363.2,365.69,26128.0,backfill_api
2025-04-02,360.5,367.9,360.5,363.77,21375.0,backfill_api
2025-04-03,366.8,366.8,363.8,364.63,32416.0,backfill_api
2025-04-07,367.0,367.0,360.8,361.2,18099.0,backfill_api
2025-04-08,360.5,362.0,358.1,360.22,17902.0,backfill_api
2025-04-09,367.0,367.0,361.0,361.55,16866.0,backfill_api
2025-04-10,362.0,364.0,361.3,361.59,14435.0,backfill_api
2025-04-13,361.0,363.0,360.0,360.55,20921.0,backfill_api
2025-04-15,359.0,363.0,358.2,361.9,19955.0,backfill_api
2025-04-16,362.5,364.0,360.3,361.99,17645.0,backfill_api
2025-04-17,364.0,366.9,363.0,365.46,26762.0,backfill_api
2025-04-20,366.0,369.0,363.0,365.59,31328.0,backfill_api
2025-04-21,364.0,365.0,361.0,362.0,14764.0,backfill_api
2025-04-22,361.0,362.0,359.0,360.7,24970.0,backfill_api
2025-04-23,358.4,362.0,356.1,357.45,16695.0,backfill_api
2025-04-24,355.8,359.0,355.5,356.39,32300.0,backfill_api
2025-04-27,361.9,361.9,356.0,356.39,22090.0,backfill_api
2025-04-28,355.2,360.5,355.0,356.43,20578.0,backfill_api
2025-04-29,356.43,359.0,353.5,354.75,33314.0,backfill_api
2025-04-30,354.1,359.0,353.2,353.78,22673.0,backfill_api
2025-05-04,352.1,357.9,352.1,353.81,15389.0,backfill_api
2025-05-05,353.5,355.0,351.2,352.2,23659.0,backfill_api
2025-05-06,352.6,354.9,350.1,350.46,26957.0,backfill_api
2025-05-07,350.2,360.0,349.0,357.28,41245.0,backfill_api
2025-05-08,355.1,359.8,354.6,355.55,27269.0,backfill_api
2025-05-11,358.0,359.0,355.0,357.97,19803.0,backfill_api
2025-05-13,358.9,366.5,354.0,359.15,47049.0,backfill_api
2025-05-14,360.0,370.0,358.2,365.57,60679.0,backfill_api
2025-05-15,370.0,370.0,362.7,367.1,41470.0,backfill_api
2025-05-18,368.0,371.0,362.7,364.22,26543.0,backfill_api
2025-05-19,365.0,366.0,358.2,362.62,27479.0,backfill_api
2025-05-20,363.1,367.0,358.0,366.04,24152.0,backfill_api
2025-05-21,370.0,380.0,365.0,365.54,51203.0,backfill_api
2025-05-22,367.0,371.0,365.0,368.57,27079.0,backfill_api
2025-05-25,369.0,369.0,364.5,365.7,18803.0,backfill_api
2025-05-26,373.0,374.0,365.1,365.75,31325.0,backfill_api
2025-05-27,366.0,368.0,361.6,367.21,14238.0,backfill_api
2025-05-28,366.0,371.9,360.4,369.4,35910.0,backfill_api
2025-06-02,376.0,376.0,365.5,366.21,28491.0,backfill_api
2025-06-03,362.1,366.0,362.1,362.5,16303.0,backfill_api
2025-06-04,359.1,364.6,359.1,360.56,14790.0,backfill_api
2025-06-05,360.0,362.0,358.1,359.53,25243.0,backfill_api
2025-06-08,365.0,365.0,358.2,359.22,34313.0,backfill_api
2025-06-09,358.0,363.9,357.3,359.99,17559.0,backfill_api
2025-06-10,366.0,366.0,360.1,360.74,32398.0,backfill_api
2025-06-11,358.2,365.0,358.1,363.44,30423.0,backfill_api
2025-06-12,368.0,368.0,359.6,360.92,36879.0,backfill_api
2025-06-15,363.0,365.5,359.3,359.39,47222.0,backfill_api
2025-06-16,357.1,362.0,357.1,359.62,23361.0,backfill_api
2025-06-17,362.3,363.5,359.0,359.0,24516.0,backfill_api
2025-06-18,359.0,361.0,358.3,358.84,26278.0,backfill_api
2025-06-19,358.0,360.0,355.9,357.82,52103.0,backfill_api
2025-06-22,355.7,361.0,355.0,355.8,36129.0,backfill_api
2025-06-23,357.0,358.0,354.3,356.01,19703.0,backfill_api
2025-06-24,355.3,357.8,353.7,354.06,45315.0,backfill_api
2025-06-25,354.2,355.0,353.1,354.28,25076.0,backfill_api
2025-06-26,354.0,354.8,352.4,354.0,22749.0,backfill_api
2025-06-29,354.0,355.0,353.0,354.61,29890.0,backfill_api
2025-06-30,358.0,359.0,355.0,356.64,15438.0,backfill_api
2025-07-01,356.64,361.0,356.0,359.58,32677.0,backfill_api
2025-07-02,361.8,367.0,357.2,364.9,52887.0,backfill_api
2025-07-03,369.0,393.0,369.0,382.65,180602.0,backfill_api
2025-07-06,386.0,390.0,381.0,381.93,64069.0,backfill_api
2025-07-07,377.2,383.9,373.0,373.93,57711.0,backfill_api
2025-07-08,379.0,385.0,370.2,380.35,58021.0,backfill_api
2025-07-09,380.0,385.5,379.0,383.38,40247.0,backfill_api
2025-07-10,385.0,392.5,382.0,389.25,93123.0,backfill_api
2025-07-13,397.0,402.9,391.0,398.76,134966.0,backfill_api
2025-07-14,397.0,403.0,390.0,390.13,79237.0,backfill_api
2025-07-15,392.0,394.9,388.1,393.16,64732.0,backfill_api
2025-07-16,392.2,408.0,392.2,405.92,184013.0,backfill_api
2025-07-17,410.0,421.3,410.0,419.99,201905.0,backfill_api
2025-07-20,428.3,441.9,422.0,429.33,412854.0,backfill_api
2025-07-21,435.0,454.0,427.0,446.09,474799.0,backfill_api
2025-07-22,450.0,477.0,445.0,466.66,575106.0,backfill_api
2025-07-23,470.0,471.0,455.0,464.58,358311.0,backfill_api
2025-07-24,458.0,479.9,455.8,473.72,480131.0,backfill_api
2025-07-27,469.9,498.7,469.9,484.35,575276.0,backfill_api
2025-07-28,475.1,503.0,471.0,491.32,542936.0,backfill_api
2025-07-29,501.1,501.1,483.0,489.55,364259.0,backfill_api
2025-07-30,488.0,490.1,474.0,475.58,335832.0,backfill_api
2025-07-31,470.0,480.0,463.0,465.01,406806.0,backfill_api
2025-08-03,465.0,466.0,451.3,453.8,256685.0,backfill_api
2025-08-04,455.0,462.6,442.1,455.07,259399.0,backfill_api
2025-08-05,453.1,464.1,443.8,444.77,151966.0,backfill_api
2025-08-06,440.1,446.7,440.1,442.08,93452.0,backfill_api
2025-08-07,436.0,448.0,436.0,442.51,107167.0,backfill_api
2025-08-11,450.0,450.0,435.2,438.23,140512.0,backfill_api
2025-08-12,440.0,440.0,430.0,437.11,155224.0,backfill_api
2025-08-13,431.0,443.0,430.1,439.34,104667.0,backfill_api
2025-08-14,448.0,448.0,438.0,444.48,122383.0,backfill_api
2025-08-17,452.0,467.5,447.1,457.44,416950.0,backfill_api
2025-08-18,457.0,464.0,452.0,457.92,139748.0,backfill_api
2025-08-19,462.0,469.3,456.0,458.15,250783.0,backfill_api
2025-08-20,459.0,462.0,449.0,451.37,131958.0,backfill_api
2025-08-21,447.0,456.0,444.0,445.17,123854.0,backfill_api
2025-08-24,445.0,450.0,433.5,434.58,176784.0,backfill_api
2025-08-25,433.1,440.0,429.6,438.27,119543.0,backfill_api
2025-08-26,440.0,450.0,436.1,444.8,59396.0,backfill_api
2025-08-27,449.0,477.0,441.1,460.75,260167.0,backfill_api
2025-08-28,465.0,465.0,446.2,448.65,199228.0,backfill_api
2025-08-31,445.0,449.0,440.1,441.63,101462.0,backfill_api
2025-09-01,450.4,450.4,438.0,447.02,107160.0,backfill_api
2025-09-02,455.0,455.0,445.0,445.96,68583.0,backfill_api
2025-09-03,448.9,448.9,440.0,441.6,70192.0,backfill_api
2025-09-04,449.0,449.0,439.0,441.83,52967.0,backfill_api
2025-09-07,450.6,450.6,436.0,442.34,49580.0,backfill_api
2025-09-08,450.0,450.0,436.0,437.63,86081.0,backfill_api
2025-09-18,430.0,433.5,416.1,426.0,35074.0,backfill_api
2025-09-21,426.0,452.0,425.0,450.84,270887.0,backfill_api
2025-09-23,455.9,464.0,448.0,457.0,156849.0,backfill_api
2025-09-24,457.0,465.2,450.0,456.7,173277.0,backfill_api
2025-09-25,456.7,460.0,454.0,459.5,77843.0,backfill_api
2025-09-28,463.0,464.0,457.0,459.7,91917.0,backfill_api
2025-10-07,463.0,464.0,456.3,457.1,117960.0,backfill_api
2025-10-08,460.0,460.0,440.0,442.5,272379.0,backfill_api
2025-10-09,451.3,467.0,438.3,442.0,270324.0,backfill_api
2025-10-12,448.0,448.0,426.4,432.0,310008.0,backfill_api
2025-10-13,440.0,443.0,432.0,440.0,113623.0,backfill_api
2025-10-14,442.0,443.0,436.3,438.0,91570.0,backfill_api
2025-10-15,437.0,438.1,434.3,435.8,88617.0,backfill_api
2025-10-16,439.9,440.0,435.0,435.5,350740.0,backfill_api
