date,open,high,low,close,volume,source
2025-02-27,1490.0,1547.0,1466.0,1477.5,4969.0,backfill_api
2025-03-02,1477.5,1491.0,1462.0,1475.0,5615.0,backfill_api
2025-03-03,1485.0,1500.0,1433.4,1433.4,7077.0,backfill_api
2025-03-04,1433.0,1450.0,1410.0,1424.9,6780.0,backfill_api
2025-03-05,1403.0,1456.6,1403.0,1435.0,4700.0,backfill_api
2025-03-06,1411.1,1430.0,1411.1,1427.0,5234.0,backfill_api
2025-03-09,1400.8,1412.0,1390.0,1392.0,6764.0,backfill_api
2025-03-10,1390.1,1410.0,1373.1,1388.0,4023.0,backfill_api
2025-03-11,1362.2,1397.3,1362.2,1363.2,3034.0,backfill_api
2025-03-12,1338.2,1365.0,1338.2,1347.1,3462.0,backfill_api
2025-03-16,1330.0,1345.0,1322.1,1345.0,5357.0,backfill_api
2025-03-17,1325.0,1383.0,1321.2,1359.0,3483.0,backfill_api
2025-03-18,1342.0,1359.0,1332.1,1340.0,2417.0,backfill_api
2025-03-19,1340.0,1349.9,1317.2,1332.0,2233.0,backfill_api
2025-03-20,1321.0,1333.0,1312.5,1319.0,1701.0,backfill_api
2025-03-23,1302.1,1315.0,1260.0,1265.91,6286.0,backfill_api
2025-03-24,1250.0,1291.2,1245.0,1277.5,1920.0,backfill_api
2025-03-25,1252.0,1259.9,1217.2,1219.16,2486.0,backfill_api
2025-03-26,1201.0,1268.0,1201.0,1241.33,2797.0,backfill_api
2025-03-27,1241.0,1340.0,1227.0,1300.35,4728.0,backfill_api
2025-03-30,1274.4,1369.0,1260.0,1301.62,3818.0,backfill_api
2025-04-01,1285.0,1290.0,1265.0,1267.35,1568.0,backfill_api
2025-04-02,1268.0,1299.8,1246.0,1274.52,1555.0,backfill_api
2025-04-03,1261.0,1275.0,1260.0,1264.05,1598.0,backfill_api
2025-04-07,1241.0,1289.3,1237.0,1239.8,1275.0,backfill_api
2025-04-08,1230.1,1258.0,1217.3,1248.65,1457.0,backfill_api
2025-04-09,1240.1,1273.6,1240.0,1246.24,1742.0,backfill_api
2025-04-10,1250.0,1269.8,1240.2,1251.87,910.0,backfill_api
2025-04-13,1235.5,1260.0,1235.5,1240.58,1261.0,backfill_api
2025-04-15,1240.2,1267.0,1233.0,1250.11,1784.0,backfill_api
2025-04-16,1240.0,1274.9,1240.0,1249.23,1500.0,backfill_api
2025-04-17,1251.0,1295.0,1251.0,1269.16,3470.0,backfill_api
2025-04-20,1294.0,1319.0,1255.0,1260.09,2045.0,backfill_api
2025-04-21,1240.3,1270.5,1240.3,1254.32,1619.0,backfill_api
2025-04-22,1252.0,1269.0,1230.0,1236.7,2091.0,backfill_api
2025-04-23,1235.0,1235.0,1222.0,1223.38,1307.0,backfill_api
2025-04-24,1207.3,1244.9,1207.3,1222.26,2074.0,backfill_api
2025-04-27,1226.0,1226.0,1200.0,1204.13,3690.0,backfill_api
2025-04-28,1225.0,1228.2,1198.0,1201.0,1701.0,backfill_api
