date,open,high,low,close,volume,source
2025-02-27,498.7,518.0,498.0,501.8,123140.0,backfill_api
2025-03-02,511.8,519.0,506.0,519.0,114489.0,backfill_api
2025-03-03,523.0,529.2,515.0,515.0,110922.0,backfill_api
2025-03-04,520.0,520.0,504.0,507.0,116499.0,backfill_api
2025-03-05,509.5,509.5,498.5,499.0,66686.0,backfill_api
2025-03-06,502.0,502.0,498.1,498.1,76130.0,backfill_api
2025-03-09,498.0,502.0,493.0,495.0,53038.0,backfill_api
2025-03-10,496.0,500.0,490.0,491.0,44625.0,backfill_api
2025-03-11,492.0,495.0,486.1,491.0,45903.0,backfill_api
2025-03-12,494.0,494.0,489.0,491.0,39132.0,backfill_api
2025-03-16,494.9,494.9,485.0,491.1,71238.0,backfill_api
2025-03-17,491.1,498.0,486.0,490.0,41530.0,backfill_api
2025-03-18,499.8,499.8,488.0,491.4,28929.0,backfill_api
2025-03-19,495.0,496.0,487.0,488.9,49272.0,backfill_api
2025-03-20,489.0,490.0,487.0,487.31,36716.0,backfill_api
2025-03-23,488.0,488.0,482.0,482.62,48632.0,backfill_api
2025-03-24,484.5,486.0,476.5,484.03,54964.0,backfill_api
2025-03-25,485.0,485.0,478.0,480.13,78144.0,backfill_api
2025-03-26,485.0,485.0,477.0,481.31,49757.0,backfill_api
2025-03-27,490.9,490.9,480.0,485.09,38210.0,backfill_api
2025-03-30,485.0,492.0,484.0,485.96,52866.0,backfill_api
2025-04-01,490.0,493.0,483.0,484.56,37377.0,backfill_api
2025-04-02,494.2,494.2,484.0,485.26,36189.0,backfill_api
2025-04-03,491.0,494.0,486.1,488.73,42041.0,backfill_api
2025-04-07,490.0,497.0,482.0,486.97,46130.0,backfill_api
2025-04-08,485.0,486.0,478.0,484.65,38820.0,backfill_api
2025-04-09,494.0,494.0,483.2,486.27,26187.0,backfill_api
2025-04-10,491.0,492.4,484.0,485.97,30292.0,backfill_api
2025-04-13,495.6,495.6,484.1,486.97,44237.0,backfill_api
2025-04-15,496.0,496.0,486.0,487.96,62586.0,backfill_api
2025-04-16,497.0,497.0,488.0,489.31,43376.0,backfill_api
2025-04-17,490.8,495.6,489.0,494.38,54656.0,backfill_api
2025-04-20,500.0,501.2,490.0,492.09,79228.0,backfill_api
2025-04-21,494.9,495.0,490.0,490.87,49104.0,backfill_api
2025-04-22,490.0,494.0,485.0,487.76,31332.0,backfill_api
2025-04-23,487.0,488.0,482.0,486.77,65014.0,backfill_api
2025-04-24,483.0,489.9,483.0,485.87,30597.0,backfill_api
2025-04-27,490.0,490.0,483.2,485.01,50578.0,backfill_api
2025-04-28,485.3,487.9,480.6,481.3,45746.0,backfill_api
2025-04-29,480.0,488.0,480.0,481.45,29998.0,backfill_api
2025-04-30,480.0,487.0,478.0,478.18,49915.0,backfill_api
2025-05-04,480.0,487.4,477.0,478.32,44594.0,backfill_api
2025-05-05,478.0,481.0,477.0,478.25,39597.0,backfill_api
2025-05-06,478.0,484.0,475.1,476.94,39968.0,backfill_api
2025-05-07,477.0,485.0,474.1,483.31,66388.0,backfill_api
2025-05-08,490.0,490.0,480.5,482.64,54724.0,backfill_api
2025-05-11,490.0,490.0,484.5,485.65,44892.0,backfill_api
2025-05-13,488.0,493.6,481.0,487.41,65061.0,backfill_api
2025-05-14,490.0,490.0,482.0,483.85,25028.0,backfill_api
2025-05-15,485.0,486.0,481.5,482.11,47247.0,backfill_api
2025-05-18,483.0,485.0,479.0,480.49,37266.0,backfill_api
2025-05-19,488.0,488.0,479.9,482.58,42039.0,backfill_api
2025-05-20,482.6,489.0,481.0,488.16,43243.0,backfill_api
2025-05-21,497.9,527.0,492.5,494.21,91325.0,backfill_api
2025-05-22,499.5,503.0,494.6,499.55,71455.0,backfill_api
2025-05-25,509.5,510.0,495.0,496.75,108411.0,backfill_api
2025-05-26,506.6,516.0,496.1,498.07,87620.0,backfill_api
2025-05-27,498.0,498.1,493.6,496.48,33750.0,backfill_api
2025-05-28,501.9,501.9,494.0,500.42,66059.0,backfill_api
2025-06-02,510.4,510.4,500.1,500.78,73634.0,backfill_api
2025-06-03,505.9,505.9,495.0,497.45,54808.0,backfill_api
2025-06-04,499.0,499.0,490.0,491.11,48051.0,backfill_api
2025-06-05,498.0,498.0,489.0,492.37,47113.0,backfill_api
2025-06-08,490.0,495.0,489.0,489.65,50694.0,backfill_api
2025-06-09,489.9,494.9,489.0,490.93,29647.0,backfill_api
2025-06-10,494.9,494.9,490.0,491.77,38403.0,backfill_api
2025-06-11,495.0,495.0,490.0,490.34,39951.0,backfill_api
2025-06-12,493.0,493.0,488.3,489.44,53316.0,backfill_api
2025-06-15,495.0,495.0,490.0,490.73,43276.0,backfill_api
2025-06-16,497.0,497.0,489.0,490.59,48455.0,backfill_api
2025-06-17,490.0,492.0,487.1,488.99,36559.0,backfill_api
2025-06-18,490.0,492.0,488.0,489.97,44689.0,backfill_api
2025-06-19,494.8,494.8,487.0,489.04,78016.0,backfill_api
2025-06-22,493.0,493.0,485.0,488.99,47834.0,backfill_api
2025-06-23,489.9,489.9,485.0,487.35,30576.0,backfill_api
2025-06-24,489.0,493.0,483.2,487.3,54280.0,backfill_api
2025-06-25,488.0,488.9,481.0,486.24,24807.0,backfill_api
2025-06-26,486.0,488.5,485.1,485.95,33097.0,backfill_api
2025-06-29,482.0,490.0,482.0,489.82,40790.0,backfill_api
2025-06-30,490.1,493.1,490.1,491.81,37425.0,backfill_api
2025-07-01,496.4,496.4,491.0,491.79,35495.0,backfill_api
2025-07-02,494.5,495.8,491.0,494.96,55089.0,backfill_api
2025-07-03,491.1,500.0,490.0,498.22,91180.0,backfill_api
