date,open,high,low,close,volume,source
2025-02-27,1004.1,1024.0,986.2,986.2,5743.0,backfill_api
2025-03-02,1005.0,1010.0,995.2,1006.0,11995.0,backfill_api
2025-03-03,1006.0,1010.0,982.1,994.0,6216.0,backfill_api
2025-03-04,980.0,986.0,964.0,974.0,4785.0,backfill_api
2025-03-05,956.2,974.0,956.1,969.9,2791.0,backfill_api
2025-03-06,950.6,980.0,950.6,960.0,3314.0,backfill_api
2025-03-09,977.9,978.7,935.0,950.0,4046.0,backfill_api
2025-03-10,935.0,969.0,903.0,930.1,4341.0,backfill_api
2025-03-11,948.0,948.0,911.5,912.0,2719.0,backfill_api
2025-03-12,912.0,920.0,905.0,910.0,1557.0,backfill_api
2025-03-16,908.0,920.0,905.0,909.0,3479.0,backfill_api
2025-03-17,900.0,936.0,900.0,905.0,3539.0,backfill_api
2025-03-18,904.0,905.0,892.2,892.2,5842.0,backfill_api
2025-03-19,900.0,904.9,884.0,893.0,1427.0,backfill_api
2025-03-20,909.9,909.9,868.5,876.2,3488.0,backfill_api
2025-03-23,864.0,875.0,848.1,850.88,4167.0,backfill_api
2025-03-24,835.0,868.0,835.0,860.02,2822.0,backfill_api
2025-03-25,855.0,860.0,835.0,839.72,1476.0,backfill_api
2025-03-26,832.2,873.6,832.2,849.8,2300.0,backfill_api
2025-03-27,834.0,889.0,834.0,883.59,4925.0,backfill_api
2025-03-30,875.0,913.9,875.0,897.6,6381.0,backfill_api
2025-04-01,897.6,906.0,870.0,881.63,2243.0,backfill_api
2025-04-02,865.2,899.0,865.2,889.02,1498.0,backfill_api
2025-04-03,902.9,902.9,872.2,885.0,1728.0,backfill_api
2025-04-07,880.1,881.0,860.2,861.57,874.0,backfill_api
2025-04-08,851.3,870.0,851.3,868.54,774.0,backfill_api
2025-04-09,875.0,885.0,868.0,873.26,2286.0,backfill_api
2025-04-10,885.0,897.0,870.0,875.09,2571.0,backfill_api
2025-04-13,875.09,897.0,864.1,882.15,4003.0,backfill_api
2025-04-15,870.0,888.0,865.0,881.04,1718.0,backfill_api
2025-04-16,886.0,886.0,870.0,870.16,1565.0,backfill_api
2025-04-17,870.0,881.2,853.1,870.02,2645.0,backfill_api
2025-04-20,854.2,879.0,854.2,879.0,920.0,backfill_api
2025-04-21,890.0,890.0,861.5,869.05,1576.0,backfill_api
2025-04-22,870.0,870.0,851.7,870.0,2557.0,backfill_api
2025-04-23,860.0,874.0,836.1,838.88,3753.0,backfill_api
2025-04-24,834.0,839.0,823.2,835.0,3918.0,backfill_api
2025-04-27,825.1,851.6,825.0,840.0,640.0,backfill_api
2025-04-28,826.0,835.0,824.0,829.07,1254.0,backfill_api
2025-04-29,816.1,825.0,810.0,811.33,2326.0,backfill_api
2025-04-30,826.9,827.0,805.0,805.0,2111.0,backfill_api
2025-05-04,800.0,810.8,791.0,794.96,1896.0,backfill_api
2025-05-05,794.96,814.9,790.0,803.28,3162.0,backfill_api
2025-05-06,795.0,819.0,791.5,809.68,985.0,backfill_api
2025-05-07,824.0,839.9,809.1,839.0,1711.0,backfill_api
2025-05-08,822.4,849.0,822.4,833.81,2242.0,backfill_api
2025-05-11,832.0,837.0,821.0,822.47,1836.0,backfill_api
2025-05-13,807.0,823.0,807.0,810.36,3199.0,backfill_api
2025-05-14,800.0,817.0,783.0,786.41,4072.0,backfill_api
2025-05-15,799.0,801.9,783.1,787.58,1060.0,backfill_api
2025-05-18,799.0,812.0,775.0,796.72,2844.0,backfill_api
2025-05-19,805.0,815.0,800.0,810.63,3306.0,backfill_api
2025-05-20,812.5,825.0,812.5,822.5,1268.0,backfill_api
2025-05-21,838.9,855.0,812.0,814.12,1975.0,backfill_api
2025-05-22,823.8,877.0,814.0,855.29,11202.0,backfill_api
2025-05-25,855.0,906.0,855.0,897.68,9584.0,backfill_api
2025-05-26,915.5,915.5,864.7,864.89,8896.0,backfill_api
2025-05-27,879.0,879.0,843.0,844.16,2884.0,backfill_api
2025-05-28,842.3,874.9,827.6,866.41,4390.0,backfill_api
2025-06-02,871.0,900.0,848.8,880.0,2416.0,backfill_api
2025-06-03,894.0,894.0,850.1,854.46,1521.0,backfill_api
2025-06-04,871.0,871.5,838.0,848.27,1510.0,backfill_api
2025-06-05,837.0,852.0,836.1,846.68,1873.0,backfill_api
2025-06-08,840.0,863.0,816.0,860.43,4224.0,backfill_api
2025-06-09,860.43,860.43,825.0,835.88,1658.0,backfill_api
2025-06-10,852.0,852.0,849.0,851.94,1165.0,backfill_api
2025-06-11,850.0,852.0,800.0,838.67,6246.0,backfill_api
2025-06-12,831.0,843.0,820.0,832.57,2478.0,backfill_api
2025-06-15,820.0,831.1,816.0,830.04,2212.0,backfill_api
2025-06-16,834.8,860.0,815.0,848.35,6574.0,backfill_api
2025-06-17,855.0,877.0,847.0,869.43,2769.0,backfill_api
2025-06-18,879.9,904.5,855.1,860.55,2412.0,backfill_api
