date,open,high,low,close,volume,source
2025-02-27,795.7,805.0,777.0,780.0,40045.0,backfill_api
2025-03-02,795.6,820.0,793.0,816.0,69552.0,backfill_api
2025-03-03,830.0,859.6,816.0,816.0,84989.0,backfill_api
2025-03-04,823.3,829.9,795.0,797.2,65550.0,backfill_api
2025-03-05,805.0,805.0,783.0,785.2,36685.0,backfill_api
2025-03-06,786.0,796.0,779.0,781.0,45858.0,backfill_api
2025-03-09,782.0,789.8,760.0,761.0,49414.0,backfill_api
2025-03-10,775.0,775.0,744.9,744.9,45612.0,backfill_api
2025-03-11,745.0,760.0,726.0,734.0,45841.0,backfill_api
2025-03-12,735.3,744.5,730.0,734.9,30046.0,backfill_api
2025-03-16,735.0,745.0,720.2,724.5,31019.0,backfill_api
2025-03-17,725.0,742.0,720.3,724.0,20937.0,backfill_api
2025-03-18,738.0,738.0,720.0,723.0,17315.0,backfill_api
2025-03-19,717.0,731.3,710.0,717.0,23634.0,backfill_api
2025-03-20,728.9,728.9,701.0,703.26,30580.0,backfill_api
2025-03-23,710.0,715.0,675.0,680.47,49925.0,backfill_api
2025-03-24,684.0,706.0,665.0,703.95,43880.0,backfill_api
2025-03-25,704.0,707.0,677.0,679.26,25254.0,backfill_api
2025-03-26,691.9,699.9,680.0,685.88,12453.0,backfill_api
2025-03-27,698.0,698.0,687.1,690.65,21941.0,backfill_api
2025-03-30,690.0,719.9,685.0,710.21,32521.0,backfill_api
2025-04-01,712.0,718.9,695.0,699.56,18892.0,backfill_api
2025-04-02,699.0,739.0,692.0,722.96,49235.0,backfill_api
2025-04-03,723.0,730.0,705.1,708.24,17436.0,backfill_api
2025-04-07,712.0,714.8,689.0,690.2,29788.0,backfill_api
2025-04-08,690.0,697.8,680.3,693.64,14052.0,backfill_api
2025-04-09,698.0,707.0,690.0,691.4,12323.0,backfill_api
2025-04-10,705.0,705.0,685.0,687.75,15727.0,backfill_api
2025-04-13,688.0,699.5,680.4,683.04,13196.0,backfill_api
2025-04-15,690.0,702.0,690.0,692.49,13883.0,backfill_api
2025-04-16,704.0,704.0,685.0,685.74,17222.0,backfill_api
2025-04-17,690.0,701.0,687.0,695.98,31686.0,backfill_api
2025-04-20,699.0,699.0,681.0,686.21,14728.0,backfill_api
2025-04-21,688.0,690.0,672.0,678.01,26676.0,backfill_api
2025-04-22,688.0,690.0,672.2,673.47,18828.0,backfill_api
2025-04-23,686.9,686.9,663.0,665.88,19147.0,backfill_api
2025-04-24,670.0,683.0,663.5,665.8,17296.0,backfill_api
2025-04-27,658.0,678.0,655.0,657.36,29907.0,backfill_api
2025-04-28,660.0,675.0,657.0,665.56,32548.0,backfill_api
2025-04-29,674.0,675.0,655.0,655.6,16659.0,backfill_api
2025-04-30,654.0,660.0,636.5,642.74,28346.0,backfill_api
2025-05-04,654.0,654.0,624.0,625.17,27866.0,backfill_api
