date,open,high,low,close,volume,source
2025-02-27,969.0,997.6,945.0,997.6,49302.0,backfill_api
2025-03-02,977.7,989.0,960.7,964.0,97602.0,backfill_api
2025-03-03,983.0,1002.6,965.1,974.0,58821.0,backfill_api
2025-03-04,954.6,989.4,940.8,953.0,96941.0,backfill_api
2025-03-05,972.0,972.0,920.0,920.0,34855.0,backfill_api
2025-03-06,916.1,930.0,903.0,904.0,25309.0,backfill_api
2025-03-09,922.0,939.0,880.1,889.0,30042.0,backfill_api
2025-03-10,880.0,900.0,870.0,871.1,10601.0,backfill_api
2025-03-11,886.0,886.0,846.7,860.0,11994.0,backfill_api
2025-03-12,877.1,940.0,850.0,884.0,31041.0,backfill_api
2025-03-16,901.0,919.0,860.1,873.0,16085.0,backfill_api
2025-03-17,856.0,890.0,833.0,849.0,13725.0,backfill_api
2025-03-18,848.0,880.0,828.2,850.0,14988.0,backfill_api
2025-03-19,840.0,865.0,836.4,839.0,5430.0,backfill_api
2025-03-20,826.9,850.0,826.6,831.56,9792.0,backfill_api
2025-03-23,848.1,882.3,815.5,818.0,6566.0,backfill_api
2025-03-24,834.3,834.3,795.0,823.9,4323.0,backfill_api
2025-03-25,807.5,840.0,780.1,789.49,4984.0,backfill_api
2025-03-26,805.2,805.2,766.1,784.91,8713.0,backfill_api
2025-03-27,790.0,814.0,785.0,811.96,12990.0,backfill_api
2025-03-30,828.0,829.0,805.0,815.0,3203.0,backfill_api
2025-04-01,829.9,829.9,795.0,806.38,4065.0,backfill_api
2025-04-02,821.3,824.9,798.0,802.93,17899.0,backfill_api
2025-04-03,803.0,816.0,796.0,802.0,2446.0,backfill_api
2025-04-07,802.0,810.0,791.2,791.33,3681.0,backfill_api
2025-04-08,776.0,799.3,775.6,795.32,7085.0,backfill_api
2025-04-09,805.0,827.3,782.1,791.14,7104.0,backfill_api
2025-04-10,800.0,800.0,777.3,779.37,1905.0,backfill_api
2025-04-13,794.9,794.9,765.4,778.52,1999.0,backfill_api
2025-04-15,763.0,804.0,763.0,794.51,4661.0,backfill_api
2025-04-16,800.0,810.0,785.0,800.11,7351.0,backfill_api
2025-04-17,814.9,824.0,800.0,815.05,4351.0,backfill_api
2025-04-20,806.0,831.0,803.0,803.0,4750.0,backfill_api
2025-04-21,802.0,881.0,793.9,875.86,40488.0,backfill_api
2025-04-22,876.0,876.0,795.3,845.45,75170.0,backfill_api
2025-04-23,829.0,862.0,786.0,848.28,37331.0,backfill_api
2025-04-24,831.4,832.0,780.0,787.92,16093.0,backfill_api
2025-04-27,800.0,832.0,755.0,762.23,16761.0,backfill_api
2025-04-28,777.4,780.0,749.0,749.52,5686.0,backfill_api
2025-04-29,764.0,764.0,728.6,730.68,8151.0,backfill_api
2025-04-30,716.1,759.9,716.1,743.19,5382.0,backfill_api
2025-05-04,757.0,800.0,737.0,737.64,9261.0,backfill_api
2025-05-05,752.0,779.0,722.8,724.0,6056.0,backfill_api
2025-05-06,738.0,738.0,717.1,732.17,7195.0,backfill_api
2025-05-07,717.7,745.6,717.7,735.86,9982.0,backfill_api
2025-05-08,735.1,748.0,722.4,733.24,12167.0,backfill_api
2025-05-11,735.0,746.0,705.9,710.81,13794.0,backfill_api
2025-05-13,724.0,729.9,696.1,699.05,12456.0,backfill_api
2025-05-14,712.5,713.0,676.2,677.17,10689.0,backfill_api
2025-05-15,680.0,691.0,669.0,672.28,4945.0,backfill_api
2025-05-18,667.1,685.7,667.0,670.77,5966.0,backfill_api
2025-05-19,679.9,699.0,672.2,695.32,5149.0,backfill_api
2025-05-20,685.0,737.4,682.0,705.67,9777.0,backfill_api
2025-05-21,719.7,762.0,705.0,708.07,8657.0,backfill_api
2025-05-22,700.0,715.0,695.9,696.51,6217.0,backfill_api
2025-05-25,690.0,710.0,690.0,692.9,1216.0,backfill_api
2025-05-26,706.0,719.8,681.5,689.23,11254.0,backfill_api
2025-05-27,699.9,700.0,685.0,698.0,2334.0,backfill_api
2025-05-28,684.1,709.0,684.1,688.7,5849.0,backfill_api
2025-06-02,700.0,727.9,690.0,691.66,3423.0,backfill_api
2025-06-03,695.0,695.0,685.2,686.69,5195.0,backfill_api
2025-06-04,696.0,696.0,673.0,679.9,7364.0,backfill_api
2025-06-05,693.0,705.0,680.0,691.5,10460.0,backfill_api
2025-06-08,704.0,704.0,685.0,691.39,914.0,backfill_api
2025-06-09,705.0,747.0,678.3,731.59,14930.0,backfill_api
2025-06-10,746.1,746.1,717.5,738.01,13997.0,backfill_api
2025-06-11,725.1,744.0,718.0,730.79,2557.0,backfill_api
2025-06-12,729.0,743.0,716.5,733.66,11059.0,backfill_api
2025-06-15,748.3,748.3,697.0,701.14,27317.0,backfill_api
2025-06-16,715.1,729.0,650.8,687.67,41635.0,backfill_api
2025-06-17,701.4,720.0,672.0,689.45,6883.0,backfill_api
2025-06-18,703.2,703.2,674.1,675.62,7337.0,backfill_api
2025-06-19,688.0,688.9,670.3,675.03,9129.0,backfill_api
2025-06-22,688.5,688.5,660.0,661.23,9266.0,backfill_api
2025-06-23,649.0,674.0,640.0,663.84,10764.0,backfill_api
2025-06-24,651.1,690.0,651.1,657.09,8354.0,backfill_api
2025-06-25,668.9,669.0,656.0,656.63,3445.0,backfill_api
2025-06-26,669.0,695.0,661.0,678.03,9692.0,backfill_api
2025-06-29,678.03,697.0,665.0,683.95,1925.0,backfill_api
2025-06-30,690.0,690.0,676.0,679.83,7009.0,backfill_api
2025-07-01,679.83,685.5,668.0,678.47,3120.0,backfill_api
2025-07-02,691.8,691.8,672.0,674.42,6496.0,backfill_api
2025-07-03,687.5,687.8,671.4,673.63,2618.0,backfill_api
2025-07-06,670.0,683.3,670.0,671.12,3817.0,backfill_api
2025-07-07,671.1,684.4,657.0,657.34,9493.0,backfill_api
2025-07-08,657.1,669.8,653.0,659.0,13924.0,backfill_api
2025-07-09,672.0,684.0,660.4,661.01,6230.0,backfill_api
2025-07-10,674.2,693.6,672.3,678.48,10179.0,backfill_api
2025-07-13,692.0,695.0,678.6,682.03,10558.0,backfill_api
2025-07-14,680.1,685.0,675.6,676.15,4177.0,backfill_api
2025-07-15,674.1,683.0,674.1,682.3,4519.0,backfill_api
2025-07-16,689.0,689.0,673.0,676.78,9515.0,backfill_api
2025-07-17,685.0,719.9,685.0,714.52,14834.0,backfill_api
2025-07-20,725.0,742.5,710.5,716.61,25840.0,backfill_api
2025-07-21,718.0,721.1,708.7,717.33,6920.0,backfill_api
2025-07-22,731.6,759.0,725.0,740.82,17164.0,backfill_api
2025-07-23,740.3,767.0,724.0,737.2,20209.0,backfill_api
