date,open,high,low,close,volume,source
2025-02-27,381.0,404.0,381.0,399.0,180854.0,backfill_api
2025-03-02,406.0,410.9,392.0,410.0,158503.0,backfill_api
2025-03-03,410.0,417.9,402.0,404.0,104126.0,backfill_api
2025-03-04,405.0,409.0,397.0,397.0,81739.0,backfill_api
2025-03-05,402.0,402.0,390.2,391.0,75942.0,backfill_api
2025-03-06,391.0,397.0,390.1,395.0,57950.0,backfill_api
2025-03-09,402.0,402.0,387.0,387.5,53120.0,backfill_api
2025-03-10,379.8,393.5,379.8,382.0,51563.0,backfill_api
2025-03-11,380.0,384.0,375.5,379.0,52438.0,backfill_api
2025-03-12,380.0,384.0,379.1,384.0,37447.0,backfill_api
2025-03-16,381.0,389.7,375.0,378.0,47059.0,backfill_api
2025-03-17,379.0,382.0,374.0,376.0,52266.0,backfill_api
2025-03-18,383.0,383.0,372.0,374.9,46712.0,backfill_api
2025-03-19,375.0,376.0,371.5,372.1,28240.0,backfill_api
2025-03-20,373.6,375.0,370.0,371.31,26250.0,backfill_api
2025-03-23,371.0,375.0,364.0,365.0,58246.0,backfill_api
2025-03-24,372.0,372.0,360.2,369.08,31813.0,backfill_api
2025-03-25,376.4,376.4,362.0,362.76,56734.0,backfill_api
2025-03-26,360.0,369.8,359.0,366.94,66232.0,backfill_api
2025-03-27,374.2,374.2,365.0,369.68,42064.0,backfill_api
2025-03-30,370.0,381.9,370.0,376.42,43372.0,backfill_api
2025-04-01,375.0,379.0,369.0,371.77,35751.0,backfill_api
2025-04-02,379.2,379.2,368.6,372.08,22972.0,backfill_api
2025-04-03,373.0,409.0,371.0,378.09,78106.0,backfill_api
2025-04-07,380.0,384.0,375.0,376.82,39850.0,backfill_api
2025-04-08,374.0,374.9,370.0,372.49,37140.0,backfill_api
2025-04-09,374.0,378.5,373.0,375.1,18012.0,backfill_api
2025-04-10,375.0,379.0,375.0,377.54,38690.0,backfill_api
2025-04-13,378.0,379.9,371.0,376.04,39615.0,backfill_api
2025-04-15,383.0,383.0,375.4,378.78,28213.0,backfill_api
2025-04-16,385.0,385.0,377.0,377.87,26891.0,backfill_api
2025-04-17,379.0,385.0,378.0,383.07,59899.0,backfill_api
2025-04-20,375.5,375.5,369.0,369.81,122259.0,backfill_api
2025-04-21,370.0,370.0,362.8,363.72,128678.0,backfill_api
2025-04-22,364.0,367.4,361.6,365.22,62793.0,backfill_api
2025-04-23,365.0,365.0,357.0,358.22,81937.0,backfill_api
2025-04-24,351.1,363.0,351.1,357.67,47357.0,backfill_api
2025-04-27,355.5,361.0,353.0,354.09,67402.0,backfill_api
2025-04-28,358.0,358.0,350.2,352.89,64893.0,backfill_api
2025-04-29,353.0,354.1,350.0,351.57,63441.0,backfill_api
2025-04-30,350.3,351.0,346.3,346.84,119600.0,backfill_api
2025-05-04,350.0,352.5,346.0,349.46,42458.0,backfill_api
2025-05-05,350.0,351.0,344.0,348.79,91034.0,backfill_api
2025-05-06,350.0,350.0,342.1,344.23,61181.0,backfill_api
2025-05-07,342.0,360.0,340.1,358.27,51281.0,backfill_api
2025-05-08,359.0,359.0,347.0,352.29,84006.0,backfill_api
2025-05-11,345.3,359.0,345.3,349.98,55925.0,backfill_api
2025-05-13,350.0,352.0,344.0,347.21,69156.0,backfill_api
2025-05-14,346.0,351.0,345.3,346.24,27056.0,backfill_api
2025-05-15,346.0,348.0,339.9,341.58,143396.0,backfill_api
2025-05-18,343.8,343.8,335.5,337.51,111931.0,backfill_api
2025-05-19,338.0,344.0,336.0,340.13,76308.0,backfill_api
2025-05-20,340.0,344.9,337.0,341.04,129948.0,backfill_api
2025-05-21,347.8,361.0,343.0,344.08,124236.0,backfill_api
2025-05-22,350.0,378.4,344.0,370.91,388565.0,backfill_api
2025-05-25,370.0,377.4,359.2,364.6,154179.0,backfill_api
2025-05-26,371.8,379.0,354.5,362.83,226738.0,backfill_api
2025-05-27,357.1,364.0,355.0,361.45,43915.0,backfill_api
2025-05-28,356.0,376.9,356.0,371.62,310444.0,backfill_api
2025-06-02,376.0,382.5,366.0,369.69,151086.0,backfill_api
2025-06-03,370.0,370.0,354.0,360.12,127629.0,backfill_api
2025-06-04,355.1,359.0,352.1,353.97,80718.0,backfill_api
2025-06-05,351.1,357.0,350.0,353.75,84068.0,backfill_api
2025-06-08,350.0,361.0,348.0,348.67,68124.0,backfill_api
2025-06-09,348.0,351.9,345.0,349.81,109064.0,backfill_api
2025-06-10,351.0,352.0,345.0,350.1,125344.0,backfill_api
2025-06-11,355.0,355.0,347.2,347.71,60834.0,backfill_api
2025-06-12,345.0,350.0,345.0,347.74,54077.0,backfill_api
2025-06-15,348.5,349.0,344.0,344.15,57297.0,backfill_api
2025-06-16,342.2,347.9,342.0,344.81,66024.0,backfill_api
2025-06-17,345.0,351.0,340.0,342.68,52555.0,backfill_api
2025-06-18,340.5,348.0,340.5,341.66,73017.0,backfill_api
2025-06-19,344.9,345.9,337.2,340.63,177028.0,backfill_api
2025-06-22,333.9,345.0,333.9,337.67,74852.0,backfill_api
2025-06-23,335.5,343.4,333.0,337.54,36751.0,backfill_api
2025-06-24,344.0,345.0,335.0,335.39,117512.0,backfill_api
2025-06-25,338.5,340.9,335.3,338.68,62197.0,backfill_api
2025-06-26,340.0,341.0,336.0,337.42,37902.0,backfill_api
2025-06-29,340.0,345.0,335.0,343.92,64107.0,backfill_api
2025-06-30,340.1,345.0,338.0,340.78,58312.0,backfill_api
2025-07-01,339.2,350.0,338.2,346.22,75776.0,backfill_api
2025-07-02,352.0,353.9,343.6,352.39,99579.0,backfill_api
2025-07-03,355.0,363.0,347.0,360.53,134444.0,backfill_api
2025-07-06,360.0,360.5,353.5,355.23,87837.0,backfill_api
2025-07-07,352.0,354.9,347.0,347.77,65015.0,backfill_api
2025-07-08,349.5,351.0,342.4,346.83,48932.0,backfill_api
2025-07-09,350.0,365.0,347.4,360.46,164992.0,backfill_api
2025-07-10,367.6,375.0,363.0,368.59,268028.0,backfill_api
2025-07-13,375.9,405.4,375.9,405.4,935652.0,backfill_api
2025-07-14,413.5,413.5,400.0,404.59,591115.0,backfill_api
2025-07-15,405.0,416.5,391.1,413.64,752172.0,backfill_api
2025-07-16,415.0,426.0,410.5,420.05,652885.0,backfill_api
2025-07-17,428.4,428.4,414.0,418.72,613888.0,backfill_api
2025-07-20,420.0,420.0,404.0,405.83,774408.0,backfill_api
2025-07-21,404.5,412.0,400.3,410.35,314794.0,backfill_api
2025-07-22,410.0,418.0,406.0,416.42,379370.0,backfill_api
2025-07-23,417.0,417.0,407.1,410.62,264074.0,backfill_api
2025-07-24,418.8,418.8,403.0,404.97,211844.0,backfill_api
2025-07-27,407.0,412.0,398.9,400.35,357867.0,backfill_api
2025-07-28,400.0,403.0,388.7,396.3,416122.0,backfill_api
2025-07-29,403.0,410.0,395.0,400.89,308929.0,backfill_api
2025-07-30,405.0,406.7,388.0,390.2,189372.0,backfill_api
2025-07-31,390.0,396.9,383.5,386.43,170007.0,backfill_api
2025-08-03,386.0,388.0,381.0,381.91,146401.0,backfill_api
2025-08-04,388.7,399.0,385.0,395.76,275662.0,backfill_api
2025-08-05,403.5,403.5,385.9,386.38,168482.0,backfill_api
2025-08-06,391.0,391.0,385.0,385.51,63156.0,backfill_api
2025-08-07,392.8,392.8,383.0,384.68,83056.0,backfill_api
2025-08-11,389.0,392.0,381.1,381.26,101169.0,backfill_api
2025-08-12,385.0,385.0,376.1,376.92,59057.0,backfill_api
2025-08-13,380.0,380.0,370.0,370.48,85556.0,backfill_api
2025-08-14,371.8,371.9,363.1,365.66,88358.0,backfill_api
2025-08-17,358.4,358.4,340.0,348.64,256794.0,backfill_api
2025-08-18,350.0,351.0,344.5,348.23,103749.0,backfill_api
2025-08-19,348.5,355.1,348.1,350.65,83058.0,backfill_api
2025-08-20,353.0,356.0,350.0,351.12,58516.0,backfill_api
2025-08-21,350.1,353.9,348.0,348.38,47481.0,backfill_api
2025-08-24,348.2,349.5,343.0,343.56,94633.0,backfill_api
2025-08-25,343.0,345.0,337.0,344.34,76387.0,backfill_api
