date,open,high,low,close,volume,source
2025-02-27,715.0,739.0,705.0,707.7,9619.0,backfill_api
2025-03-02,709.0,725.0,709.0,721.0,15435.0,backfill_api
2025-03-03,725.0,742.0,718.5,723.0,23459.0,backfill_api
2025-03-04,715.0,730.0,707.4,709.0,14404.0,backfill_api
2025-03-05,704.0,712.0,703.3,704.6,5811.0,backfill_api
2025-03-06,701.1,710.0,700.0,702.9,14562.0,backfill_api
2025-03-09,697.0,705.0,690.0,690.0,6231.0,backfill_api
2025-03-10,691.0,695.0,675.0,679.0,9167.0,backfill_api
2025-03-11,675.0,681.0,666.0,673.0,6860.0,backfill_api
2025-03-12,680.0,680.0,667.0,672.9,5015.0,backfill_api
2025-03-16,662.1,673.0,662.1,664.9,10118.0,backfill_api
2025-03-17,663.1,675.0,660.0,665.0,5958.0,backfill_api
2025-03-18,665.0,670.0,663.0,665.2,5096.0,backfill_api
2025-03-19,660.4,664.0,660.0,662.9,3202.0,backfill_api
2025-03-20,649.7,675.0,649.7,655.22,5163.0,backfill_api
2025-03-23,655.0,660.0,649.0,650.73,6157.0,backfill_api
2025-03-24,645.0,665.0,645.0,654.07,2970.0,backfill_api
2025-03-25,653.0,653.0,635.0,637.24,8670.0,backfill_api
2025-03-26,637.0,648.0,635.0,644.57,2855.0,backfill_api
2025-03-27,638.1,660.0,638.1,655.9,5005.0,backfill_api
2025-03-30,655.0,670.0,655.0,661.83,5064.0,backfill_api
2025-04-01,660.0,673.0,648.9,650.13,8063.0,backfill_api
2025-04-02,641.0,663.1,641.0,653.15,2845.0,backfill_api
2025-04-03,650.0,663.0,650.0,652.78,6919.0,backfill_api
2025-04-07,650.0,653.0,642.0,643.26,6402.0,backfill_api
2025-04-08,640.0,646.0,636.2,644.93,3995.0,backfill_api
2025-04-09,645.1,655.0,643.0,644.97,4885.0,backfill_api
2025-04-10,635.9,647.9,635.2,644.23,4651.0,backfill_api
2025-04-13,636.0,647.9,634.0,636.03,5520.0,backfill_api
2025-04-15,630.1,650.0,630.1,633.73,8493.0,backfill_api
2025-04-16,640.0,643.0,635.0,639.15,6655.0,backfill_api
2025-04-17,651.9,654.0,639.0,646.17,8746.0,backfill_api
2025-04-20,643.0,648.0,635.1,639.78,5380.0,backfill_api
2025-04-21,635.0,646.0,632.0,635.13,5195.0,backfill_api
2025-04-22,631.4,647.8,631.3,637.55,4578.0,backfill_api
2025-04-23,633.0,638.0,631.1,633.4,3911.0,backfill_api
2025-04-24,633.0,642.0,630.0,637.48,5797.0,backfill_api
2025-04-27,628.0,640.0,628.0,631.18,8702.0,backfill_api
2025-04-28,628.0,634.0,623.1,625.23,5438.0,backfill_api
2025-04-29,625.0,637.7,620.0,623.97,4402.0,backfill_api
2025-04-30,630.0,636.4,618.1,619.29,6231.0,backfill_api
2025-05-04,631.6,631.6,619.0,620.0,5223.0,backfill_api
2025-05-05,632.4,632.4,614.3,616.55,4927.0,backfill_api
2025-05-06,628.8,628.8,606.3,607.9,7255.0,backfill_api
2025-05-07,606.3,624.0,606.3,623.05,5693.0,backfill_api
2025-05-08,623.0,657.0,612.0,625.69,8385.0,backfill_api
2025-05-11,620.0,626.9,615.0,615.91,4904.0,backfill_api
2025-05-13,615.0,620.0,608.0,609.55,5983.0,backfill_api
2025-05-14,610.0,618.0,608.0,612.21,2665.0,backfill_api
2025-05-15,610.0,615.0,607.0,610.03,4976.0,backfill_api
2025-05-18,610.0,630.0,608.1,617.33,7281.0,backfill_api
2025-05-19,618.0,628.9,612.0,618.42,3498.0,backfill_api
2025-05-20,630.7,630.7,611.0,629.9,3500.0,backfill_api
2025-05-21,640.0,652.0,623.2,625.62,5044.0,backfill_api
2025-05-22,626.1,644.0,626.1,639.19,10938.0,backfill_api
2025-05-25,650.0,665.0,628.6,654.21,21088.0,backfill_api
2025-05-26,666.9,666.9,638.0,645.42,9898.0,backfill_api
2025-05-27,633.1,647.7,633.1,639.38,4902.0,backfill_api
2025-05-28,630.0,640.0,620.0,630.63,10353.0,backfill_api
2025-06-02,631.0,640.0,631.0,632.25,4484.0,backfill_api
2025-06-03,623.0,631.0,619.1,619.56,5373.0,backfill_api
2025-06-04,611.1,624.0,611.1,616.67,3729.0,backfill_api
2025-06-05,611.0,617.9,610.3,611.68,5398.0,backfill_api
2025-06-08,606.0,617.0,606.0,608.82,5659.0,backfill_api
2025-06-09,606.0,615.0,605.0,611.78,3239.0,backfill_api
2025-06-10,612.6,620.0,612.1,617.48,2510.0,backfill_api
2025-06-11,618.0,627.0,610.0,616.35,9538.0,backfill_api
2025-06-12,610.1,616.5,610.0,611.8,6267.0,backfill_api
2025-06-15,607.0,620.0,607.0,609.14,5944.0,backfill_api
2025-06-16,621.0,621.0,609.1,612.67,6706.0,backfill_api
2025-06-17,612.0,634.0,610.0,617.5,9247.0,backfill_api
2025-06-18,618.0,629.7,610.0,616.08,5337.0,backfill_api
2025-06-19,610.5,616.0,610.0,611.57,6125.0,backfill_api
2025-06-22,605.1,616.0,602.0,607.35,5981.0,backfill_api
2025-06-23,607.0,611.0,604.5,605.7,5890.0,backfill_api
