date,open,high,low,close,volume,source
2025-02-27,795.6,795.6,780.0,783.2,11628.0,backfill_api
2025-03-02,790.0,805.0,790.0,805.0,17581.0,backfill_api
2025-03-03,806.0,831.3,805.0,805.0,26168.0,backfill_api
2025-03-04,805.0,819.0,795.0,801.0,20852.0,backfill_api
2025-03-05,791.0,803.0,790.1,799.0,5173.0,backfill_api
2025-03-06,808.0,808.0,789.0,792.2,13084.0,backfill_api
2025-03-09,780.0,808.0,780.0,792.0,17237.0,backfill_api
2025-03-10,793.0,801.9,785.0,792.0,18562.0,backfill_api
2025-03-11,791.8,800.0,777.0,777.0,5368.0,backfill_api
2025-03-12,777.0,780.0,768.5,775.0,9008.0,backfill_api
2025-03-16,789.0,789.0,760.1,770.0,9864.0,backfill_api
2025-03-17,770.0,778.0,766.0,772.0,3699.0,backfill_api
2025-03-18,773.0,780.0,772.0,777.5,2691.0,backfill_api
2025-03-19,775.0,777.0,772.1,774.0,4672.0,backfill_api
2025-03-20,775.0,780.0,765.1,771.51,6519.0,backfill_api
2025-03-23,772.0,772.0,758.0,758.62,7217.0,backfill_api
2025-03-24,750.1,763.9,748.2,761.7,5373.0,backfill_api
2025-03-25,758.0,758.0,745.0,747.5,5937.0,backfill_api
2025-03-26,760.0,760.0,740.0,749.93,6126.0,backfill_api
2025-03-27,762.9,763.0,748.0,749.26,12429.0,backfill_api
2025-03-30,754.9,765.0,752.0,756.94,7090.0,backfill_api
2025-04-01,753.0,756.0,745.6,747.52,6947.0,backfill_api
2025-04-02,742.0,759.8,742.0,754.13,5122.0,backfill_api
2025-04-03,769.0,772.0,747.1,751.63,7422.0,backfill_api
2025-04-07,766.0,766.0,744.8,746.39,7103.0,backfill_api
2025-04-08,747.0,747.0,735.0,740.65,5266.0,backfill_api
2025-04-09,737.0,749.9,737.0,741.06,3119.0,backfill_api
2025-04-10,742.0,751.0,742.0,744.2,4690.0,backfill_api
2025-04-13,757.0,757.0,742.0,750.76,4408.0,backfill_api
2025-04-15,755.0,756.0,750.0,755.17,3238.0,backfill_api
2025-04-16,768.0,768.0,754.0,759.03,4315.0,backfill_api
2025-04-17,770.0,770.0,754.7,764.0,7867.0,backfill_api
2025-04-20,760.0,767.6,760.0,762.69,16798.0,backfill_api
2025-04-21,751.1,764.0,751.0,762.41,10255.0,backfill_api
2025-04-22,753.0,764.0,750.0,752.22,4476.0,backfill_api
2025-04-23,750.0,750.0,739.0,742.46,3380.0,backfill_api
2025-04-24,757.3,768.0,743.0,748.98,13078.0,backfill_api
2025-04-27,750.0,751.1,741.0,741.8,6406.0,backfill_api
2025-04-28,742.0,748.9,735.0,735.75,4132.0,backfill_api
2025-04-29,745.0,745.0,733.5,733.86,7533.0,backfill_api
2025-04-30,748.5,748.5,733.9,734.6,3897.0,backfill_api
2025-05-04,736.0,746.0,730.0,736.93,18334.0,backfill_api
2025-05-05,744.0,744.0,735.0,735.28,11429.0,backfill_api
2025-05-06,736.0,740.0,734.2,735.82,4049.0,backfill_api
2025-05-07,733.0,751.0,730.3,747.18,6675.0,backfill_api
2025-05-08,749.9,762.6,747.1,761.48,11583.0,backfill_api
2025-05-11,764.0,766.0,738.0,738.9,27677.0,backfill_api
2025-05-13,693.0,704.5,693.0,702.52,8396.0,backfill_api
2025-05-14,700.0,704.0,697.1,697.56,6789.0,backfill_api
2025-05-15,700.0,700.0,691.0,693.21,9731.0,backfill_api
2025-05-18,700.0,700.0,687.0,690.46,16253.0,backfill_api
2025-05-19,698.0,698.1,691.0,692.79,4112.0,backfill_api
2025-05-20,689.1,705.0,689.0,700.91,10133.0,backfill_api
2025-05-21,714.9,728.0,702.0,705.71,7100.0,backfill_api
2025-05-22,719.0,719.0,705.5,706.2,5923.0,backfill_api
2025-05-25,700.6,714.0,700.0,708.18,6841.0,backfill_api
2025-05-26,722.3,725.0,709.1,717.61,8589.0,backfill_api
2025-05-27,717.0,718.0,712.0,714.13,4845.0,backfill_api
2025-05-28,710.0,712.0,703.0,709.62,10402.0,backfill_api
2025-06-02,723.8,735.0,710.0,713.49,9826.0,backfill_api
2025-06-03,707.0,715.0,707.0,708.69,4271.0,backfill_api
2025-06-04,721.9,721.9,697.0,698.93,8956.0,backfill_api
2025-06-05,698.0,703.0,691.2,696.02,3980.0,backfill_api
2025-06-08,695.0,698.0,691.1,694.98,10145.0,backfill_api
2025-06-09,700.0,700.0,691.1,691.86,10382.0,backfill_api
2025-06-10,699.0,703.7,690.0,700.9,6248.0,backfill_api
2025-06-11,690.2,705.0,690.2,692.2,11947.0,backfill_api
2025-06-12,694.0,698.9,692.0,692.91,8967.0,backfill_api
2025-06-15,685.2,690.0,680.0,681.66,31032.0,backfill_api
2025-06-16,690.0,690.0,676.5,680.97,21014.0,backfill_api
2025-06-17,680.3,688.5,680.1,682.36,15594.0,backfill_api
2025-06-18,675.0,685.0,675.0,679.12,21978.0,backfill_api
2025-06-19,679.0,683.9,679.0,679.62,17962.0,backfill_api
2025-06-22,680.0,681.0,673.0,674.19,14368.0,backfill_api
2025-06-23,670.0,680.0,668.0,668.6,12649.0,backfill_api
2025-06-24,668.0,678.0,665.0,665.2,17488.0,backfill_api
2025-06-25,674.0,674.0,665.0,665.03,8558.0,backfill_api
2025-06-26,665.0,670.0,663.5,664.12,8969.0,backfill_api
2025-06-29,665.0,675.0,665.0,667.34,20668.0,backfill_api
2025-06-30,678.3,684.9,670.1,677.27,13876.0,backfill_api
2025-07-01,686.0,687.0,681.0,684.55,9671.0,backfill_api
2025-07-02,695.0,708.0,688.0,698.62,23629.0,backfill_api
2025-07-03,698.62,712.0,695.0,708.44,25090.0,backfill_api
2025-07-06,705.0,722.0,705.0,709.48,44132.0,backfill_api
2025-07-07,721.0,721.0,702.1,705.06,18837.0,backfill_api
2025-07-08,705.0,709.0,696.0,700.14,23907.0,backfill_api
2025-07-09,702.0,708.0,695.0,699.58,18947.0,backfill_api
2025-07-10,699.58,706.0,696.1,703.0,24205.0,backfill_api
2025-07-13,710.0,725.0,702.1,703.29,32826.0,backfill_api
2025-07-14,702.0,715.0,698.8,699.33,23574.0,backfill_api
2025-07-15,700.0,711.0,697.1,708.35,30211.0,backfill_api
2025-07-16,719.0,719.0,701.3,710.36,16807.0,backfill_api
2025-07-17,715.0,730.0,715.0,727.34,25679.0,backfill_api
2025-07-20,730.0,748.9,726.0,739.75,60096.0,backfill_api
2025-07-21,735.0,756.0,732.2,751.4,38826.0,backfill_api
2025-07-22,751.4,783.9,751.4,769.84,45273.0,backfill_api
2025-07-23,771.1,779.9,751.7,770.1,45084.0,backfill_api
2025-07-24,771.0,775.0,761.0,769.25,35659.0,backfill_api
2025-07-27,769.25,770.0,751.0,754.28,53733.0,backfill_api
2025-07-28,754.28,754.28,737.0,744.86,32599.0,backfill_api
2025-07-29,750.0,765.0,745.0,746.77,42728.0,backfill_api
2025-07-30,760.0,762.0,734.1,745.92,25452.0,backfill_api
2025-07-31,750.0,755.0,730.0,740.72,40300.0,backfill_api
2025-08-03,736.0,743.0,719.6,728.45,44625.0,backfill_api
2025-08-04,730.0,733.9,715.1,726.4,22303.0,backfill_api
2025-08-05,726.1,735.0,713.5,714.53,33144.0,backfill_api
2025-08-06,708.0,717.0,708.0,713.08,30753.0,backfill_api
2025-08-07,719.0,722.0,713.0,718.09,15453.0,backfill_api
2025-08-11,720.0,728.0,700.0,713.51,23304.0,backfill_api
2025-08-12,706.1,713.0,704.0,709.47,12797.0,backfill_api
2025-08-13,712.0,712.0,701.4,708.67,5729.0,backfill_api
2025-08-14,709.4,709.5,703.0,704.2,7752.0,backfill_api
2025-08-17,704.2,715.0,690.0,708.31,35317.0,backfill_api
2025-08-18,703.0,710.0,702.0,702.2,15776.0,backfill_api
2025-08-19,711.0,720.0,709.0,709.82,12123.0,backfill_api
2025-08-20,720.0,720.0,698.0,698.89,9622.0,backfill_api
2025-08-21,695.0,705.0,695.0,698.05,5131.0,backfill_api
2025-08-24,695.0,711.9,695.0,699.73,6193.0,backfill_api
2025-08-25,692.0,702.0,692.0,699.69,7234.0,backfill_api
2025-08-26,699.69,707.0,699.1,700.76,7841.0,backfill_api
2025-08-27,698.0,714.0,695.2,711.0,10102.0,backfill_api
2025-08-28,711.0,725.0,700.1,704.6,8168.0,backfill_api
2025-08-31,701.0,706.0,694.0,694.26,8347.0,backfill_api
2025-09-01,695.0,700.0,692.0,692.45,6650.0,backfill_api
2025-09-02,690.0,703.5,688.2,688.96,8339.0,backfill_api
2025-09-03,688.0,691.0,680.0,682.25,12090.0,backfill_api
2025-09-04,674.0,685.9,674.0,681.71,6642.0,backfill_api
2025-09-07,683.0,695.3,678.0,680.8,8801.0,backfill_api
2025-09-08,694.4,694.4,672.0,673.46,5441.0,backfill_api
2025-09-18,660.0,660.0,634.0,634.0,33.0,backfill_api
2025-09-21,621.4,621.4,580.0,605.0,63302.0,backfill_api
2025-09-23,595.2,633.9,595.2,627.0,17972.0,backfill_api
2025-09-24,621.0,626.8,614.0,614.0,8858.0,backfill_api
2025-09-25,619.0,619.8,610.1,615.0,6517.0,backfill_api
2025-09-28,615.0,620.0,611.0,615.0,9483.0,backfill_api
2025-10-07,616.0,616.0,600.0,602.0,11715.0,backfill_api
2025-10-08,605.0,605.0,580.1,588.0,14718.0,backfill_api
2025-10-09,599.7,622.0,590.0,596.0,13734.0,backfill_api
2025-10-12,584.1,604.0,581.2,589.9,12984.0,backfill_api
2025-10-13,583.0,599.4,582.0,595.0,11839.0,backfill_api
2025-10-14,599.0,599.0,582.1,593.0,4501.0,backfill_api
2025-10-15,589.9,589.9,579.0,585.0,11217.0,backfill_api
2025-10-16,590.0,590.0,574.0,580.0,10851.0,backfill_api
2025-10-19,569.0,576.5,562.0,571.0,17630.0,backfill_api
2025-10-26,570.0,579.0,562.0,576.0,6399.0,backfill_api
2025-10-28,573.3,587.4,573.0,586.0,6519.0,backfill_api
2025-10-29,585.0,594.5,581.1,586.6,8702.0,backfill_api
2025-10-30,575.1,593.0,575.1,589.0,6841.0,backfill_api
2025-11-02,588.0,602.0,588.0,598.0,8381.0,backfill_api
2025-11-03,591.0,617.1,588.0,605.0,8011.0,backfill_api
2025-11-04,615.0,615.0,583.0,585.0,11239.0,backfill_api
2025-11-05,595.0,596.0,585.0,590.0,4525.0,backfill_api
2025-11-06,590.0,604.9,586.2,588.0,10140.0,backfill_api
