date,open,high,low,close,volume,source
2025-02-27,748.0,765.0,745.0,765.0,68396.0,backfill_api
2025-03-02,779.0,841.5,778.0,841.5,248954.0,backfill_api
2025-03-03,858.0,880.0,851.0,852.0,191519.0,backfill_api
2025-03-04,865.0,875.0,840.0,846.9,144411.0,backfill_api
2025-03-05,846.9,847.0,819.0,824.0,111725.0,backfill_api
2025-03-06,833.9,840.4,816.5,817.2,66136.0,backfill_api
2025-03-09,833.5,833.5,799.1,799.8,60791.0,backfill_api
2025-03-10,785.1,814.0,785.1,792.0,44060.0,backfill_api
2025-03-11,795.0,800.0,779.0,780.0,48691.0,backfill_api
2025-03-12,770.0,790.0,770.0,786.0,34071.0,backfill_api
2025-03-16,799.0,799.0,771.0,784.8,41390.0,backfill_api
2025-03-17,770.0,790.3,770.0,784.0,28054.0,backfill_api
2025-03-18,787.5,793.4,780.0,780.5,23109.0,backfill_api
2025-03-19,766.0,785.0,766.0,775.0,29512.0,backfill_api
2025-03-20,775.0,780.0,768.6,769.6,17367.0,backfill_api
2025-03-23,760.0,770.0,748.0,754.08,51829.0,backfill_api
2025-03-24,739.0,773.9,739.0,769.1,33879.0,backfill_api
2025-03-25,754.0,760.2,746.2,750.03,50869.0,backfill_api
2025-03-26,740.1,770.1,740.1,767.87,45050.0,backfill_api
2025-03-27,752.6,788.0,752.6,784.14,45574.0,backfill_api
2025-03-30,770.0,803.4,770.0,790.26,62960.0,backfill_api
2025-04-01,774.5,799.5,774.5,782.44,27619.0,backfill_api
2025-04-02,798.0,798.0,776.3,782.48,14982.0,backfill_api
2025-04-03,790.0,790.0,775.4,778.87,31507.0,backfill_api
2025-04-07,763.3,783.9,763.3,778.29,24832.0,backfill_api
2025-04-08,765.0,779.9,765.0,775.4,30470.0,backfill_api
2025-04-09,790.0,790.0,773.0,775.54,19913.0,backfill_api
2025-04-10,760.1,789.8,760.1,771.23,31357.0,backfill_api
2025-04-13,772.0,775.0,765.0,766.41,25608.0,backfill_api
2025-04-15,770.0,788.5,770.0,781.2,26594.0,backfill_api
2025-04-16,780.1,785.0,778.0,780.28,16834.0,backfill_api
2025-04-17,775.0,795.0,775.0,785.75,35904.0,backfill_api
2025-04-20,786.0,788.0,773.0,773.64,44780.0,backfill_api
2025-04-21,775.0,777.0,764.0,772.36,21361.0,backfill_api
2025-04-22,771.0,806.3,767.0,782.15,39061.0,backfill_api
2025-04-23,769.0,785.0,769.0,776.31,23348.0,backfill_api
2025-04-24,791.8,791.8,770.0,773.76,31406.0,backfill_api
2025-04-27,775.0,786.0,767.4,770.21,47091.0,backfill_api
2025-04-28,763.1,774.0,763.0,767.12,28941.0,backfill_api
2025-04-29,771.0,779.0,755.0,756.02,40678.0,backfill_api
2025-04-30,763.0,765.0,753.3,757.8,27880.0,backfill_api
2025-05-04,754.0,765.0,750.0,752.34,50931.0,backfill_api
2025-05-05,767.0,767.0,747.1,750.45,26923.0,backfill_api
2025-05-06,752.0,754.9,750.1,751.09,18514.0,backfill_api
2025-05-07,750.1,770.0,750.0,763.87,26478.0,backfill_api
2025-05-08,770.0,770.0,756.2,760.19,29345.0,backfill_api
2025-05-11,765.0,765.0,750.0,753.34,26702.0,backfill_api
2025-05-13,756.0,780.0,752.0,758.99,44793.0,backfill_api
2025-05-14,751.0,766.0,751.0,754.03,26629.0,backfill_api
2025-05-15,750.3,758.0,750.3,752.53,29081.0,backfill_api
2025-05-18,751.1,758.2,750.5,751.16,31244.0,backfill_api
2025-05-19,750.0,758.0,750.0,753.41,29066.0,backfill_api
2025-05-20,768.0,768.0,750.0,761.61,35268.0,backfill_api
2025-05-21,776.8,792.0,762.0,763.86,34928.0,backfill_api
2025-05-22,764.9,767.0,760.0,762.45,31000.0,backfill_api
2025-05-25,764.0,770.0,757.6,759.86,50743.0,backfill_api
2025-05-26,775.0,780.0,756.0,758.99,47336.0,backfill_api
2025-05-27,743.9,760.0,743.9,756.59,27956.0,backfill_api
2025-05-28,760.0,760.0,755.0,757.56,37149.0,backfill_api
2025-06-02,765.0,770.0,750.0,763.04,54583.0,backfill_api
2025-06-03,760.0,766.0,755.0,760.16,35563.0,backfill_api
2025-06-04,775.0,775.0,755.0,755.33,41063.0,backfill_api
2025-06-05,755.1,763.0,752.4,755.38,23026.0,backfill_api
2025-06-08,756.0,760.0,751.0,752.15,29372.0,backfill_api
2025-06-09,751.9,764.0,750.0,750.57,44930.0,backfill_api
2025-06-10,755.4,757.0,749.9,751.64,35700.0,backfill_api
2025-06-11,766.0,766.0,747.9,748.51,23731.0,backfill_api
2025-06-12,748.0,759.0,748.0,750.14,36988.0,backfill_api
2025-06-15,759.0,759.0,748.2,750.12,38690.0,backfill_api
2025-06-16,747.9,760.0,747.9,749.64,46091.0,backfill_api
2025-06-17,757.0,757.0,748.2,748.61,16743.0,backfill_api
2025-06-18,749.0,755.0,744.5,745.09,32344.0,backfill_api
2025-06-19,743.9,750.0,742.0,742.22,48793.0,backfill_api
2025-06-22,743.0,746.0,732.0,734.9,30145.0,backfill_api
2025-06-23,740.0,740.0,725.0,729.52,38534.0,backfill_api
2025-06-24,731.0,735.0,727.2,729.75,29049.0,backfill_api
2025-06-25,741.9,741.9,723.1,724.64,45649.0,backfill_api
2025-06-26,724.0,731.0,720.0,720.78,45362.0,backfill_api
2025-06-29,735.0,735.0,720.0,727.66,33010.0,backfill_api
2025-06-30,734.4,740.0,727.0,728.63,46364.0,backfill_api
2025-07-01,728.63,743.2,728.0,740.19,41380.0,backfill_api
2025-07-02,736.8,770.9,736.8,764.65,104650.0,backfill_api
2025-07-03,769.0,805.0,765.0,794.58,216722.0,backfill_api
2025-07-06,802.0,802.0,776.0,778.77,80853.0,backfill_api
2025-07-07,778.1,785.0,765.5,768.56,81974.0,backfill_api
2025-07-08,772.0,776.4,761.0,765.5,60060.0,backfill_api
2025-07-09,764.0,774.0,764.0,765.69,58561.0,backfill_api
2025-07-10,763.0,782.0,763.0,774.99,84001.0,backfill_api
2025-07-13,790.0,806.0,775.0,777.22,55842.0,backfill_api
2025-07-14,790.0,790.0,766.0,767.92,58888.0,backfill_api
2025-07-15,775.0,777.4,766.0,774.89,44505.0,backfill_api
2025-07-16,789.0,804.7,770.0,772.97,89270.0,backfill_api
2025-07-17,788.0,815.0,786.0,807.89,157976.0,backfill_api
2025-07-20,815.0,855.0,808.0,833.42,236154.0,backfill_api
2025-07-21,850.0,850.0,821.5,832.93,126300.0,backfill_api
2025-07-22,835.0,876.0,832.8,874.58,232215.0,backfill_api
2025-07-23,874.0,884.0,866.1,874.02,174862.0,backfill_api
2025-07-24,872.1,877.4,867.0,872.19,119207.0,backfill_api
2025-07-27,872.1,890.0,860.0,862.94,200942.0,backfill_api
2025-07-28,862.94,862.94,840.2,853.86,187974.0,backfill_api
2025-07-29,870.7,880.0,857.3,862.0,102028.0,backfill_api
2025-07-30,865.0,872.2,850.2,851.74,92056.0,backfill_api
2025-07-31,845.0,853.0,835.1,837.11,97674.0,backfill_api
2025-08-03,830.0,839.0,810.9,813.0,111935.0,backfill_api
2025-08-04,814.0,829.0,810.1,820.83,68297.0,backfill_api
2025-08-05,820.83,828.0,803.6,805.04,59141.0,backfill_api
2025-08-06,810.0,810.0,790.1,797.95,82685.0,backfill_api
2025-08-07,799.0,813.0,798.1,804.39,61381.0,backfill_api
2025-08-11,820.0,820.0,793.0,796.24,63294.0,backfill_api
2025-08-12,790.0,799.0,786.0,789.41,44308.0,backfill_api
2025-08-13,791.0,792.0,780.3,783.1,36172.0,backfill_api
2025-08-14,784.0,785.0,780.0,784.15,21252.0,backfill_api
2025-08-17,784.15,797.0,783.8,784.24,27400.0,backfill_api
2025-08-18,799.0,799.0,781.2,785.13,47364.0,backfill_api
2025-08-19,785.13,797.0,782.3,784.4,30770.0,backfill_api
2025-08-20,777.0,789.0,776.1,783.74,31104.0,backfill_api
2025-08-21,791.0,791.0,774.0,776.54,32162.0,backfill_api
2025-08-24,789.0,789.0,770.0,771.15,34020.0,backfill_api
2025-08-25,783.0,783.0,769.0,774.37,22542.0,backfill_api
2025-08-26,778.0,780.0,772.0,774.3,14440.0,backfill_api
2025-08-27,777.0,795.0,774.0,793.03,48265.0,backfill_api
2025-08-28,777.9,797.0,777.9,784.06,31371.0,backfill_api
2025-08-31,785.0,785.0,775.5,777.42,34590.0,backfill_api
2025-09-01,792.9,792.9,775.0,778.02,31178.0,backfill_api
2025-09-02,793.5,793.5,765.0,778.47,24136.0,backfill_api
2025-09-03,780.0,781.9,775.0,775.56,23410.0,backfill_api
2025-09-04,783.0,783.0,770.0,772.99,20374.0,backfill_api
2025-09-07,773.0,785.0,770.0,772.56,25042.0,backfill_api
2025-09-08,770.0,773.8,768.0,769.14,29144.0,backfill_api
2025-09-18,753.8,755.0,702.0,710.0,6199.0,backfill_api
2025-09-21,710.0,762.0,705.0,759.45,69030.0,backfill_api
2025-09-23,752.0,785.0,752.0,778.0,31419.0,backfill_api
2025-09-24,773.0,778.0,766.8,769.0,21109.0,backfill_api
2025-09-25,769.0,772.2,760.0,770.1,20218.0,backfill_api
2025-09-28,772.0,785.0,771.2,779.2,14901.0,backfill_api
2025-10-07,775.0,780.0,764.0,770.0,24049.0,backfill_api
2025-10-08,770.0,770.0,747.4,758.3,35956.0,backfill_api
2025-10-09,773.4,810.9,761.0,770.0,36299.0,backfill_api
2025-10-12,756.6,770.0,743.1,749.0,56336.0,backfill_api
2025-10-13,763.0,763.0,738.0,761.0,33282.0,backfill_api
2025-10-14,760.0,765.0,748.0,748.0,24866.0,backfill_api
2025-10-15,748.0,755.0,742.3,748.1,24916.0,backfill_api
2025-10-16,750.0,760.0,744.8,744.8,20842.0,backfill_api
2025-10-19,747.0,755.0,733.0,750.0,14856.0,backfill_api
2025-10-26,749.0,753.0,741.6,752.0,8813.0,backfill_api
2025-10-28,760.0,786.0,760.0,780.0,37032.0,backfill_api
2025-10-29,783.0,795.0,775.0,777.0,42782.0,backfill_api
2025-10-30,784.9,790.0,770.1,787.0,42327.0,backfill_api
2025-11-02,798.0,840.0,790.2,835.1,188761.0,backfill_api
2025-11-03,834.0,846.0,819.0,824.1,88330.0,backfill_api
2025-11-04,839.8,839.8,808.0,809.0,69111.0,backfill_api
2025-11-05,807.0,831.0,802.0,829.0,93429.0,backfill_api
2025-11-06,840.0,840.0,810.0,821.1,108523.0,backfill_api
2025-11-09,823.0,823.0,805.0,810.0,45570.0,backfill_api
2025-11-10,820.0,820.0,803.0,804.6,45531.0,backfill_api
2025-11-11,819.0,819.0,804.0,810.0,34304.0,backfill_api
2025-11-12,812.0,813.9,793.8,798.0,72505.0,backfill_api
2025-11-13,782.2,810.9,782.2,801.0,42315.0,backfill_api
2025-11-16,815.0,815.0,792.0,797.9,25051.0,backfill_api
2025-11-17,798.0,810.0,797.0,804.5,34283.0,backfill_api
2025-11-18,810.0,819.0,805.7,809.9,50992.0,backfill_api
2025-11-19,818.9,818.9,789.0,799.0,65155.0,backfill_api
2025-11-20,799.0,806.0,793.0,804.0,24300.0,backfill_api
2025-11-23,807.2,831.4,807.2,830.0,138581.0,backfill_api
2025-11-24,835.0,872.0,835.0,860.0,289832.0,backfill_api
2025-11-25,862.0,871.0,846.0,854.0,127960.0,backfill_api
2025-11-26,871.0,871.0,843.0,846.2,105616.0,backfill_api
2025-11-27,843.0,857.9,841.1,849.7,120741.0,backfill_api
2025-11-30,850.1,870.0,841.0,841.1,217658.0,backfill_api
2025-12-01,825.0,854.0,825.0,840.0,74629.0,backfill_api
2025-12-02,841.0,849.0,838.1,839.2,54611.0,backfill_api
2025-12-03,842.0,845.0,827.0,829.0,75475.0,backfill_api
2025-12-07,823.0,838.0,815.0,818.0,64177.0,backfill_api
2025-12-08,834.3,834.3,811.0,822.0,65078.0,backfill_api
2025-12-09,838.4,838.4,807.0,828.0,36913.0,backfill_api
2025-12-10,826.0,837.0,819.0,822.8,39337.0,backfill_api
2025-12-11,830.8,832.0,817.0,820.0,99429.0,backfill_api
2025-12-14,820.0,828.0,815.1,816.0,51555.0,backfill_api
2025-12-15,816.0,819.0,812.0,816.0,61938.0,backfill_api
2025-12-16,818.0,828.9,817.5,826.5,39453.0,backfill_api
2025-12-17,830.0,838.9,829.0,835.0,60587.0,backfill_api
2025-12-18,840.0,840.0,821.0,822.0,57039.0,backfill_api
2025-12-21,825.0,827.0,815.0,817.5,127527.0,backfill_api
2025-12-22,763.0,778.0,760.5,760.8,63866.0,backfill_api
2025-12-23,750.3,770.0,750.3,752.0,34545.0,backfill_api
2025-12-24,752.1,761.0,750.3,750.5,35825.0,backfill_api
2025-12-28,764.9,770.0,758.5,768.1,65832.0,backfill_api
2025-12-29,775.0,775.0,760.4,766.0,40385.0,backfill_api
2025-12-31,775.0,778.8,768.0,774.9,37759.0,backfill_api
2026-01-01,775.0,788.0,770.0,771.0,44825.0,backfill_api
2026-01-04,779.0,779.0,759.0,759.0,39526.0,backfill_api
2026-01-05,774.1,774.1,761.0,767.0,44186.0,backfill_api
2026-01-06,767.0,779.9,765.0,766.1,36711.0,backfill_api
2026-01-07,767.0,776.5,765.1,766.9,22720.0,backfill_api
2026-01-08,767.0,773.0,756.7,770.0,35706.0,backfill_api
2026-01-12,770.1,780.0,770.0,779.0,33197.0,backfill_api
2026-01-13,778.7,784.0,772.0,774.0,15684.0,backfill_api
2026-01-14,778.0,778.4,762.5,769.0,28008.0,backfill_api
2026-01-18,776.1,782.0,773.1,780.0,27049.0,backfill_api
2026-01-20,790.0,800.0,782.0,790.0,45351.0,backfill_api
2026-01-21,790.0,797.0,785.0,788.9,38520.0,backfill_api
2026-01-22,788.0,795.0,780.0,790.0,40242.0,backfill_api
2026-01-25,785.0,804.9,785.0,802.0,82388.0,backfill_api
2026-01-26,806.0,809.0,792.0,796.0,67178.0,backfill_api
