date,open,high,low,close,volume,source
2025-02-27,698.8,740.0,693.5,695.1,11574.0,backfill_api
2025-03-02,709.0,721.9,701.5,711.0,13549.0,backfill_api
2025-03-03,720.0,727.0,711.0,713.0,26734.0,backfill_api
2025-03-04,727.2,727.2,699.0,699.0,15033.0,backfill_api
2025-03-05,711.0,711.0,691.0,704.0,9965.0,backfill_api
2025-03-06,694.1,704.0,694.1,696.1,10004.0,backfill_api
2025-03-09,696.0,696.0,683.0,685.0,10623.0,backfill_api
2025-03-10,686.2,689.0,680.1,685.0,5764.0,backfill_api
2025-03-11,680.5,690.0,675.0,675.0,9252.0,backfill_api
2025-03-12,675.0,680.0,670.4,670.4,9993.0,backfill_api
2025-03-16,665.0,672.0,664.3,665.0,10727.0,backfill_api
2025-03-17,663.0,676.3,662.2,675.4,13237.0,backfill_api
2025-03-18,662.0,688.1,662.0,672.2,3901.0,backfill_api
2025-03-19,668.0,675.0,663.0,663.1,5365.0,backfill_api
2025-03-20,661.2,670.0,661.2,664.72,10872.0,backfill_api
2025-03-23,659.0,668.0,650.0,651.18,13936.0,backfill_api
2025-03-24,651.0,660.0,642.0,659.0,7087.0,backfill_api
2025-03-25,665.0,665.0,642.0,644.42,6758.0,backfill_api
2025-03-26,650.0,662.9,640.2,657.27,8881.0,backfill_api
2025-03-27,661.0,670.0,651.7,666.0,8888.0,backfill_api
2025-03-30,669.0,678.0,669.0,670.28,10867.0,backfill_api
2025-04-01,680.0,680.0,656.6,657.15,4100.0,backfill_api
2025-04-02,656.0,666.0,654.0,659.39,7447.0,backfill_api
2025-04-03,660.0,670.0,658.1,663.26,10506.0,backfill_api
2025-04-07,676.0,676.0,658.0,659.52,7147.0,backfill_api
2025-04-08,651.0,669.0,651.0,665.82,4676.0,backfill_api
2025-04-09,669.0,669.0,653.0,664.22,6427.0,backfill_api
2025-04-10,660.0,664.0,655.0,656.84,6826.0,backfill_api
2025-04-13,651.0,664.0,651.0,656.47,2280.0,backfill_api
2025-04-15,654.0,669.5,654.0,658.79,7741.0,backfill_api
2025-04-16,660.1,665.0,655.3,657.3,5855.0,backfill_api
2025-04-17,662.7,670.4,654.0,663.98,12279.0,backfill_api
2025-04-20,662.0,669.0,660.1,664.59,5944.0,backfill_api
2025-04-21,677.8,677.8,655.0,662.0,2352.0,backfill_api
2025-04-22,665.0,665.0,656.2,658.1,5922.0,backfill_api
2025-04-23,659.9,660.0,648.1,653.9,6744.0,backfill_api
2025-04-24,652.0,660.0,641.0,650.16,4029.0,backfill_api
2025-04-27,651.3,651.3,640.2,642.11,15439.0,backfill_api
2025-04-28,645.0,650.0,635.6,636.67,12072.0,backfill_api
2025-04-29,649.4,649.4,630.0,632.09,6775.0,backfill_api
2025-04-30,640.0,640.0,625.2,634.01,11877.0,backfill_api
2025-05-04,634.0,634.0,620.0,620.88,8635.0,backfill_api
2025-05-05,619.0,625.0,612.5,622.65,15059.0,backfill_api
2025-05-06,630.0,632.0,611.0,614.42,7630.0,backfill_api
2025-05-07,614.0,645.0,608.2,635.29,14267.0,backfill_api
2025-05-08,627.0,643.0,627.0,640.79,5235.0,backfill_api
2025-05-11,640.0,645.7,620.0,624.06,7561.0,backfill_api
2025-05-13,617.1,629.0,608.8,616.73,10679.0,backfill_api
2025-05-14,616.73,624.0,613.1,618.46,3726.0,backfill_api
2025-05-15,609.0,621.0,609.0,618.28,6597.0,backfill_api
2025-05-18,620.0,642.0,620.0,625.66,15465.0,backfill_api
2025-05-19,622.0,632.0,610.0,620.72,16522.0,backfill_api
2025-05-20,633.1,633.1,617.4,627.23,4730.0,backfill_api
2025-05-21,639.7,652.4,620.0,621.28,8635.0,backfill_api
2025-05-22,621.28,645.0,621.0,636.51,21237.0,backfill_api
2025-05-25,631.0,675.0,630.0,673.76,43612.0,backfill_api
2025-05-26,687.2,697.9,667.1,673.43,43191.0,backfill_api
2025-05-27,665.0,670.0,656.1,664.34,7777.0,backfill_api
2025-05-28,660.0,663.0,650.1,660.11,11373.0,backfill_api
2025-06-02,673.3,684.9,658.0,659.48,7766.0,backfill_api
2025-06-03,650.0,660.0,649.0,650.21,6550.0,backfill_api
2025-06-04,652.0,659.9,642.0,647.19,7485.0,backfill_api
2025-06-05,642.1,658.0,638.5,640.89,7695.0,backfill_api
2025-06-08,650.0,650.0,635.0,637.47,3022.0,backfill_api
2025-06-09,632.2,647.3,632.2,643.89,4305.0,backfill_api
2025-06-10,637.3,651.0,637.3,648.56,3396.0,backfill_api
2025-06-11,650.0,657.5,640.0,643.39,5206.0,backfill_api
2025-06-12,635.0,665.0,635.0,638.96,6160.0,backfill_api
2025-06-15,640.0,640.0,635.0,637.71,9478.0,backfill_api
2025-06-16,636.0,650.0,630.0,645.63,11999.0,backfill_api
2025-06-17,645.0,665.1,645.0,656.69,15286.0,backfill_api
2025-06-18,655.0,655.0,642.0,644.23,7898.0,backfill_api
2025-06-19,644.0,645.6,633.0,638.95,2633.0,backfill_api
2025-06-22,635.1,640.0,627.0,628.18,10908.0,backfill_api
2025-06-23,640.7,640.7,628.1,630.64,3157.0,backfill_api
2025-06-24,643.0,646.0,628.0,630.52,7995.0,backfill_api
2025-06-25,630.0,636.0,628.3,630.51,1888.0,backfill_api
2025-06-26,630.0,635.0,626.1,627.39,3821.0,backfill_api
2025-06-29,636.0,647.6,630.0,645.71,10860.0,backfill_api
2025-06-30,633.0,654.2,633.0,649.48,10082.0,backfill_api
2025-07-01,654.0,662.4,647.0,661.13,14538.0,backfill_api
2025-07-02,655.0,680.0,655.0,668.15,18829.0,backfill_api
2025-07-03,681.5,681.5,650.1,662.0,16152.0,backfill_api
2025-07-06,663.0,670.0,660.0,660.67,10676.0,backfill_api
2025-07-07,660.0,670.0,651.0,660.81,16066.0,backfill_api
2025-07-08,657.1,668.0,650.0,661.93,12081.0,backfill_api
2025-07-09,665.0,675.0,663.0,673.21,18532.0,backfill_api
2025-07-10,675.1,695.0,675.1,684.09,24738.0,backfill_api
2025-07-13,697.7,711.0,691.0,692.7,32753.0,backfill_api
2025-07-14,679.6,698.0,672.0,677.78,14849.0,backfill_api
2025-07-15,685.0,694.3,678.0,688.75,10736.0,backfill_api
2025-07-16,699.9,705.0,694.0,700.35,15872.0,backfill_api
2025-07-17,713.0,722.0,700.0,717.03,32399.0,backfill_api
2025-07-20,707.0,729.9,701.2,705.0,54291.0,backfill_api
2025-07-21,700.0,730.0,692.0,726.66,58414.0,backfill_api
2025-07-22,730.0,795.0,730.0,774.0,91605.0,backfill_api
2025-07-23,774.1,782.7,747.1,764.9,49306.0,backfill_api
2025-07-24,765.0,765.0,740.1,752.71,46965.0,backfill_api
2025-07-27,764.0,794.0,750.0,763.05,114464.0,backfill_api
2025-07-28,763.1,775.0,748.0,770.4,45685.0,backfill_api
2025-07-29,785.0,807.0,771.0,795.72,79718.0,backfill_api
2025-07-30,800.0,800.0,754.0,756.56,56290.0,backfill_api
2025-07-31,771.6,771.6,740.0,747.72,37164.0,backfill_api
2025-08-03,747.0,747.0,722.3,723.27,28998.0,backfill_api
2025-08-04,737.5,737.5,710.0,727.43,22739.0,backfill_api
2025-08-05,720.0,754.8,720.0,730.46,38464.0,backfill_api
2025-08-06,728.1,752.0,728.1,746.03,32937.0,backfill_api
2025-08-07,732.1,760.0,732.1,742.03,20773.0,backfill_api
2025-08-11,740.0,740.0,707.0,708.67,48197.0,backfill_api
2025-08-12,700.0,714.0,690.1,694.41,25324.0,backfill_api
2025-08-13,699.0,708.0,692.1,696.74,6680.0,backfill_api
2025-08-14,706.9,725.0,703.0,703.67,26013.0,backfill_api
2025-08-17,715.0,715.0,685.1,688.76,7106.0,backfill_api
2025-08-18,701.7,701.7,682.0,685.03,9475.0,backfill_api
2025-08-19,698.0,698.0,685.0,685.28,8208.0,backfill_api
2025-08-20,676.0,698.0,676.0,690.04,10035.0,backfill_api
2025-08-21,703.8,712.0,676.3,684.3,7162.0,backfill_api
2025-08-24,697.0,710.0,680.1,690.91,26157.0,backfill_api
2025-08-25,704.7,718.0,683.0,697.29,20410.0,backfill_api
2025-08-26,705.1,705.1,683.5,689.99,15982.0,backfill_api
2025-08-27,700.0,700.0,687.3,695.49,10254.0,backfill_api
2025-08-28,695.0,704.0,676.0,678.52,9875.0,backfill_api
2025-08-31,671.0,678.0,656.6,658.74,18384.0,backfill_api
2025-09-01,664.0,671.9,651.0,658.69,7097.0,backfill_api
2025-09-02,655.2,667.0,652.0,655.0,7439.0,backfill_api
2025-09-03,647.6,660.0,647.6,654.61,6034.0,backfill_api
2025-09-04,650.2,656.0,648.0,655.69,8195.0,backfill_api
2025-09-07,644.0,665.0,644.0,652.83,2518.0,backfill_api
2025-09-08,647.0,653.0,637.0,638.92,10594.0,backfill_api
2025-09-18,626.2,626.2,613.7,613.7,80.0,backfill_api
2025-09-21,602.0,642.4,602.0,638.72,11015.0,backfill_api
2025-09-23,648.0,657.0,635.1,654.0,9515.0,backfill_api
2025-09-24,667.0,667.0,643.0,658.0,1838.0,backfill_api
2025-09-25,650.0,650.0,644.1,649.0,2795.0,backfill_api
2025-09-28,655.0,669.1,645.0,654.0,1391.0,backfill_api
2025-10-07,666.0,666.0,634.1,645.0,2646.0,backfill_api
2025-10-08,633.1,633.9,612.0,623.0,15952.0,backfill_api
2025-10-09,635.0,677.0,626.0,635.0,10084.0,backfill_api
2025-10-12,623.0,629.9,610.6,612.0,9965.0,backfill_api
2025-10-13,612.0,622.9,612.0,620.9,6145.0,backfill_api
2025-10-14,620.0,623.8,613.0,619.0,2575.0,backfill_api
2025-10-15,614.1,621.9,605.0,605.0,5817.0,backfill_api
2025-10-16,605.0,608.0,600.0,603.5,4983.0,backfill_api
2025-10-19,615.5,625.0,602.0,610.0,1318.0,backfill_api
2025-10-26,604.0,618.0,603.1,610.1,2439.0,backfill_api
2025-10-28,621.0,632.5,618.4,627.0,7568.0,backfill_api
2025-10-29,630.0,636.5,615.0,624.9,4089.0,backfill_api
2025-10-30,620.0,644.0,612.6,640.0,24018.0,backfill_api
2025-11-02,640.0,665.0,638.0,653.0,18742.0,backfill_api
2025-11-03,662.0,668.5,651.0,654.0,17519.0,backfill_api
2025-11-04,641.0,663.0,640.0,640.0,14015.0,backfill_api
2025-11-05,628.0,652.0,628.0,640.0,3802.0,backfill_api
2025-11-06,652.8,665.0,631.0,631.9,3589.0,backfill_api
2025-11-09,630.0,631.0,614.0,625.5,7540.0,backfill_api
2025-11-10,638.0,638.0,624.0,628.9,11649.0,backfill_api
2025-11-11,641.4,641.4,624.0,634.0,18935.0,backfill_api
2025-11-12,645.9,645.9,625.6,632.0,14899.0,backfill_api
2025-11-13,627.0,635.0,627.0,628.0,1891.0,backfill_api
2025-11-16,640.0,640.0,626.3,628.0,2807.0,backfill_api
2025-11-17,639.9,639.9,621.0,625.0,7595.0,backfill_api
2025-11-18,637.0,637.0,630.0,631.2,4476.0,backfill_api
2025-11-19,641.9,641.9,626.2,627.1,3526.0,backfill_api
2025-11-20,639.5,639.5,622.0,630.0,4772.0,backfill_api
2025-11-23,642.5,652.0,634.2,646.9,32114.0,backfill_api
2025-11-24,650.0,672.0,650.0,668.0,40720.0,backfill_api
2025-11-25,667.0,671.0,655.0,669.0,9669.0,backfill_api
2025-11-26,661.0,668.0,661.0,666.0,25536.0,backfill_api
2025-11-27,654.1,677.0,654.1,670.0,27865.0,backfill_api
2025-11-30,675.0,675.0,651.0,651.0,11327.0,backfill_api
2025-12-01,652.5,673.2,652.5,669.9,32453.0,backfill_api
2025-12-02,656.9,684.0,656.9,684.0,26458.0,backfill_api
2025-12-03,697.6,697.6,677.0,680.0,40093.0,backfill_api
2025-12-07,666.4,683.3,653.1,665.8,14872.0,backfill_api
