date,open,high,low,close,volume,source
2025-02-27,926.1,926.1,917.0,924.0,31979.0,backfill_api
2025-03-02,925.0,974.1,925.0,969.0,85156.0,backfill_api
2025-03-03,988.3,996.3,960.1,963.0,67669.0,backfill_api
2025-03-04,982.2,982.2,935.0,941.0,40508.0,backfill_api
2025-03-05,931.0,945.0,923.1,925.0,28910.0,backfill_api
2025-03-06,943.5,943.5,925.0,928.0,14694.0,backfill_api
2025-03-09,928.0,933.0,905.0,910.0,28346.0,backfill_api
2025-03-10,910.0,925.0,902.1,908.0,15290.0,backfill_api
2025-03-11,918.0,922.0,901.0,903.9,14368.0,backfill_api
2025-03-12,904.0,916.0,904.0,915.0,24898.0,backfill_api
2025-03-16,929.9,929.9,905.0,909.0,19225.0,backfill_api
2025-03-17,909.0,919.9,900.1,905.0,28455.0,backfill_api
2025-03-18,923.1,923.1,903.0,907.0,16538.0,backfill_api
2025-03-19,923.0,923.0,900.0,905.0,12317.0,backfill_api
2025-03-20,921.0,921.0,900.0,901.37,17075.0,backfill_api
2025-03-23,902.0,902.9,890.0,891.24,21537.0,backfill_api
2025-03-24,890.9,905.0,887.0,902.53,11099.0,backfill_api
2025-03-25,920.5,920.5,885.1,889.97,23561.0,backfill_api
2025-03-26,905.0,905.0,888.1,893.51,13062.0,backfill_api
2025-03-27,906.8,907.0,890.1,900.47,9185.0,backfill_api
2025-03-30,901.0,915.0,900.0,904.29,23704.0,backfill_api
2025-04-01,903.0,909.8,900.0,901.7,8809.0,backfill_api
2025-04-02,901.7,909.6,900.1,902.39,11705.0,backfill_api
2025-04-03,909.9,909.9,900.2,901.57,14483.0,backfill_api
2025-04-07,900.0,909.5,892.0,900.35,12613.0,backfill_api
2025-04-08,895.0,901.0,891.1,896.64,23207.0,backfill_api
2025-04-09,914.0,914.0,900.0,900.34,12518.0,backfill_api
2025-04-10,908.7,908.9,895.0,896.73,19670.0,backfill_api
2025-04-13,892.2,900.0,892.2,899.84,8059.0,backfill_api
2025-04-15,915.0,915.0,897.2,903.95,11190.0,backfill_api
2025-04-16,903.0,904.9,881.1,892.68,77630.0,backfill_api
2025-04-17,910.5,910.5,887.1,902.74,10391.0,backfill_api
2025-04-20,915.0,915.0,890.0,898.67,33331.0,backfill_api
2025-04-21,890.1,904.7,890.1,896.99,8776.0,backfill_api
2025-04-22,914.0,914.0,891.0,893.38,11526.0,backfill_api
2025-04-23,906.4,906.4,890.0,890.39,14084.0,backfill_api
2025-04-24,891.0,895.3,890.0,891.37,13876.0,backfill_api
2025-04-27,894.8,900.0,892.0,894.57,9998.0,backfill_api
2025-04-28,896.0,896.0,888.0,890.01,21672.0,backfill_api
2025-04-29,903.0,903.0,880.0,890.05,67116.0,backfill_api
2025-04-30,900.0,900.0,874.9,876.13,32042.0,backfill_api
2025-05-04,893.5,893.5,875.0,875.81,21824.0,backfill_api
2025-05-05,876.0,883.9,872.0,873.71,23179.0,backfill_api
2025-05-06,885.0,885.0,860.0,862.04,40324.0,backfill_api
2025-05-07,862.6,884.0,858.0,883.69,22649.0,backfill_api
2025-05-08,894.0,894.0,873.0,876.14,11604.0,backfill_api
2025-05-11,885.0,888.9,870.0,871.84,20086.0,backfill_api
2025-05-13,875.0,885.0,865.0,868.18,22571.0,backfill_api
2025-05-14,860.1,880.0,860.1,864.23,22012.0,backfill_api
2025-05-15,879.0,879.0,866.0,868.19,12215.0,backfill_api
2025-05-18,871.0,879.0,867.8,869.09,22279.0,backfill_api
2025-05-19,865.0,870.0,837.9,864.85,30016.0,backfill_api
