date,open,high,low,close,volume,source
2025-02-27,619.0,644.0,610.0,610.0,71206.0,backfill_api
2025-03-02,610.0,671.0,610.0,670.6,275459.0,backfill_api
2025-03-03,674.0,674.0,634.0,637.0,96081.0,backfill_api
2025-03-04,649.7,649.7,606.4,611.1,134650.0,backfill_api
2025-03-05,622.0,634.0,576.3,587.0,188596.0,backfill_api
2025-03-06,598.0,621.0,596.0,610.0,86397.0,backfill_api
2025-03-09,622.1,622.1,587.0,600.0,43537.0,backfill_api
2025-03-10,600.0,610.0,589.5,590.0,39970.0,backfill_api
2025-03-11,600.0,600.0,566.5,569.9,52788.0,backfill_api
2025-03-12,578.0,586.5,560.0,580.0,48610.0,backfill_api
2025-03-16,570.9,597.0,570.0,587.0,53270.0,backfill_api
2025-03-17,598.7,598.7,576.1,590.0,33021.0,backfill_api
2025-03-18,578.2,601.0,578.2,588.0,40684.0,backfill_api
2025-03-19,599.7,599.7,576.0,584.2,26868.0,backfill_api
2025-03-20,590.8,591.0,567.0,571.7,37629.0,backfill_api
2025-03-23,578.0,594.0,555.0,560.48,32665.0,backfill_api
2025-03-24,555.0,580.0,552.1,573.5,32665.0,backfill_api
2025-03-25,575.0,575.0,553.0,562.92,26404.0,backfill_api
2025-03-26,574.0,574.0,552.0,571.1,26691.0,backfill_api
2025-03-27,559.8,582.0,559.8,576.8,38777.0,backfill_api
2025-03-30,579.0,603.9,575.3,596.4,59300.0,backfill_api
2025-04-01,600.0,609.0,591.6,605.98,66647.0,backfill_api
2025-04-02,594.0,656.0,594.0,644.89,136669.0,backfill_api
2025-04-03,640.0,663.9,624.0,631.89,63585.0,backfill_api
2025-04-07,644.5,644.5,605.0,607.5,43048.0,backfill_api
2025-04-08,600.0,631.0,580.1,609.32,70556.0,backfill_api
2025-04-09,597.2,626.9,597.2,613.03,41199.0,backfill_api
2025-04-10,600.8,630.0,596.2,598.58,34814.0,backfill_api
2025-04-13,598.0,598.0,550.0,570.72,87116.0,backfill_api
2025-04-15,559.4,603.7,559.4,598.64,84119.0,backfill_api
2025-04-16,586.7,601.0,580.0,588.97,37569.0,backfill_api
2025-04-17,591.0,591.0,568.4,580.27,60821.0,backfill_api
2025-04-20,580.0,603.0,557.0,561.83,55415.0,backfill_api
2025-04-21,562.3,569.0,555.0,558.27,31311.0,backfill_api
2025-04-22,547.2,571.0,547.2,558.46,31132.0,backfill_api
2025-04-23,569.5,569.5,547.5,549.29,28878.0,backfill_api
2025-04-24,551.0,560.0,541.3,546.21,39158.0,backfill_api
2025-04-27,542.5,560.0,542.5,552.62,37202.0,backfill_api
2025-04-28,542.0,579.9,542.0,562.51,49323.0,backfill_api
2025-04-29,560.0,565.0,543.0,547.33,20246.0,backfill_api
2025-04-30,536.4,555.9,536.0,538.53,28458.0,backfill_api
2025-05-04,527.8,554.9,521.6,527.88,28587.0,backfill_api
2025-05-05,521.0,532.0,510.0,516.38,31397.0,backfill_api
2025-05-06,517.0,525.0,504.7,507.67,24996.0,backfill_api
2025-05-07,498.0,498.0,456.9,484.85,130918.0,backfill_api
2025-05-08,485.0,494.9,474.0,480.22,69521.0,backfill_api
2025-05-11,471.0,506.0,466.0,470.3,53035.0,backfill_api
2025-05-13,460.9,488.0,460.9,479.99,56756.0,backfill_api
2025-05-14,475.0,483.0,468.0,469.06,15854.0,backfill_api
2025-05-15,478.4,478.4,450.0,452.47,40014.0,backfill_api
2025-05-18,444.0,450.0,426.0,438.22,35118.0,backfill_api
2025-05-19,437.5,446.8,416.0,429.13,25689.0,backfill_api
2025-05-20,420.6,437.0,412.2,427.13,27680.0,backfill_api
2025-05-21,435.0,469.8,421.0,426.94,29804.0,backfill_api
2025-05-22,427.0,432.0,411.6,422.61,31885.0,backfill_api
2025-05-25,415.1,428.3,415.0,423.13,24237.0,backfill_api
2025-05-26,431.0,440.0,419.0,419.6,18760.0,backfill_api
2025-05-27,426.0,426.0,415.3,419.59,15910.0,backfill_api
2025-05-28,414.1,423.0,414.1,417.51,37039.0,backfill_api
2025-06-02,425.8,458.0,411.0,447.87,49234.0,backfill_api
2025-06-03,447.0,456.5,438.1,441.89,38642.0,backfill_api
2025-06-04,434.4,449.0,430.1,436.01,13487.0,backfill_api
2025-06-05,436.0,439.0,421.0,427.69,30178.0,backfill_api
2025-06-08,428.0,436.2,420.0,430.96,10976.0,backfill_api
2025-06-09,439.0,455.0,422.1,446.7,34033.0,backfill_api
2025-06-10,446.9,455.8,441.0,444.25,16458.0,backfill_api
2025-06-11,438.2,445.0,430.3,432.48,22188.0,backfill_api
2025-06-12,423.9,440.0,423.9,430.13,25513.0,backfill_api
2025-06-15,438.0,453.0,429.0,429.85,19900.0,backfill_api
2025-06-16,438.0,448.8,436.1,437.95,48369.0,backfill_api
2025-06-17,437.0,442.0,433.9,439.2,5919.0,backfill_api
2025-06-18,447.0,447.5,431.0,435.75,23112.0,backfill_api
2025-06-19,444.4,444.4,413.1,421.1,68486.0,backfill_api
2025-06-22,418.0,422.0,410.0,413.08,35954.0,backfill_api
2025-06-23,414.0,420.0,398.0,406.79,18061.0,backfill_api
2025-06-24,410.0,419.0,407.1,412.48,11923.0,backfill_api
2025-06-25,420.7,424.0,412.0,420.2,28059.0,backfill_api
2025-06-26,420.0,447.1,420.0,444.56,99793.0,backfill_api
2025-06-29,445.0,445.1,433.2,436.15,34190.0,backfill_api
2025-06-30,444.8,444.8,427.0,428.11,21861.0,backfill_api
2025-07-01,436.6,470.9,424.0,470.36,118789.0,backfill_api
2025-07-02,479.7,510.0,479.7,492.95,124748.0,backfill_api
2025-07-03,493.0,502.0,478.0,481.01,73046.0,backfill_api
2025-07-06,471.4,491.0,470.0,471.27,70375.0,backfill_api
2025-07-07,471.0,493.0,464.6,465.87,39611.0,backfill_api
2025-07-08,459.1,476.0,459.1,469.16,28341.0,backfill_api
2025-07-09,469.0,492.5,468.0,486.72,80338.0,backfill_api
2025-07-10,496.4,496.4,480.0,481.35,56006.0,backfill_api
2025-07-13,490.9,499.0,457.2,458.7,60368.0,backfill_api
2025-07-14,459.0,466.0,450.3,456.93,28849.0,backfill_api
2025-07-15,447.8,464.0,447.8,453.92,46759.0,backfill_api
2025-07-16,462.0,462.9,450.1,455.06,49131.0,backfill_api
2025-07-17,460.0,474.8,458.0,471.84,59168.0,backfill_api
2025-07-20,472.0,487.0,467.0,473.1,67956.0,backfill_api
2025-07-21,468.0,475.0,458.7,468.6,75578.0,backfill_api
2025-07-22,468.0,487.5,463.6,479.19,62281.0,backfill_api
2025-07-23,479.0,480.0,468.0,468.6,28262.0,backfill_api
2025-07-24,470.0,484.0,465.2,473.87,50836.0,backfill_api
2025-07-27,483.3,483.3,455.0,458.71,56935.0,backfill_api
2025-07-28,457.1,462.0,449.0,460.14,44696.0,backfill_api
2025-07-29,461.0,480.0,459.0,465.88,52675.0,backfill_api
2025-07-30,462.1,470.0,454.0,454.87,26482.0,backfill_api
2025-07-31,454.0,463.0,450.8,453.26,22012.0,backfill_api
2025-08-03,448.0,457.0,445.0,446.11,18896.0,backfill_api
2025-08-04,440.0,463.9,437.0,444.45,16202.0,backfill_api
2025-08-05,438.0,453.0,437.1,439.65,17630.0,backfill_api
2025-08-06,435.0,445.0,428.6,430.4,19821.0,backfill_api
2025-08-07,429.6,438.0,428.0,430.79,21804.0,backfill_api
2025-08-11,432.1,443.0,427.1,428.27,23375.0,backfill_api
2025-08-12,425.0,431.4,423.2,424.93,13339.0,backfill_api
2025-08-13,432.0,435.0,417.0,422.38,11055.0,backfill_api
2025-08-14,419.0,426.0,410.7,417.53,28403.0,backfill_api
2025-08-17,417.0,425.5,412.0,418.51,15251.0,backfill_api
2025-08-18,426.4,434.5,418.0,430.26,27015.0,backfill_api
2025-08-19,431.0,435.0,426.0,426.39,10576.0,backfill_api
2025-08-20,422.1,447.7,422.1,437.87,41186.0,backfill_api
2025-08-21,432.0,443.0,430.0,432.09,13692.0,backfill_api
2025-08-24,430.0,438.0,425.0,426.82,8120.0,backfill_api
2025-08-25,429.0,430.0,422.0,428.72,10380.0,backfill_api
2025-08-26,436.0,436.0,420.0,422.38,8255.0,backfill_api
2025-08-27,419.0,430.0,418.9,429.1,16839.0,backfill_api
2025-08-28,420.6,435.0,420.2,421.53,13388.0,backfill_api
2025-08-31,414.1,425.0,414.1,418.93,5921.0,backfill_api
2025-09-01,411.0,440.0,411.0,416.37,6405.0,backfill_api
2025-09-02,416.0,421.0,410.0,413.06,14210.0,backfill_api
2025-09-03,405.3,419.9,405.0,405.39,10845.0,backfill_api
2025-09-04,398.1,422.0,398.1,408.41,10773.0,backfill_api
2025-09-07,400.6,433.2,400.6,409.96,10002.0,backfill_api
2025-09-08,402.0,406.0,398.0,399.62,14511.0,backfill_api
2025-09-18,391.7,392.0,384.2,385.0,3220.0,backfill_api
2025-09-21,377.3,405.0,375.0,404.0,19232.0,backfill_api
2025-09-23,404.0,427.0,402.0,419.0,14879.0,backfill_api
2025-09-24,410.7,425.3,410.7,418.0,5058.0,backfill_api
2025-09-25,410.0,418.0,410.0,416.4,2730.0,backfill_api
2025-09-28,416.0,416.9,410.0,416.9,3506.0,backfill_api
2025-10-07,420.0,420.0,392.0,395.0,8408.0,backfill_api
