date,open,high,low,close,volume,source
2025-05-04 00:00:00,270.0,297.0,270.0,297.0,160.0,backfill_api
2025-05-05 00:00:00,293.3,326.7,293.3,326.7,80.0,backfill_api
2025-05-06 00:00:00,326.6,359.3,326.6,359.3,120.0,backfill_api
2025-05-07 00:00:00,359.0,395.2,359.0,395.2,150.0,backfill_api
2025-05-08 00:00:00,399.7,434.7,399.7,434.7,190.0,backfill_api
2025-05-11 00:00:00,443.3,478.1,443.3,478.1,220.0,backfill_api
2025-05-13 00:00:00,477.5,525.9,477.5,525.9,300.0,backfill_api
2025-05-14 00:00:00,525.8,578.4,525.8,578.4,390.0,backfill_api
2025-05-15 00:00:00,578.3,636.2,578.3,636.2,460.0,backfill_api
2025-05-18 00:00:00,647.9,699.8,647.9,699.8,460.0,backfill_api
2025-05-19 00:00:00,713.7,769.7,713.7,769.7,350.0,backfill_api
2025-05-20 00:00:00,769.6,846.6,769.6,846.6,420.0,backfill_api
2025-05-21 00:00:00,831.5,931.2,831.5,931.2,590.0,backfill_api
2025-05-22 00:00:00,931.1,1024.3,931.1,1024.3,1250.0,backfill_api
2025-05-25 00:00:00,1044.7,1126.7,1044.7,1126.7,1140.0,backfill_api
2025-05-26 00:00:00,1149.2,1239.3,1149.2,1239.3,950.0,backfill_api
2025-05-27 00:00:00,1264.0,1363.2,1264.0,1363.2,1180.0,backfill_api
2025-05-28 00:00:00,1390.4,1499.5,1390.4,1499.5,4169.0,backfill_api
2025-06-02 00:00:00,1529.4,1649.4,1529.4,1649.4,4370.0,backfill_api
2025-06-03 00:00:00,1649.4,1814.3,1649.4,1813.43,160034.0,backfill_api
2025-06-04 00:00:00,1849.0,1994.7,1750.0,1994.7,55110.0,backfill_api
2025-06-05 00:00:00,2034.5,2167.2,1796.0,1809.24,91850.0,backfill_api
2025-06-08 00:00:00,1775.1,1790.0,1628.4,1628.4,67440.0,backfill_api
2025-06-09 00:00:00,1595.9,1675.0,1533.0,1658.57,57950.0,backfill_api
2025-06-10 00:00:00,1630.0,1650.0,1580.0,1590.58,45590.0,backfill_api
2025-06-11 00:00:00,1580.0,1600.0,1530.2,1537.76,45848.0,backfill_api
2025-06-12 00:00:00,1512.0,1532.0,1493.0,1497.54,38860.0,backfill_api
2025-06-15 00:00:00,1527.4,1545.0,1460.0,1503.04,35948.0,backfill_api
2025-06-16 00:00:00,1487.0,1527.0,1470.0,1472.69,25232.0,backfill_api
2025-06-17 00:00:00,1462.1,1501.0,1436.0,1438.7,23609.0,backfill_api
2025-06-18 00:00:00,1423.0,1451.4,1399.5,1405.88,26955.0,backfill_api
2025-06-19 00:00:00,1400.0,1402.0,1325.0,1337.12,40713.0,backfill_api
2025-06-22 00:00:00,1318.0,1328.0,1266.0,1273.69,31556.0,backfill_api
2025-06-23 00:00:00,1270.0,1299.0,1249.0,1278.97,18172.0,backfill_api
2025-06-24 00:00:00,1280.2,1404.0,1280.2,1381.47,28909.0,backfill_api
2025-06-25 00:00:00,1409.0,1480.0,1383.0,1442.07,31551.0,backfill_api
2025-06-26 00:00:00,1440.0,1445.0,1341.0,1354.71,21242.0,backfill_api
2025-06-29 00:00:00,1354.0,1354.0,1314.0,1330.3,16246.0,backfill_api
2025-06-30 00:00:00,1349.0,1404.9,1325.0,1359.26,17727.0,backfill_api
2025-07-01 00:00:00,1365.0,1390.0,1355.2,1372.7,12998.0,backfill_api
2025-07-02 00:00:00,1372.0,1387.8,1346.1,1350.92,17532.0,backfill_api
2025-07-03 00:00:00,1375.0,1390.0,1351.0,1363.98,20498.0,backfill_api
2025-07-06 00:00:00,1364.0,1373.0,1351.0,1356.24,13616.0,backfill_api
2025-07-07 00:00:00,1340.0,1393.9,1340.0,1350.97,15380.0,backfill_api
2025-07-08 00:00:00,1350.0,1367.0,1340.2,1356.24,9492.0,backfill_api
2025-07-09 00:00:00,1357.2,1367.0,1350.4,1355.33,14632.0,backfill_api
2025-07-10 00:00:00,1360.0,1389.9,1356.0,1379.73,23836.0,backfill_api
2025-07-13 00:00:00,1400.0,1434.0,1380.0,1388.3,21545.0,backfill_api
2025-07-14 00:00:00,1409.0,1409.9,1370.3,1375.69,10017.0,backfill_api
2025-07-15 00:00:00,1365.2,1458.0,1365.2,1450.45,31191.0,backfill_api
2025-07-16 00:00:00,1450.0,1539.0,1430.0,1517.76,48599.0,backfill_api
2025-07-17 00:00:00,1520.0,1551.0,1518.0,1520.14,21520.0,backfill_api
2025-07-20 00:00:00,1525.1,1548.8,1490.0,1492.46,28372.0,backfill_api
2025-07-21 00:00:00,1500.0,1509.0,1458.1,1465.32,25426.0,backfill_api
2025-07-22 00:00:00,1494.0,1522.8,1468.0,1509.26,26600.0,backfill_api
2025-07-23 00:00:00,1524.0,1525.0,1481.0,1522.08,51956.0,backfill_api
2025-07-24 00:00:00,1520.0,1586.0,1510.0,1561.37,35424.0,backfill_api
2025-07-27 00:00:00,1531.0,1590.0,1520.0,1521.39,27178.0,backfill_api
2025-07-28 00:00:00,1547.0,1549.9,1500.0,1505.14,25051.0,backfill_api
2025-07-29 00:00:00,1520.0,1560.0,1509.2,1518.25,16886.0,backfill_api
2025-07-30 00:00:00,1488.1,1539.1,1470.0,1474.09,17265.0,backfill_api
2025-07-31 00:00:00,1470.0,1477.9,1445.1,1451.59,20598.0,backfill_api
2025-08-03 00:00:00,1439.9,1510.0,1416.0,1420.93,14992.0,backfill_api
2025-08-04 00:00:00,1400.0,1430.0,1390.1,1405.37,18346.0,backfill_api
2025-08-05 00:00:00,1377.3,1428.0,1370.0,1373.19,11218.0,backfill_api
2025-08-06 00:00:00,1380.0,1405.0,1353.0,1386.56,8596.0,backfill_api
2025-08-07 00:00:00,1386.1,1420.0,1386.1,1414.48,8446.0,backfill_api
2025-08-11 00:00:00,1401.1,1442.0,1390.0,1396.51,8162.0,backfill_api
2025-08-12 00:00:00,1424.0,1424.0,1371.0,1375.61,6248.0,backfill_api
2025-08-13 00:00:00,1375.1,1394.0,1370.0,1371.64,6410.0,backfill_api
2025-08-14 00:00:00,1365.0,1389.0,1354.1,1358.84,7444.0,backfill_api
2025-08-17 00:00:00,1353.0,1370.0,1340.0,1342.38,10210.0,backfill_api
2025-08-18 00:00:00,1325.0,1363.9,1325.0,1351.36,7027.0,backfill_api
2025-08-19 00:00:00,1335.0,1382.0,1335.0,1361.37,7418.0,backfill_api
2025-08-20 00:00:00,1349.0,1369.0,1348.3,1349.98,4637.0,backfill_api
2025-08-21 00:00:00,1340.0,1358.0,1340.0,1342.66,7188.0,backfill_api
2025-08-24 00:00:00,1315.9,1359.0,1315.9,1338.54,5580.0,backfill_api
2025-08-25 00:00:00,1350.0,1360.0,1323.2,1336.66,4643.0,backfill_api
2025-08-26 00:00:00,1310.0,1357.0,1310.0,1342.0,34447.0,backfill_api
2025-08-27 00:00:00,1326.5,1385.0,1326.5,1370.79,7856.0,backfill_api
2025-08-28 00:00:00,1350.1,1397.0,1323.0,1330.31,13313.0,backfill_api
2025-08-31 00:00:00,1320.1,1340.0,1300.0,1300.55,13304.0,backfill_api
2025-09-01 00:00:00,1300.0,1319.0,1296.0,1309.34,8958.0,backfill_api
2025-09-02 00:00:00,1291.0,1315.0,1285.0,1285.98,8354.0,backfill_api
2025-09-03 00:00:00,1280.1,1295.0,1245.1,1249.74,9971.0,backfill_api
2025-09-04 00:00:00,1240.0,1240.0,1212.0,1233.22,12159.0,backfill_api
2025-09-07 00:00:00,1235.0,1249.0,1209.0,1210.34,6919.0,backfill_api
2025-09-08 00:00:00,1210.4,1230.0,1187.0,1190.38,9148.0,backfill_api
2025-09-18 00:00:00,1166.6,1166.6,1121.2,1121.2,90.0,backfill_api
2025-09-21 00:00:00,1099.0,1180.0,1079.0,1167.24,16052.0,backfill_api
2025-09-23 00:00:00,1152.0,1225.0,1152.0,1214.5,9280.0,backfill_api
2025-09-24 00:00:00,1214.0,1243.0,1196.0,1229.9,8975.0,backfill_api
2025-09-25 00:00:00,1205.4,1238.0,1205.4,1212.7,9885.0,backfill_api
2025-09-28 00:00:00,1212.7,1214.0,1190.1,1213.8,5814.0,backfill_api
2025-10-07 00:00:00,1192.0,1200.0,1145.0,1154.9,12327.0,backfill_api
2025-10-08 00:00:00,1154.0,1174.0,1114.0,1139.0,7720.0,backfill_api
2025-10-09 00:00:00,1161.7,1230.0,1135.0,1149.9,10768.0,backfill_api
2025-10-12 00:00:00,1127.3,1149.0,1098.0,1101.0,7517.0,backfill_api
2025-10-13 00:00:00,1100.0,1194.9,1095.0,1179.0,20366.0,backfill_api
2025-10-14 00:00:00,1197.8,1215.0,1158.7,1199.0,16186.0,backfill_api
2025-10-15 00:00:00,1180.0,1236.4,1166.3,1187.0,6322.0,backfill_api
2025-10-16 00:00:00,1173.0,1173.0,1143.0,1152.0,11945.0,backfill_api
2025-10-19 00:00:00,1150.0,1215.0,1146.0,1199.0,11494.0,backfill_api
2025-10-26 00:00:00,1176.0,1204.5,1172.0,1180.1,7644.0,backfill_api
2025-10-28 00:00:00,1181.0,1219.9,1180.0,1217.8,10296.0,backfill_api
2025-10-29 00:00:00,1234.0,1275.9,1220.0,1229.0,24276.0,backfill_api
2025-10-30 00:00:00,1230.0,1264.7,1210.0,1245.0,9577.0,backfill_api
2025-11-02 00:00:00,1240.0,1280.0,1240.0,1263.0,14222.0,backfill_api
2025-11-03 00:00:00,1280.0,1288.0,1245.0,1246.0,8900.0,backfill_api
2025-11-04 00:00:00,1240.0,1251.0,1215.0,1216.1,6224.0,backfill_api
2025-11-05 00:00:00,1215.1,1215.1,1190.7,1214.0,7252.0,backfill_api
2025-11-06 00:00:00,1210.0,1222.0,1181.0,1190.1,8558.0,backfill_api
2025-11-09 00:00:00,1199.0,1199.0,1160.0,1165.0,7034.0,backfill_api
2025-11-10 00:00:00,1152.1,1180.9,1148.0,1159.0,8130.0,backfill_api
2025-11-11 00:00:00,1182.0,1182.0,1146.0,1157.0,4285.0,backfill_api
2025-11-12 00:00:00,1170.0,1170.0,1126.1,1133.0,5787.0,backfill_api
2025-11-13 00:00:00,1124.19,1149.9,1124.19,1146.0,4995.0,backfill_api
2025-11-16 00:00:00,1168.9,1168.9,1128.1,1130.0,3886.0,backfill_api
