date,open,high,low,close,volume,source
2025-02-27,315.1,326.9,315.1,326.9,51392.0,backfill_api
2025-03-02,329.0,335.0,325.0,333.0,48952.0,backfill_api
2025-03-03,338.0,338.0,323.6,327.0,36633.0,backfill_api
2025-03-04,332.0,332.0,321.5,327.0,51043.0,backfill_api
2025-03-05,331.0,333.0,325.2,327.0,46689.0,backfill_api
2025-03-06,330.0,333.5,323.4,325.0,18724.0,backfill_api
2025-03-09,330.0,330.0,312.8,313.0,21160.0,backfill_api
2025-03-10,311.0,338.2,311.0,313.0,14417.0,backfill_api
2025-03-11,311.0,318.0,303.8,306.2,13430.0,backfill_api
2025-03-12,301.0,323.0,301.0,308.0,14887.0,backfill_api
2025-03-16,310.0,310.0,300.0,300.6,20363.0,backfill_api
2025-03-17,306.5,306.5,297.0,300.0,10937.0,backfill_api
2025-03-18,297.3,305.0,297.2,302.0,5841.0,backfill_api
2025-03-19,307.0,307.0,297.1,297.1,13150.0,backfill_api
2025-03-20,297.4,300.0,292.0,292.82,17008.0,backfill_api
2025-03-23,295.0,295.0,277.1,279.73,19668.0,backfill_api
2025-03-24,279.0,292.0,279.0,286.47,8210.0,backfill_api
2025-03-25,281.1,281.2,272.0,277.04,16614.0,backfill_api
2025-03-26,278.0,291.0,278.0,286.71,9460.0,backfill_api
2025-03-27,290.0,290.9,285.0,289.11,12970.0,backfill_api
2025-03-30,284.1,304.0,284.1,298.93,22996.0,backfill_api
2025-04-01,295.0,299.8,290.3,292.21,12318.0,backfill_api
2025-04-02,287.5,299.7,287.5,296.09,9637.0,backfill_api
2025-04-03,301.0,302.0,291.0,295.0,40279.0,backfill_api
2025-04-07,299.0,299.0,285.2,288.79,7014.0,backfill_api
2025-04-08,285.1,290.0,284.0,288.02,9140.0,backfill_api
2025-04-09,290.0,295.0,286.0,287.61,10181.0,backfill_api
2025-04-10,286.0,296.6,285.1,291.53,7005.0,backfill_api
2025-04-13,290.1,295.0,288.0,289.89,5906.0,backfill_api
2025-04-15,285.0,305.7,285.0,303.6,17987.0,backfill_api
2025-04-16,307.0,310.0,298.0,307.55,21946.0,backfill_api
2025-04-17,302.1,314.8,302.1,309.98,30887.0,backfill_api
2025-04-20,304.0,309.0,299.0,302.19,11106.0,backfill_api
2025-04-21,296.2,323.0,296.2,321.17,94929.0,backfill_api
2025-04-22,314.8,329.0,314.8,321.1,53147.0,backfill_api
2025-04-23,315.0,316.0,307.4,309.17,16117.0,backfill_api
2025-04-24,305.0,318.0,305.0,315.38,28783.0,backfill_api
2025-04-27,320.2,327.0,315.0,322.05,55660.0,backfill_api
2025-04-28,318.5,328.0,317.5,319.63,39561.0,backfill_api
2025-04-29,314.0,320.2,313.6,313.93,27534.0,backfill_api
2025-04-30,310.1,320.9,310.0,316.44,34409.0,backfill_api
2025-05-04,316.0,321.5,312.0,313.24,75462.0,backfill_api
2025-05-05,312.1,312.1,305.1,306.27,10415.0,backfill_api
2025-05-06,308.9,312.0,306.4,309.79,19691.0,backfill_api
2025-05-07,309.0,328.0,305.3,316.57,40660.0,backfill_api
2025-05-08,312.3,327.0,312.1,317.87,59179.0,backfill_api
2025-05-11,315.0,317.0,309.0,310.42,18592.0,backfill_api
2025-05-13,306.6,319.2,306.0,307.1,12302.0,backfill_api
2025-05-14,302.0,310.9,300.0,300.41,18184.0,backfill_api
2025-05-15,300.0,300.0,292.1,295.31,22626.0,backfill_api
2025-05-18,294.2,296.0,284.7,287.7,21172.0,backfill_api
2025-05-19,293.4,295.0,286.1,287.98,10625.0,backfill_api
2025-05-20,284.0,306.0,284.0,293.09,14300.0,backfill_api
2025-05-21,298.9,304.8,291.1,292.21,9437.0,backfill_api
2025-05-22,297.0,297.0,287.0,287.61,11138.0,backfill_api
2025-05-25,293.2,293.2,285.1,287.15,7475.0,backfill_api
2025-05-26,292.8,295.0,288.0,290.24,9726.0,backfill_api
2025-05-27,285.0,291.8,285.0,286.48,5521.0,backfill_api
2025-05-28,285.1,300.0,285.0,290.92,20086.0,backfill_api
2025-06-02,296.7,298.9,288.1,290.08,7963.0,backfill_api
2025-06-03,286.9,293.0,286.0,287.57,18882.0,backfill_api
2025-06-04,290.0,291.2,283.5,284.3,7441.0,backfill_api
2025-06-05,285.0,289.0,285.0,288.31,5475.0,backfill_api
2025-06-08,293.0,302.9,287.2,293.01,17801.0,backfill_api
2025-06-09,298.5,299.0,293.0,296.53,16887.0,backfill_api
2025-06-10,302.0,302.0,296.7,298.74,13184.0,backfill_api
2025-06-11,294.0,298.5,293.3,294.69,10678.0,backfill_api
2025-06-12,300.0,317.9,297.1,309.08,108053.0,backfill_api
2025-06-15,310.0,318.0,310.0,315.65,58113.0,backfill_api
2025-06-16,321.9,327.0,313.1,314.52,111551.0,backfill_api
2025-06-17,320.8,320.8,303.3,311.79,35247.0,backfill_api
2025-06-18,318.0,342.0,312.2,336.88,190335.0,backfill_api
2025-06-19,340.0,370.5,340.0,370.5,381774.0,backfill_api
2025-06-22,375.0,387.0,355.0,361.13,291238.0,backfill_api
2025-06-23,354.0,396.9,354.0,395.14,276648.0,backfill_api
2025-06-24,403.0,417.0,398.2,411.95,198333.0,backfill_api
2025-06-25,415.0,450.0,408.0,443.96,270762.0,backfill_api
2025-06-26,435.1,459.0,415.1,434.08,271549.0,backfill_api
2025-06-29,435.0,435.0,411.6,420.19,261224.0,backfill_api
2025-06-30,420.2,424.0,396.1,399.5,170773.0,backfill_api
2025-07-01,391.6,433.0,391.6,430.16,233318.0,backfill_api
2025-07-02,421.6,452.8,421.6,432.66,223787.0,backfill_api
2025-07-03,436.0,439.0,412.1,416.34,123312.0,backfill_api
2025-07-06,420.0,420.0,399.0,400.57,116963.0,backfill_api
2025-07-07,392.6,407.0,386.1,388.38,83554.0,backfill_api
2025-07-08,380.7,399.0,380.7,389.52,71795.0,backfill_api
2025-07-09,385.1,409.0,385.1,406.19,96747.0,backfill_api
2025-07-10,398.1,406.0,384.2,388.53,56354.0,backfill_api
2025-07-13,396.0,396.0,364.2,367.72,135045.0,backfill_api
2025-07-14,375.0,400.0,360.4,382.56,106271.0,backfill_api
2025-07-15,385.7,396.0,380.0,387.23,42416.0,backfill_api
2025-07-16,379.5,410.0,379.5,406.66,154287.0,backfill_api
2025-07-17,410.0,434.5,406.2,429.63,184187.0,backfill_api
2025-07-20,430.0,430.0,407.0,410.27,132411.0,backfill_api
2025-07-21,407.7,418.0,393.0,409.14,137367.0,backfill_api
2025-07-22,403.1,417.2,395.1,400.83,105472.0,backfill_api
2025-07-23,398.0,408.0,390.0,392.7,83699.0,backfill_api
2025-07-24,400.5,405.0,395.0,397.91,73613.0,backfill_api
2025-07-27,405.0,411.8,393.0,394.31,116961.0,backfill_api
2025-07-28,399.0,404.0,383.0,398.6,85163.0,backfill_api
2025-07-29,400.0,414.0,395.0,411.78,138228.0,backfill_api
2025-07-30,415.0,440.0,413.0,423.62,243377.0,backfill_api
2025-07-31,432.0,432.0,403.4,405.79,98442.0,backfill_api
2025-08-03,400.0,406.0,393.0,394.78,76357.0,backfill_api
2025-08-04,395.0,402.6,378.0,386.67,61928.0,backfill_api
2025-08-05,394.0,399.0,381.0,382.11,48172.0,backfill_api
2025-08-06,382.2,395.9,382.2,384.71,20606.0,backfill_api
2025-08-07,392.0,392.0,378.0,380.6,48371.0,backfill_api
2025-08-11,388.0,418.6,377.2,406.76,162797.0,backfill_api
2025-08-12,400.0,413.8,394.0,395.17,41082.0,backfill_api
2025-08-13,403.0,409.8,390.0,400.36,67932.0,backfill_api
2025-08-14,407.0,424.0,399.0,422.63,231528.0,backfill_api
2025-08-17,431.0,436.9,414.7,434.89,244471.0,backfill_api
2025-08-18,427.0,461.8,427.0,438.73,384061.0,backfill_api
2025-08-19,430.0,468.0,419.0,449.26,327016.0,backfill_api
2025-08-20,440.3,440.3,407.0,408.68,256902.0,backfill_api
2025-08-21,408.1,409.9,393.0,396.08,103654.0,backfill_api
2025-08-24,391.0,399.5,388.2,392.77,82526.0,backfill_api
2025-08-25,386.2,405.9,386.2,400.56,57709.0,backfill_api
2025-08-26,405.0,411.0,400.0,401.31,54211.0,backfill_api
2025-08-27,393.3,415.0,393.3,412.34,79729.0,backfill_api
2025-08-28,414.0,417.0,395.6,397.83,85264.0,backfill_api
2025-08-31,403.0,408.0,395.1,396.61,147456.0,backfill_api
2025-09-01,404.5,417.0,390.0,398.18,142710.0,backfill_api
2025-09-02,390.3,395.0,380.6,382.25,62535.0,backfill_api
2025-09-03,374.7,402.0,374.7,384.54,350121.0,backfill_api
2025-09-04,377.0,381.9,353.0,374.11,203361.0,backfill_api
2025-09-07,370.0,370.0,355.0,356.81,95068.0,backfill_api
2025-09-08,350.6,361.0,345.4,347.43,68924.0,backfill_api
2025-09-18,340.5,340.5,330.0,330.0,40.0,backfill_api
2025-09-21,323.4,344.0,317.0,339.31,90239.0,backfill_api
2025-09-23,346.0,352.0,335.0,351.6,54116.0,backfill_api
2025-09-24,344.7,354.9,334.5,340.0,44714.0,backfill_api
2025-09-25,333.6,349.9,333.3,336.0,39939.0,backfill_api
2025-09-28,342.7,349.0,327.5,335.0,37529.0,backfill_api
2025-10-07,341.7,341.7,302.6,312.0,76906.0,backfill_api
2025-10-08,312.0,312.0,300.9,301.0,31540.0,backfill_api
2025-10-09,307.0,319.0,295.1,300.0,34982.0,backfill_api
2025-10-12,296.0,316.8,287.0,314.7,92868.0,backfill_api
2025-10-13,318.9,342.0,307.6,335.0,92804.0,backfill_api
2025-10-14,341.6,345.0,320.0,328.9,44661.0,backfill_api
2025-10-15,322.4,325.0,309.0,310.0,70079.0,backfill_api
2025-10-16,316.2,316.2,301.0,310.0,36188.0,backfill_api
2025-10-19,314.0,322.0,304.2,317.7,38137.0,backfill_api
2025-10-26,312.4,319.0,306.1,314.0,39967.0,backfill_api
2025-10-28,310.0,330.9,310.0,325.0,38901.0,backfill_api
2025-10-29,318.5,333.5,312.4,313.0,56236.0,backfill_api
2025-10-30,313.2,328.0,308.0,322.0,66828.0,backfill_api
2025-11-02,328.4,354.2,316.1,354.2,165941.0,backfill_api
2025-11-03,347.5,358.5,338.0,353.8,108060.0,backfill_api
2025-11-04,347.0,353.7,335.0,335.0,70567.0,backfill_api
2025-11-05,329.5,339.9,323.0,336.1,80483.0,backfill_api
2025-11-06,337.1,347.0,334.0,335.0,83709.0,backfill_api
2025-11-09,332.1,332.1,317.0,321.0,56530.0,backfill_api
2025-11-10,322.0,327.0,320.0,325.0,30276.0,backfill_api
2025-11-11,328.0,329.4,320.1,325.3,18262.0,backfill_api
2025-11-12,325.0,329.5,320.1,320.1,24685.0,backfill_api
2025-11-13,321.0,330.0,316.1,323.6,30031.0,backfill_api
2025-11-16,322.0,327.0,317.2,317.2,18169.0,backfill_api
2025-11-17,315.0,333.0,315.0,331.0,36868.0,backfill_api
2025-11-18,337.6,339.0,331.5,334.0,58524.0,backfill_api
2025-11-19,339.6,339.6,326.0,327.0,22876.0,backfill_api
2025-11-20,331.0,331.0,321.2,327.0,27478.0,backfill_api
2025-11-23,330.0,337.9,330.0,336.0,41799.0,backfill_api
2025-11-24,341.8,349.7,336.1,348.0,58607.0,backfill_api
2025-11-25,344.0,350.0,342.2,343.9,48655.0,backfill_api
2025-11-26,350.0,356.0,336.0,356.0,99861.0,backfill_api
2025-11-27,363.1,363.1,343.1,349.0,31383.0,backfill_api
2025-11-30,345.0,348.0,332.3,334.0,34183.0,backfill_api
2025-12-01,331.8,339.9,331.0,338.0,52361.0,backfill_api
2025-12-02,334.3,341.0,331.0,338.0,61129.0,backfill_api
2025-12-03,336.0,342.7,331.0,331.0,25404.0,backfill_api
2025-12-07,332.0,333.7,325.2,327.9,16860.0,backfill_api
2025-12-08,332.0,332.0,324.3,325.0,11961.0,backfill_api
2025-12-09,328.0,335.0,323.0,329.8,21108.0,backfill_api
2025-12-10,329.8,336.3,328.0,328.0,16700.0,backfill_api
2025-12-11,334.0,340.0,322.0,322.3,39058.0,backfill_api
2025-12-14,319.1,325.5,314.1,318.4,34383.0,backfill_api
2025-12-15,321.9,323.9,315.0,320.0,14499.0,backfill_api
2025-12-16,319.0,325.8,318.4,322.0,15055.0,backfill_api
2025-12-17,327.9,327.9,312.0,320.0,35851.0,backfill_api
2025-12-18,315.0,323.0,313.6,323.0,39565.0,backfill_api
2025-12-21,328.0,328.0,313.0,315.1,20300.0,backfill_api
2025-12-22,312.1,318.0,312.1,314.3,12896.0,backfill_api
2025-12-23,315.0,321.3,313.0,320.0,16657.0,backfill_api
2025-12-24,319.0,324.0,316.0,316.3,5507.0,backfill_api
2025-12-28,317.0,324.9,317.0,324.0,20357.0,backfill_api
2025-12-29,325.9,326.0,315.0,317.9,9309.0,backfill_api
2025-12-31,319.0,323.0,316.0,317.0,19465.0,backfill_api
2026-01-01,313.1,323.0,313.0,315.0,23164.0,backfill_api
2026-01-04,313.0,317.0,306.1,311.6,21263.0,backfill_api
2026-01-05,305.4,324.0,305.4,317.0,18089.0,backfill_api
2026-01-06,310.7,327.0,310.7,322.0,42248.0,backfill_api
2026-01-07,327.0,327.0,316.0,317.0,13458.0,backfill_api
2026-01-08,323.0,323.0,315.0,315.0,21812.0,backfill_api
2026-01-12,313.0,320.0,310.2,311.6,16477.0,backfill_api
2026-01-13,317.8,322.0,308.7,320.0,31998.0,backfill_api
2026-01-14,313.7,324.0,313.7,318.8,34399.0,backfill_api
2026-01-18,323.7,323.7,315.0,320.0,17571.0,backfill_api
2026-01-20,326.0,330.3,320.0,327.0,68445.0,backfill_api
2026-01-21,321.4,331.0,321.4,328.9,43176.0,backfill_api
2026-01-22,329.0,335.0,327.2,333.0,38489.0,backfill_api
2026-01-25,332.1,342.0,332.1,342.0,59101.0,backfill_api
2026-01-26,342.0,342.0,330.1,335.9,65526.0,backfill_api
2026-01-27,330.2,341.0,322.0,324.0,39837.0,backfill_api
2026-01-28,330.0,335.5,321.0,335.2,56470.0,backfill_api
2026-01-29,340.0,350.0,335.5,345.0,136836.0,backfill_api
2026-02-01,344.0,344.0,333.1,340.0,45638.0,backfill_api
2026-02-02,338.0,343.9,335.5,335.6,59948.0,backfill_api
2026-02-03,335.7,360.0,335.7,352.9,210454.0,backfill_api
2026-02-04,355.0,358.0,342.2,344.9,50792.0,backfill_api
2026-02-05,342.7,359.0,342.7,350.0,81459.0,backfill_api
2026-02-08,356.0,361.0,343.0,346.9,89574.0,backfill_api
2026-02-09,345.0,360.0,341.1,349.0,67066.0,backfill_api
2026-02-10,355.9,357.0,345.8,346.2,48051.0,backfill_api
2026-02-11,351.0,353.0,344.5,347.0,36163.0,backfill_api
2026-02-12,352.0,372.0,350.0,363.3,155431.0,backfill_api
2026-02-16,369.8,377.9,350.3,352.0,29207.0,backfill_api
2026-02-17,352.0,352.0,342.0,348.0,53891.0,backfill_api
2026-02-22,344.0,345.0,333.5,334.0,48971.0,backfill_api
2026-02-23,335.0,340.0,332.2,338.0,28505.0,backfill_api
2026-02-24,343.0,348.0,337.2,346.0,16237.0,backfill_api
2026-02-25,346.0,347.9,341.0,346.0,19288.0,backfill_api
2026-02-26,339.5,366.0,339.5,349.0,20620.0,backfill_api
2026-03-01,342.2,355.0,338.3,354.0,24878.0,backfill_api
2026-03-03,347.0,389.0,347.0,389.0,74492.0,backfill_api
2026-03-09,396.7,400.0,395.0,399.9,17065.0,backfill_api
2026-03-10,398.0,416.0,377.0,416.0,201187.0,backfill_api
2026-03-11,407.7,407.7,385.0,392.0,96197.0,backfill_api
2026-03-12,390.0,393.0,384.1,386.0,104672.0,backfill_api
2026-03-15,393.7,393.7,379.0,387.9,68505.0,backfill_api
2026-03-16,390.0,390.0,376.0,382.0,66459.0,backfill_api
2026-03-17,377.0,389.0,375.0,387.0,71014.0,backfill_api
2026-03-19,387.0,401.0,380.0,398.0,150929.0,backfill_api
2026-03-22,405.9,405.9,390.0,393.9,142386.0,backfill_api
2026-03-23,386.1,409.0,385.1,393.8,69433.0,backfill_api
2026-03-24,393.8,399.0,385.0,389.9,46592.0,backfill_api
2026-03-25,382.2,428.0,382.2,428.0,74136.0,backfill_api
2026-03-26,419.5,419.5,387.1,396.0,159369.0,backfill_api
2026-03-29,396.0,396.0,375.5,391.9,53701.0,backfill_api
2026-03-30,384.1,413.0,375.4,385.4,43367.0,backfill_api
2026-03-31,379.0,380.4,368.2,376.0,62767.0,backfill_api
2026-04-01,380.0,380.0,352.0,355.0,58411.0,backfill_api
2026-04-02,348.0,360.0,341.1,350.0,37740.0,backfill_api
2026-04-05,343.0,346.0,325.5,333.0,41966.0,backfill_api
2026-04-06,330.0,348.9,327.2,345.0,32012.0,backfill_api
2026-04-07,351.0,352.7,338.7,342.5,37029.0,backfill_api
2026-04-08,342.5,349.3,342.2,348.0,40674.0,backfill_api
2026-04-09,350.0,364.0,345.0,359.0,36503.0,backfill_api
2026-04-10,351.9,378.9,351.9,366.0,40034.0,backfill_api
2026-04-13,366.0,380.6,360.0,366.5,37259.0,backfill_api
2026-04-15,365.0,373.0,361.1,370.0,47651.0,backfill_api
2026-04-16,372.0,372.0,355.8,357.0,30034.0,backfill_api
2026-04-17,360.0,360.0,350.0,358.5,20283.0,backfill_api
2026-04-20,369.0,369.0,346.5,351.1,14230.0,backfill_api
2026-04-21,350.0,357.0,343.1,347.9,13994.0,backfill_api
2026-04-22,350.0,357.0,342.0,353.8,19537.0,backfill_api
2026-04-23,359.0,359.0,341.0,341.8,11354.0,backfill_api
2026-04-24,341.8,344.8,339.0,340.0,10294.0,backfill_api
2026-04-27,340.0,349.9,340.0,344.3,6580.0,backfill_api
2026-04-28,329.0,368.0,329.0,343.0,13590.0,backfill_api
2026-04-29,343.0,342.0,332.0,335.0,11092.0,backfill_api
2026-04-30,335.0,338.2,331.0,334.0,10680.0,backfill_api
2026-05-04,332.2,332.6,324.0,330.0,6491.0,backfill_api
2026-05-05,330.1,339.0,329.0,337.0,5920.0,backfill_api
2026-05-06,330.1,339.0,330.1,335.0,10882.0,backfill_api
2026-05-07,331.0,337.0,330.0,336.8,5838.0,backfill_api
2026-05-08,335.0,340.0,332.7,338.0,7990.0,backfill_api
2026-05-11,341.9,349.9,336.5,344.8,6032.0,backfill_api
2026-05-12,344.8,348.0,336.0,338.5,4964.0,backfill_api
2026-05-13,335.1,340.0,332.1,335.0,2744.0,backfill_api
2026-05-14,333.0,341.7,330.0,334.8,6920.0,backfill_api
2026-05-15,344.8,344.8,335.0,338.9,3140.0,backfill_api
2026-05-18,340.0,348.9,334.0,339.6,3783.0,backfill_api
2026-05-19,345.0,345.0,332.8,333.9,3387.0,backfill_api
2026-05-20,341.0,342.0,333.2,340.5,13334.0,backfill_api
2026-05-21,336.0,345.0,336.0,341.0,5536.0,backfill_api
2026-05-22,343.9,343.9,336.1,342.0,5800.0,backfill_api
2026-05-25,343.9,352.0,343.0,350.5,18298.0,backfill_api
2026-05-26,350.0,357.0,344.0,351.0,4201.0,backfill_api
2026-05-27,358.5,359.5,346.5,349.0,9150.0,backfill_api
2026-06-01,347.9,348.0,340.0,344.0,6492.0,backfill_api
2026-06-02,337.0,343.9,336.0,341.0,2020.0,backfill_api
2026-06-03,341.0,347.0,337.0,343.0,2920.0,backfill_api
2026-06-04,349.0,349.0,339.5,342.6,4512.0,backfill_api
2026-06-05,338.0,339.9,337.5,338.0,7155.0,backfill_api
2026-06-08,340.0,340.0,335.0,335.0,4037.0,backfill_api
2026-06-09,331.0,335.0,330.0,334.0,8615.0,backfill_api
2026-06-10,331.0,337.0,331.0,334.6,3830.0,backfill_api
2026-06-11,336.0,337.9,333.0,333.9,6126.0,backfill_api
2026-06-12,330.1,334.9,330.1,331.0,8089.0,backfill_api
2026-06-15,330.2,335.3,330.1,331.5,2605.0,backfill_api
2026-06-16,336.0,336.0,330.0,333.1,6499.0,backfill_api
2026-06-17,330.0,335.0,330.0,334.0,5224.0,backfill_api
2026-06-18,335.0,340.0,331.2,332.0,7475.0,backfill_api
2026-06-19,332.0,338.0,331.0,335.0,6140.0,backfill_api
2026-06-22,331.1,340.0,330.3,333.0,5519.0,backfill_api
2026-06-23,333.0,333.0,325.0,329.0,9080.0,backfill_api
2026-06-24,324.0,334.0,320.0,325.9,10119.0,backfill_api
2026-06-25,333.0,333.0,317.2,323.9,2420.0,backfill_api
2026-06-26,324.0,333.0,319.0,322.0,2268.0,backfill_api
2026-06-29,318.0,320.0,313.2,317.9,9468.0,backfill_api
2026-06-30,311.2,320.0,310.1,314.0,2479.0,backfill_api
2026-07-01,314.0,322.0,312.0,320.0,7480.0,backfill_api
2026-07-02,317.0,326.5,315.0,326.5,4482.0,backfill_api
2026-07-03,327.0,327.0,318.0,325.9,4824.0,backfill_api
2026-07-06,334.1,334.1,317.0,317.0,3657.0,backfill_api
2026-07-07,305.0,343.1,305.0,325.7,3020.0,backfill_api
2026-07-08,320.0,320.0,316.0,316.1,1667.0,backfill_api
2026-07-09,300.3,354.0,300.3,315.0,5825.0,backfill_api
2026-07-10,310.0,321.8,310.0,313.1,2283.0,backfill_api
2026-07-13,322.4,322.4,304.0,304.0,5233.0,backfill_api
2026-07-14,304.0,312.0,301.0,309.0,6800.0,backfill_api
2026-07-15,310.1,315.0,310.1,315.0,3240.0,backfill_api
2026-07-16,325.0,325.0,310.0,315.8,1472.0,backfill_api
2026-07-17,320.29,329.0,317.0,325.0,6382.0,backfill_api
2026-07-20,316.1,331.5,316.1,328.0,8635.0,backfill_api
2026-07-21,325.1,340.0,325.0,330.0,18414.0,backfill_api
2026-07-22,330.0,334.0,322.1,328.0,3522.0,backfill_api
2026-07-23,321.5,329.5,321.5,328.9,2640.0,daily_scrape
2026-07-24,328.0,329.8,323.0,324.0,4451.0,daily_scrape
2026-07-27,320.0,327.0,318.0,327.0,6100.0,daily_scrape
2026-07-28,323.9,323.9,318.0,318.0,8237.0,daily_scrape
2026-07-30,321.0,324.0,314.5,320.0,2370.0,daily_scrape
2026-07-31,320.0,320.0,313.2,315.0,3683.0,daily_scrape
2026-08-03,315.0,325.0,309.0,318.5,4488.0,daily_scrape
2026-08-04,322.0,322.0,313.6,319.5,4674.0,daily_scrape
2026-08-05,322.5,325.0,313.0,320.0,1643.0,daily_scrape
2026-08-06,312.0,324.0,312.0,319.0,11044.0,daily_scrape
2026-08-07,312.1,324.0,312.1,318.0,6014.0,daily_scrape
2026-08-10,313.0,323.0,311.0,318.9,1755.0,daily_scrape
2026-08-11,312.1,320.0,312.1,318.5,5691.0,daily_scrape
2026-08-12,314.0,315.0,311.1,315.0,2826.0,daily_scrape
2026-08-13,310.0,318.9,310.0,315.9,3684.0,daily_scrape
2026-08-14,319.9,319.9,311.0,316.0,3281.0,daily_scrape
2026-08-17,308.1,316.0,307.1,312.0,3138.0,daily_scrape
2026-08-18,306.1,314.0,305.0,309.8,6248.0,daily_scrape
2026-08-19,305.0,311.9,300.0,307.0,7696.0,daily_scrape
2026-08-20,304.0,305.0,297.8,303.8,9764.0,daily_scrape
