date,open,high,low,close,volume,source
2025-02-27,590.0,595.0,577.0,587.9,24938.0,backfill_api
2025-03-02,588.0,605.0,581.2,602.5,85676.0,backfill_api
2025-03-03,614.5,637.1,606.5,634.0,204478.0,backfill_api
2025-03-04,640.0,665.0,640.0,650.9,186492.0,backfill_api
2025-03-05,638.0,650.0,627.6,627.6,93344.0,backfill_api
2025-03-06,624.1,636.0,618.0,623.0,46127.0,backfill_api
2025-03-09,623.0,629.0,610.6,610.6,80742.0,backfill_api
2025-03-10,613.1,622.0,603.0,611.0,41650.0,backfill_api
2025-03-11,622.0,622.0,592.1,592.1,27404.0,backfill_api
2025-03-12,586.1,608.9,585.1,599.9,35402.0,backfill_api
2025-03-16,592.1,608.0,587.0,588.5,25084.0,backfill_api
2025-03-17,585.0,600.0,585.0,587.0,26430.0,backfill_api
2025-03-18,591.0,597.0,586.0,589.0,15493.0,backfill_api
2025-03-19,598.0,598.0,576.0,578.9,20050.0,backfill_api
2025-03-20,575.3,580.0,567.0,570.65,15457.0,backfill_api
2025-03-23,574.0,574.0,559.0,559.74,27365.0,backfill_api
2025-03-24,554.0,581.2,549.0,572.31,28668.0,backfill_api
2025-03-25,575.0,580.9,547.2,547.66,25797.0,backfill_api
2025-03-26,548.0,563.0,548.0,560.83,15746.0,backfill_api
2025-03-27,563.9,575.0,557.0,570.2,24669.0,backfill_api
2025-03-30,580.5,582.5,571.0,572.17,31303.0,backfill_api
2025-04-01,580.1,580.1,558.2,560.35,14699.0,backfill_api
2025-04-02,555.0,567.0,555.0,561.95,11041.0,backfill_api
2025-04-03,555.0,565.0,552.0,556.24,21572.0,backfill_api
2025-04-07,551.0,560.0,549.0,552.1,10585.0,backfill_api
2025-04-08,546.0,551.0,545.1,550.1,13745.0,backfill_api
2025-04-09,550.1,559.9,550.0,550.32,9965.0,backfill_api
2025-04-10,559.9,559.9,542.0,547.51,13968.0,backfill_api
2025-04-13,540.0,554.0,540.0,547.57,10545.0,backfill_api
2025-04-15,547.1,564.0,545.0,550.98,17483.0,backfill_api
2025-04-16,550.0,560.0,550.0,557.71,12003.0,backfill_api
2025-04-17,565.0,570.0,558.0,566.11,24487.0,backfill_api
2025-04-20,566.0,570.0,555.0,560.55,11904.0,backfill_api
2025-04-21,555.3,562.0,544.0,554.07,27890.0,backfill_api
2025-04-22,555.0,558.0,545.0,546.91,23816.0,backfill_api
2025-04-23,546.2,560.0,545.0,554.76,19369.0,backfill_api
2025-04-24,563.0,563.0,550.0,552.45,23962.0,backfill_api
2025-04-27,550.0,582.0,543.0,552.11,36238.0,backfill_api
2025-04-28,549.0,574.0,549.0,557.79,13407.0,backfill_api
2025-04-29,560.0,560.0,549.0,554.78,9873.0,backfill_api
2025-04-30,560.0,560.0,547.4,548.18,13182.0,backfill_api
2025-05-04,550.3,558.0,539.1,545.31,21451.0,backfill_api
2025-05-05,546.0,553.0,541.0,548.29,6546.0,backfill_api
2025-05-06,558.0,559.0,540.0,540.61,9725.0,backfill_api
2025-05-07,542.0,582.0,540.0,562.67,19995.0,backfill_api
2025-05-08,553.0,573.0,553.0,556.35,10320.0,backfill_api
2025-05-11,560.0,560.0,540.0,550.24,35259.0,backfill_api
2025-05-13,558.0,558.0,550.0,551.57,13305.0,backfill_api
2025-05-14,543.0,555.0,543.0,544.29,5402.0,backfill_api
2025-05-15,540.09,551.0,540.09,542.39,5742.0,backfill_api
2025-05-18,548.0,550.0,540.2,541.09,8073.0,backfill_api
2025-05-19,541.0,569.9,541.0,557.61,16058.0,backfill_api
2025-05-20,549.0,569.6,547.0,566.78,22852.0,backfill_api
2025-05-21,578.1,589.6,555.2,559.27,12547.0,backfill_api
2025-05-22,553.4,566.2,553.4,558.47,8383.0,backfill_api
2025-05-25,559.0,559.1,550.0,557.5,6182.0,backfill_api
2025-05-26,568.6,568.6,554.0,555.32,17865.0,backfill_api
2025-05-27,550.0,558.0,548.0,552.09,6553.0,backfill_api
2025-05-28,553.0,555.0,545.1,553.59,12083.0,backfill_api
2025-06-02,513.0,530.0,513.0,520.98,11223.0,backfill_api
2025-06-03,520.98,525.0,512.0,512.17,8288.0,backfill_api
2025-06-04,520.0,520.0,500.0,502.62,14230.0,backfill_api
2025-06-05,497.0,508.0,497.0,500.4,6363.0,backfill_api
2025-06-08,510.0,510.0,495.2,499.3,4197.0,backfill_api
2025-06-09,489.9,500.0,489.9,494.25,10933.0,backfill_api
2025-06-10,496.6,505.0,494.0,500.73,14408.0,backfill_api
2025-06-11,496.0,508.0,496.0,497.15,6454.0,backfill_api
2025-06-12,490.2,506.0,490.2,495.44,11211.0,backfill_api
2025-06-15,490.0,498.0,485.0,489.93,10499.0,backfill_api
2025-06-16,490.0,508.0,487.1,500.63,20258.0,backfill_api
2025-06-17,491.2,510.0,491.2,497.61,7822.0,backfill_api
2025-06-18,500.0,514.8,496.1,502.6,9775.0,backfill_api
2025-06-19,512.6,512.6,496.1,502.39,8998.0,backfill_api
2025-06-22,500.0,505.0,491.0,491.58,7071.0,backfill_api
2025-06-23,493.0,510.0,490.4,494.1,4974.0,backfill_api
2025-06-24,490.0,498.0,490.0,491.6,7872.0,backfill_api
2025-06-25,493.2,495.0,490.0,490.06,6568.0,backfill_api
2025-06-26,487.0,518.0,480.3,488.48,8132.0,backfill_api
2025-06-29,480.2,500.8,480.2,495.62,10082.0,backfill_api
2025-06-30,488.2,498.0,488.2,492.88,5160.0,backfill_api
2025-07-01,486.6,502.7,486.6,501.53,13732.0,backfill_api
2025-07-02,498.0,551.4,497.0,535.77,31500.0,backfill_api
2025-07-03,527.0,559.9,527.0,546.56,46048.0,backfill_api
2025-07-06,536.1,543.0,531.1,533.91,16540.0,backfill_api
2025-07-07,525.0,530.7,519.0,524.14,21931.0,backfill_api
2025-07-08,528.0,528.0,518.0,522.97,5147.0,backfill_api
2025-07-09,520.0,531.0,520.0,526.87,7853.0,backfill_api
2025-07-10,525.0,534.0,525.0,527.62,16045.0,backfill_api
2025-07-13,538.1,538.1,525.1,526.64,11246.0,backfill_api
2025-07-14,537.1,537.1,519.0,520.06,11123.0,backfill_api
