date,open,high,low,close,volume,source
2025-02-27,318.0,325.0,317.2,320.0,61519.0,backfill_api
2025-03-02,321.1,332.5,321.1,330.9,85189.0,backfill_api
2025-03-03,337.0,337.0,325.0,327.0,76268.0,backfill_api
2025-03-04,325.0,335.5,325.0,327.0,86140.0,backfill_api
2025-03-05,327.0,335.0,326.0,331.0,64333.0,backfill_api
2025-03-06,337.6,337.6,326.8,336.0,44666.0,backfill_api
2025-03-09,336.0,336.0,323.0,326.0,30637.0,backfill_api
2025-03-10,326.0,330.6,320.0,325.0,36780.0,backfill_api
2025-03-11,325.0,328.9,317.5,319.0,31346.0,backfill_api
2025-03-12,323.9,323.9,317.2,317.6,38706.0,backfill_api
2025-03-16,323.9,323.9,313.5,319.0,31012.0,backfill_api
2025-03-17,314.1,322.0,314.1,318.0,35291.0,backfill_api
2025-03-18,324.3,335.9,321.4,331.3,194080.0,backfill_api
2025-03-19,332.0,337.0,323.0,326.0,54333.0,backfill_api
2025-03-20,332.0,332.0,320.0,323.52,36014.0,backfill_api
2025-03-23,324.0,324.0,313.0,313.36,75009.0,backfill_api
2025-03-24,309.3,317.0,303.0,314.17,33579.0,backfill_api
2025-03-25,315.9,315.9,300.0,300.81,36450.0,backfill_api
2025-03-26,306.8,313.0,301.1,309.0,16651.0,backfill_api
2025-03-27,305.1,317.0,305.1,313.41,56446.0,backfill_api
2025-03-30,319.6,322.0,313.3,317.0,49321.0,backfill_api
2025-04-01,322.9,322.9,315.0,316.9,31384.0,backfill_api
2025-04-02,312.0,322.0,312.0,317.45,17765.0,backfill_api
2025-04-03,321.0,321.9,315.2,318.01,39556.0,backfill_api
2025-04-07,323.9,323.9,315.0,316.47,21900.0,backfill_api
2025-04-08,316.0,318.0,312.2,313.85,34256.0,backfill_api
2025-04-09,318.0,322.0,313.7,317.34,22338.0,backfill_api
2025-04-10,323.6,324.0,313.2,318.96,21123.0,backfill_api
2025-04-13,312.6,322.0,312.6,316.28,20584.0,backfill_api
2025-04-15,322.6,325.0,320.0,324.55,31062.0,backfill_api
2025-04-16,327.9,345.0,321.0,338.73,86061.0,backfill_api
2025-04-17,340.1,348.0,337.2,339.18,106027.0,backfill_api
2025-04-20,336.0,342.7,331.1,332.8,53083.0,backfill_api
2025-04-21,330.2,352.0,330.2,349.0,210813.0,backfill_api
2025-04-22,355.9,364.0,347.9,350.81,113246.0,backfill_api
2025-04-23,347.0,349.0,336.1,337.56,76728.0,backfill_api
2025-04-24,344.1,350.0,338.0,346.74,107727.0,backfill_api
2025-04-27,353.5,360.0,347.0,348.0,114587.0,backfill_api
2025-04-28,354.0,361.9,343.0,345.54,50990.0,backfill_api
2025-04-29,340.3,350.0,333.0,335.32,62377.0,backfill_api
2025-04-30,331.2,348.8,331.2,339.51,74025.0,backfill_api
2025-05-04,339.0,355.0,339.0,347.32,78769.0,backfill_api
2025-05-05,344.0,350.0,337.0,339.37,53463.0,backfill_api
2025-05-06,345.0,349.9,338.1,339.75,54272.0,backfill_api
2025-05-07,346.5,357.0,338.0,347.48,165949.0,backfill_api
2025-05-08,354.0,362.0,344.0,355.58,167982.0,backfill_api
2025-05-11,362.0,367.0,348.5,352.18,125454.0,backfill_api
2025-05-13,345.2,355.0,345.2,345.93,48798.0,backfill_api
2025-05-14,345.9,350.0,337.3,337.6,33496.0,backfill_api
2025-05-15,344.0,344.0,332.1,333.17,52290.0,backfill_api
2025-05-18,338.0,341.0,320.1,326.4,44430.0,backfill_api
2025-05-19,332.0,335.0,321.0,327.63,36478.0,backfill_api
2025-05-20,323.3,339.6,323.3,336.1,23688.0,backfill_api
2025-05-21,342.0,349.7,332.2,333.37,60146.0,backfill_api
2025-05-22,337.0,337.0,327.0,329.89,45016.0,backfill_api
2025-05-25,328.0,334.5,324.0,329.89,23638.0,backfill_api
2025-05-26,335.0,337.0,324.5,328.05,17752.0,backfill_api
2025-05-27,333.0,333.0,323.1,325.04,36192.0,backfill_api
2025-05-28,322.0,338.9,322.0,327.17,26613.0,backfill_api
2025-06-02,332.0,337.0,321.0,321.1,52817.0,backfill_api
2025-06-03,327.5,345.0,323.0,329.38,89192.0,backfill_api
2025-06-04,327.7,335.0,323.7,328.31,11021.0,backfill_api
2025-06-05,334.6,336.0,325.4,326.78,36526.0,backfill_api
2025-06-08,326.0,333.3,322.0,323.7,47748.0,backfill_api
2025-06-09,329.8,333.0,325.3,330.32,45939.0,backfill_api
2025-06-10,336.0,337.8,330.0,333.04,55260.0,backfill_api
2025-06-11,335.0,336.5,328.0,331.69,30053.0,backfill_api
2025-06-12,330.1,353.6,330.1,335.33,86640.0,backfill_api
2025-06-15,341.0,343.0,332.3,339.31,75562.0,backfill_api
2025-06-16,346.0,350.0,332.0,333.62,77646.0,backfill_api
2025-06-17,339.0,339.0,325.0,328.74,25712.0,backfill_api
2025-06-18,334.4,345.0,328.3,340.33,74017.0,backfill_api
2025-06-19,347.0,370.0,342.0,352.55,275001.0,backfill_api
2025-06-22,359.6,365.2,335.2,338.45,130781.0,backfill_api
2025-06-23,338.0,360.1,331.4,355.97,150308.0,backfill_api
2025-06-24,362.9,385.5,353.0,373.17,357395.0,backfill_api
2025-06-25,375.0,400.0,366.1,396.86,376053.0,backfill_api
2025-06-26,400.0,404.0,383.0,384.37,226761.0,backfill_api
2025-06-29,377.0,401.7,375.0,393.33,326327.0,backfill_api
2025-06-30,386.0,398.0,376.0,379.62,170580.0,backfill_api
2025-07-01,376.0,393.6,373.2,386.58,174345.0,backfill_api
2025-07-02,382.0,409.9,382.0,396.06,378922.0,backfill_api
2025-07-03,403.9,403.9,378.0,381.04,169131.0,backfill_api
2025-07-06,385.0,385.0,369.0,370.86,124210.0,backfill_api
2025-07-07,370.0,377.5,370.0,371.25,143019.0,backfill_api
2025-07-08,371.0,375.0,368.2,370.95,66640.0,backfill_api
2025-07-09,376.0,385.0,373.3,377.82,60372.0,backfill_api
2025-07-10,385.0,385.0,370.3,373.03,115228.0,backfill_api
2025-07-13,379.9,381.0,360.0,362.2,81671.0,backfill_api
2025-07-14,360.0,372.0,360.0,362.7,70988.0,backfill_api
2025-07-15,369.8,375.1,365.5,370.46,55737.0,backfill_api
2025-07-16,377.8,377.8,364.3,365.86,79520.0,backfill_api
2025-07-17,373.1,390.0,365.6,385.99,120337.0,backfill_api
2025-07-20,387.9,393.0,382.0,382.47,187450.0,backfill_api
2025-07-21,385.0,395.0,380.0,384.91,106013.0,backfill_api
2025-07-22,385.0,396.0,385.0,386.56,133387.0,backfill_api
2025-07-23,387.1,390.0,380.0,381.16,109080.0,backfill_api
2025-07-24,385.0,390.8,376.0,384.56,102504.0,backfill_api
2025-07-27,377.0,397.0,372.0,376.58,123629.0,backfill_api
2025-07-28,383.6,383.6,370.1,375.75,64312.0,backfill_api
2025-07-29,383.2,394.0,373.3,376.46,60440.0,backfill_api
2025-07-30,383.8,383.8,365.7,367.55,63835.0,backfill_api
