date,open,high,low,close,volume,source
2025-02-27,226.5,241.0,226.5,231.1,346108.0,backfill_api
2025-03-02,233.7,237.9,231.0,236.5,204816.0,backfill_api
2025-03-03,239.2,241.0,231.0,231.2,304787.0,backfill_api
2025-03-04,231.2,233.9,227.0,228.0,280997.0,backfill_api
2025-03-05,230.0,230.0,224.0,224.4,121631.0,backfill_api
2025-03-06,228.8,228.8,222.5,223.9,172198.0,backfill_api
2025-03-09,220.0,224.0,219.6,220.0,146814.0,backfill_api
2025-03-10,222.4,223.8,218.0,219.1,140665.0,backfill_api
2025-03-11,220.0,221.2,217.1,217.9,107082.0,backfill_api
2025-03-12,218.3,220.0,217.5,219.5,84454.0,backfill_api
2025-03-16,221.0,221.0,216.4,218.0,109120.0,backfill_api
2025-03-17,216.4,219.3,215.5,216.1,104466.0,backfill_api
2025-03-18,220.4,220.4,215.5,216.5,69849.0,backfill_api
2025-03-19,216.0,219.0,214.0,215.0,134850.0,backfill_api
2025-03-20,217.0,217.0,213.0,213.47,90423.0,backfill_api
2025-03-23,213.0,214.9,209.2,209.83,140428.0,backfill_api
2025-03-24,208.0,214.0,206.2,210.89,128445.0,backfill_api
2025-03-25,207.0,212.8,203.0,205.31,254953.0,backfill_api
2025-03-26,207.3,210.0,205.0,209.61,105923.0,backfill_api
2025-03-27,213.8,214.0,208.0,212.27,111802.0,backfill_api
2025-03-30,208.1,218.0,208.1,214.99,182992.0,backfill_api
2025-04-01,215.0,215.8,210.1,211.77,148041.0,backfill_api
2025-04-02,216.0,216.0,210.1,213.97,89120.0,backfill_api
2025-04-03,215.8,220.0,212.1,214.18,350860.0,backfill_api
2025-04-07,215.0,217.0,210.0,211.54,112096.0,backfill_api
2025-04-08,210.2,211.4,207.0,209.1,200334.0,backfill_api
2025-04-09,213.0,213.0,208.8,209.85,86177.0,backfill_api
2025-04-10,212.5,213.7,208.1,208.77,143631.0,backfill_api
2025-04-13,208.7,211.9,207.0,207.45,107499.0,backfill_api
2025-04-15,211.0,211.9,206.8,209.51,91234.0,backfill_api
2025-04-16,213.7,213.7,208.4,209.5,137116.0,backfill_api
2025-04-17,211.0,214.5,209.3,212.86,141807.0,backfill_api
2025-04-20,213.0,216.0,209.0,209.57,130227.0,backfill_api
2025-04-21,205.5,210.0,205.5,206.83,198951.0,backfill_api
2025-04-22,206.0,208.0,205.0,205.69,138731.0,backfill_api
2025-04-23,204.0,205.0,202.0,203.16,243669.0,backfill_api
2025-04-24,203.0,205.0,200.1,202.08,178909.0,backfill_api
2025-04-27,203.0,205.0,201.1,201.82,178640.0,backfill_api
2025-04-28,203.0,203.0,200.0,200.05,182792.0,backfill_api
2025-04-29,204.0,204.0,198.0,198.64,124834.0,backfill_api
2025-04-30,202.6,202.6,197.0,197.93,153465.0,backfill_api
2025-05-04,198.1,201.0,197.0,198.26,99718.0,backfill_api
2025-05-05,197.5,199.7,195.5,197.2,114594.0,backfill_api
2025-05-06,199.0,199.0,195.2,196.09,92258.0,backfill_api
2025-05-07,196.0,206.0,194.1,205.63,193776.0,backfill_api
2025-05-08,206.9,207.0,201.7,204.13,121838.0,backfill_api
2025-05-11,204.0,206.9,201.0,201.21,98889.0,backfill_api
2025-05-13,203.9,205.0,198.5,199.12,109223.0,backfill_api
2025-05-14,199.1,201.0,198.0,198.24,75759.0,backfill_api
2025-05-15,202.2,202.2,197.5,197.92,88758.0,backfill_api
2025-05-18,199.0,199.7,197.0,197.44,75409.0,backfill_api
2025-05-19,199.0,201.2,197.0,199.61,64313.0,backfill_api
2025-05-20,200.0,206.0,198.0,204.58,241079.0,backfill_api
2025-05-21,208.6,217.0,203.9,204.43,240339.0,backfill_api
2025-05-22,205.1,216.0,204.0,215.25,612385.0,backfill_api
2025-05-25,218.0,219.0,209.9,213.78,294573.0,backfill_api
2025-05-26,218.0,229.0,212.3,214.13,305228.0,backfill_api
2025-05-27,209.9,216.0,209.9,214.14,156260.0,backfill_api
2025-05-28,214.0,220.2,212.1,219.27,406565.0,backfill_api
2025-06-02,223.6,227.0,217.1,217.72,330022.0,backfill_api
2025-06-03,215.4,217.5,210.0,210.48,261440.0,backfill_api
2025-06-04,214.0,214.0,208.0,210.55,141185.0,backfill_api
2025-06-05,208.0,212.8,208.0,208.42,162687.0,backfill_api
2025-06-08,210.0,210.0,205.0,205.48,166137.0,backfill_api
2025-06-09,201.8,208.0,201.8,205.85,102916.0,backfill_api
2025-06-10,206.0,210.0,206.0,208.69,130705.0,backfill_api
2025-06-11,209.0,211.0,206.0,207.09,117069.0,backfill_api
2025-06-12,209.0,209.0,205.0,206.07,118147.0,backfill_api
2025-06-15,207.0,207.9,203.7,204.0,134564.0,backfill_api
2025-06-16,204.2,208.0,204.2,206.21,188334.0,backfill_api
2025-06-17,206.0,208.0,204.0,205.02,90696.0,backfill_api
2025-06-18,205.0,207.0,203.0,204.34,76524.0,backfill_api
2025-06-19,205.0,205.0,202.1,202.35,162291.0,backfill_api
2025-06-22,206.0,206.0,200.0,200.6,164369.0,backfill_api
2025-06-23,202.0,202.6,198.6,200.26,147239.0,backfill_api
2025-06-24,202.0,206.0,201.5,201.74,113024.0,backfill_api
2025-06-25,202.0,204.0,200.0,202.18,105647.0,backfill_api
2025-06-26,204.0,205.0,200.1,200.79,84629.0,backfill_api
2025-06-29,200.1,206.4,200.0,205.98,134879.0,backfill_api
2025-06-30,209.9,209.9,204.0,205.85,76918.0,backfill_api
2025-07-01,205.0,208.0,204.1,206.94,106393.0,backfill_api
2025-07-02,206.0,212.0,206.0,211.38,209938.0,backfill_api
2025-07-03,211.0,213.0,208.7,210.4,152077.0,backfill_api
2025-07-06,214.6,214.6,208.0,209.99,155343.0,backfill_api
2025-07-07,214.1,214.1,208.0,208.6,227317.0,backfill_api
2025-07-08,205.0,209.1,205.0,207.17,76890.0,backfill_api
2025-07-09,208.8,212.7,207.2,211.76,154020.0,backfill_api
2025-07-10,213.0,221.2,212.1,218.51,590151.0,backfill_api
2025-07-13,222.8,231.5,222.8,224.44,649321.0,backfill_api
2025-07-14,225.0,225.0,215.4,216.79,334859.0,backfill_api
2025-07-15,217.0,222.0,214.0,220.62,270464.0,backfill_api
2025-07-16,223.5,226.8,220.0,221.89,545653.0,backfill_api
2025-07-17,223.0,228.4,222.5,227.46,424438.0,backfill_api
2025-07-20,223.0,230.0,222.0,222.98,611920.0,backfill_api
2025-07-21,224.0,226.0,221.0,223.56,298905.0,backfill_api
2025-07-22,224.0,234.5,224.0,232.95,711881.0,backfill_api
2025-07-23,232.0,236.0,228.7,230.92,398344.0,backfill_api
2025-07-24,230.4,233.0,228.0,229.79,414825.0,backfill_api
2025-07-27,225.2,238.0,225.2,230.81,625254.0,backfill_api
2025-07-28,230.1,235.4,226.1,234.27,521025.0,backfill_api
2025-07-29,238.9,250.9,237.0,245.34,1858223.0,backfill_api
2025-07-30,245.0,250.0,240.1,241.83,740122.0,backfill_api
2025-07-31,241.0,243.8,235.9,237.89,486185.0,backfill_api
2025-08-03,234.0,237.0,230.1,230.8,507040.0,backfill_api
2025-08-04,234.0,236.9,230.0,234.65,418247.0,backfill_api
2025-08-05,238.0,241.0,231.3,231.62,286678.0,backfill_api
2025-08-06,236.2,236.2,228.9,229.93,181160.0,backfill_api
2025-08-07,234.5,234.5,227.7,231.4,264372.0,backfill_api
2025-08-11,232.0,233.9,225.0,225.56,241140.0,backfill_api
2025-08-12,223.1,226.0,218.0,218.72,265824.0,backfill_api
2025-08-13,223.0,223.0,217.1,217.88,380209.0,backfill_api
2025-08-14,220.0,221.0,216.3,218.42,199551.0,backfill_api
2025-08-17,218.0,220.0,213.5,214.08,225427.0,backfill_api
2025-08-18,212.6,215.5,211.2,214.99,139838.0,backfill_api
2025-08-19,215.0,219.0,214.9,215.76,157905.0,backfill_api
2025-08-20,220.0,220.0,214.0,214.2,75147.0,backfill_api
2025-08-21,215.9,216.0,212.1,212.86,83557.0,backfill_api
2025-08-24,212.86,214.9,209.0,209.37,195488.0,backfill_api
2025-08-25,211.0,212.0,207.5,210.71,80552.0,backfill_api
2025-08-26,210.7,211.9,209.1,210.68,58734.0,backfill_api
2025-08-27,214.8,214.8,210.6,213.77,115402.0,backfill_api
2025-08-28,213.7,217.0,212.0,212.33,118331.0,backfill_api
2025-08-31,212.33,213.0,209.0,209.7,112838.0,backfill_api
2025-09-01,213.8,213.8,207.0,212.48,105256.0,backfill_api
2025-09-02,216.7,216.7,208.9,209.33,68060.0,backfill_api
2025-09-03,207.0,212.0,207.0,208.78,73837.0,backfill_api
2025-09-04,209.0,209.9,207.0,208.47,77590.0,backfill_api
2025-09-07,208.0,210.0,206.0,208.04,63074.0,backfill_api
2025-09-08,208.2,209.0,204.7,205.36,106673.0,backfill_api
2025-09-18,201.3,201.3,186.0,188.0,20382.0,backfill_api
2025-09-21,188.0,206.0,188.0,205.26,182799.0,backfill_api
2025-09-23,206.8,209.9,205.1,208.1,117131.0,backfill_api
2025-09-24,210.0,210.2,205.0,205.3,72250.0,backfill_api
2025-09-25,209.0,209.0,205.5,205.9,58870.0,backfill_api
2025-09-28,206.0,208.9,206.0,207.9,50781.0,backfill_api
2025-10-07,207.9,208.0,205.0,205.5,197784.0,backfill_api
2025-10-08,206.0,208.0,200.1,203.0,202463.0,backfill_api
2025-10-09,207.0,215.0,203.5,204.8,234309.0,backfill_api
2025-10-12,203.0,204.9,199.2,201.0,204676.0,backfill_api
2025-10-13,205.0,205.0,196.0,201.9,94040.0,backfill_api
2025-10-14,200.0,202.0,197.9,199.0,130313.0,backfill_api
2025-10-15,200.0,200.0,196.5,197.5,54580.0,backfill_api
2025-10-16,200.0,200.0,196.2,198.0,95955.0,backfill_api
2025-10-19,198.0,199.9,196.0,199.4,32874.0,backfill_api
2025-10-26,199.4,199.8,196.0,199.7,35769.0,backfill_api
2025-10-28,200.0,204.8,199.0,203.0,78711.0,backfill_api
2025-10-29,205.0,205.0,199.0,204.5,614059.0,backfill_api
2025-10-30,208.5,208.5,199.1,203.0,84446.0,backfill_api
2025-11-02,207.0,207.0,201.2,203.0,88708.0,backfill_api
2025-11-03,202.1,204.0,200.1,200.9,89975.0,backfill_api
2025-11-04,202.0,203.0,198.1,199.1,82907.0,backfill_api
2025-11-05,198.0,203.0,198.0,202.3,63622.0,backfill_api
2025-11-06,202.0,202.9,200.1,200.2,96885.0,backfill_api
2025-11-09,198.0,198.0,195.0,195.5,104188.0,backfill_api
2025-11-10,195.0,196.0,187.9,187.9,196060.0,backfill_api
2025-11-11,190.0,194.8,184.3,191.9,234498.0,backfill_api
2025-11-12,195.7,195.7,186.3,188.9,84326.0,backfill_api
2025-11-13,189.0,190.8,188.3,189.5,55877.0,backfill_api
2025-11-16,190.5,190.5,186.5,187.5,91853.0,backfill_api
2025-11-17,187.0,188.7,185.0,187.5,80731.0,backfill_api
2025-11-18,189.0,189.9,185.3,186.0,158356.0,backfill_api
2025-11-19,189.0,189.0,184.5,185.4,97336.0,backfill_api
2025-11-20,185.0,186.9,184.2,184.9,73899.0,backfill_api
2025-11-23,186.0,188.0,186.0,187.8,60365.0,backfill_api
2025-11-24,189.0,194.0,189.0,192.6,132197.0,backfill_api
2025-11-25,196.4,196.4,189.0,193.6,99322.0,backfill_api
2025-11-26,193.0,196.0,190.1,194.1,99877.0,backfill_api
2025-11-27,192.0,200.9,192.0,199.8,180485.0,backfill_api
2025-11-30,200.0,200.9,194.0,194.0,159170.0,backfill_api
2025-12-01,190.2,193.0,187.0,191.0,184837.0,backfill_api
2025-12-02,189.0,190.0,187.2,189.0,115149.0,backfill_api
2025-12-03,189.0,190.0,186.5,188.4,84908.0,backfill_api
2025-12-07,188.5,188.5,184.9,185.4,155505.0,backfill_api
2025-12-08,181.7,187.6,181.7,184.1,111338.0,backfill_api
