date,open,high,low,close,volume,source
2025-05-27,289.3,318.2,289.3,318.2,120.0,backfill_api
2025-05-28,321.3,350.0,321.3,350.0,140.0,backfill_api
2025-06-02,357.0,385.0,357.0,385.0,270.0,backfill_api
2025-06-03,381.7,423.5,381.7,423.5,270.0,backfill_api
2025-06-04,431.9,465.8,431.9,465.8,260.0,backfill_api
2025-06-05,475.1,512.3,475.1,512.3,400.0,backfill_api
2025-06-08,522.1,563.5,522.1,563.5,580.0,backfill_api
2025-06-09,574.7,619.8,574.7,619.8,610.0,backfill_api
2025-06-10,632.1,681.7,632.1,681.7,570.0,backfill_api
2025-06-11,695.3,749.8,695.3,749.8,640.0,backfill_api
2025-06-12,739.7,824.7,739.7,824.7,1940.0,backfill_api
2025-06-15,841.1,907.1,841.1,907.1,10620.0,backfill_api
2025-06-16,925.2,997.8,925.2,997.8,7330.0,backfill_api
2025-06-17,1017.7,1097.5,1017.7,1097.5,4770.0,backfill_api
2025-06-18,1119.4,1207.2,1119.4,1207.2,3740.0,backfill_api
2025-06-19,1231.0,1327.9,1086.5,1086.52,229840.0,backfill_api
2025-06-22,1065.0,1065.0,977.9,977.9,49411.0,backfill_api
2025-06-23,958.4,958.4,880.2,922.4,89531.0,backfill_api
2025-06-24,910.0,1000.0,904.0,976.24,27237.0,backfill_api
2025-06-25,995.7,1025.0,940.0,991.15,33205.0,backfill_api
2025-06-26,971.4,976.0,941.0,942.94,44968.0,backfill_api
2025-06-29,925.0,950.0,901.0,912.83,31782.0,backfill_api
2025-06-30,902.0,931.1,902.0,918.58,21392.0,backfill_api
2025-07-01,912.0,935.9,912.0,917.67,13795.0,backfill_api
2025-07-02,919.0,941.4,902.0,936.3,16472.0,backfill_api
2025-07-03,925.2,930.0,915.2,924.87,16704.0,backfill_api
2025-07-06,920.0,920.0,897.0,901.17,33576.0,backfill_api
2025-07-07,901.0,914.9,889.0,892.62,21719.0,backfill_api
2025-07-08,908.3,909.0,880.1,891.83,14915.0,backfill_api
2025-07-09,890.0,908.0,881.2,885.24,16257.0,backfill_api
2025-07-10,890.0,895.0,883.0,888.85,27093.0,backfill_api
2025-07-13,906.6,906.6,881.4,882.17,15898.0,backfill_api
2025-07-14,865.0,893.2,865.0,868.07,17414.0,backfill_api
2025-07-15,868.0,885.0,864.2,878.33,15007.0,backfill_api
2025-07-16,860.8,893.0,860.8,871.71,18148.0,backfill_api
2025-07-17,870.0,900.0,870.0,890.07,18977.0,backfill_api
2025-07-20,905.0,910.0,885.1,897.89,21995.0,backfill_api
2025-07-21,900.0,911.9,885.0,894.87,19190.0,backfill_api
2025-07-22,891.0,952.0,891.0,945.88,33801.0,backfill_api
2025-07-23,950.0,960.0,915.2,921.65,32420.0,backfill_api
2025-07-24,939.0,939.0,911.1,914.39,21256.0,backfill_api
2025-07-27,896.2,923.0,896.2,901.53,20229.0,backfill_api
2025-07-28,901.0,919.0,890.0,905.2,16514.0,backfill_api
