date,open,high,low,close,volume,source
2025-02-27,650.0,660.0,650.0,652.0,21232.0,backfill_api
2025-03-02,645.0,659.0,645.0,649.0,41536.0,backfill_api
2025-03-03,640.0,700.0,640.0,650.0,41672.0,backfill_api
2025-03-04,640.0,665.0,640.0,640.0,40341.0,backfill_api
2025-03-05,635.0,645.0,635.0,636.0,31994.0,backfill_api
2025-03-06,643.0,699.0,623.3,699.0,39393.0,backfill_api
2025-03-09,685.1,685.1,629.1,630.0,56581.0,backfill_api
2025-03-10,620.0,682.0,613.5,617.9,30921.0,backfill_api
2025-03-11,628.0,628.0,588.0,589.0,33614.0,backfill_api
2025-03-12,595.0,595.0,576.0,586.0,12498.0,backfill_api
2025-03-16,586.0,609.0,570.0,578.0,12087.0,backfill_api
2025-03-17,589.0,635.0,561.6,635.0,42005.0,backfill_api
2025-03-18,640.0,640.0,571.5,586.0,35286.0,backfill_api
2025-03-19,575.0,586.0,563.0,573.0,6743.0,backfill_api
2025-03-20,562.0,568.8,550.0,558.25,15419.0,backfill_api
2025-03-23,547.2,558.9,523.1,529.91,14429.0,backfill_api
2025-03-24,525.0,540.0,515.1,530.56,13508.0,backfill_api
2025-03-25,520.0,530.0,499.1,500.27,25483.0,backfill_api
2025-03-26,500.0,535.0,500.0,525.14,9191.0,backfill_api
2025-03-27,515.0,555.0,515.0,537.05,28645.0,backfill_api
2025-03-30,527.0,570.0,527.0,550.41,31174.0,backfill_api
2025-04-01,540.0,581.0,540.0,542.91,8891.0,backfill_api
2025-04-02,533.0,559.9,533.0,546.31,12337.0,backfill_api
2025-04-03,536.0,557.6,532.0,536.16,11487.0,backfill_api
2025-04-07,531.1,536.0,521.0,527.7,9028.0,backfill_api
2025-04-08,528.0,530.0,511.2,521.26,4976.0,backfill_api
2025-04-09,512.1,548.5,512.1,528.62,15594.0,backfill_api
2025-04-10,519.0,539.1,519.0,525.91,19793.0,backfill_api
2025-04-13,518.0,530.0,515.0,515.99,11614.0,backfill_api
2025-04-15,513.0,540.6,513.0,526.86,11288.0,backfill_api
2025-04-16,530.0,537.0,520.0,530.34,15449.0,backfill_api
2025-04-17,536.0,545.0,526.0,528.7,14923.0,backfill_api
2025-04-20,538.0,538.0,520.0,521.76,8093.0,backfill_api
2025-04-21,521.2,535.0,521.2,529.34,15883.0,backfill_api
2025-04-22,530.0,535.0,520.1,521.23,10323.0,backfill_api
2025-04-23,520.0,530.4,513.0,519.44,3380.0,backfill_api
2025-04-24,529.6,529.6,505.0,507.39,17461.0,backfill_api
2025-04-27,517.5,525.0,510.0,520.34,25116.0,backfill_api
2025-04-28,521.0,532.0,520.1,521.03,13057.0,backfill_api
2025-04-29,521.0,521.0,511.5,512.8,8574.0,backfill_api
2025-04-30,512.0,524.0,510.1,521.75,27524.0,backfill_api
2025-05-04,520.0,520.0,503.0,503.64,9568.0,backfill_api
2025-05-05,503.0,512.9,500.0,501.5,25821.0,backfill_api
2025-05-06,500.0,510.0,500.0,506.58,9019.0,backfill_api
2025-05-07,508.0,544.9,507.0,540.76,30668.0,backfill_api
2025-05-08,530.0,575.0,530.0,560.55,78160.0,backfill_api
2025-05-11,571.7,601.0,571.7,582.45,133246.0,backfill_api
2025-05-13,574.0,586.0,552.0,559.2,60776.0,backfill_api
2025-05-14,550.0,569.0,545.3,546.84,28533.0,backfill_api
2025-05-15,536.0,552.0,535.0,546.74,33220.0,backfill_api
2025-05-18,546.7,556.0,532.0,535.11,28634.0,backfill_api
2025-05-19,545.0,565.0,545.0,548.87,157093.0,backfill_api
2025-05-20,330.9,356.8,330.9,356.8,15154.0,backfill_api
2025-05-21,363.9,392.0,345.2,346.04,90518.0,backfill_api
2025-05-22,351.0,351.0,338.0,339.0,42624.0,backfill_api
2025-05-25,336.5,340.0,328.0,330.3,17005.0,backfill_api
2025-05-26,336.9,341.0,329.1,330.58,61911.0,backfill_api
2025-05-27,328.0,339.0,323.0,330.13,16426.0,backfill_api
2025-05-28,335.0,335.5,325.0,329.91,16604.0,backfill_api
2025-06-02,335.0,336.0,325.0,325.49,19538.0,backfill_api
2025-06-03,325.0,331.0,318.1,321.06,11497.0,backfill_api
2025-06-04,317.2,333.4,317.2,323.9,9422.0,backfill_api
2025-06-05,318.0,343.3,318.0,333.0,38541.0,backfill_api
2025-06-08,330.1,334.0,326.0,331.24,17935.0,backfill_api
2025-06-09,331.0,340.0,331.0,335.67,31024.0,backfill_api
2025-06-10,342.0,342.0,335.0,335.36,16931.0,backfill_api
2025-06-11,336.0,336.0,325.3,327.7,13595.0,backfill_api
2025-06-12,333.0,333.9,322.7,324.69,24797.0,backfill_api
2025-06-15,331.0,356.0,319.0,348.28,33428.0,backfill_api
2025-06-16,348.0,367.0,344.1,345.42,62244.0,backfill_api
2025-06-17,351.0,351.0,335.0,345.8,23240.0,backfill_api
2025-06-18,339.0,347.0,333.0,338.67,12668.0,backfill_api
2025-06-19,338.0,340.0,325.4,327.77,24902.0,backfill_api
2025-06-22,321.3,334.2,309.0,312.47,30483.0,backfill_api
2025-06-23,318.0,318.0,308.0,316.39,5820.0,backfill_api
2025-06-24,322.0,322.7,310.0,312.01,14827.0,backfill_api
2025-06-25,315.0,333.0,310.0,318.11,14908.0,backfill_api
2025-06-26,324.0,329.0,320.1,323.05,25473.0,backfill_api
2025-06-29,320.0,332.0,320.0,325.62,25020.0,backfill_api
2025-06-30,330.0,358.1,330.0,358.1,135359.0,backfill_api
2025-07-01,365.2,393.9,353.0,387.86,111691.0,backfill_api
