date,open,high,low,close,volume,source
2025-02-27,422.0,425.0,415.0,422.3,67555.0,backfill_api
2025-03-02,425.0,434.9,425.0,430.0,78291.0,backfill_api
2025-03-03,431.0,440.6,426.0,428.0,133044.0,backfill_api
2025-03-04,436.5,436.5,418.0,419.0,104976.0,backfill_api
2025-03-05,420.0,425.0,415.1,416.6,61004.0,backfill_api
2025-03-06,416.6,423.0,415.0,417.0,54252.0,backfill_api
2025-03-09,418.0,420.0,408.7,410.8,57229.0,backfill_api
2025-03-10,411.7,417.0,406.2,408.0,68438.0,backfill_api
2025-03-11,408.0,410.0,399.9,400.0,63309.0,backfill_api
2025-03-12,401.0,406.0,400.1,404.0,30118.0,backfill_api
2025-03-16,404.1,405.0,396.1,399.0,37141.0,backfill_api
2025-03-17,404.9,404.9,396.0,400.0,33629.0,backfill_api
2025-03-18,397.0,404.9,397.0,397.5,23011.0,backfill_api
2025-03-19,397.5,427.0,395.1,399.9,78135.0,backfill_api
2025-03-20,399.0,404.0,396.0,397.72,18302.0,backfill_api
2025-03-23,396.0,397.0,385.0,385.37,48666.0,backfill_api
2025-03-24,383.0,389.9,380.0,386.55,29559.0,backfill_api
2025-03-25,381.0,382.8,372.4,373.69,48570.0,backfill_api
2025-03-26,380.0,380.0,374.0,378.64,26959.0,backfill_api
2025-03-27,377.0,381.0,374.0,379.83,41441.0,backfill_api
2025-03-30,376.2,390.6,376.2,387.13,47259.0,backfill_api
2025-04-01,380.1,390.0,376.5,381.61,34311.0,backfill_api
2025-04-02,377.0,388.0,377.0,384.5,14351.0,backfill_api
2025-04-03,379.0,387.0,379.0,381.99,27194.0,backfill_api
2025-04-07,389.6,389.6,370.0,379.38,17178.0,backfill_api
2025-04-08,374.0,378.0,372.2,376.69,23642.0,backfill_api
2025-04-09,384.0,384.0,373.0,373.56,20447.0,backfill_api
2025-04-10,370.2,383.0,370.1,375.13,33998.0,backfill_api
2025-04-13,376.0,392.0,374.3,379.68,61594.0,backfill_api
2025-04-15,387.2,400.0,376.0,386.41,41269.0,backfill_api
2025-04-16,381.0,407.0,381.0,398.46,72374.0,backfill_api
2025-04-17,405.0,410.0,391.0,400.64,87130.0,backfill_api
2025-04-20,393.0,403.0,393.0,394.18,43915.0,backfill_api
2025-04-21,388.2,409.0,388.2,403.12,94624.0,backfill_api
2025-04-22,395.1,416.0,395.1,402.31,105415.0,backfill_api
2025-04-23,408.9,408.9,393.0,394.67,44425.0,backfill_api
2025-04-24,386.8,401.0,386.8,393.56,83140.0,backfill_api
2025-04-27,398.3,401.7,393.4,397.76,68497.0,backfill_api
2025-04-28,399.0,400.0,386.0,389.46,63303.0,backfill_api
2025-04-29,397.0,428.4,391.0,408.73,246372.0,backfill_api
2025-04-30,416.9,416.9,401.0,402.53,70973.0,backfill_api
2025-05-04,410.5,410.5,392.0,393.86,60321.0,backfill_api
2025-05-05,401.7,401.7,387.0,388.95,42033.0,backfill_api
