date,open,high,low,close,volume,source
2025-02-27,600.0,620.0,590.2,594.0,164609.0,backfill_api
2025-03-02,603.0,629.0,603.0,629.0,146340.0,backfill_api
2025-03-03,641.1,641.1,605.8,613.5,101603.0,backfill_api
2025-03-04,625.7,625.7,595.0,599.0,73745.0,backfill_api
2025-03-05,610.0,610.0,580.0,585.0,59522.0,backfill_api
2025-03-06,577.0,590.0,577.0,583.0,46667.0,backfill_api
2025-03-09,594.3,594.3,564.0,565.0,61982.0,backfill_api
2025-03-10,575.9,585.0,565.2,570.0,44039.0,backfill_api
2025-03-11,577.0,581.0,555.0,556.2,45687.0,backfill_api
2025-03-12,560.0,566.0,552.0,552.0,32308.0,backfill_api
2025-03-16,560.0,563.0,528.1,534.0,51533.0,backfill_api
2025-03-17,532.0,550.0,530.0,535.0,42939.0,backfill_api
2025-03-18,543.0,545.0,535.0,539.0,14116.0,backfill_api
2025-03-19,544.9,544.9,527.5,530.0,21883.0,backfill_api
2025-03-20,530.0,532.0,521.0,522.61,25240.0,backfill_api
2025-03-23,513.4,520.0,505.2,506.56,26569.0,backfill_api
2025-03-24,505.0,538.0,503.0,530.54,48561.0,backfill_api
2025-03-25,541.1,541.1,505.0,509.47,40515.0,backfill_api
2025-03-26,499.3,530.0,499.3,525.46,20880.0,backfill_api
2025-03-27,533.0,540.0,515.0,536.08,39791.0,backfill_api
2025-03-30,528.1,555.0,525.0,546.89,50076.0,backfill_api
2025-04-01,545.9,546.8,527.5,533.28,27044.0,backfill_api
2025-04-02,542.0,576.0,532.1,557.71,58554.0,backfill_api
2025-04-03,564.9,570.0,543.0,546.97,33086.0,backfill_api
2025-04-07,543.0,547.9,525.0,525.89,25891.0,backfill_api
2025-04-08,535.0,536.0,514.1,533.32,32784.0,backfill_api
2025-04-09,539.0,540.0,525.0,530.9,17492.0,backfill_api
2025-04-10,530.0,536.0,525.1,526.58,17491.0,backfill_api
2025-04-13,521.0,524.9,513.0,514.51,33664.0,backfill_api
2025-04-15,510.0,535.0,505.3,528.92,30454.0,backfill_api
