date,open,high,low,close,volume,source
2025-02-27,554.0,576.0,554.0,567.0,124023.0,backfill_api
2025-03-02,567.0,590.0,567.0,582.9,186981.0,backfill_api
2025-03-03,575.0,593.0,575.0,581.0,194373.0,backfill_api
2025-03-04,585.0,590.0,568.0,570.0,135852.0,backfill_api
2025-03-05,562.4,571.9,560.1,569.8,118893.0,backfill_api
2025-03-06,565.0,574.0,560.2,574.0,61586.0,backfill_api
2025-03-09,574.9,581.0,560.2,563.1,104344.0,backfill_api
2025-03-10,561.0,570.9,558.1,563.0,107896.0,backfill_api
2025-03-11,572.0,572.0,550.0,552.0,87554.0,backfill_api
2025-03-12,552.0,570.0,552.0,570.0,101273.0,backfill_api
2025-03-16,577.0,577.0,566.3,575.0,141638.0,backfill_api
2025-03-17,583.0,583.0,566.5,575.0,129451.0,backfill_api
2025-03-18,586.5,586.5,562.1,565.0,87850.0,backfill_api
2025-03-19,565.0,566.0,549.0,550.0,63467.0,backfill_api
2025-03-20,545.0,555.0,542.1,547.34,69391.0,backfill_api
2025-03-23,541.1,548.7,531.5,531.77,110510.0,backfill_api
2025-03-24,521.2,545.0,521.0,536.84,85320.0,backfill_api
2025-03-25,535.0,537.0,515.0,521.23,74570.0,backfill_api
2025-03-26,528.0,545.0,519.2,535.87,70480.0,backfill_api
2025-03-27,527.0,549.0,520.0,544.22,100760.0,backfill_api
2025-03-30,544.0,555.0,536.0,552.22,174878.0,backfill_api
2025-04-01,553.0,554.9,540.0,549.91,79154.0,backfill_api
2025-04-02,550.0,555.0,541.0,549.0,51578.0,backfill_api
2025-04-03,550.0,554.5,543.0,543.79,114506.0,backfill_api
2025-04-07,537.0,547.0,533.3,537.12,45587.0,backfill_api
2025-04-08,538.0,538.0,524.0,528.53,45108.0,backfill_api
2025-04-09,528.0,539.0,528.0,534.33,78993.0,backfill_api
2025-04-10,540.0,545.0,534.1,538.4,38220.0,backfill_api
2025-04-13,538.0,540.0,532.0,533.75,11672.0,backfill_api
2025-04-15,525.1,538.0,525.1,529.72,22102.0,backfill_api
2025-04-16,523.0,548.0,523.0,539.35,58647.0,backfill_api
2025-04-17,547.5,561.0,540.1,546.8,81681.0,backfill_api
2025-04-20,544.8,544.8,535.1,535.72,32171.0,backfill_api
2025-04-21,528.1,544.0,528.1,538.12,32847.0,backfill_api
2025-04-22,530.0,540.0,526.0,527.41,49396.0,backfill_api
2025-04-23,527.0,534.8,520.0,520.33,43023.0,backfill_api
2025-04-24,516.0,523.0,514.0,518.52,53032.0,backfill_api
2025-04-27,520.0,535.0,516.0,523.69,112455.0,backfill_api
2025-04-28,533.0,534.8,518.0,519.73,90906.0,backfill_api
2025-04-29,518.0,523.9,514.0,514.93,29381.0,backfill_api
2025-04-30,514.0,520.0,513.2,515.02,52613.0,backfill_api
2025-05-04,517.0,519.0,510.5,514.37,64447.0,backfill_api
2025-05-05,523.5,534.3,496.0,504.46,224490.0,backfill_api
2025-05-06,509.9,524.7,505.3,514.01,101001.0,backfill_api
2025-05-07,524.2,527.5,515.1,522.38,190103.0,backfill_api
2025-05-08,525.0,530.0,510.0,510.96,174426.0,backfill_api
2025-05-11,510.9,516.9,506.6,509.14,83109.0,backfill_api
2025-05-13,514.0,518.0,503.3,504.43,75396.0,backfill_api
2025-05-14,505.0,509.9,498.0,498.81,56922.0,backfill_api
2025-05-15,498.0,506.8,494.3,496.2,68476.0,backfill_api
2025-05-18,496.1,505.9,493.4,496.13,48662.0,backfill_api
2025-05-19,500.0,503.0,496.1,497.23,21048.0,backfill_api
2025-05-20,506.0,518.0,497.0,514.74,46394.0,backfill_api
2025-05-21,525.0,545.0,515.9,517.36,102289.0,backfill_api
2025-05-22,527.7,527.7,515.0,516.83,49440.0,backfill_api
2025-05-25,527.1,527.1,512.0,513.61,32153.0,backfill_api
2025-05-26,523.8,534.2,511.6,512.51,52388.0,backfill_api
2025-05-27,522.6,522.6,507.1,508.7,42156.0,backfill_api
2025-05-28,508.0,513.9,506.1,509.95,24481.0,backfill_api
2025-06-02,519.3,519.8,512.1,513.37,55405.0,backfill_api
2025-06-03,511.0,517.9,510.0,511.54,38169.0,backfill_api
2025-06-04,520.0,520.0,501.4,510.89,26180.0,backfill_api
2025-06-05,511.0,513.9,505.0,508.98,37635.0,backfill_api
2025-06-08,514.5,514.5,505.5,506.99,88911.0,backfill_api
2025-06-09,455.0,455.0,440.0,444.8,50168.0,backfill_api
2025-06-10,446.0,457.9,446.0,452.56,26927.0,backfill_api
2025-06-11,454.9,454.9,446.1,447.88,18780.0,backfill_api
2025-06-12,445.0,447.0,442.0,443.95,20647.0,backfill_api
2025-06-15,443.0,447.0,443.0,444.45,14184.0,backfill_api
2025-06-16,444.45,447.0,440.5,444.18,19820.0,backfill_api
2025-06-17,447.0,448.0,441.2,444.36,17202.0,backfill_api
2025-06-18,443.7,448.5,442.4,443.9,12894.0,backfill_api
2025-06-19,443.0,450.0,441.0,442.48,22663.0,backfill_api
2025-06-22,440.0,441.0,433.2,433.84,30116.0,backfill_api
2025-06-23,440.0,441.0,432.0,435.5,15422.0,backfill_api
2025-06-24,433.1,440.0,433.0,434.06,11544.0,backfill_api
2025-06-25,434.1,436.0,431.2,432.83,10860.0,backfill_api
2025-06-26,431.1,435.9,430.0,430.42,21505.0,backfill_api
2025-06-29,431.0,439.0,430.0,437.35,20776.0,backfill_api
2025-06-30,436.0,444.5,436.0,439.76,15057.0,backfill_api
2025-07-01,447.9,450.0,440.0,448.83,16532.0,backfill_api
2025-07-02,455.0,462.7,446.0,459.5,41545.0,backfill_api
2025-07-03,464.9,480.0,455.7,479.7,203534.0,backfill_api
2025-07-06,480.7,485.0,473.7,474.62,97161.0,backfill_api
2025-07-07,480.0,480.0,468.0,471.33,163996.0,backfill_api
2025-07-08,465.0,476.3,465.0,472.7,25563.0,backfill_api
2025-07-09,478.0,478.0,470.5,472.92,30840.0,backfill_api
2025-07-10,465.2,480.0,465.2,476.45,27983.0,backfill_api
2025-07-13,485.0,485.0,472.3,474.4,58025.0,backfill_api
2025-07-14,473.0,473.0,466.0,467.92,20220.0,backfill_api
2025-07-15,468.0,474.0,461.3,471.85,19662.0,backfill_api
2025-07-16,472.0,480.0,471.1,476.68,83840.0,backfill_api
2025-07-17,475.0,494.0,475.0,492.08,133635.0,backfill_api
2025-07-20,501.9,510.0,488.0,493.82,149947.0,backfill_api
2025-07-21,490.0,496.0,482.0,492.86,56981.0,backfill_api
2025-07-22,492.0,513.0,492.0,510.42,172965.0,backfill_api
2025-07-23,520.0,520.0,493.0,509.94,138802.0,backfill_api
2025-07-24,510.0,520.9,509.0,515.49,189096.0,backfill_api
2025-07-27,525.7,526.0,507.0,512.47,186861.0,backfill_api
2025-07-28,510.1,514.9,502.4,512.59,67664.0,backfill_api
2025-07-29,504.0,521.9,504.0,517.72,148900.0,backfill_api
2025-07-30,522.0,522.0,504.0,505.14,53155.0,backfill_api
2025-07-31,509.0,510.0,495.3,496.84,99581.0,backfill_api
2025-08-03,492.3,497.5,484.0,485.45,77607.0,backfill_api
2025-08-04,485.0,490.0,481.2,489.39,31899.0,backfill_api
2025-08-05,489.0,490.0,480.5,482.2,24667.0,backfill_api
2025-08-06,485.0,485.0,476.0,477.25,21983.0,backfill_api
2025-08-07,472.0,498.0,472.0,484.84,56464.0,backfill_api
2025-08-11,485.1,504.3,481.1,484.94,117489.0,backfill_api
2025-08-12,480.0,482.0,478.3,479.54,13537.0,backfill_api
2025-08-13,475.0,490.0,475.0,475.75,39713.0,backfill_api
2025-08-14,475.0,484.1,473.0,473.57,16108.0,backfill_api
2025-08-17,470.0,480.0,466.1,474.34,121451.0,backfill_api
2025-08-18,464.9,482.4,464.9,479.68,70925.0,backfill_api
2025-08-19,479.68,485.0,476.1,483.3,90215.0,backfill_api
2025-08-20,485.0,488.0,475.5,476.02,57854.0,backfill_api
2025-08-21,475.0,484.5,475.0,477.27,37313.0,backfill_api
2025-08-24,469.0,494.0,469.0,474.59,104290.0,backfill_api
2025-08-25,466.0,476.0,466.0,475.65,21228.0,backfill_api
2025-08-26,475.65,482.9,472.1,476.78,27492.0,backfill_api
2025-08-27,476.0,498.0,473.0,489.23,177939.0,backfill_api
2025-08-28,491.0,495.0,478.5,479.95,85710.0,backfill_api
2025-08-31,478.0,480.0,469.3,469.76,41368.0,backfill_api
2025-09-01,479.1,479.1,467.0,472.66,70711.0,backfill_api
2025-09-02,472.66,474.0,466.0,466.56,25274.0,backfill_api
2025-09-03,465.1,470.0,463.0,463.6,17682.0,backfill_api
2025-09-04,460.2,469.4,458.7,461.1,26402.0,backfill_api
2025-09-07,455.5,465.9,453.3,455.04,26746.0,backfill_api
2025-09-08,451.0,459.0,447.0,448.43,34612.0,backfill_api
2025-09-18,439.5,439.5,423.0,424.0,2739.0,backfill_api
2025-09-21,416.0,453.9,416.0,447.89,53038.0,backfill_api
2025-09-23,447.0,480.0,440.0,467.0,96077.0,backfill_api
2025-09-24,470.0,474.9,462.0,468.5,56386.0,backfill_api
2025-09-25,460.0,464.9,456.0,461.9,18500.0,backfill_api
2025-09-28,471.0,477.9,463.2,472.0,61784.0,backfill_api
2025-10-07,466.1,467.0,450.0,451.3,36241.0,backfill_api
2025-10-08,451.0,452.0,440.1,448.8,29176.0,backfill_api
2025-10-09,450.0,474.0,448.8,453.0,27174.0,backfill_api
2025-10-12,450.0,450.0,436.2,437.0,31142.0,backfill_api
2025-10-13,430.0,447.6,430.0,447.6,22100.0,backfill_api
2025-10-14,442.0,449.8,442.0,444.0,17573.0,backfill_api
2025-10-15,436.0,445.0,436.0,441.0,13728.0,backfill_api
2025-10-16,434.1,441.0,434.1,436.0,13100.0,backfill_api
2025-10-19,440.0,440.0,431.2,434.3,8029.0,backfill_api
2025-10-26,432.0,439.8,432.0,439.0,11807.0,backfill_api
2025-10-28,441.1,469.0,441.1,469.0,82353.0,backfill_api
2025-10-29,468.0,477.0,463.6,471.5,125750.0,backfill_api
2025-10-30,464.0,482.0,463.1,479.0,129704.0,backfill_api
2025-11-02,482.0,494.0,476.0,491.0,195150.0,backfill_api
2025-11-03,488.0,493.0,481.2,487.9,126777.0,backfill_api
2025-11-04,481.1,505.0,478.3,483.0,79703.0,backfill_api
2025-11-05,482.0,482.0,470.6,478.0,45091.0,backfill_api
2025-11-06,485.0,485.0,474.0,474.0,32326.0,backfill_api
2025-11-09,480.0,480.0,465.1,480.0,73333.0,backfill_api
2025-11-10,472.1,474.0,467.0,470.2,100836.0,backfill_api
2025-11-11,478.0,478.0,465.0,468.9,34621.0,backfill_api
2025-11-12,462.0,471.2,459.8,460.0,38547.0,backfill_api
2025-11-13,460.0,471.0,457.0,467.0,41629.0,backfill_api
2025-11-16,460.6,475.0,460.6,472.7,103159.0,backfill_api
2025-11-17,473.0,480.0,468.1,473.8,62068.0,backfill_api
2025-11-18,474.0,479.0,472.5,475.0,76235.0,backfill_api
2025-11-19,484.0,484.0,470.5,475.0,55885.0,backfill_api
2025-11-20,467.0,472.0,467.0,471.0,30932.0,backfill_api
2025-11-23,473.0,480.0,473.0,476.0,113163.0,backfill_api
2025-11-24,484.9,506.0,476.2,502.0,413500.0,backfill_api
2025-11-25,512.0,512.0,492.0,497.0,113054.0,backfill_api
2025-11-26,504.0,504.0,492.0,497.4,211667.0,backfill_api
2025-11-27,489.3,509.0,489.3,503.8,263563.0,backfill_api
2025-11-30,513.8,516.0,500.2,500.2,257339.0,backfill_api
2025-12-01,500.0,505.0,493.0,496.0,132777.0,backfill_api
2025-12-02,486.1,504.0,486.1,494.5,91492.0,backfill_api
2025-12-03,495.0,497.8,485.0,485.0,96476.0,backfill_api
2025-12-07,485.0,493.0,480.0,482.9,89255.0,backfill_api
2025-12-08,483.4,491.0,480.2,486.9,71745.0,backfill_api
2025-12-09,488.0,493.7,482.0,488.4,62719.0,backfill_api
2025-12-10,490.0,495.3,488.0,489.9,60328.0,backfill_api
2025-12-11,486.3,495.9,486.3,491.0,45736.0,backfill_api
2025-12-14,494.8,494.8,485.3,487.0,46778.0,backfill_api
2025-12-15,482.0,491.0,482.0,488.0,25401.0,backfill_api
2025-12-16,490.0,492.0,486.5,488.0,50292.0,backfill_api
2025-12-17,490.0,500.0,488.0,494.1,57322.0,backfill_api
2025-12-18,498.9,500.0,490.0,492.0,168885.0,backfill_api
2025-12-21,490.0,490.2,475.0,478.0,92451.0,backfill_api
2025-12-22,471.0,475.0,467.0,467.5,86615.0,backfill_api
2025-12-23,465.0,472.0,462.0,466.3,31752.0,backfill_api
2025-12-24,475.6,475.6,466.1,467.0,22752.0,backfill_api
2025-12-28,470.0,479.9,469.0,475.6,42943.0,backfill_api
2025-12-29,484.9,484.9,472.1,472.3,27673.0,backfill_api
2025-12-31,481.7,481.7,472.2,476.0,37483.0,backfill_api
2026-01-01,480.0,480.0,474.1,475.9,42147.0,backfill_api
2026-01-04,476.1,477.0,473.0,476.0,60619.0,backfill_api
2026-01-05,466.5,466.5,457.2,465.4,66915.0,backfill_api
2026-01-06,465.0,470.0,462.4,466.0,28158.0,backfill_api
2026-01-07,475.3,475.3,460.0,461.1,41260.0,backfill_api
2026-01-08,451.9,467.8,451.9,467.0,50532.0,backfill_api
2026-01-12,460.2,467.5,460.2,464.0,28756.0,backfill_api
2026-01-13,464.0,470.0,462.5,463.7,46595.0,backfill_api
2026-01-14,463.7,466.0,462.0,463.6,28405.0,backfill_api
2026-01-18,463.0,469.0,462.3,466.0,57801.0,backfill_api
2026-01-20,466.0,477.8,466.0,476.8,85579.0,backfill_api
2026-01-21,482.8,482.8,474.5,476.0,40538.0,backfill_api
2026-01-22,474.0,477.0,472.0,475.0,33963.0,backfill_api
2026-01-25,475.0,485.1,465.6,483.0,42615.0,backfill_api
2026-01-26,485.0,485.0,475.1,481.0,52313.0,backfill_api
2026-01-27,481.0,481.0,469.0,470.0,68256.0,backfill_api
2026-01-28,463.1,471.0,463.1,469.5,23002.0,backfill_api
2026-01-29,469.5,470.0,464.2,466.0,47967.0,backfill_api
2026-02-01,473.0,473.0,460.8,461.3,44230.0,backfill_api
2026-02-02,462.0,465.0,460.2,461.8,32505.0,backfill_api
2026-02-03,460.1,464.0,460.1,460.4,13891.0,backfill_api
2026-02-04,461.9,464.5,457.3,462.0,20753.0,backfill_api
2026-02-05,462.0,467.1,458.0,467.1,47561.0,backfill_api
2026-02-08,467.0,470.4,462.3,463.1,37168.0,backfill_api
2026-02-09,462.0,462.0,457.0,458.9,26654.0,backfill_api
2026-02-10,456.5,460.1,454.7,454.7,29031.0,backfill_api
2026-02-11,458.0,458.0,452.2,453.0,28692.0,backfill_api
2026-02-12,453.0,455.9,450.2,455.0,27426.0,backfill_api
2026-02-16,464.1,464.1,451.5,455.0,30332.0,backfill_api
2026-02-17,462.0,462.0,451.0,453.0,20652.0,backfill_api
2026-02-22,462.0,462.0,448.1,450.0,19072.0,backfill_api
2026-02-23,459.0,459.0,447.2,448.7,16905.0,backfill_api
2026-02-24,457.6,457.6,445.0,453.5,12314.0,backfill_api
2026-02-25,458.0,468.9,452.0,468.0,53095.0,backfill_api
2026-02-26,477.3,477.3,461.1,468.9,22853.0,backfill_api
2026-03-01,468.9,472.5,457.0,471.0,38574.0,backfill_api
2026-03-03,480.4,482.0,464.0,481.0,53285.0,backfill_api
2026-03-09,490.6,520.2,490.6,520.2,3443.0,backfill_api
2026-03-10,515.0,520.0,492.0,503.1,157164.0,backfill_api
2026-03-11,513.0,513.0,489.0,498.0,76551.0,backfill_api
2026-03-12,498.0,499.9,488.1,499.0,53453.0,backfill_api
2026-03-15,508.9,508.9,489.0,490.0,36467.0,backfill_api
2026-03-16,495.0,498.8,479.0,480.0,46300.0,backfill_api
2026-03-17,485.0,485.0,479.2,480.0,60823.0,backfill_api
2026-03-19,480.0,496.0,480.0,495.0,59072.0,backfill_api
2026-03-22,495.0,510.0,495.0,504.0,115500.0,backfill_api
2026-03-23,504.0,509.8,496.0,502.0,74705.0,backfill_api
2026-03-24,503.0,504.0,496.4,500.1,57419.0,backfill_api
2026-03-25,500.0,501.0,490.3,495.0,63246.0,backfill_api
2026-03-26,490.0,496.2,487.0,492.1,44526.0,backfill_api
2026-03-29,501.9,501.9,478.3,481.0,75802.0,backfill_api
2026-03-30,478.0,485.0,473.7,474.1,44028.0,backfill_api
2026-03-31,473.0,482.8,467.2,477.0,43935.0,backfill_api
2026-04-01,473.2,478.8,465.0,468.5,38508.0,backfill_api
2026-04-02,460.5,472.4,460.5,469.0,34933.0,backfill_api
2026-04-05,461.1,464.0,453.0,454.0,45889.0,backfill_api
2026-04-06,454.0,466.7,452.0,465.0,39706.0,backfill_api
2026-04-07,465.0,469.9,463.0,465.0,50597.0,backfill_api
2026-04-08,468.0,471.9,464.0,470.8,19147.0,backfill_api
2026-04-09,479.0,479.0,465.6,475.0,28591.0,backfill_api
2026-04-10,474.0,475.0,467.5,468.0,18488.0,backfill_api
2026-04-13,465.1,473.5,465.1,466.0,9671.0,backfill_api
2026-04-15,467.2,477.0,467.2,470.2,30744.0,backfill_api
2026-04-16,468.1,474.0,468.1,468.8,25212.0,backfill_api
2026-04-17,467.0,469.7,465.0,469.7,15386.0,backfill_api
2026-04-20,470.0,473.0,460.0,465.0,12293.0,backfill_api
2026-04-21,455.0,466.0,455.0,463.0,7430.0,backfill_api
2026-04-22,457.0,465.0,456.8,460.1,31773.0,backfill_api
2026-04-23,457.1,463.0,455.0,457.7,11273.0,backfill_api
2026-04-24,457.0,460.0,455.0,458.0,9676.0,backfill_api
2026-04-27,458.0,469.0,455.5,469.0,50640.0,backfill_api
2026-04-28,469.0,465.0,460.0,461.9,15629.0,backfill_api
2026-04-29,461.9,470.0,456.3,459.0,17090.0,backfill_api
2026-04-30,457.1,461.0,454.0,460.1,13805.0,backfill_api
2026-05-04,456.0,460.0,456.0,456.1,12187.0,backfill_api
2026-05-05,452.1,459.0,451.2,456.0,10764.0,backfill_api
2026-05-06,456.0,460.0,453.0,458.0,4222.0,backfill_api
2026-05-07,457.0,461.0,457.0,459.9,10239.0,backfill_api
2026-05-08,459.0,468.8,459.0,462.0,11927.0,backfill_api
2026-05-11,462.1,468.8,462.0,467.0,10629.0,backfill_api
2026-05-12,466.0,467.0,460.4,463.5,14870.0,backfill_api
2026-05-13,457.9,464.5,455.2,461.0,5804.0,backfill_api
2026-05-14,461.0,464.0,456.0,458.0,4271.0,backfill_api
2026-05-15,480.9,480.9,454.2,458.6,6859.0,backfill_api
2026-05-18,459.0,465.0,456.2,458.0,9428.0,backfill_api
2026-05-19,460.0,469.9,458.4,459.2,14106.0,backfill_api
2026-05-20,458.1,470.0,458.1,465.2,12313.0,backfill_api
2026-05-21,464.0,465.4,462.1,462.5,14028.0,backfill_api
2026-05-22,461.2,465.8,461.2,465.0,9340.0,backfill_api
2026-05-25,466.0,471.0,461.0,469.4,34869.0,backfill_api
2026-05-26,465.5,470.9,465.5,469.4,18142.0,backfill_api
2026-05-27,465.0,473.0,465.0,468.2,9758.0,backfill_api
2026-06-01,468.0,472.0,460.0,466.0,8701.0,backfill_api
2026-06-02,466.0,469.5,460.4,467.9,8457.0,backfill_api
2026-06-03,467.0,481.0,462.3,478.2,67095.0,backfill_api
2026-06-04,478.2,483.0,473.0,476.0,16395.0,backfill_api
2026-06-05,470.0,477.0,470.0,474.5,22198.0,backfill_api
2026-06-08,473.4,475.0,468.1,470.1,28793.0,backfill_api
2026-06-09,470.0,479.8,463.2,469.0,22953.0,backfill_api
2026-06-10,469.9,479.9,466.0,468.0,7862.0,backfill_api
2026-06-11,465.0,470.0,465.0,466.0,11621.0,backfill_api
2026-06-12,466.0,466.1,463.2,465.4,9608.0,backfill_api
2026-06-15,462.1,464.0,462.0,463.8,9858.0,backfill_api
2026-06-16,459.4,462.0,459.2,459.2,19061.0,backfill_api
2026-06-17,459.2,462.0,458.1,459.6,7078.0,backfill_api
2026-06-18,457.3,461.0,457.3,458.7,8074.0,backfill_api
2026-06-19,458.5,460.0,455.3,459.0,17620.0,backfill_api
2026-06-22,456.3,464.0,456.2,459.0,10002.0,backfill_api
2026-06-23,456.5,457.0,452.4,456.5,14678.0,backfill_api
2026-06-24,456.0,457.0,450.2,454.8,25513.0,backfill_api
2026-06-25,451.3,453.9,447.2,452.0,7995.0,backfill_api
2026-06-26,452.0,453.0,450.1,451.0,13883.0,backfill_api
2026-06-29,450.5,451.0,447.4,447.4,9263.0,backfill_api
2026-06-30,444.6,447.4,444.1,444.1,9182.0,backfill_api
2026-07-01,440.1,451.8,440.1,451.5,5521.0,backfill_api
2026-07-02,451.5,452.9,447.0,449.0,5246.0,backfill_api
2026-07-03,446.0,453.3,446.0,452.0,4195.0,backfill_api
2026-07-06,452.0,452.5,447.0,452.0,8176.0,backfill_api
2026-07-07,455.0,460.0,447.2,449.3,13131.0,backfill_api
2026-07-08,448.0,450.0,445.3,448.5,13422.0,backfill_api
2026-07-09,445.5,449.9,445.5,449.7,14625.0,backfill_api
2026-07-10,449.7,449.7,442.0,444.0,15966.0,backfill_api
2026-07-13,440.5,443.9,437.0,439.9,17502.0,backfill_api
2026-07-14,439.0,442.8,436.0,440.0,12497.0,backfill_api
2026-07-15,440.0,444.7,437.0,441.8,5624.0,backfill_api
2026-07-16,437.1,443.0,437.1,440.0,6013.0,backfill_api
2026-07-17,436.0,451.8,436.0,451.8,9257.0,backfill_api
2026-07-20,455.0,463.0,446.5,459.5,9225.0,backfill_api
2026-07-21,460.5,463.7,456.0,458.9,34536.0,backfill_api
2026-07-22,450.1,459.0,450.1,456.7,15294.0,backfill_api
2026-07-23,445.1,458.0,445.1,458.0,13601.0,daily_scrape
2026-07-24,451.1,458.0,451.1,455.0,10240.0,daily_scrape
2026-07-27,451.1,458.0,441.4,445.0,64248.0,daily_scrape
2026-07-28,444.0,446.0,440.9,444.0,17410.0,daily_scrape
2026-07-30,440.3,444.0,440.3,441.9,8512.0,daily_scrape
2026-07-31,440.2,444.8,439.5,444.5,11354.0,daily_scrape
2026-08-03,430.0,445.0,430.0,442.9,9208.0,daily_scrape
2026-08-04,446.0,446.0,429.0,435.0,48579.0,daily_scrape
2026-08-05,430.1,438.4,430.1,437.7,9514.0,daily_scrape
2026-08-06,416.0,435.0,416.0,432.5,27466.0,daily_scrape
2026-08-07,428.0,431.9,428.0,431.7,8967.0,daily_scrape
2026-08-10,431.7,434.0,423.0,424.0,21810.0,daily_scrape
2026-08-11,421.0,426.0,418.0,422.9,23788.0,daily_scrape
2026-08-12,421.1,425.9,421.1,421.5,18238.0,daily_scrape
