date,open,high,low,close,volume,source
2025-02-27,421.0,432.0,419.0,420.1,63559.0,backfill_api
2025-03-02,426.0,442.0,424.0,442.0,104726.0,backfill_api
2025-03-03,450.8,450.8,426.0,427.2,79912.0,backfill_api
2025-03-04,435.0,455.0,426.1,437.0,152558.0,backfill_api
2025-03-05,445.7,445.7,428.4,433.7,54731.0,backfill_api
2025-03-06,438.0,445.0,430.0,440.0,112964.0,backfill_api
2025-03-09,448.8,448.8,423.2,423.8,58977.0,backfill_api
2025-03-10,432.0,432.0,418.0,421.0,58305.0,backfill_api
2025-03-11,417.5,452.0,417.1,434.1,241096.0,backfill_api
2025-03-12,440.0,446.0,434.2,434.4,61539.0,backfill_api
2025-03-16,428.0,431.0,419.1,421.0,47073.0,backfill_api
2025-03-17,417.0,425.9,415.1,420.0,31217.0,backfill_api
2025-03-18,428.4,428.4,413.2,417.9,30868.0,backfill_api
2025-03-19,409.6,418.0,406.0,411.9,22817.0,backfill_api
2025-03-20,420.0,420.0,405.4,408.78,18889.0,backfill_api
2025-03-23,412.0,412.0,398.5,399.43,45598.0,backfill_api
2025-03-24,396.0,407.4,396.0,405.59,24698.0,backfill_api
2025-03-25,397.6,400.1,389.9,391.0,39481.0,backfill_api
2025-03-26,398.0,405.0,391.2,401.76,25249.0,backfill_api
2025-03-27,393.9,409.0,393.9,406.81,30129.0,backfill_api
2025-03-30,405.0,419.7,400.0,412.35,49065.0,backfill_api
2025-04-01,408.0,414.0,403.4,407.64,27518.0,backfill_api
2025-04-02,402.5,411.8,402.5,408.03,25175.0,backfill_api
2025-04-03,399.9,415.0,399.9,406.41,43633.0,backfill_api
2025-04-07,405.0,406.0,401.0,401.36,36444.0,backfill_api
2025-04-08,400.0,402.9,395.7,401.76,20340.0,backfill_api
2025-04-09,399.7,408.8,399.1,404.41,17111.0,backfill_api
2025-04-10,402.4,409.0,400.1,401.72,24385.0,backfill_api
2025-04-13,406.0,406.0,397.9,399.1,33886.0,backfill_api
2025-04-15,396.4,411.3,396.4,406.31,22612.0,backfill_api
2025-04-16,401.2,411.9,398.2,407.08,40805.0,backfill_api
2025-04-17,413.0,414.5,407.0,409.87,50653.0,backfill_api
2025-04-20,410.0,414.0,405.1,405.2,36991.0,backfill_api
2025-04-21,397.1,409.9,397.1,403.94,30054.0,backfill_api
2025-04-22,395.9,404.9,395.9,399.86,27521.0,backfill_api
2025-04-23,397.0,400.0,390.3,396.18,111731.0,backfill_api
2025-04-24,396.1,400.0,394.0,394.84,40269.0,backfill_api
2025-04-27,400.0,400.0,392.0,392.58,40735.0,backfill_api
2025-04-28,384.8,400.0,384.8,394.16,24170.0,backfill_api
2025-04-29,395.0,396.8,389.0,389.82,24710.0,backfill_api
2025-04-30,389.0,395.0,388.5,389.84,25036.0,backfill_api
2025-05-04,388.0,395.0,388.0,388.59,28712.0,backfill_api
2025-05-05,385.8,389.0,382.0,385.06,18487.0,backfill_api
2025-05-06,378.0,393.0,378.0,390.18,20627.0,backfill_api
2025-05-07,385.1,403.5,384.0,400.05,63170.0,backfill_api
2025-05-08,392.5,410.0,392.5,395.71,17889.0,backfill_api
2025-05-11,397.0,409.9,394.0,406.87,66986.0,backfill_api
2025-05-13,399.2,421.9,399.2,406.65,82473.0,backfill_api
2025-05-14,409.9,424.0,409.9,412.33,139763.0,backfill_api
2025-05-15,410.0,415.0,402.0,405.98,46817.0,backfill_api
2025-05-18,398.0,414.0,392.2,395.34,42579.0,backfill_api
2025-05-19,403.0,408.0,396.2,403.73,26146.0,backfill_api
2025-05-20,395.7,421.0,395.7,417.55,95941.0,backfill_api
2025-05-21,425.9,450.8,420.1,435.29,533627.0,backfill_api
2025-05-22,443.9,445.0,426.0,427.74,167041.0,backfill_api
2025-05-25,436.0,436.0,421.1,422.8,139730.0,backfill_api
2025-05-26,431.2,439.0,414.6,415.23,127841.0,backfill_api
