date,open,high,low,close,volume,source
2025-02-27,511.0,511.0,501.0,506.8,128085.0,backfill_api
2025-03-02,515.0,540.0,510.0,536.0,510575.0,backfill_api
2025-03-03,536.0,555.0,536.0,546.0,470469.0,backfill_api
2025-03-04,550.0,554.0,536.0,536.4,309001.0,backfill_api
2025-03-05,532.3,535.0,522.0,526.0,218865.0,backfill_api
2025-03-06,524.1,526.7,517.6,518.0,177026.0,backfill_api
2025-03-09,518.4,521.0,511.1,512.0,161693.0,backfill_api
2025-03-10,512.0,522.0,508.6,510.0,141104.0,backfill_api
2025-03-11,518.0,518.0,507.7,508.0,147940.0,backfill_api
2025-03-12,505.0,515.0,505.0,510.0,101201.0,backfill_api
2025-03-16,508.0,510.0,505.3,507.0,133850.0,backfill_api
2025-03-17,507.0,512.0,505.2,509.0,97293.0,backfill_api
2025-03-18,510.0,510.0,506.6,507.5,63255.0,backfill_api
2025-03-19,507.5,511.0,506.0,506.2,65663.0,backfill_api
2025-03-20,506.0,508.0,505.0,505.16,98384.0,backfill_api
2025-03-23,505.0,505.4,495.0,495.28,120141.0,backfill_api
2025-03-24,495.0,500.0,490.0,498.53,72403.0,backfill_api
2025-03-25,495.5,498.0,485.1,485.98,102003.0,backfill_api
2025-03-26,488.0,492.0,483.3,490.69,62277.0,backfill_api
2025-03-27,493.0,501.2,493.0,500.19,89465.0,backfill_api
2025-03-30,500.1,510.0,497.5,502.65,109490.0,backfill_api
2025-04-01,509.4,509.8,498.0,503.78,62305.0,backfill_api
2025-04-02,513.8,513.8,498.5,504.2,45920.0,backfill_api
2025-04-03,505.6,508.9,503.1,503.65,101981.0,backfill_api
2025-04-07,503.0,504.0,499.0,499.83,121126.0,backfill_api
2025-04-08,498.0,499.0,494.8,498.15,62250.0,backfill_api
2025-04-09,500.0,502.5,497.0,498.85,51485.0,backfill_api
2025-04-10,505.0,508.0,497.0,499.55,54712.0,backfill_api
2025-04-13,500.1,506.9,499.0,501.3,61696.0,backfill_api
2025-04-15,498.1,505.0,498.1,501.76,53995.0,backfill_api
2025-04-16,502.0,507.0,497.3,504.85,83124.0,backfill_api
2025-04-17,505.0,520.0,503.0,514.48,172240.0,backfill_api
2025-04-20,515.0,515.5,508.0,509.32,109876.0,backfill_api
2025-04-21,499.5,516.9,499.5,508.43,118938.0,backfill_api
2025-04-22,512.0,515.0,507.4,507.67,78303.0,backfill_api
2025-04-23,509.0,510.8,500.0,501.55,112164.0,backfill_api
2025-04-24,500.3,503.0,496.2,499.54,91641.0,backfill_api
2025-04-27,500.0,509.0,497.0,498.08,135060.0,backfill_api
2025-04-28,501.0,506.0,496.0,498.3,91326.0,backfill_api
2025-04-29,498.0,505.0,496.0,498.35,51350.0,backfill_api
2025-04-30,500.0,505.0,499.0,501.38,92232.0,backfill_api
2025-05-04,511.4,516.0,502.0,503.63,163874.0,backfill_api
2025-05-05,495.0,510.0,495.0,503.65,78347.0,backfill_api
2025-05-06,513.7,540.0,510.0,534.37,530825.0,backfill_api
2025-05-07,545.0,545.0,535.0,536.2,378784.0,backfill_api
2025-05-08,542.0,542.0,528.2,533.66,250898.0,backfill_api
2025-05-11,538.5,540.0,518.0,519.09,210551.0,backfill_api
2025-05-13,508.8,536.0,508.8,520.76,148731.0,backfill_api
2025-05-14,520.8,525.0,510.6,512.34,92054.0,backfill_api
2025-05-15,513.0,517.9,512.0,513.51,93657.0,backfill_api
2025-05-18,515.0,522.0,515.0,516.71,115475.0,backfill_api
2025-05-19,516.0,525.0,516.0,523.14,92251.0,backfill_api
2025-05-20,524.0,540.7,518.1,532.99,115389.0,backfill_api
2025-05-21,543.6,554.4,523.0,526.53,211130.0,backfill_api
2025-05-22,524.0,541.9,521.0,522.89,195256.0,backfill_api
2025-05-25,518.0,529.8,518.0,522.2,109235.0,backfill_api
2025-05-26,532.6,536.0,520.0,520.72,76379.0,backfill_api
2025-05-27,521.0,527.0,516.0,516.66,135879.0,backfill_api
2025-05-28,519.7,525.0,515.1,519.91,162823.0,backfill_api
2025-06-02,525.0,535.0,517.0,518.12,115392.0,backfill_api
2025-06-03,507.8,528.0,507.8,519.17,80316.0,backfill_api
2025-06-04,519.0,520.0,515.0,517.99,70342.0,backfill_api
2025-06-05,528.3,528.3,512.7,519.09,73982.0,backfill_api
2025-06-08,518.0,526.0,518.0,525.06,128194.0,backfill_api
2025-06-09,526.0,535.5,526.0,533.34,166464.0,backfill_api
2025-06-10,535.0,543.5,533.1,535.78,148823.0,backfill_api
2025-06-11,545.0,568.0,531.0,562.43,538645.0,backfill_api
2025-06-12,565.0,578.9,551.1,556.5,489575.0,backfill_api
2025-06-15,567.0,578.0,554.0,567.27,481515.0,backfill_api
2025-06-16,576.5,579.0,554.1,555.26,350637.0,backfill_api
2025-06-17,553.0,559.0,546.1,552.0,192232.0,backfill_api
2025-06-18,550.1,560.0,550.1,554.22,152577.0,backfill_api
2025-06-19,550.0,566.0,544.8,545.38,239147.0,backfill_api
2025-06-22,547.0,548.0,536.6,537.71,161978.0,backfill_api
2025-06-23,533.0,547.0,533.0,545.53,90516.0,backfill_api
2025-06-24,534.7,556.0,534.7,552.15,153657.0,backfill_api
2025-06-25,553.0,559.9,544.2,552.53,114130.0,backfill_api
2025-06-26,552.0,570.0,552.0,565.05,381631.0,backfill_api
2025-06-29,573.0,600.2,568.1,595.06,975598.0,backfill_api
2025-06-30,606.9,606.9,585.0,588.94,614497.0,backfill_api
2025-07-01,600.7,600.7,585.0,588.89,185015.0,backfill_api
2025-07-02,588.0,620.0,587.0,616.0,812891.0,backfill_api
2025-07-03,623.2,627.7,610.1,611.0,442315.0,backfill_api
2025-07-06,611.0,619.0,590.0,592.57,464432.0,backfill_api
2025-07-07,592.6,597.0,584.3,585.4,347462.0,backfill_api
2025-07-08,590.0,604.8,578.1,601.04,288788.0,backfill_api
2025-07-09,589.7,613.0,589.7,600.33,322800.0,backfill_api
2025-07-10,604.0,604.0,593.0,594.01,329878.0,backfill_api
2025-07-13,605.0,615.0,590.0,592.15,315060.0,backfill_api
2025-07-14,590.2,608.0,590.0,603.3,301980.0,backfill_api
2025-07-15,613.0,625.2,603.4,619.02,362687.0,backfill_api
2025-07-16,622.0,645.0,621.4,640.04,531606.0,backfill_api
2025-07-17,650.0,675.0,645.0,665.27,572302.0,backfill_api
2025-07-20,670.0,683.0,660.2,662.32,693620.0,backfill_api
2025-07-21,662.32,695.0,654.1,683.4,578638.0,backfill_api
2025-07-22,694.9,705.0,685.1,690.52,492025.0,backfill_api
2025-07-23,697.0,697.0,678.0,683.13,370307.0,backfill_api
2025-07-24,685.0,694.0,675.1,683.49,365930.0,backfill_api
2025-07-27,686.0,695.0,678.0,679.96,482542.0,backfill_api
2025-07-28,682.0,685.0,668.0,673.23,426262.0,backfill_api
2025-07-29,683.5,691.9,671.0,673.26,318764.0,backfill_api
2025-07-30,686.7,686.7,668.0,669.04,299399.0,backfill_api
2025-07-31,665.0,679.9,665.0,671.44,395721.0,backfill_api
2025-08-03,667.0,679.0,667.0,669.33,252332.0,backfill_api
2025-08-04,682.0,682.0,665.2,676.86,291029.0,backfill_api
2025-08-05,690.0,690.0,668.0,669.01,277512.0,backfill_api
2025-08-06,682.3,682.3,665.1,668.76,170404.0,backfill_api
2025-08-07,670.3,678.0,669.9,676.16,177746.0,backfill_api
2025-08-11,689.6,697.0,680.0,681.3,530246.0,backfill_api
2025-08-12,667.9,686.0,667.9,669.93,209753.0,backfill_api
2025-08-13,668.9,673.0,656.6,657.84,242459.0,backfill_api
2025-08-14,663.8,663.8,640.1,641.82,345282.0,backfill_api
2025-08-17,641.82,650.5,635.1,636.19,165803.0,backfill_api
2025-08-18,632.0,645.0,629.2,642.58,178971.0,backfill_api
2025-08-19,645.0,653.8,640.0,647.03,105121.0,backfill_api
2025-08-20,645.0,649.0,640.0,640.59,83561.0,backfill_api
2025-08-21,636.3,644.9,636.3,640.17,79986.0,backfill_api
2025-08-24,640.0,645.0,639.0,639.66,94294.0,backfill_api
2025-08-25,636.0,645.9,636.0,640.34,127151.0,backfill_api
2025-08-26,648.0,648.0,642.0,646.84,58870.0,backfill_api
2025-08-27,645.0,664.1,641.0,660.54,90993.0,backfill_api
2025-08-28,661.0,669.0,648.1,649.43,114053.0,backfill_api
2025-08-31,647.0,657.0,640.0,641.17,85744.0,backfill_api
2025-09-01,644.0,649.0,640.0,644.95,67677.0,backfill_api
2025-09-02,653.0,653.0,641.2,645.42,61258.0,backfill_api
2025-09-03,641.1,648.0,639.0,640.15,82500.0,backfill_api
2025-09-04,640.0,641.9,630.5,637.9,97107.0,backfill_api
2025-09-07,635.0,638.1,631.2,632.01,74267.0,backfill_api
2025-09-08,635.0,639.0,618.0,620.77,139590.0,backfill_api
2025-09-18,608.5,608.5,582.2,590.0,33471.0,backfill_api
2025-09-21,580.0,631.7,580.0,628.03,180905.0,backfill_api
2025-09-23,640.5,649.0,622.0,646.1,178202.0,backfill_api
2025-09-24,646.0,646.0,630.6,640.0,81773.0,backfill_api
2025-09-25,640.0,644.0,640.0,641.5,54572.0,backfill_api
2025-09-28,645.0,657.0,641.5,657.0,57715.0,backfill_api
2025-10-07,657.0,659.0,635.0,636.0,112221.0,backfill_api
2025-10-08,636.0,637.2,617.0,620.1,150530.0,backfill_api
2025-10-09,632.5,653.9,625.1,626.1,111187.0,backfill_api
2025-10-12,624.9,629.0,610.0,612.0,147744.0,backfill_api
2025-10-13,604.0,627.0,603.1,619.0,126199.0,backfill_api
2025-10-14,619.9,624.0,610.1,610.1,85049.0,backfill_api
2025-10-15,607.0,612.0,605.1,610.0,66140.0,backfill_api
2025-10-16,615.0,616.6,606.0,614.9,56256.0,backfill_api
2025-10-19,619.9,628.0,615.0,626.5,79144.0,backfill_api
2025-10-26,627.0,627.0,617.0,620.8,45064.0,backfill_api
2025-10-28,622.0,652.0,622.0,647.0,128291.0,backfill_api
2025-10-29,640.0,664.0,640.0,654.0,274901.0,backfill_api
2025-10-30,661.0,679.9,652.0,674.6,306719.0,backfill_api
2025-11-02,688.0,688.0,670.0,672.1,240028.0,backfill_api
2025-11-03,674.0,675.9,662.0,665.0,204249.0,backfill_api
2025-11-04,651.7,675.0,651.7,657.1,133962.0,backfill_api
2025-11-05,650.0,668.0,650.0,668.0,99135.0,backfill_api
2025-11-06,665.2,674.7,662.0,664.8,94771.0,backfill_api
2025-11-09,660.0,664.9,656.0,660.0,127890.0,backfill_api
2025-11-10,646.8,667.7,646.8,656.5,167560.0,backfill_api
2025-11-11,669.6,694.0,665.0,672.9,530965.0,backfill_api
2025-11-12,680.0,680.0,664.2,664.2,209356.0,backfill_api
2025-11-13,670.0,672.7,664.5,667.0,183176.0,backfill_api
2025-11-16,670.0,672.0,666.0,667.0,204568.0,backfill_api
2025-11-17,672.0,685.0,669.0,679.2,265909.0,backfill_api
2025-11-18,692.7,692.7,680.0,691.0,332874.0,backfill_api
2025-11-19,704.0,704.0,678.7,680.0,285787.0,backfill_api
2025-11-20,685.0,687.0,670.0,672.0,619243.0,backfill_api
2025-11-23,566.4,567.0,555.0,562.1,244277.0,backfill_api
2025-11-24,563.2,577.0,563.2,576.9,120493.0,backfill_api
2025-11-25,577.0,577.0,565.0,570.0,138626.0,backfill_api
2025-11-26,570.0,570.0,560.0,565.7,125271.0,backfill_api
2025-11-27,570.0,571.0,562.0,565.5,72605.0,backfill_api
2025-11-30,570.0,570.0,554.0,555.9,125323.0,backfill_api
2025-12-01,553.2,565.0,553.2,559.0,59129.0,backfill_api
2025-12-02,565.0,565.0,554.0,555.0,72695.0,backfill_api
2025-12-03,555.0,559.5,548.0,549.0,93941.0,backfill_api
2025-12-07,545.0,553.9,543.0,543.0,67380.0,backfill_api
2025-12-08,547.0,548.0,541.0,543.8,43219.0,backfill_api
2025-12-09,554.6,554.6,541.0,545.0,58148.0,backfill_api
2025-12-10,550.0,550.0,540.0,540.0,39291.0,backfill_api
2025-12-11,538.0,545.0,537.3,539.2,68304.0,backfill_api
2025-12-14,540.0,543.9,537.0,538.0,70472.0,backfill_api
2025-12-15,535.3,540.0,535.3,538.8,31433.0,backfill_api
2025-12-16,538.0,543.0,538.0,543.0,46375.0,backfill_api
2025-12-17,543.0,549.0,543.0,546.0,39364.0,backfill_api
2025-12-18,543.0,551.3,543.0,544.0,47926.0,backfill_api
2025-12-21,542.0,551.0,540.0,549.1,85176.0,backfill_api
2025-12-22,549.1,550.0,543.4,543.8,50703.0,backfill_api
2025-12-23,542.0,543.9,539.0,541.5,44826.0,backfill_api
2025-12-24,540.0,548.0,540.0,543.0,46386.0,backfill_api
2025-12-28,549.9,555.0,546.1,553.6,54479.0,backfill_api
2025-12-29,553.6,562.9,550.4,551.0,50747.0,backfill_api
2025-12-31,551.0,557.8,551.0,552.0,64377.0,backfill_api
2026-01-01,551.0,554.0,547.0,548.0,31871.0,backfill_api
2026-01-04,550.0,550.0,543.1,544.9,61067.0,backfill_api
2026-01-05,540.1,548.5,540.1,543.0,122473.0,backfill_api
2026-01-06,543.0,552.0,543.0,550.5,161680.0,backfill_api
2026-01-07,550.0,551.9,543.3,548.0,62955.0,backfill_api
2026-01-08,551.0,551.0,543.5,544.0,76969.0,backfill_api
2026-01-12,552.0,552.0,542.6,548.0,110355.0,backfill_api
2026-01-13,547.9,555.0,543.0,549.0,98773.0,backfill_api
2026-01-14,550.0,557.0,547.2,547.9,67358.0,backfill_api
2026-01-18,545.0,555.0,545.0,551.0,54790.0,backfill_api
2026-01-20,551.0,565.0,551.0,560.0,121694.0,backfill_api
2026-01-21,571.0,571.0,558.3,560.0,87745.0,backfill_api
2026-01-22,565.0,565.8,560.1,565.8,87463.0,backfill_api
2026-01-25,565.0,581.4,565.0,579.9,127114.0,backfill_api
2026-01-26,580.0,584.9,574.0,574.9,168958.0,backfill_api
2026-01-27,580.0,585.0,565.0,565.0,108922.0,backfill_api
2026-01-28,563.0,571.0,560.1,568.4,91266.0,backfill_api
2026-01-29,566.1,572.0,564.1,564.9,56423.0,backfill_api
2026-02-01,570.0,570.0,559.0,562.0,50571.0,backfill_api
2026-02-02,560.0,590.0,560.0,562.5,87207.0,backfill_api
2026-02-03,557.8,567.0,555.0,558.9,65600.0,backfill_api
2026-02-04,552.0,564.0,552.0,557.6,50982.0,backfill_api
2026-02-05,547.7,563.9,547.7,563.0,70559.0,backfill_api
2026-02-08,557.1,568.0,557.1,564.9,64425.0,backfill_api
2026-02-09,568.0,569.0,555.0,555.3,85266.0,backfill_api
2026-02-10,555.3,556.0,549.0,550.0,114458.0,backfill_api
2026-02-11,550.0,565.0,550.0,555.9,155835.0,backfill_api
2026-02-12,558.1,564.0,552.0,559.0,154547.0,backfill_api
2026-02-16,563.0,567.0,555.1,557.0,110378.0,backfill_api
2026-02-17,546.0,564.0,546.0,556.0,109531.0,backfill_api
2026-02-22,559.0,560.0,552.6,553.0,89700.0,backfill_api
2026-02-23,553.0,556.0,551.0,554.0,67425.0,backfill_api
2026-02-24,560.0,562.0,552.1,557.0,137303.0,backfill_api
2026-02-25,548.1,562.7,548.1,562.7,80571.0,backfill_api
2026-02-26,572.0,572.0,556.2,566.0,52864.0,backfill_api
2026-03-01,567.0,581.0,555.0,579.0,231003.0,backfill_api
2026-03-03,585.0,594.8,577.0,589.0,234606.0,backfill_api
2026-03-09,600.7,624.9,600.7,624.9,3820.0,backfill_api
2026-03-10,637.3,650.0,610.0,625.1,391060.0,backfill_api
2026-03-11,630.0,633.0,607.0,616.0,352570.0,backfill_api
2026-03-12,615.0,622.0,610.1,616.0,172092.0,backfill_api
2026-03-15,610.0,624.9,610.0,619.0,159072.0,backfill_api
2026-03-16,613.3,619.4,610.1,611.9,106587.0,backfill_api
2026-03-17,611.9,619.0,607.0,616.0,67239.0,backfill_api
2026-03-19,620.0,627.0,615.0,625.0,232389.0,backfill_api
2026-03-22,630.0,633.0,618.4,623.5,224523.0,backfill_api
2026-03-23,630.0,630.0,618.2,624.0,162403.0,backfill_api
2026-03-24,624.0,635.0,618.0,632.0,260897.0,backfill_api
