date,open,high,low,close,volume,source
2025-02-27,752.0,752.0,729.0,740.0,8902.0,backfill_api
2025-03-02,745.0,754.9,742.0,754.8,19676.0,backfill_api
2025-03-03,763.0,765.0,740.7,760.9,40443.0,backfill_api
2025-03-04,760.0,775.0,753.0,760.5,17803.0,backfill_api
2025-03-05,746.1,761.0,740.2,745.0,12887.0,backfill_api
2025-03-06,744.0,750.0,740.1,750.0,19782.0,backfill_api
2025-03-09,760.0,760.0,736.6,739.2,12846.0,backfill_api
2025-03-10,749.9,749.9,735.0,739.0,10107.0,backfill_api
2025-03-11,731.2,740.0,730.3,734.0,14120.0,backfill_api
2025-03-12,724.0,739.4,720.0,729.0,6481.0,backfill_api
2025-03-16,718.0,735.0,717.0,726.0,9589.0,backfill_api
2025-03-17,719.0,725.0,719.0,724.6,11385.0,backfill_api
2025-03-18,721.0,728.0,720.0,720.1,6302.0,backfill_api
2025-03-19,711.0,738.4,710.0,723.0,11243.0,backfill_api
2025-03-20,716.0,723.9,712.5,719.81,5551.0,backfill_api
2025-03-23,717.0,717.9,706.0,708.27,14093.0,backfill_api
2025-03-24,695.1,714.5,695.1,706.39,4680.0,backfill_api
2025-03-25,709.0,710.0,685.3,690.57,11077.0,backfill_api
2025-03-26,680.6,700.5,680.6,699.5,7171.0,backfill_api
2025-03-27,690.0,711.0,690.0,709.27,8593.0,backfill_api
2025-03-30,705.0,729.0,705.0,718.09,6717.0,backfill_api
2025-04-01,715.0,720.0,708.0,717.04,5092.0,backfill_api
2025-04-02,731.0,731.0,705.1,716.0,4072.0,backfill_api
2025-04-03,729.9,729.9,714.3,714.6,4455.0,backfill_api
2025-04-07,707.1,714.0,707.1,713.4,5450.0,backfill_api
2025-04-08,709.0,721.0,708.2,717.12,5759.0,backfill_api
2025-04-09,720.0,725.0,714.1,714.34,1565.0,backfill_api
2025-04-10,709.1,722.0,709.1,714.6,5470.0,backfill_api
2025-04-13,725.0,727.0,714.6,716.61,9086.0,backfill_api
2025-04-15,715.0,722.1,703.1,722.01,4161.0,backfill_api
2025-04-16,722.0,726.0,722.0,725.04,6520.0,backfill_api
2025-04-17,712.2,734.0,712.2,729.56,13324.0,backfill_api
2025-04-20,729.9,738.0,720.0,727.88,4644.0,backfill_api
2025-04-21,739.8,739.8,709.1,731.11,13549.0,backfill_api
2025-04-22,734.9,734.9,720.0,726.09,5383.0,backfill_api
2025-04-23,725.0,727.0,715.0,715.79,4959.0,backfill_api
2025-04-24,704.3,723.0,704.3,717.83,4710.0,backfill_api
2025-04-27,705.0,724.0,705.0,717.98,6425.0,backfill_api
2025-04-28,730.0,730.0,707.1,714.68,17156.0,backfill_api
2025-04-29,707.0,723.9,707.0,714.48,21338.0,backfill_api
2025-04-30,706.1,707.8,688.0,695.58,8228.0,backfill_api
