date,open,high,low,close,volume,source
2025-02-27,295.0,304.0,293.5,300.9,177270.0,backfill_api
2025-03-02,294.9,310.0,294.9,309.0,103551.0,backfill_api
2025-03-03,313.0,313.0,300.0,304.0,92050.0,backfill_api
2025-03-04,298.0,314.0,298.0,305.0,129395.0,backfill_api
2025-03-05,311.0,311.0,296.0,298.0,56250.0,backfill_api
2025-03-06,303.5,303.5,295.7,296.9,26390.0,backfill_api
2025-03-09,296.9,297.0,290.0,292.0,56873.0,backfill_api
2025-03-10,294.8,295.0,286.0,289.5,22408.0,backfill_api
2025-03-11,285.5,292.0,285.5,289.7,31813.0,backfill_api
2025-03-12,290.0,294.0,288.0,291.9,10392.0,backfill_api
2025-03-16,286.1,295.8,285.0,290.0,31716.0,backfill_api
2025-03-17,294.8,294.8,284.3,289.0,13819.0,backfill_api
2025-03-18,294.7,294.7,286.1,288.0,12984.0,backfill_api
2025-03-19,287.1,290.9,286.2,287.0,24740.0,backfill_api
2025-03-20,285.1,288.0,283.0,283.31,17768.0,backfill_api
2025-03-23,282.0,283.5,278.0,278.38,35525.0,backfill_api
2025-03-24,276.0,281.5,276.0,280.7,18873.0,backfill_api
2025-03-25,279.0,279.0,275.0,276.09,26764.0,backfill_api
2025-03-26,281.0,281.0,271.5,278.05,33681.0,backfill_api
2025-03-27,283.6,293.0,280.0,289.62,45354.0,backfill_api
2025-03-30,294.9,295.6,288.0,292.72,59608.0,backfill_api
2025-04-01,286.9,292.5,286.9,290.98,24697.0,backfill_api
2025-04-02,296.7,296.7,285.2,289.76,33172.0,backfill_api
2025-04-03,294.0,299.0,285.0,290.36,39267.0,backfill_api
2025-04-07,295.0,300.0,285.0,288.29,11041.0,backfill_api
2025-04-08,283.0,293.5,282.0,284.42,14208.0,backfill_api
2025-04-09,290.0,290.0,282.7,283.86,10388.0,backfill_api
2025-04-10,289.5,294.0,282.3,284.39,7474.0,backfill_api
2025-04-13,289.9,289.9,280.2,283.37,9054.0,backfill_api
2025-04-15,289.0,289.0,282.5,284.95,17057.0,backfill_api
2025-04-16,290.0,290.0,284.6,288.77,15599.0,backfill_api
2025-04-17,290.0,295.0,286.2,291.4,35560.0,backfill_api
2025-04-20,285.6,301.0,283.1,286.08,34008.0,backfill_api
2025-04-21,286.0,291.0,279.4,280.22,33749.0,backfill_api
2025-04-22,284.0,284.0,277.0,277.49,45426.0,backfill_api
2025-04-23,275.0,276.5,272.3,272.79,78824.0,backfill_api
2025-04-24,273.0,279.9,271.0,272.84,24886.0,backfill_api
2025-04-27,277.9,277.9,270.0,270.23,69775.0,backfill_api
2025-04-28,270.0,275.0,270.0,270.03,33158.0,backfill_api
2025-04-29,275.3,275.3,264.6,265.59,41478.0,backfill_api
2025-04-30,270.8,270.9,261.0,267.08,45402.0,backfill_api
2025-05-04,272.0,272.0,266.4,267.95,71483.0,backfill_api
2025-05-05,266.0,271.0,264.0,265.59,44496.0,backfill_api
2025-05-06,264.0,268.9,262.5,262.93,46151.0,backfill_api
2025-05-07,262.5,275.0,261.0,271.0,64545.0,backfill_api
2025-05-08,268.0,275.5,266.1,269.55,47752.0,backfill_api
2025-05-11,264.2,273.9,264.2,271.24,47947.0,backfill_api
2025-05-13,268.2,276.9,268.2,274.11,35715.0,backfill_api
2025-05-14,274.1,276.5,271.0,274.06,48604.0,backfill_api
2025-05-15,276.0,276.0,271.0,272.05,34117.0,backfill_api
2025-05-18,270.0,276.5,270.0,273.58,48070.0,backfill_api
2025-05-19,278.9,279.0,273.0,277.07,82173.0,backfill_api
2025-05-20,275.1,287.5,275.1,286.06,35429.0,backfill_api
2025-05-21,290.5,303.0,286.8,287.26,88074.0,backfill_api
2025-05-22,288.0,305.0,288.0,298.47,160944.0,backfill_api
2025-05-25,300.0,303.0,292.7,297.98,110871.0,backfill_api
2025-05-26,303.9,309.0,298.9,299.98,79993.0,backfill_api
2025-05-27,295.0,304.0,295.0,302.83,166265.0,backfill_api
2025-05-28,302.8,307.7,297.0,304.72,81458.0,backfill_api
2025-06-02,308.0,311.0,305.1,306.14,113892.0,backfill_api
2025-06-03,303.0,306.0,299.0,300.13,90287.0,backfill_api
2025-06-04,297.0,302.0,297.0,298.59,45760.0,backfill_api
2025-06-05,299.0,300.0,293.3,295.22,42600.0,backfill_api
2025-06-08,293.0,295.0,291.0,293.12,59740.0,backfill_api
2025-06-09,295.0,298.8,292.1,297.4,65005.0,backfill_api
2025-06-10,300.0,303.0,295.0,301.66,76324.0,backfill_api
2025-06-11,301.0,305.0,299.3,302.52,446787.0,backfill_api
2025-06-12,302.0,306.5,300.3,305.01,65909.0,backfill_api
2025-06-15,299.0,307.0,299.0,304.95,53080.0,backfill_api
2025-06-16,301.0,310.0,301.0,306.78,125348.0,backfill_api
2025-06-17,305.1,310.9,305.0,308.1,52289.0,backfill_api
2025-06-18,308.1,312.0,303.0,309.79,105004.0,backfill_api
2025-06-19,312.5,312.5,307.0,307.4,81975.0,backfill_api
2025-06-22,305.0,308.0,304.0,304.19,92300.0,backfill_api
2025-06-23,300.1,306.0,300.1,304.29,47725.0,backfill_api
2025-06-24,310.0,310.0,305.0,307.43,75921.0,backfill_api
2025-06-25,310.0,310.0,303.8,305.98,79701.0,backfill_api
2025-06-26,302.0,308.0,301.8,305.59,42654.0,backfill_api
2025-06-29,305.0,311.5,305.0,310.72,82774.0,backfill_api
2025-06-30,316.9,320.0,310.5,317.29,127421.0,backfill_api
2025-07-01,323.0,331.0,317.2,329.28,164346.0,backfill_api
2025-07-02,333.0,343.9,327.0,339.48,293021.0,backfill_api
2025-07-03,339.0,341.2,333.0,338.06,269922.0,backfill_api
2025-07-06,337.0,343.0,335.1,339.85,176466.0,backfill_api
2025-07-07,341.0,347.0,336.5,342.0,282846.0,backfill_api
2025-07-08,346.0,348.8,337.0,338.15,227962.0,backfill_api
2025-07-09,340.0,344.4,338.0,343.48,249257.0,backfill_api
2025-07-10,348.0,359.0,341.9,356.96,471463.0,backfill_api
2025-07-13,364.0,376.0,359.7,365.78,504481.0,backfill_api
2025-07-14,373.0,373.0,357.1,357.73,261406.0,backfill_api
2025-07-15,356.0,377.0,356.0,374.1,468205.0,backfill_api
2025-07-16,379.5,403.0,375.0,383.77,567833.0,backfill_api
2025-07-17,391.3,408.0,383.2,387.23,450633.0,backfill_api
2025-07-20,394.0,394.0,377.0,380.29,448405.0,backfill_api
2025-07-21,376.4,390.0,376.4,385.01,276819.0,backfill_api
2025-07-22,389.9,404.0,380.3,393.86,444337.0,backfill_api
2025-07-23,386.0,401.0,386.0,393.32,221199.0,backfill_api
2025-07-24,399.0,399.0,388.0,388.29,202557.0,backfill_api
2025-07-27,392.5,392.5,385.0,387.32,177687.0,backfill_api
2025-07-28,380.1,391.0,380.1,389.66,279454.0,backfill_api
2025-07-29,397.4,397.4,386.4,392.25,240351.0,backfill_api
2025-07-30,397.0,397.0,382.0,384.42,130827.0,backfill_api
2025-07-31,390.0,390.0,377.1,379.74,278021.0,backfill_api
2025-08-03,386.0,386.0,363.0,366.99,179070.0,backfill_api
2025-08-04,374.0,375.0,361.1,373.92,108246.0,backfill_api
2025-08-05,367.7,381.0,367.7,373.37,72672.0,backfill_api
2025-08-06,380.6,380.6,365.0,368.4,118225.0,backfill_api
2025-08-07,373.0,373.0,369.0,371.58,68492.0,backfill_api
2025-08-11,379.0,383.0,376.0,380.32,259072.0,backfill_api
2025-08-12,372.9,383.0,372.9,376.35,109978.0,backfill_api
2025-08-13,380.0,380.6,373.0,374.89,73163.0,backfill_api
2025-08-14,378.1,378.1,368.0,369.19,179427.0,backfill_api
2025-08-17,370.3,370.3,363.7,364.11,100763.0,backfill_api
2025-08-18,363.6,366.0,356.0,364.64,163673.0,backfill_api
2025-08-19,367.5,367.5,359.0,367.01,52439.0,backfill_api
2025-08-20,360.0,367.8,360.0,363.4,45497.0,backfill_api
2025-08-21,366.0,366.0,363.1,364.44,34463.0,backfill_api
2025-08-24,367.0,367.0,360.0,361.87,54021.0,backfill_api
2025-08-25,360.1,361.8,356.6,361.19,84939.0,backfill_api
