date,open,high,low,close,volume,source
2026-07-02,299.3,344.1,299.3,344.1,410.0,backfill_api
2026-07-03,359.5,395.7,359.5,395.7,230.0,backfill_api
2026-07-06,396.7,455.0,396.7,455.0,1260.0,backfill_api
2026-07-07,477.0,523.2,477.0,503.1,156960.0,backfill_api
2026-07-08,505.0,509.0,465.1,471.1,164060.0,backfill_api
2026-07-09,471.1,471.1,445.2,458.8,83860.0,backfill_api
2026-07-10,455.0,505.9,443.0,487.0,69740.0,backfill_api
2026-07-13,490.0,495.5,462.0,462.5,56722.0,backfill_api
2026-07-14,462.5,474.4,444.0,461.5,56112.0,backfill_api
2026-07-15,460.0,486.0,456.6,470.0,53760.0,backfill_api
2026-07-16,470.0,476.0,455.5,462.0,36739.0,backfill_api
2026-07-17,462.0,486.2,462.0,481.0,55633.0,backfill_api
2026-07-20,481.0,506.3,468.0,503.0,101629.0,backfill_api
2026-07-21,505.0,563.0,491.1,536.0,129965.0,backfill_api
2026-07-22,539.0,550.0,520.9,528.0,89670.0,backfill_api
2026-07-23,521.0,552.0,510.0,550.0,109172.0,daily_scrape
2026-07-24,550.0,587.0,550.0,552.0,105483.0,daily_scrape
2026-07-27,550.0,555.0,513.5,520.0,113444.0,daily_scrape
2026-07-28,515.0,537.0,505.0,535.0,85553.0,daily_scrape
2026-07-30,535.0,535.6,515.0,519.9,54154.0,daily_scrape
2026-07-31,545.8,545.8,508.2,529.0,69102.0,daily_scrape
2026-08-03,520.0,544.8,520.0,529.6,101464.0,daily_scrape
2026-08-04,525.0,525.0,511.0,513.4,54401.0,daily_scrape
2026-08-05,510.0,522.0,510.0,513.0,67404.0,daily_scrape
2026-08-06,513.4,535.0,513.0,525.6,121282.0,daily_scrape
2026-08-07,525.0,530.0,515.7,518.0,50921.0,daily_scrape
2026-08-10,510.0,528.0,510.0,527.8,45869.0,daily_scrape
2026-08-11,527.0,538.59,520.0,523.4,83559.0,daily_scrape
2026-08-12,498.0,534.0,498.0,519.0,55196.0,daily_scrape
2026-08-13,520.0,525.0,512.5,516.0,57776.0,daily_scrape
