date,open,high,low,close,volume,source
2025-02-27,705.0,705.0,692.0,703.9,34824.0,backfill_api
2025-03-02,710.0,726.0,703.0,722.0,71555.0,backfill_api
2025-03-03,736.4,736.4,712.0,714.0,68469.0,backfill_api
2025-03-04,714.0,722.0,704.5,705.0,48327.0,backfill_api
2025-03-05,691.1,715.0,691.1,703.3,88727.0,backfill_api
2025-03-06,701.0,709.0,701.0,703.0,29588.0,backfill_api
2025-03-09,713.0,713.0,692.0,693.0,43488.0,backfill_api
2025-03-10,693.1,712.0,687.0,688.0,24496.0,backfill_api
2025-03-11,694.1,700.0,680.0,681.0,40895.0,backfill_api
2025-03-12,681.0,692.0,676.3,682.0,29441.0,backfill_api
2025-03-16,684.0,687.0,670.4,672.1,36899.0,backfill_api
2025-03-17,685.0,685.0,670.0,678.1,18027.0,backfill_api
2025-03-18,676.1,684.0,675.0,675.2,14665.0,backfill_api
2025-03-19,677.1,678.0,666.6,670.0,33568.0,backfill_api
2025-03-20,670.0,674.8,661.1,664.31,48870.0,backfill_api
2025-03-23,630.3,630.3,598.1,599.82,34326.0,backfill_api
2025-03-24,592.0,608.0,588.0,599.08,19791.0,backfill_api
2025-03-25,588.1,598.0,571.1,572.37,32987.0,backfill_api
2025-03-26,575.0,582.0,569.0,581.29,13224.0,backfill_api
2025-03-27,581.0,590.0,581.0,587.95,20192.0,backfill_api
2025-03-30,581.0,612.0,581.0,599.45,25778.0,backfill_api
2025-04-01,595.1,600.1,584.0,593.93,23448.0,backfill_api
2025-04-02,586.2,602.0,586.2,594.45,19772.0,backfill_api
2025-04-03,594.0,606.0,594.0,603.27,21736.0,backfill_api
2025-04-07,592.1,597.0,585.0,587.76,20620.0,backfill_api
2025-04-08,582.1,592.5,575.0,582.93,28001.0,backfill_api
2025-04-09,582.1,593.9,582.1,586.64,10635.0,backfill_api
2025-04-10,586.0,594.5,583.5,588.23,14315.0,backfill_api
2025-04-13,583.0,590.0,583.0,584.51,10462.0,backfill_api
2025-04-15,593.0,595.0,582.1,588.02,9554.0,backfill_api
2025-04-16,598.9,599.0,588.0,591.31,17009.0,backfill_api
2025-04-17,591.0,599.9,586.0,596.15,16311.0,backfill_api
2025-04-20,595.0,600.0,588.0,589.38,12071.0,backfill_api
2025-04-21,582.0,593.0,582.0,587.47,13235.0,backfill_api
2025-04-22,599.2,599.2,578.1,580.03,22780.0,backfill_api
2025-04-23,581.0,581.0,562.0,569.99,27148.0,backfill_api
2025-04-24,570.0,575.0,559.0,562.86,19837.0,backfill_api
2025-04-27,562.0,573.0,557.0,557.32,24681.0,backfill_api
2025-04-28,567.0,568.0,554.0,554.45,14044.0,backfill_api
2025-04-29,555.5,560.0,550.1,550.76,13965.0,backfill_api
2025-04-30,547.1,561.7,546.0,548.11,14208.0,backfill_api
2025-05-04,549.1,558.0,548.0,550.83,21573.0,backfill_api
2025-05-05,551.0,554.0,549.2,551.16,17385.0,backfill_api
2025-05-06,546.2,561.0,546.2,556.47,16253.0,backfill_api
2025-05-07,560.0,581.0,552.0,576.43,32768.0,backfill_api
2025-05-08,584.0,584.0,565.1,566.28,20537.0,backfill_api
2025-05-11,577.6,577.6,560.0,561.58,20408.0,backfill_api
2025-05-13,571.0,572.3,561.1,563.31,18743.0,backfill_api
2025-05-14,563.0,568.0,560.0,561.11,16260.0,backfill_api
2025-05-15,572.3,572.3,551.0,554.2,11962.0,backfill_api
2025-05-18,555.0,558.0,550.1,552.43,9035.0,backfill_api
2025-05-19,555.0,566.0,551.1,562.25,21326.0,backfill_api
2025-05-20,560.0,575.0,555.3,571.38,21336.0,backfill_api
2025-05-21,582.0,592.0,564.0,567.36,23003.0,backfill_api
2025-05-22,577.9,577.9,561.3,570.2,12087.0,backfill_api
2025-05-25,565.0,573.0,565.0,567.23,17359.0,backfill_api
2025-05-26,575.0,580.0,565.0,565.28,36723.0,backfill_api
2025-05-27,560.0,567.0,557.1,560.18,8757.0,backfill_api
2025-05-28,560.0,562.8,555.4,560.9,14142.0,backfill_api
2025-06-02,572.1,572.1,555.2,558.23,20877.0,backfill_api
2025-06-03,565.0,565.0,553.0,553.83,17272.0,backfill_api
2025-06-04,551.0,559.0,550.0,552.15,14010.0,backfill_api
2025-06-05,553.0,563.0,546.2,549.44,15732.0,backfill_api
2025-06-08,550.0,550.0,545.0,545.31,10736.0,backfill_api
2025-06-09,545.0,556.0,540.0,550.86,35206.0,backfill_api
2025-06-10,551.0,563.7,551.0,560.72,17253.0,backfill_api
2025-06-11,560.0,570.0,553.7,559.75,21513.0,backfill_api
2025-06-12,552.1,565.0,548.0,550.32,28350.0,backfill_api
2025-06-15,544.0,559.0,544.0,545.58,18560.0,backfill_api
2025-06-16,550.0,559.0,544.0,554.28,28131.0,backfill_api
2025-06-17,553.9,555.0,545.5,553.69,13081.0,backfill_api
2025-06-18,555.9,555.9,546.1,546.84,18553.0,backfill_api
2025-06-19,545.0,552.0,544.0,544.89,23744.0,backfill_api
2025-06-22,540.1,545.0,536.8,537.15,19873.0,backfill_api
2025-06-23,532.0,540.0,529.0,530.77,28954.0,backfill_api
2025-06-24,530.0,550.0,526.0,528.01,25674.0,backfill_api
2025-06-25,530.0,538.3,525.0,528.6,11100.0,backfill_api
2025-06-26,526.1,535.0,526.1,527.03,12749.0,backfill_api
2025-06-29,527.0,539.9,527.0,536.89,25703.0,backfill_api
2025-06-30,537.0,539.9,533.4,537.51,19366.0,backfill_api
2025-07-01,534.0,551.0,534.0,549.91,25524.0,backfill_api
2025-07-02,549.0,574.9,549.0,567.39,83563.0,backfill_api
2025-07-03,561.0,588.0,561.0,582.14,135720.0,backfill_api
2025-07-06,589.0,589.0,566.6,568.54,39359.0,backfill_api
2025-07-07,562.1,571.0,560.0,560.46,28051.0,backfill_api
2025-07-08,571.6,571.6,552.0,560.24,21662.0,backfill_api
2025-07-09,549.1,560.0,549.1,558.15,30699.0,backfill_api
2025-07-10,559.0,565.0,558.0,562.55,48891.0,backfill_api
2025-07-13,573.7,573.8,562.0,562.57,47904.0,backfill_api
2025-07-14,572.9,572.9,553.0,556.16,28513.0,backfill_api
2025-07-15,556.0,595.0,550.0,577.57,75581.0,backfill_api
2025-07-16,572.0,631.0,571.3,609.99,65714.0,backfill_api
2025-07-17,609.0,624.0,609.0,615.69,77984.0,backfill_api
2025-07-20,620.0,622.9,600.1,609.05,73089.0,backfill_api
2025-07-21,605.0,619.0,600.0,614.52,68107.0,backfill_api
2025-07-22,614.0,632.0,614.0,628.64,74739.0,backfill_api
2025-07-23,623.0,632.0,620.0,622.17,45897.0,backfill_api
2025-07-24,614.0,625.0,609.0,610.26,56077.0,backfill_api
2025-07-27,607.1,624.0,606.0,606.82,60822.0,backfill_api
2025-07-28,617.0,617.0,600.1,613.08,42696.0,backfill_api
2025-07-29,625.3,625.3,610.0,614.92,47622.0,backfill_api
2025-07-30,615.0,616.0,600.1,601.78,43368.0,backfill_api
2025-07-31,613.8,613.8,589.8,591.58,41489.0,backfill_api
2025-08-03,584.0,601.8,580.0,581.01,34464.0,backfill_api
2025-08-04,577.0,588.0,574.0,580.43,26090.0,backfill_api
2025-08-05,592.0,592.0,573.0,574.43,24951.0,backfill_api
2025-08-06,585.0,585.0,570.0,570.33,14838.0,backfill_api
2025-08-07,570.1,581.0,570.1,579.32,13144.0,backfill_api
2025-08-11,588.0,588.0,570.0,570.77,25351.0,backfill_api
2025-08-12,570.1,572.0,560.8,561.8,17515.0,backfill_api
2025-08-13,558.8,568.9,558.8,563.76,20320.0,backfill_api
2025-08-14,570.0,570.0,561.3,566.08,13646.0,backfill_api
2025-08-17,561.2,570.0,561.2,564.04,12575.0,backfill_api
2025-08-18,560.0,574.7,559.4,570.05,22723.0,backfill_api
2025-08-19,562.0,575.0,562.0,572.85,17087.0,backfill_api
2025-08-20,579.9,579.9,565.0,566.54,12673.0,backfill_api
2025-08-21,564.0,575.0,560.4,562.75,13700.0,backfill_api
2025-08-24,560.9,572.0,560.9,562.47,9167.0,backfill_api
2025-08-25,560.1,569.7,558.0,565.64,9513.0,backfill_api
2025-08-26,566.0,566.0,560.5,562.94,4212.0,backfill_api
2025-08-27,563.5,577.4,563.5,576.64,24336.0,backfill_api
2025-08-28,571.1,579.0,562.1,563.72,23115.0,backfill_api
2025-08-31,561.2,567.0,556.2,565.39,18301.0,backfill_api
2025-09-01,568.9,569.0,559.0,567.19,9132.0,backfill_api
2025-09-02,560.6,563.9,560.0,560.36,15508.0,backfill_api
2025-09-03,556.3,561.0,550.0,550.85,20210.0,backfill_api
