date,open,high,low,close,volume,source
2025-02-27,431.0,437.0,429.0,436.0,51761.0,backfill_api
2025-03-02,442.0,451.1,436.0,450.0,82510.0,backfill_api
2025-03-03,455.0,456.0,437.1,441.0,66009.0,backfill_api
2025-03-04,440.0,446.0,437.9,437.9,45674.0,backfill_api
2025-03-05,438.0,440.0,429.5,433.0,51166.0,backfill_api
2025-03-06,433.0,450.0,432.0,444.0,63300.0,backfill_api
2025-03-09,440.5,444.0,433.0,433.5,34125.0,backfill_api
2025-03-10,437.9,439.6,428.0,429.0,34192.0,backfill_api
2025-03-11,435.0,449.0,426.1,437.6,182384.0,backfill_api
2025-03-12,443.0,445.0,433.7,434.0,31246.0,backfill_api
2025-03-16,442.6,442.6,425.0,430.5,51435.0,backfill_api
2025-03-17,425.0,432.5,422.1,425.1,43232.0,backfill_api
2025-03-18,430.0,432.0,425.0,427.0,29201.0,backfill_api
2025-03-19,426.0,429.9,420.0,421.0,43759.0,backfill_api
2025-03-20,421.1,424.9,416.5,417.53,35556.0,backfill_api
2025-03-23,412.3,420.0,406.0,408.79,50195.0,backfill_api
2025-03-24,408.0,422.8,402.0,417.08,36712.0,backfill_api
2025-03-25,414.6,415.9,406.0,406.47,36477.0,backfill_api
2025-03-26,402.1,412.0,402.1,409.49,26280.0,backfill_api
2025-03-27,409.5,415.0,404.0,413.4,24144.0,backfill_api
2025-03-30,413.0,421.0,413.0,417.63,37890.0,backfill_api
2025-04-01,419.0,419.0,411.0,413.26,22074.0,backfill_api
2025-04-02,418.0,418.0,411.0,414.44,27288.0,backfill_api
2025-04-03,419.0,420.5,412.0,414.87,30054.0,backfill_api
2025-04-07,416.0,417.0,409.0,410.26,30204.0,backfill_api
2025-04-08,412.8,412.8,405.9,408.73,29914.0,backfill_api
2025-04-09,415.0,415.0,408.3,410.25,22267.0,backfill_api
2025-04-10,415.0,415.0,409.1,411.27,21795.0,backfill_api
2025-04-13,412.0,415.0,405.0,406.61,35412.0,backfill_api
2025-04-15,411.0,415.0,406.0,411.62,34102.0,backfill_api
2025-04-16,416.0,418.9,411.0,412.92,41360.0,backfill_api
2025-04-17,413.0,421.5,412.2,417.79,38730.0,backfill_api
2025-04-20,422.0,422.0,410.3,416.6,35852.0,backfill_api
2025-04-21,422.0,422.0,413.1,415.74,31514.0,backfill_api
2025-04-22,420.0,420.0,408.0,411.49,41163.0,backfill_api
2025-04-23,415.9,415.9,404.0,404.99,34022.0,backfill_api
2025-04-24,404.0,410.0,404.0,405.8,26133.0,backfill_api
2025-04-27,410.0,410.0,404.2,404.51,28895.0,backfill_api
2025-04-28,404.5,407.9,403.0,403.47,35040.0,backfill_api
2025-04-29,405.9,406.0,399.5,400.07,67176.0,backfill_api
2025-04-30,402.0,402.0,394.0,396.13,52650.0,backfill_api
2025-05-04,400.0,400.0,390.0,395.01,43748.0,backfill_api
2025-05-05,399.9,399.9,393.6,394.44,26512.0,backfill_api
2025-05-06,394.4,399.0,391.2,395.85,32227.0,backfill_api
2025-05-07,392.2,413.4,392.1,406.24,34573.0,backfill_api
2025-05-08,406.5,409.0,403.0,405.16,33686.0,backfill_api
2025-05-11,407.0,413.3,405.0,409.85,44573.0,backfill_api
2025-05-13,414.0,419.0,408.0,413.13,62873.0,backfill_api
2025-05-14,410.0,424.9,410.0,414.58,94801.0,backfill_api
2025-05-15,411.2,415.9,405.3,406.59,56191.0,backfill_api
2025-05-18,410.0,410.0,402.0,402.96,43383.0,backfill_api
2025-05-19,407.0,408.0,402.0,403.58,33122.0,backfill_api
2025-05-20,401.0,416.0,401.0,413.36,40005.0,backfill_api
