date,open,high,low,close,volume,source
2025-02-27,550.0,553.0,540.0,553.0,134050.0,backfill_api
2025-03-02,564.0,600.0,558.0,597.0,368529.0,backfill_api
2025-03-03,608.9,608.9,581.0,581.0,246088.0,backfill_api
2025-03-04,592.0,592.0,565.1,565.1,196781.0,backfill_api
2025-03-05,566.0,572.0,557.0,561.0,163798.0,backfill_api
2025-03-06,565.0,569.5,558.3,561.0,104254.0,backfill_api
2025-03-09,562.0,565.0,547.0,550.0,120026.0,backfill_api
2025-03-10,550.0,558.9,540.2,543.9,92986.0,backfill_api
2025-03-11,553.8,553.8,534.0,536.0,78658.0,backfill_api
2025-03-12,536.0,546.0,536.0,543.0,61448.0,backfill_api
2025-03-16,532.2,549.0,532.2,537.0,60616.0,backfill_api
2025-03-17,538.0,545.9,537.5,538.4,49903.0,backfill_api
2025-03-18,549.1,549.1,500.0,539.0,47189.0,backfill_api
2025-03-19,547.0,547.0,536.2,536.2,59120.0,backfill_api
2025-03-20,536.2,538.9,533.1,533.56,61744.0,backfill_api
2025-03-23,531.2,535.0,521.1,522.55,68903.0,backfill_api
2025-03-24,529.0,532.0,513.0,529.71,61979.0,backfill_api
2025-03-25,529.5,532.0,518.0,518.49,94251.0,backfill_api
2025-03-26,518.5,528.9,513.0,526.2,58431.0,backfill_api
2025-03-27,536.7,540.0,521.6,537.38,90732.0,backfill_api
2025-03-30,538.0,549.0,535.0,540.81,99371.0,backfill_api
2025-04-01,535.0,543.0,530.0,533.79,56240.0,backfill_api
2025-04-02,530.0,538.0,528.4,536.03,43545.0,backfill_api
2025-04-03,546.7,546.7,536.0,538.22,75288.0,backfill_api
2025-04-07,536.0,536.2,525.0,526.25,60378.0,backfill_api
2025-04-08,528.0,529.0,520.1,523.28,67283.0,backfill_api
2025-04-09,533.0,535.8,530.0,532.74,81952.0,backfill_api
2025-04-10,541.0,541.0,530.0,532.24,62696.0,backfill_api
2025-04-13,528.6,537.9,520.0,521.21,187062.0,backfill_api
2025-04-15,527.0,536.0,523.0,532.95,81129.0,backfill_api
2025-04-16,537.0,537.0,529.8,530.66,73254.0,backfill_api
2025-04-17,532.0,545.1,532.0,537.1,100719.0,backfill_api
2025-04-20,537.0,540.0,530.1,531.7,68219.0,backfill_api
2025-04-21,532.5,545.0,526.0,540.64,106708.0,backfill_api
2025-04-22,549.8,563.0,540.3,550.82,223028.0,backfill_api
2025-04-23,540.0,558.5,540.0,548.1,160794.0,backfill_api
2025-04-24,548.1,556.0,540.0,541.56,104596.0,backfill_api
2025-04-27,542.0,552.0,535.1,536.08,111872.0,backfill_api
2025-04-28,539.9,545.0,536.0,537.63,84572.0,backfill_api
2025-04-29,538.0,544.9,531.1,531.85,99945.0,backfill_api
2025-04-30,540.5,540.5,527.0,527.38,131826.0,backfill_api
2025-05-04,537.0,537.0,525.0,525.51,89541.0,backfill_api
2025-05-05,526.0,527.0,520.0,522.15,75049.0,backfill_api
2025-05-06,530.0,530.0,522.2,524.34,86466.0,backfill_api
2025-05-07,534.8,536.0,521.3,532.35,143462.0,backfill_api
2025-05-08,534.0,548.0,528.1,541.46,167315.0,backfill_api
2025-05-11,538.0,546.0,528.5,530.12,165976.0,backfill_api
2025-05-13,540.7,549.0,531.1,532.94,262702.0,backfill_api
2025-05-14,543.5,543.5,525.2,526.65,91220.0,backfill_api
2025-05-15,533.0,533.0,524.0,524.75,120169.0,backfill_api
2025-05-18,535.0,535.0,520.1,521.05,234155.0,backfill_api
2025-05-19,523.2,528.0,518.0,519.7,220479.0,backfill_api
2025-05-20,527.0,541.0,519.2,538.66,174976.0,backfill_api
2025-05-21,549.4,560.3,530.1,530.93,160230.0,backfill_api
2025-05-22,540.4,540.4,528.1,529.65,104051.0,backfill_api
2025-05-25,536.0,536.0,523.5,525.33,160538.0,backfill_api
2025-05-26,535.8,545.0,520.0,524.3,215547.0,backfill_api
2025-05-27,524.0,525.0,519.0,522.14,133910.0,backfill_api
2025-05-28,525.0,530.0,520.0,522.92,108308.0,backfill_api
2025-06-02,533.3,533.3,520.1,522.26,142260.0,backfill_api
2025-06-03,532.0,532.0,518.0,520.44,145758.0,backfill_api
2025-06-04,524.9,524.9,517.1,518.1,105554.0,backfill_api
2025-06-05,518.0,523.5,515.0,518.43,76153.0,backfill_api
2025-06-08,520.0,520.0,514.0,515.37,144101.0,backfill_api
2025-06-09,515.0,523.8,513.4,517.21,106266.0,backfill_api
2025-06-10,527.5,527.5,517.6,518.81,116535.0,backfill_api
2025-06-11,516.2,526.0,515.0,515.78,153113.0,backfill_api
2025-06-12,516.1,519.0,511.0,515.07,185975.0,backfill_api
2025-06-15,520.0,530.0,512.4,523.59,426857.0,backfill_api
2025-06-16,513.4,534.9,513.4,518.07,281710.0,backfill_api
2025-06-17,523.8,525.0,514.0,515.15,188522.0,backfill_api
2025-06-18,519.0,520.0,510.0,515.28,272255.0,backfill_api
2025-06-19,506.0,523.2,506.0,512.74,200176.0,backfill_api
2025-06-22,522.9,522.9,505.1,506.27,120405.0,backfill_api
2025-06-23,511.4,511.4,502.7,505.01,150450.0,backfill_api
2025-06-24,514.0,514.0,503.5,504.01,124093.0,backfill_api
2025-06-25,505.0,508.0,503.0,503.67,84699.0,backfill_api
2025-06-26,510.8,510.8,500.1,501.05,141177.0,backfill_api
2025-06-29,495.0,504.9,495.0,501.38,102693.0,backfill_api
2025-06-30,500.0,509.4,500.0,503.74,79340.0,backfill_api
