date,open,high,low,close,volume,source
2025-02-27,495.0,503.0,486.3,497.0,29342.0,backfill_api
2025-03-02,504.0,522.9,496.0,518.0,117090.0,backfill_api
2025-03-03,517.0,521.0,507.0,511.0,74206.0,backfill_api
2025-03-04,515.0,519.0,497.9,506.0,66830.0,backfill_api
2025-03-05,506.0,514.0,494.1,503.0,47814.0,backfill_api
2025-03-06,503.0,506.0,491.0,500.0,41007.0,backfill_api
2025-03-09,500.1,505.5,490.0,498.0,52240.0,backfill_api
2025-03-10,499.0,503.0,490.0,493.3,44839.0,backfill_api
2025-03-11,489.1,500.5,485.1,486.4,42471.0,backfill_api
2025-03-12,495.0,496.1,488.0,489.5,18462.0,backfill_api
2025-03-16,495.0,496.0,480.0,490.0,44346.0,backfill_api
2025-03-17,485.0,494.0,485.0,490.0,24967.0,backfill_api
2025-03-18,494.0,494.9,477.3,488.0,22131.0,backfill_api
2025-03-19,493.8,495.0,488.1,490.0,37395.0,backfill_api
2025-03-20,494.0,495.0,485.0,488.99,25574.0,backfill_api
2025-03-23,485.2,490.5,480.0,480.78,40257.0,backfill_api
2025-03-24,480.0,486.0,472.0,484.81,36437.0,backfill_api
2025-03-25,476.0,482.0,470.4,471.94,56357.0,backfill_api
2025-03-26,474.0,483.0,472.0,482.26,18612.0,backfill_api
2025-03-27,478.0,484.5,469.0,481.41,38312.0,backfill_api
2025-03-30,480.8,490.0,480.0,486.48,33419.0,backfill_api
2025-04-01,480.0,486.0,470.0,478.85,25594.0,backfill_api
2025-04-02,478.5,486.0,472.0,485.07,28246.0,backfill_api
2025-04-03,482.4,490.0,482.3,486.36,35234.0,backfill_api
2025-04-07,480.0,483.0,475.1,479.09,30666.0,backfill_api
2025-04-08,475.0,480.0,469.2,476.13,32877.0,backfill_api
2025-04-09,480.0,496.0,475.3,494.8,62267.0,backfill_api
2025-04-10,496.9,496.9,480.4,492.02,22678.0,backfill_api
2025-04-13,489.3,494.8,477.0,492.53,25099.0,backfill_api
2025-04-15,497.0,507.0,490.0,506.04,107134.0,backfill_api
2025-04-16,507.9,510.0,495.9,505.39,75902.0,backfill_api
2025-04-17,512.0,515.0,500.3,509.12,94140.0,backfill_api
2025-04-20,514.8,515.0,496.4,501.9,66230.0,backfill_api
2025-04-21,499.5,508.0,490.0,501.18,60608.0,backfill_api
2025-04-22,508.9,513.0,498.0,508.23,107177.0,backfill_api
2025-04-23,509.0,510.0,500.0,500.97,78296.0,backfill_api
2025-04-24,501.0,504.0,488.1,495.98,42546.0,backfill_api
2025-04-27,494.0,509.0,493.0,502.71,109402.0,backfill_api
2025-04-28,503.3,506.9,500.1,500.88,57009.0,backfill_api
2025-04-29,502.0,502.0,489.0,499.8,30608.0,backfill_api
2025-04-30,499.8,503.7,493.0,502.35,52501.0,backfill_api
2025-05-04,502.0,506.0,501.6,502.97,61481.0,backfill_api
2025-05-05,495.1,503.9,495.1,501.76,27528.0,backfill_api
2025-05-06,501.5,504.9,490.5,500.85,49467.0,backfill_api
2025-05-07,506.0,509.8,496.0,507.13,70383.0,backfill_api
2025-05-08,513.0,515.0,500.0,511.16,109167.0,backfill_api
2025-05-11,515.0,562.2,515.0,553.91,573286.0,backfill_api
2025-05-13,562.2,566.6,534.6,542.5,253205.0,backfill_api
2025-05-14,552.0,562.0,526.1,529.25,188073.0,backfill_api
2025-05-15,529.0,575.5,525.0,571.85,824999.0,backfill_api
2025-05-18,571.0,586.0,560.0,566.93,409600.0,backfill_api
2025-05-19,555.6,574.9,544.9,555.34,346161.0,backfill_api
2025-05-20,561.0,590.1,556.1,582.63,505312.0,backfill_api
2025-05-21,594.2,606.0,570.0,585.38,412921.0,backfill_api
2025-05-22,582.0,597.0,570.0,573.52,347850.0,backfill_api
2025-05-25,571.1,577.0,545.9,563.14,318522.0,backfill_api
2025-05-26,574.4,580.0,550.0,557.98,230821.0,backfill_api
2025-05-27,551.0,565.0,546.7,561.8,226773.0,backfill_api
2025-05-28,550.6,580.0,550.6,570.85,315844.0,backfill_api
2025-06-02,582.2,601.0,578.0,585.4,561476.0,backfill_api
2025-06-03,586.0,589.0,562.0,571.18,236083.0,backfill_api
2025-06-04,572.0,578.5,564.0,565.87,123545.0,backfill_api
2025-06-05,558.0,571.8,550.0,560.82,212462.0,backfill_api
2025-06-08,558.1,574.8,557.1,565.74,297550.0,backfill_api
2025-06-09,555.0,569.7,551.9,558.64,239199.0,backfill_api
2025-06-10,565.0,578.0,558.6,572.03,315155.0,backfill_api
2025-06-11,568.1,574.0,559.0,561.07,194522.0,backfill_api
2025-06-12,572.2,579.9,551.0,570.28,350935.0,backfill_api
2025-06-15,578.0,578.0,553.2,563.62,159010.0,backfill_api
2025-06-16,554.0,604.0,554.0,599.15,900638.0,backfill_api
2025-06-17,611.1,617.9,588.0,592.55,501929.0,backfill_api
2025-06-18,593.0,597.0,583.0,588.75,144559.0,backfill_api
2025-06-19,586.9,596.0,573.5,579.75,358731.0,backfill_api
2025-06-22,579.9,581.0,555.0,556.64,213001.0,backfill_api
2025-06-23,563.0,569.9,543.0,563.45,142891.0,backfill_api
2025-06-24,572.0,574.0,556.0,556.9,96835.0,backfill_api
2025-06-25,558.1,566.9,550.0,562.84,97030.0,backfill_api
2025-06-26,561.0,578.3,546.0,550.65,204538.0,backfill_api
2025-06-29,540.0,557.8,540.0,553.26,99674.0,backfill_api
2025-06-30,553.2,561.7,550.0,553.27,96374.0,backfill_api
2025-07-01,555.0,559.9,544.0,558.5,84327.0,backfill_api
2025-07-02,556.0,565.0,550.0,561.66,87947.0,backfill_api
2025-07-03,564.0,565.0,549.0,559.13,114750.0,backfill_api
2025-07-06,564.9,564.9,550.0,559.1,106025.0,backfill_api
2025-07-07,566.0,577.0,555.1,564.65,169163.0,backfill_api
2025-07-08,570.0,570.0,550.0,564.25,84450.0,backfill_api
2025-07-09,565.0,569.9,553.7,564.13,75423.0,backfill_api
2025-07-10,569.0,576.3,553.0,564.16,72957.0,backfill_api
2025-07-13,572.6,575.4,551.8,567.25,169044.0,backfill_api
2025-07-14,568.1,574.8,558.6,566.02,120143.0,backfill_api
2025-07-15,568.0,579.0,563.5,573.63,171988.0,backfill_api
2025-07-16,585.1,585.1,567.0,577.58,181350.0,backfill_api
2025-07-17,583.0,599.0,577.3,588.65,192333.0,backfill_api
2025-07-20,590.0,599.3,575.0,584.27,228293.0,backfill_api
2025-07-21,581.0,595.0,572.0,584.07,156962.0,backfill_api
2025-07-22,594.0,615.0,586.0,612.98,544088.0,backfill_api
2025-07-23,614.5,616.0,588.5,601.42,319537.0,backfill_api
2025-07-24,613.3,613.3,590.0,605.47,212009.0,backfill_api
2025-07-27,608.9,619.0,588.0,590.37,453779.0,backfill_api
2025-07-28,581.1,595.0,575.0,589.33,210958.0,backfill_api
2025-07-29,599.9,600.0,583.3,586.45,151771.0,backfill_api
2025-07-30,590.0,593.0,567.0,576.19,237920.0,backfill_api
2025-07-31,564.7,582.8,564.7,573.85,136308.0,backfill_api
2025-08-03,580.0,580.0,560.0,568.76,101379.0,backfill_api
2025-08-04,574.0,575.0,559.2,566.15,106407.0,backfill_api
2025-08-05,570.9,570.9,557.0,559.43,113878.0,backfill_api
2025-08-06,555.0,565.0,550.0,561.68,60761.0,backfill_api
2025-08-07,560.0,570.0,560.0,565.31,45717.0,backfill_api
2025-08-11,561.0,569.5,549.8,556.71,79745.0,backfill_api
2025-08-12,556.71,560.8,550.0,556.1,43033.0,backfill_api
2025-08-13,555.0,560.0,550.0,557.78,26187.0,backfill_api
2025-08-14,557.5,564.9,556.0,560.85,42863.0,backfill_api
2025-08-17,561.0,568.0,550.1,562.09,42265.0,backfill_api
2025-08-18,566.8,567.0,555.0,565.49,29115.0,backfill_api
2025-08-19,568.8,568.8,555.0,561.75,38347.0,backfill_api
2025-08-20,560.4,579.0,560.0,571.9,86698.0,backfill_api
2025-08-21,576.9,579.0,560.0,563.63,24961.0,backfill_api
2025-08-24,569.0,572.0,550.0,558.48,45670.0,backfill_api
2025-08-25,560.0,562.4,550.0,561.12,24835.0,backfill_api
2025-08-26,564.0,565.0,555.0,561.8,15674.0,backfill_api
2025-08-27,565.5,575.0,555.0,571.15,48014.0,backfill_api
2025-08-28,571.0,575.0,560.0,561.95,87475.0,backfill_api
2025-08-31,566.0,566.0,550.2,559.32,35900.0,backfill_api
2025-09-01,555.0,565.0,552.0,561.44,21663.0,backfill_api
2025-09-02,556.3,565.0,551.8,563.3,40466.0,backfill_api
2025-09-03,558.1,564.5,555.0,557.34,44279.0,backfill_api
2025-09-04,558.0,561.0,547.0,551.78,73684.0,backfill_api
2025-09-07,554.0,557.0,550.1,552.15,40514.0,backfill_api
2025-09-08,561.0,561.0,542.0,544.31,32918.0,backfill_api
2025-09-18,533.5,533.5,489.9,489.9,5696.0,backfill_api
2025-09-21,480.2,525.0,480.2,517.6,89896.0,backfill_api
2025-09-23,521.0,540.0,519.0,537.1,37955.0,backfill_api
2025-09-24,540.0,540.0,520.0,532.0,32711.0,backfill_api
2025-09-25,523.4,535.0,515.0,530.2,26208.0,backfill_api
2025-09-28,539.9,539.9,526.0,536.4,12303.0,backfill_api
2025-10-07,526.0,530.0,515.5,521.0,40916.0,backfill_api
2025-10-08,515.2,518.0,498.0,505.7,56489.0,backfill_api
2025-10-09,515.8,536.5,506.0,511.0,31500.0,backfill_api
2025-10-12,504.3,505.0,470.4,478.2,132788.0,backfill_api
2025-10-13,477.0,501.0,477.0,501.0,55736.0,backfill_api
2025-10-14,499.8,500.9,488.0,493.0,20551.0,backfill_api
2025-10-15,486.0,498.0,486.0,488.5,30371.0,backfill_api
2025-10-16,487.5,494.0,483.3,485.0,19520.0,backfill_api
2025-10-19,494.0,495.5,485.0,494.5,21984.0,backfill_api
2025-10-26,488.0,502.7,485.0,501.0,17881.0,backfill_api
2025-10-28,505.8,518.9,499.1,518.9,61184.0,backfill_api
2025-10-29,529.2,559.8,529.2,543.1,207945.0,backfill_api
2025-10-30,553.0,555.0,538.1,549.0,102925.0,backfill_api
2025-11-02,555.0,557.5,549.0,552.0,76357.0,backfill_api
2025-11-03,549.0,555.0,538.1,548.0,47749.0,backfill_api
2025-11-04,558.9,558.9,537.1,544.0,35815.0,backfill_api
